ID;EnergyCommodities;Periods;TotalSupply_1;Production_2;TotalPureAndBlended_3;Pure_4;Blended_5;StockMutationPureAndBlended_6;BunkersPureAndBlended_7;TotalConsumptionPureAndBlended_8;RoadTransport_9;RailTransport_10;DomesticNavigation_11;Construction_12;Agriculture_13;Blending_14;ProductionCapacity_15
0;Liquid biofuels for transport, total;2006;1766;998.0;750.0;750.0;0;0;;1766.0;;;;;;1652;2974.0
1;Liquid biofuels for transport, total;2007;13031;3438.0;12487.0;13290.0;-803;-2895;;13031.0;;;;;;13723;7307.0
2;Liquid biofuels for transport, total;2008;12048;3257.0;12934.0;16791.0;-3857;-4143;;12048.0;;;;;;15905;19551.0
3;Liquid biofuels for transport, total;2009;15606;10138.0;5928.0;7912.0;-1984;-461;;15606.0;;;;;;17590;48951.0
4;Liquid biofuels for transport, total;2010;9577;;;;940;2585;;9577.0;;;;;;8637;
5;Liquid biofuels for transport, total;2011;13438;;;;3385;-1765;;13438.0;;;;;;10053;
6;Liquid biofuels for transport, total;2012;14017;;;;163;-2308;;14017.0;13055.0;37.0;;481.0;444.0;13854;
7;Liquid biofuels for transport, total;2013;13378;62053.0;-44651.0;-42410.0;-2241;-4010;;13378.0;12490.0;37.0;;444.0;407.0;15619;88099.0
8;Liquid biofuels for transport, total;2014;15686;;;;-1476;2959;;15686.0;14576.0;37.0;;555.0;518.0;17162;
9;Liquid biofuels for transport, total;2015;13439;;;;-2074;498;;13439.0;12285.0;35.0;;614.0;505.0;15513;
10;Liquid biofuels for transport, total;2016;10747;;;;-1492;-684;;10747.0;9839.0;27.0;;513.0;367.0;12238;
11;Liquid biofuels for transport, total;2017;13891;;;;-2917;-4039;;13891.0;12637.0;37.0;;693.0;525.0;16808;
12;Liquid biofuels for transport, total;2018;22992;;;;-2678;-6694;698.0;22992.0;20540.0;57.0;59.0;1259.0;1077.0;26368;
13;Liquid biofuels for transport, total;2019;28437;;;;-4420;146;1982.0;28437.0;25363.0;66.0;118.0;1551.0;1341.0;34838;
14;Liquid biofuels for transport, total;2020;24329;;;;-8648;2042;9894.0;24329.0;21684.0;55.0;63.0;1355.0;1172.0;42872;
15;Liquid biofuels for transport, total;2021;27739;;;;-4672;-3058;6954.0;27739.0;24573.0;63.0;40.0;1583.0;1479.0;39365;
16;Liquid biofuels for transport, total;2022;26141;;;;-5125;-15907;19004.0;26141.0;23018.0;59.0;53.0;1400.0;1148.0;49808;
17;Liquid biofuels for transport, total;2023;25853;;;;-3357;13515;16416.0;25853.0;22886.0;66.0;43.0;1383.0;1133.0;45283;
18;Biogasoline;2006;798;314.0;484.0;484.0;0;0;;798.0;798.0;;;;;798;314.0
19;Biogasoline;2007;3687;293.0;4087.0;4087.0;0;-693;;3687.0;3687.0;;;;;3687;314.0
20;Biogasoline;2008;4524;186.0;4229.0;4979.0;-749;109;;4524.0;4524.0;;;;;5274;311.0
21;Biogasoline;2009;5771;0.0;6121.0;5798.0;322;-350;;5771.0;5771.0;;;;;5448;0.0
22;Biogasoline;2010;5614;;;;1010;199;;5614.0;5614.0;;;;;4604;
23;Biogasoline;2011;6231;;;;4307;-1;;6231.0;6231.0;;;;;1923;
24;Biogasoline;2012;5211;;;;1458;-259;;5211.0;5211.0;;;;;3753;
25;Biogasoline;2013;5238;11178.0;-6061.0;-5818.0;-243;121;;5238.0;5238.0;;;;;5481;13581.0
26;Biogasoline;2014;5379;;;;131;353;;5379.0;5379.0;;;;;5248;
27;Biogasoline;2015;5950;;;;-279;57;;5950.0;5950.0;;;;;6230;
28;Biogasoline;2016;5049;;;;-444;-438;;5049.0;5049.0;;;;;5493;
29;Biogasoline;2017;5399;;;;-656;-190;;5399.0;5399.0;;;;;6054;
30;Biogasoline;2018;7146;;;;-798;257;;7146.0;7146.0;;;;;7944;
31;Biogasoline;2019;8321;;;;-741;4;;8321.0;8321.0;;;;;9062;
32;Biogasoline;2020;9481;;;;-2746;-1747;;9481.0;9481.0;;;;;12227;
33;Biogasoline;2021;9766;;;;-2102;834;;9766.0;9766.0;;;;;11868;
34;Biogasoline;2022;10975;;;;-2867;-4094;;10975.0;10512.0;;;;;13380;
35;Biogasoline;2023;11123;;;;-2867;345;;11123.0;10781.0;;;;;13648;
