ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;DirectVastgoed_2;Hypotheken_3;TotaalAandelenEnDeelnemingen_4;IndirectVastgoed_5;OverigeAandelenEnDeelnemingen_6;ObligatiesEnWaardepapOpKorteTermijn_7;FinancieleDerivaten_8;LeningenOpLangeTermijn_9;OverigeBeleggingen_10;TotaalBeleggingen_11;DirectVastgoed_12;Hypotheken_13;TotaalAandelenEnDeelnemingen_14;IndirectVastgoed_15;OverigeAandelenEnDeelnemingen_16;ObligatiesEnWaardepapOpKorteTermijn_17;FinancieleDerivaten_18;LeningenOpLangeTermijn_19;OverigeBeleggingen_20
0;Totaal institutionele beleggers;1996;527.9;39.8;32.9;148.9;8.1;140.7;153.5;0.8;125.2;26.8;100;7.5;6.2;28.2;1.5;26.7;29.1;0.2;23.7;5.1
1;Totaal institutionele beleggers;1997;607.0;43.4;34.3;196.5;12.8;183.7;186.8;2.5;116.8;26.7;100;7.1;5.6;32.4;2.1;30.3;30.8;0.4;19.2;4.4
2;Totaal institutionele beleggers;1998;684.2;47.5;38.5;246.0;15.7;230.3;216.4;4.0;109.4;22.4;100;6.9;5.6;35.9;2.3;33.7;31.6;0.6;16.0;3.3
3;Totaal institutionele beleggers;1999;795.7;52.8;41.4;351.2;21.7;329.5;223.5;5.0;95.2;26.6;100;6.6;5.2;44.1;2.7;41.4;28.1;0.6;12.0;3.3
4;Totaal institutionele beleggers;2000;830.1;65.6;45.2;355.5;29.4;326.2;246.9;5.2;78.9;32.7;100;7.9;5.4;42.8;3.5;39.3;29.7;0.6;9.5;3.9
5;Totaal institutionele beleggers;2001;831.2;72.0;47.3;343.1;29.4;313.7;260.7;5.3;72.4;30.4;100;8.7;5.7;41.3;3.5;37.7;31.4;0.6;8.7;3.7
6;Totaal institutionele beleggers;2002;779.4;61.7;47.8;277.7;26.7;250.9;281.9;6.9;63.4;40.1;100;7.9;6.1;35.6;3.4;32.2;36.2;0.9;8.1;5.1
7;Totaal institutionele beleggers;2003;854.9;60.0;44.2;332.0;30.0;302.0;309.0;10.4;59.3;40.0;100;7.0;5.2;38.8;3.5;35.3;36.1;1.2;6.9;4.7
8;Totaal institutionele beleggers;2004;933.0;59.2;40.3;372.2;36.3;335.9;362.2;12.9;47.3;38.7;100;6.4;4.3;39.9;3.9;36.0;38.8;1.4;5.1;4.1
9;Totaal institutionele beleggers;2005 1e kwartaal;956.3;57.3;40.9;393.4;;;371.5;7.0;43.5;42.7;100;6.0;4.3;41.1;;;38.9;0.7;4.6;4.5
10;Totaal institutionele beleggers;2005 2e kwartaal;1007.9;57.7;37.9;426.1;;;396.2;5.1;42.9;42.0;100;5.7;3.8;42.3;;;39.3;0.5;4.3;4.2
11;Totaal institutionele beleggers;2005 3e kwartaal;1041.6;58.4;38.7;450.2;;;400.1;7.8;43.0;43.5;100;5.6;3.7;43.2;;;38.4;0.7;4.1;4.2
12;Totaal institutionele beleggers;2005 4e kwartaal;1069.9;60.6;38.4;468.1;45.6;422.4;406.5;6.1;44.6;45.6;100;5.7;3.6;43.7;4.3;39.5;38.0;0.6;4.2;4.3
13;Totaal institutionele beleggers;2005;1069.9;60.6;38.4;468.1;45.6;422.4;406.5;6.1;44.6;45.6;100;5.7;3.6;43.7;4.3;39.5;38.0;0.6;4.2;4.3
14;Totaal institutionele beleggers;2006 1e kwartaal;1116.0;58.7;38.1;495.7;;;410.2;4.8;45.7;62.9;100;5.3;3.4;44.4;;;36.8;0.4;4.1;5.6
15;Totaal institutionele beleggers;2006 2e kwartaal;1090.2;59.9;37.0;466.7;;;413.2;1.7;45.3;66.5;100;5.5;3.4;42.8;;;37.9;0.2;4.2;6.1
16;Totaal institutionele beleggers;2006 3e kwartaal;1134.8;60.4;36.2;493.8;;;431.5;3.7;45.1;64.1;100;5.3;3.2;43.5;;;38.0;0.3;4.0;5.6
17;Totaal institutionele beleggers;2006 4e kwartaal;1156.4;61.3;36.3;517.7;60.8;456.8;427.9;8.6;44.0;60.6;100;5.3;3.1;44.8;5.3;39.5;37.0;0.7;3.8;5.2
18;Totaal institutionele beleggers;2006;1156.4;61.3;36.3;517.7;60.8;456.8;427.9;8.6;44.0;60.6;100;5.3;3.1;44.8;5.3;39.5;37.0;0.7;3.8;5.2
19;Totaal institutionele beleggers;2007 1e kwartaal;1179.3;62.5;38.1;527.6;;;439.9;5.5;46.1;59.6;100;5.3;3.2;44.7;;;37.3;0.5;3.9;5.1
