ID;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;WoonWerkafstand_2
0;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2021 december;8697.6;19.9
1;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2022 december;8941.8;19.8
2;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2023 december;9020.0;19.9
3;Nederland, Buitenland, Niet in te delen;Nederland;2021 december;8679.6;19.9
4;Nederland, Buitenland, Niet in te delen;Nederland;2022 december;8921.6;19.8
5;Nederland, Buitenland, Niet in te delen;Nederland;2023 december;8996.7;19.9
6;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2021 december;18.0;
7;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2022 december;20.2;
8;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2023 december;23.3;
9;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2021 december;764.9;19.4
10;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2022 december;778.9;19.2
11;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2023 december;783.2;19.1
12;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2021 december;1748.8;18.7
13;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2022 december;1799.7;18.5
14;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2023 december;1806.9;18.3
15;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2021 december;4303.2;20.7
16;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2022 december;4432.8;20.9
17;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2023 december;4493.8;21.2
18;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2021 december;1862.7;19.4
19;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2022 december;1910.2;18.6
20;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2023 december;1912.8;18.5
21;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2021 december;18.0;
22;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2022 december;20.2;
23;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2023 december;23.3;
24;Nederland, Buitenland, Niet in te delen;Groningen (PV);2021 december;275.9;19.1
25;Nederland, Buitenland, Niet in te delen;Groningen (PV);2022 december;281.1;19.2
26;Nederland, Buitenland, Niet in te delen;Groningen (PV);2023 december;280.9;18.8
27;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2021 december;279.4;18.6
28;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2022 december;283.3;18.3
29;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2023 december;283.7;18.2
30;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2021 december;209.6;20.8
31;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2022 december;214.6;20.5
32;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2023 december;218.6;20.7
33;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2021 december;588.6;18.1
34;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2022 december;605.5;17.9
35;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2023 december;606.1;17.6
36;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2021 december;167.6;20.8
37;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2022 december;171.4;20.5
38;Nederland, Buitenland, Niet in te delen;Flevoland (PV);2023 december;172.0;20.7
39;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2021 december;992.6;18.6
40;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2022 december;1022.9;18.5
41;Nederland, Buitenland, Niet in te delen;Gelderland (PV);2023 december;1028.8;18.4
42;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2021 december;778.2;24.6
43;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2022 december;802.0;24.9
44;Nederland, Buitenland, Niet in te delen;Utrecht (PV);2023 december;818.6;25.5
45;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2021 december;1585.7;22.1
46;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2022 december;1637.9;22.2
47;Nederland, Buitenland, Niet in te delen;Noord-Holland (PV);2023 december;1669.4;22.7
48;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2021 december;1777.8;18.2
49;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2022 december;1826.4;18.4
50;Nederland, Buitenland, Niet in te delen;Zuid-Holland (PV);2023 december;1837.8;18.3
51;Nederland, Buitenland, Niet in te delen;Zeeland (PV);2021 december;161.4;16.9
52;Nederland, Buitenland, Niet in te delen;Zeeland (PV);2022 december;166.5;16.8
53;Nederland, Buitenland, Niet in te delen;Zeeland (PV);2023 december;168.0;17.3
54;Nederland, Buitenland, Niet in te delen;Noord-Brabant (PV);2021 december;1341.1;20.1
55;Nederland, Buitenland, Niet in te delen;Noord-Brabant (PV);2022 december;1378.2;19.3
56;Nederland, Buitenland, Niet in te delen;Noord-Brabant (PV);2023 december;1383.7;19.0
57;Nederland, Buitenland, Niet in te delen;Limburg (PV);2021 december;521.7;17.6
58;Nederland, Buitenland, Niet in te delen;Limburg (PV);2022 december;532.0;16.6
59;Nederland, Buitenland, Niet in te delen;Limburg (PV);2023 december;529.1;17.2
60;Nederland, Buitenland, Niet in te delen;Niet in te delen (PV);2021 december;18.0;
61;Nederland, Buitenland, Niet in te delen;Niet in te delen (PV);2022 december;20.2;
62;Nederland, Buitenland, Niet in te delen;Niet in te delen (PV);2023 december;23.3;
63;Nederland, Buitenland, Niet in te delen;Oost-Groningen (CR);2021 december;47.4;16.5
64;Nederland, Buitenland, Niet in te delen;Oost-Groningen (CR);2022 december;47.8;15.9
65;Nederland, Buitenland, Niet in te delen;Oost-Groningen (CR);2023 december;47.8;16.3
66;Nederland, Buitenland, Niet in te delen;Delfzijl en omgeving (CR);2021 december;16.7;28.1
67;Nederland, Buitenland, Niet in te delen;Delfzijl en omgeving (CR);2022 december;16.4;26.6
68;Nederland, Buitenland, Niet in te delen;Delfzijl en omgeving (CR);2023 december;15.6;25.3
69;Nederland, Buitenland, Niet in te delen;Overig Groningen (CR);2021 december;211.8;19.0
70;Nederland, Buitenland, Niet in te delen;Overig Groningen (CR);2022 december;216.9;19.3
71;Nederland, Buitenland, Niet in te delen;Overig Groningen (CR);2023 december;217.5;18.9
72;Nederland, Buitenland, Niet in te delen;Noord-Friesland (CR);2021 december;137.0;17.7
73;Nederland, Buitenland, Niet in te delen;Noord-Friesland (CR);2022 december;138.9;17.6
74;Nederland, Buitenland, Niet in te delen;Noord-Friesland (CR);2023 december;137.6;17.1
75;Nederland, Buitenland, Niet in te delen;Zuidwest-Friesland (CR);2021 december;53.1;18.8
76;Nederland, Buitenland, Niet in te delen;Zuidwest-Friesland (CR);2022 december;53.6;17.5
77;Nederland, Buitenland, Niet in te delen;Zuidwest-Friesland (CR);2023 december;53.3;17.2
78;Nederland, Buitenland, Niet in te delen;Zuidoost-Friesland (CR);2021 december;89.3;19.8
79;Nederland, Buitenland, Niet in te delen;Zuidoost-Friesland (CR);2022 december;90.7;19.9
80;Nederland, Buitenland, Niet in te delen;Zuidoost-Friesland (CR);2023 december;92.8;20.4
81;Nederland, Buitenland, Niet in te delen;Noord-Drenthe (CR);2021 december;80.2;21.1
82;Nederland, Buitenland, Niet in te delen;Noord-Drenthe (CR);2022 december;82.1;19.8
83;Nederland, Buitenland, Niet in te delen;Noord-Drenthe (CR);2023 december;83.1;19.6
84;Nederland, Buitenland, Niet in te delen;Zuidoost-Drenthe (CR);2021 december;63.4;16.7
85;Nederland, Buitenland, Niet in te delen;Zuidoost-Drenthe (CR);2022 december;65.3;17.7
86;Nederland, Buitenland, Niet in te delen;Zuidoost-Drenthe (CR);2023 december;65.2;16.7
87;Nederland, Buitenland, Niet in te delen;Zuidwest-Drenthe (CR);2021 december;66.0;24.2
88;Nederland, Buitenland, Niet in te delen;Zuidwest-Drenthe (CR);2022 december;67.1;24.1
89;Nederland, Buitenland, Niet in te delen;Zuidwest-Drenthe (CR);2023 december;70.3;25.8
90;Nederland, Buitenland, Niet in te delen;Noord-Overijssel (CR);2021 december;206.6;20.6
91;Nederland, Buitenland, Niet in te delen;Noord-Overijssel (CR);2022 december;211.7;20.0
92;Nederland, Buitenland, Niet in te delen;Noord-Overijssel (CR);2023 december;209.6;19.7
93;Nederland, Buitenland, Niet in te delen;Zuidwest-Overijssel (CR);2021 december;72.3;18.0
94;Nederland, Buitenland, Niet in te delen;Zuidwest-Overijssel (CR);2022 december;74.5;17.4
95;Nederland, Buitenland, Niet in te delen;Zuidwest-Overijssel (CR);2023 december;74.5;17.3
96;Nederland, Buitenland, Niet in te delen;Twente (CR);2021 december;309.7;16.6
97;Nederland, Buitenland, Niet in te delen;Twente (CR);2022 december;319.3;16.5
98;Nederland, Buitenland, Niet in te delen;Twente (CR);2023 december;321.9;16.3
99;Nederland, Buitenland, Niet in te delen;Veluwe (CR);2021 december;349.0;19.2
100;Nederland, Buitenland, Niet in te delen;Veluwe (CR);2022 december;359.0;19.2
101;Nederland, Buitenland, Niet in te delen;Veluwe (CR);2023 december;364.6;19.3
102;Nederland, Buitenland, Niet in te delen;Achterhoek (CR);2021 december;173.9;15.9
103;Nederland, Buitenland, Niet in te delen;Achterhoek (CR);2022 december;177.6;15.3
104;Nederland, Buitenland, Niet in te delen;Achterhoek (CR);2023 december;178.4;15.5
105;Nederland, Buitenland, Niet in te delen;Arnhem/Nijmegen (CR);2021 december;356.5;18.8
106;Nederland, Buitenland, Niet in te delen;Arnhem/Nijmegen (CR);2022 december;369.5;18.9
107;Nederland, Buitenland, Niet in te delen;Arnhem/Nijmegen (CR);2023 december;367.8;18.4
108;Nederland, Buitenland, Niet in te delen;Zuidwest-Gelderland (CR);2021 december;113.1;20.3
109;Nederland, Buitenland, Niet in te delen;Zuidwest-Gelderland (CR);2022 december;116.8;20.1
110;Nederland, Buitenland, Niet in te delen;Zuidwest-Gelderland (CR);2023 december;118.1;19.8
111;Nederland, Buitenland, Niet in te delen;Utrecht (CR);2021 december;778.2;24.6
112;Nederland, Buitenland, Niet in te delen;Utrecht (CR);2022 december;802.0;24.9
113;Nederland, Buitenland, Niet in te delen;Utrecht (CR);2023 december;818.6;25.5
114;Nederland, Buitenland, Niet in te delen;Kop van Noord-Holland (CR);2021 december;151.6;16.7
115;Nederland, Buitenland, Niet in te delen;Kop van Noord-Holland (CR);2022 december;152.7;16.5
116;Nederland, Buitenland, Niet in te delen;Kop van Noord-Holland (CR);2023 december;160.2;19.0
117;Nederland, Buitenland, Niet in te delen;Alkmaar en omgeving (CR);2021 december;104.5;14.7
118;Nederland, Buitenland, Niet in te delen;Alkmaar en omgeving (CR);2022 december;106.2;14.7
119;Nederland, Buitenland, Niet in te delen;Alkmaar en omgeving (CR);2023 december;108.0;14.8
120;Nederland, Buitenland, Niet in te delen;IJmond (CR);2021 december;74.0;15.5
121;Nederland, Buitenland, Niet in te delen;IJmond (CR);2022 december;75.5;15.8
122;Nederland, Buitenland, Niet in te delen;IJmond (CR);2023 december;75.6;15.4
123;Nederland, Buitenland, Niet in te delen;Agglomeratie Haarlem (CR);2021 december;85.7;16.3
124;Nederland, Buitenland, Niet in te delen;Agglomeratie Haarlem (CR);2022 december;87.6;16.6
125;Nederland, Buitenland, Niet in te delen;Agglomeratie Haarlem (CR);2023 december;86.8;15.8
126;Nederland, Buitenland, Niet in te delen;Zaanstreek (CR);2021 december;63.3;17.8
127;Nederland, Buitenland, Niet in te delen;Zaanstreek (CR);2022 december;64.0;16.7
128;Nederland, Buitenland, Niet in te delen;Zaanstreek (CR);2023 december;64.9;17.0
129;Nederland, Buitenland, Niet in te delen;Groot-Amsterdam (CR);2021 december;998.9;25.0
130;Nederland, Buitenland, Niet in te delen;Groot-Amsterdam (CR);2022 december;1041.4;25.2
131;Nederland, Buitenland, Niet in te delen;Groot-Amsterdam (CR);2023 december;1071.6;25.6
132;Nederland, Buitenland, Niet in te delen;Het Gooi en Vechtstreek (CR);2021 december;107.7;21.1
133;Nederland, Buitenland, Niet in te delen;Het Gooi en Vechtstreek (CR);2022 december;110.6;21.1
134;Nederland, Buitenland, Niet in te delen;Het Gooi en Vechtstreek (CR);2023 december;102.2;21.1
135;Nederland, Buitenland, Niet in te delen;Agglomeratie Leiden en Bollenstreek (CR);2021 december;184.1;14.4
136;Nederland, Buitenland, Niet in te delen;Agglomeratie Leiden en Bollenstreek (CR);2022 december;188.4;14.4
137;Nederland, Buitenland, Niet in te delen;Agglomeratie Leiden en Bollenstreek (CR);2023 december;192.0;14.2
138;Nederland, Buitenland, Niet in te delen;Agglomeratie 's-Gravenhage (CR);2021 december;420.7;18.1
139;Nederland, Buitenland, Niet in te delen;Agglomeratie 's-Gravenhage (CR);2022 december;436.6;19.0
140;Nederland, Buitenland, Niet in te delen;Agglomeratie 's-Gravenhage (CR);2023 december;438.7;18.9
141;Nederland, Buitenland, Niet in te delen;Delft en Westland (CR);2021 december;141.4;16.4
142;Nederland, Buitenland, Niet in te delen;Delft en Westland (CR);2022 december;144.4;16.1
143;Nederland, Buitenland, Niet in te delen;Delft en Westland (CR);2023 december;146.4;15.6
144;Nederland, Buitenland, Niet in te delen;Oost-Zuid-Holland (CR);2021 december;133.2;17.5
145;Nederland, Buitenland, Niet in te delen;Oost-Zuid-Holland (CR);2022 december;135.1;16.9
146;Nederland, Buitenland, Niet in te delen;Oost-Zuid-Holland (CR);2023 december;136.7;16.6
147;Nederland, Buitenland, Niet in te delen;Groot-Rijnmond (CR);2021 december;716.5;18.9
