ID;RegioS;BevolkingUltimo2002_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16192.6;10805.3;67;12.3;0;17.8;0
1;Noord-Nederland (LD);1694.0;1122.7;66;11.4;4;16.5;4
2;Oost-Nederland (LD);3412.8;2237.4;66;11.7;3;17.1;3
3;West-Nederland (LD);7543.7;5055.3;67;12.9;1;18.6;1
4;Zuid-Nederland (LD);3542.1;2389.9;68;12.2;2;17.3;2
5;Groningen (PV);573.0;381.8;67;11.4;9;16.4;12
6;Friesland (PV);639.8;418.6;65;11.3;12;16.5;11
7;Drenthe (PV);481.3;322.3;67;11.6;8;16.7;9
8;Overijssel (PV);1100.7;722.7;66;11.3;11;16.5;10
9;Flevoland (PV);351.7;219.3;62;11.4;10;17.6;4
10;Gelderland (PV);1960.4;1295.4;66;11.9;7;17.3;6
11;Utrecht (PV);1152.2;774.1;67;13.3;1;19.1;1
12;Noord-Holland (PV);2573.1;1747.8;68;13.3;2;18.8;2
13;Zuid-Holland (PV);3440.0;2282.8;66;12.7;3;18.4;3
14;Zeeland (PV);378.3;250.6;66;12.0;5;17.3;7
15;Noord-Brabant (PV);2400.2;1618.5;67;12.3;4;17.5;5
16;Limburg (PV);1141.9;771.3;68;12.0;6;16.7;8
17;Oost-Groningen (CR);154.6;103.6;67;10.9;40;15.6;40
18;Delfzijl en omgeving (CR);52.6;34.5;66;11.3;34;16.5;36
19;Overig Groningen (CR);365.8;243.7;67;11.7;28;16.7;28
20;Noord-Friesland (CR);330.2;215.5;65;11.2;38;16.4;38
21;Zuidwest-Friesland (CR);104.9;67.9;65;11.2;37;16.6;34
22;Zuidoost-Friesland (CR);204.8;135.2;66;11.4;33;16.6;32
23;Noord-Drenthe (CR);183.6;123.1;67;12.1;18;17.5;19
24;Zuidoost-Drenthe (CR);170.6;114.7;67;11.1;39;15.8;39
25;Zuidwest-Drenthe (CR);127.0;84.5;67;11.6;30;16.8;27
26;Noord-Overijssel (CR);340.0;221.2;65;11.2;36;16.6;31
27;Zuidwest-Overijssel (CR);146.8;98.1;67;11.5;31;16.6;30
28;Twente (CR);613.9;403.4;66;11.3;35;16.4;37
29;Veluwe (CR);639.8;418.0;65;11.9;24;17.6;16
30;Achterhoek (CR);385.1;257.9;67;11.6;29;16.6;33
31;Arnhem/Nijmegen (CR);705.3;471.2;67;12.1;17;17.3;23
32;Zuidwest-Gelderland (CR);230.2;148.2;64;11.9;25;17.9;12
33;Utrecht (CR);1152.2;774.1;67;13.3;5;19.1;4
34;Kop van Noord-Holland (CR);361.8;241.1;67;12.0;23;17.3;21
35;Alkmaar en omgeving (CR);223.9;151.5;68;12.7;9;18.1;9
36;IJmond (CR);187.5;128.8;69;13.0;7;18.4;8
37;Agglomeratie Haarlem (CR);217.6;152.4;70;14.3;2;19.8;2
38;Zaanstreek (CR);155.0;107.0;69;12.5;10;17.6;17
39;Groot-Amsterdam (CR);1185.0;801.7;68;13.4;3;19.0;6
40;Het Gooi en Vechtstreek (CR);242.4;165.3;68;14.8;1;21.1;1
41;Agglomeratie Leiden en Bollenstreek (CR);387.8;259.9;67;13.2;6;19.1;5
42;Agglomeratie 's-Gravenhage (CR);759.8;509.3;67;13.4;4;19.2;3
43;Delft en Westland (CR);211.0;141.5;67;12.5;11;17.9;10
44;Oost-Zuid-Holland (CR);322.9;212.5;66;12.7;8;18.7;7
45;Groot-Rijnmond (CR);1359.6;899.9;66;12.3;15;17.8;13
46;Zuidoost-Zuid-Holland (CR);399.0;259.9;65;12.1;19;17.9;11
47;Zeeuwsch-Vlaanderen (CR);108.2;72.1;67;12.4;13;17.3;24
48;Overig Zeeland (CR);270.1;178.4;66;11.9;26;17.3;22
49;West-Noord-Brabant (CR);602.9;406.7;68;12.4;12;17.7;14
50;Midden-Noord-Brabant (CR);448.2;303.9;68;12.1;21;17.2;25
51;Noordoost-Noord-Brabant (CR);626.0;421.2;67;12.2;16;17.5;20
52;Zuidoost-Noord-Brabant (CR);723.0;486.7;67;12.3;14;17.6;15
53;Noord-Limburg (CR);277.7;187.2;67;11.8;27;16.5;35
54;Midden-Limburg (CR);234.1;158.1;68;12.1;20;17.1;26
55;Zuid-Limburg (CR);630.1;426.0;68;12.1;22;16.7;29
56;Flevoland (CR);351.7;219.3;62;11.4;32;17.6;18
57;Groningen (GA);196.2;134.9;69;12.1;14;16.6;18
58;Leeuwarden (GA);91.3;62.3;68;11.6;21;16.2;20
59;Zwolle (GA);110.0;75.6;69;12.2;12;17.2;15
60;Enschede (GA);152.3;99.9;66;10.9;22;15.7;22
61;Apeldoorn (GA);155.7;106.6;68;12.5;10;17.7;11
62;Arnhem (GA);143.1;92.7;65;12.1;15;17.2;14
63;Nijmegen (GA);156.2;106.4;68;12.0;17;16.7;17
64;Amersfoort (GA);160.2;107.2;67;13.3;4;19.2;2
65;Utrecht (GA);400.6;275.9;69;13.1;6;18.2;6
66;Amsterdam (GA);1013.1;686.2;68;13.3;5;18.7;5
67;Haarlem (GA);189.9;133.0;70;14.3;1;19.7;1
68;Leiden (GA);253.1;168.6;67;13.3;3;19.2;3
69;'s-Gravenhage (GA);627.6;422.0;67;13.4;2;19.2;4
70;Rotterdam (GA);1008.4;668.9;66;12.1;16;17.4;12
71;Dordrecht (GA);246.2;162.7;66;12.2;13;17.8;9
72;Breda (GA);164.4;112.4;68;12.9;8;18.1;8
73;Tilburg (GA);220.4;151.7;69;12.0;18;16.7;16
74;'s-Hertogenbosch (GA);157.8;109.0;69;13.0;7;18.2;7
75;Eindhoven (GA);308.2;210.7;68;12.7;9;17.8;10
76;Geleen/Sittard (GA);141.5;95.8;68;12.2;11;17.3;13
77;Heerlen (GA);214.3;144.9;68;11.7;20;15.9;21
78;Maastricht (GA);122.0;84.5;69;12.0;19;16.4;19
79;Groningen (SG);340.3;228.6;67;12.1;19;17.1;17
80;Leeuwarden (SG);158.2;105.5;67;11.5;21;16.5;20
81;Zwolle (SG);166.2;112.3;68;12.1;18;17.3;15
82;Enschede (SG);307.9;204.7;67;11.3;22;16.3;21
83;Apeldoorn (SG);212.6;145.0;68;12.4;10;17.5;13
84;Arnhem (SG);350.6;232.3;66;12.3;11;17.6;12
85;Nijmegen (SG);273.9;184.8;68;12.1;16;17.1;16
86;Amersfoort (SG);262.0;174.4;67;13.1;6;19.0;3
87;Utrecht (SG);558.0;381.6;68;13.4;2;18.9;5
88;Amsterdam (SG);1427.8;959.0;67;13.1;5;18.7;6
89;Haarlem (SG);405.1;281.1;69;13.7;1;19.1;2
90;Leiden (SG);330.6;220.7;67;13.3;3;19.2;1
91;'s-Gravenhage (SG);883.9;592.0;67;13.2;4;19.0;4
92;Rotterdam (SG);1192.9;791.5;66;12.2;13;17.7;11
93;Dordrecht (SG);286.7;188.3;66;12.2;15;17.9;10
94;Breda (SG);304.0;206.4;68;12.7;9;18.0;9
95;Tilburg (SG);285.8;195.8;69;12.1;17;17.0;18
96;'s-Hertogenbosch (SG);185.7;127.6;69;12.9;7;18.2;7
97;Eindhoven (SG);391.1;265.6;68;12.7;8;18.0;8
98;Geleen/Sittard (SG);155.1;105.0;68;12.3;12;17.3;14
99;Heerlen (SG);263.6;178.0;68;11.8;20;16.2;22
100;Maastricht (SG);185.4;127.5;69;12.2;14;16.9;19
101;Appingedam;12.5;8.4;67;11.6;346;16.6;391
102;Bedum;10.9;7.0;65;11.3;404;17.0;344
103;Bellingwedde;9.7;6.4;67;11.0;450;15.8;470
104;Ten Boer;7.4;4.6;63;11.0;449;17.0;334
105;Delfzijl;29.0;19.1;66;11.2;419;16.4;415
106;Groningen (gemeente);177.2;122.0;69;11.8;323;16.1;452
107;Grootegast;12.3;7.5;61;10.3;486;16.0;455
108;Haren;19.0;12.9;68;15.5;16;22.2;15
109;Hoogezand-Sappemeer;33.6;22.6;67;11.1;436;15.9;462
110;Leek;19.3;12.4;64;11.3;400;17.0;346
111;Loppersum;11.2;7.1;64;11.1;437;16.8;368
112;Marum;10.3;6.5;63;11.1;440;16.9;350
113;Almere;165.1;103.2;63;11.8;325;18.1;165
114;Stadskanaal;33.7;22.7;67;10.8;465;15.4;486
115;Scheemda;14.4;9.3;65;11.1;441;16.2;434
116;Slochteren;15.1;9.8;65;11.7;336;17.5;259
117;Veendam;28.4;19.0;67;11.3;411;16.2;435
118;Vlagtwedde;16.7;11.4;68;10.6;477;14.9;488
119;Zeewolde;19.4;11.5;59;11.5;381;18.7;112
120;SkarsterlÔn;27.3;17.5;64;11.4;395;17.0;337
121;Winschoten;18.5;12.7;69;11.2;416;15.7;479
122;Winsum;14.2;9.1;64;11.5;373;17.5;261
123;Boarnsterhim;19.0;12.4;66;11.6;345;17.0;342
124;Zuidhorn;18.1;11.1;61;11.4;397;17.9;189
125;Dongeradeel;25.0;15.8;63;10.4;482;15.7;476
126;Achtkarspelen;28.1;17.7;63;10.4;481;15.7;478
127;Ameland;3.6;2.3;65;11.5;387;16.7;381
128;het Bildt;10.5;6.8;64;10.7;469;15.9;465
129;Bolsward;9.4;6.2;66;11.2;420;16.3;426
130;Dantumadeel;19.7;12.1;62;10.1;487;15.7;474
131;Franekeradeel;21.0;13.6;65;10.9;458;16.1;448
132;Harlingen;15.6;10.2;66;11.4;389;16.7;372
133;Heerenveen;42.2;28.6;68;12.0;268;17.1;324
134;Kollumerland en Nieuwkruisland;13.4;8.4;63;10.6;472;16.1;444
135;Leeuwarden;91.3;62.3;68;11.6;349;16.2;436
136;Leeuwarderadeel;10.6;6.8;64;11.4;390;17.4;262
137;Lemsterland;13.2;8.5;64;11.6;362;17.2;315
138;Menaldumadeel;14.1;9.1;64;11.4;393;17.1;322
139;Ooststellingwerf;26.8;17.5;66;11.0;455;16.1;445
140;Opsterland;29.0;19.0;66;11.2;422;16.5;409
141;Schiermonnikoog;1.0;0.7;70;13.8;53;18.8;104
