ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
0;A-U Alle economische activiteiten;Totaal werkzame personen;348.5;59.1;34.72;29.36;1701.0
1;A-U Alle economische activiteiten;1 tot 10 werkzame personen;42.4;53.2;30.2;26.13;1763.0
2;A-U Alle economische activiteiten;10 tot 100 werkzame personen;77.6;54.6;30.75;26.46;1775.0
3;A-U Alle economische activiteiten;100 tot 500 werkzame personen;74.3;61.7;36.03;30.41;1712.0
4;A-U Alle economische activiteiten;500 of meer werkzame personen;154.3;62.2;38.1;31.65;1633.0
5;A-F Landbouw en nijverheid;Totaal werkzame personen;65.9;61.5;34.81;29.61;1767.0
6;A-F Landbouw en nijverheid;1 tot 10 werkzame personen;;;;;
7;A-F Landbouw en nijverheid;10 tot 100 werkzame personen;;;;;
8;A-F Landbouw en nijverheid;100 tot 500 werkzame personen;;;;;
9;A-F Landbouw en nijverheid;500 of meer werkzame personen;;;;;
10;A Landbouw, bosbouw en visserij;Totaal werkzame personen;3.0;41.9;22.94;19.88;1826.0
11;A Landbouw, bosbouw en visserij;1 tot 10 werkzame personen;;;;;
12;A Landbouw, bosbouw en visserij;10 tot 100 werkzame personen;;;;;
13;A Landbouw, bosbouw en visserij;100 tot 500 werkzame personen;0.4;52.2;28.12;24.38;1857.0
14;A Landbouw, bosbouw en visserij;500 of meer werkzame personen;;;;;
15;B Delfstoffenwinning;Totaal werkzame personen;1.2;122.9;64.37;55.63;1909.0
16;B Delfstoffenwinning;1 tot 10 werkzame personen;;;;;
17;B Delfstoffenwinning;10 tot 100 werkzame personen;;;;;
18;B Delfstoffenwinning;100 tot 500 werkzame personen;0.5;115.8;65.54;55.91;1767.0
19;B Delfstoffenwinning;500 of meer werkzame personen;;;;;
20;B-E Nijverheid (geen bouw) en energie;Totaal werkzame personen;46.1;63.3;36.19;30.71;1748.0
21;B-E Nijverheid (geen bouw) en energie;1 tot 10 werkzame personen;;;;;
22;B-E Nijverheid (geen bouw) en energie;10 tot 100 werkzame personen;;;;;
23;B-E Nijverheid (geen bouw) en energie;100 tot 500 werkzame personen;;;;;
24;B-E Nijverheid (geen bouw) en energie;500 of meer werkzame personen;;;;;
25;B-F Nijverheid en energie;Totaal werkzame personen;62.9;62.9;35.69;30.32;1763.0
26;B-F Nijverheid en energie;1 tot 10 werkzame personen;;;;;
27;B-F Nijverheid en energie;10 tot 100 werkzame personen;;;;;
28;B-F Nijverheid en energie;100 tot 500 werkzame personen;;;;;
29;B-F Nijverheid en energie;500 of meer werkzame personen;;;;;
30;C Industrie;Totaal werkzame personen;40.9;61.7;35.4;30.02;1742.0
31;C Industrie;1 tot 10 werkzame personen;2.4;49.6;27.92;24.23;1777.0
32;C Industrie;10 tot 100 werkzame personen;11.4;55.0;30.81;26.48;1786.0
33;C Industrie;100 tot 500 werkzame personen;13.1;64.3;36.22;30.88;1776.0
34;C Industrie;500 of meer werkzame personen;14.0;68.7;41.51;34.28;1655.0
35;D Energievoorziening;Totaal werkzame personen;2.0;82.7;48.51;40.47;1705.0
36;D Energievoorziening;1 tot 10 werkzame personen;0.0;65.8;36.77;31.81;1789.0
37;D Energievoorziening;10 tot 100 werkzame personen;0.1;73.2;41.48;35.37;1765.0
38;D Energievoorziening;100 tot 500 werkzame personen;0.3;77.1;45.08;37.71;1711.0
39;D Energievoorziening;500 of meer werkzame personen;1.6;85.0;50.08;41.63;1697.0
40;E Waterbedrijven en afvalbeheer;Totaal werkzame personen;1.9;63.0;33.7;29.35;1869.0
41;E Waterbedrijven en afvalbeheer;1 tot 10 werkzame personen;;;;;
42;E Waterbedrijven en afvalbeheer;10 tot 100 werkzame personen;;;;;
43;E Waterbedrijven en afvalbeheer;100 tot 500 werkzame personen;0.7;62.7;33.4;29.12;1879.0
44;E Waterbedrijven en afvalbeheer;500 of meer werkzame personen;;;;;
45;F Bouwnijverheid;Totaal werkzame personen;16.8;62.0;34.39;29.31;1802.0
46;F Bouwnijverheid;1 tot 10 werkzame personen;2.7;51.4;28.9;24.9;1777.0
47;F Bouwnijverheid;10 tot 100 werkzame personen;6.4;58.7;32.88;27.93;1786.0
48;F Bouwnijverheid;100 tot 500 werkzame personen;3.1;65.5;35.84;30.54;1828.0
49;F Bouwnijverheid;500 of meer werkzame personen;4.7;73.7;40.23;34.16;1831.0
50;G-I Handel, vervoer en horeca;Totaal werkzame personen;69.1;50.0;28.03;24.08;1782.0
51;G-I Handel, vervoer en horeca;1 tot 10 werkzame personen;;;;;
52;G-I Handel, vervoer en horeca;10 tot 100 werkzame personen;;;;;
53;G-I Handel, vervoer en horeca;100 tot 500 werkzame personen;;;;;
54;G-I Handel, vervoer en horeca;500 of meer werkzame personen;;;;;
55;G-N Commerciële dienstverlening;Totaal werkzame personen;169.3;57.2;32.26;27.78;1772.0
56;G-N Commerciële dienstverlening;1 tot 10 werkzame personen;;;;;
57;G-N Commerciële dienstverlening;10 tot 100 werkzame personen;;;;;
58;G-N Commerciële dienstverlening;100 tot 500 werkzame personen;;;;;
59;G-N Commerciële dienstverlening;500 of meer werkzame personen;;;;;
60;G Handel;Totaal werkzame personen;44.8;50.6;28.61;24.67;1767.0
61;G Handel;1 tot 10 werkzame personen;8.1;45.5;25.95;22.48;1754.0
