ID;DecentraleOverheden;BegrootEMUSaldo2015_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2017_5
0;Totaal decentrale overheden;-5778;-3413;-2816.0;-597.0;-1585
1;Provincies;-1898;-1237;;;-620
2;Gemeenten;-3327;-1818;;;-597
3;Gemeenten: minder dan 20 000 inwoners;-238;26;;;76
4;Gemeenten:   20 000 -   50 000 inwoners;-677;-39;;;312
5;Gemeenten:   50 000 - 100 000 inwoners;-404;-35;;;99
6;Gemeenten: 100 000 - 150 000 inwoners;-664;-240;;;-151
7;Gemeenten: 150 000 - 250 000 inwoners;-457;-395;;;-235
8;Gemeenten: meer dan 250 000 inwoners;-887;-1135;;;-700
9;Waterschappen;-453;-313;;;-366
10;Gemeenschappelijke regelingen;-100;-45;;;-2
