ID;Perioden;TotaalBedrijfsopbrengsten_1;Omroepbijdragen_2;Reclamegelden_3;RentebatenAlgemeneReserve_4;OnttrekkingUitReserve_5;NadeligSaldo_6;TotaalBedrijfslasten_7;PTTKosten_8;CommissariaatVoorDeMediaED_9;DepartementaalMediabeleid_10;TotaalBestedingen_11;NOSNOBRegionaleEnWereldomroep_12;GroteZendgemachtigden_13;NOTTeleacSterReclameraadEnRVD_14;OverigeZendgemachtigden_15;AfdrachtUitgeversPersorganen_16;DotatieAanReservesEnFondsen_17;BatigSaldo_18
0;1984;483;324;128;18;0;13;483;17;1;0;444;292;134;9;10;0;21;0
1;1985;486;329;139;18;0;0;486;17;1;0;443;276;149;9;10;0;15;11
2;1986;503;336;151;16;0;0;503;17;1;0;450;282;148;10;10;0;21;14
3;1987;513;344;83;16;4;66;513;18;1;0;468;299;148;10;11;0;25;0
4;1988;619;348;202;11;58;0;619;19;4;0;528;250;236;26;16;13;20;36
5;1989;609;370;222;12;5;0;609;19;2;0;527;240;246;27;14;18;9;34
6;1990;608;382;212;13;0;0;608;19;3;6;540;246;251;29;14;15;18;7
7;1991;609;396;172;11;4;26;609;22;3;9;560;255;259;32;15;0;14;0
8;1992;670;445;212;11;2;0;670;24;3;10;602;275;275;34;18;0;14;17
9;1993;695;472;212;11;0;0;695;27;3;9;605;266;286;34;18;0;13;38
10;1994;741;493;238;10;0;0;741;27;3;8;619;273;291;36;18;0;14;71
11;1995;741;506;222;13;0;0;741;38;3;10;670;257;354;39;20;0;13;6
12;1996;766;535;174;11;0;44;766;44;3;12;655;232;355;44;23;0;52;0
