ID;RegioS;Geslacht;Leeftijd;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal mannen en vrouwen;Totaal leeftijd;11389.3;18.6
1;Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;1157.3;8.8
2;Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;4132.0;19.7
3;Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;3765.1;21.9
4;Nederland;Totaal mannen en vrouwen;65 jaar en ouder;2335.0;16.4
5;Nederland;Man;Totaal leeftijd;5924.7;22.9
6;Nederland;Man;15 tot 25 jaar;593.2;9.3
7;Nederland;Man;25 tot 45 jaar;2188.4;23.4
8;Nederland;Man;45 tot 65 jaar;2134.9;27.3
9;Nederland;Man;65 jaar en ouder;1008.3;20.7
10;Nederland;Vrouw;Totaal leeftijd;5464.6;14.0
11;Nederland;Vrouw;15 tot 25 jaar;564.1;8.2
12;Nederland;Vrouw;25 tot 45 jaar;1943.6;15.5
13;Nederland;Vrouw;45 tot 65 jaar;1630.2;14.8
14;Nederland;Vrouw;65 jaar en ouder;1326.7;13.2
15;Noord-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;1183.2;17.2
16;Noord-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;117.9;8.5
17;Noord-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;409.4;17.9
18;Noord-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;394.3;20.3
19;Noord-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;261.6;15.4
20;Noord-Nederland (LD);Man;Totaal leeftijd;622.7;21.0
21;Noord-Nederland (LD);Man;15 tot 25 jaar;60.5;9.2
22;Noord-Nederland (LD);Man;25 tot 45 jaar;219.6;21.2
23;Noord-Nederland (LD);Man;45 tot 65 jaar;228.5;24.8
24;Noord-Nederland (LD);Man;65 jaar en ouder;114.2;19.4
25;Noord-Nederland (LD);Vrouw;Totaal leeftijd;560.5;13.0
26;Noord-Nederland (LD);Vrouw;15 tot 25 jaar;57.4;7.8
27;Noord-Nederland (LD);Vrouw;25 tot 45 jaar;189.8;14.2
28;Noord-Nederland (LD);Vrouw;45 tot 65 jaar;165.8;14.1
29;Noord-Nederland (LD);Vrouw;65 jaar en ouder;147.5;12.4
30;Oost-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2388.2;18.0
31;Oost-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;257.2;8.7
32;Oost-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;869.3;18.9
33;Oost-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;783.8;21.2
34;Oost-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;478.0;16.0
35;Oost-Nederland (LD);Man;Totaal leeftijd;1254.2;22.2
36;Oost-Nederland (LD);Man;15 tot 25 jaar;133.5;9.4
37;Oost-Nederland (LD);Man;25 tot 45 jaar;465.1;22.8
38;Oost-Nederland (LD);Man;45 tot 65 jaar;448.9;26.4
39;Oost-Nederland (LD);Man;65 jaar en ouder;206.6;20.3
40;Oost-Nederland (LD);Vrouw;Totaal leeftijd;1134.0;13.2
41;Oost-Nederland (LD);Vrouw;15 tot 25 jaar;123.7;8.0
42;Oost-Nederland (LD);Vrouw;25 tot 45 jaar;404.1;14.4
43;Oost-Nederland (LD);Vrouw;45 tot 65 jaar;334.8;14.1
44;Oost-Nederland (LD);Vrouw;65 jaar en ouder;271.4;12.8
45;West-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;5306.0;19.5
46;West-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;531.5;9.0
47;West-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;1979.3;20.6
48;West-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;1732.6;22.9
49;West-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;1062.6;17.1
50;West-Nederland (LD);Man;Totaal leeftijd;2726.4;23.9
51;West-Nederland (LD);Man;15 tot 25 jaar;269.3;9.5
52;West-Nederland (LD);Man;25 tot 45 jaar;1038.5;24.3
53;West-Nederland (LD);Man;45 tot 65 jaar;964.8;28.6
54;West-Nederland (LD);Man;65 jaar en ouder;453.7;21.7
55;West-Nederland (LD);Vrouw;Totaal leeftijd;2579.6;14.8
56;West-Nederland (LD);Vrouw;15 tot 25 jaar;262.2;8.5
57;West-Nederland (LD);Vrouw;25 tot 45 jaar;940.8;16.5
58;West-Nederland (LD);Vrouw;45 tot 65 jaar;767.8;15.8
59;West-Nederland (LD);Vrouw;65 jaar en ouder;608.9;13.8
60;Zuid-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2511.9;18.1
61;Zuid-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;250.8;8.5
62;Zuid-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;874.1;19.1
63;Zuid-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;854.4;21.1
64;Zuid-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;532.7;15.9
65;Zuid-Nederland (LD);Man;Totaal leeftijd;1321.4;22.4
66;Zuid-Nederland (LD);Man;15 tot 25 jaar;129.8;9.1
67;Zuid-Nederland (LD);Man;25 tot 45 jaar;465.2;23.0
68;Zuid-Nederland (LD);Man;45 tot 65 jaar;492.6;26.5
