ID;Perioden;Totaal_1;WerkzameWSWErs_2;WerkzamePersonenOverigPersoneel_3;ArbeidsvolumeWerkzamePersonen_4;Totaal_5;WSWErsOpDeLoonlijst_6;OverigPersoneelOpDeLoonlijst_7;ArbeidsvolumeWerknemers_8;TotaleBedrijfsopbrengsten_9;NettoOmzetTotaal_10;OmzetUitIndustrieleProductieTotaal_11;ReparatieEnOnderhoud_12;AssemblageMontageEnVerpakken_13;OverigeIndustrieleProductie_14;OmzetUitDienstverleningTotaal_15;GroenonderhoudAanlegEnKwekerijen_16;Schoonmaak_17;DetacheringWSWErs_18;DetacheringOvGesubsidieerdPersoneel_19;Reintegratieactiviteiten_20;OverigeDienstverlening_21;Handelsomzet_22;TotaalOverigeBedrijfsopbrengsten_23;VergoedingOverigUitgeleendPersoneel_24;Rijksvergoeding_25;GemeentelijkeBijdragen_26;Loonkostensubsidies_27;EigenBijdrageVervoerskostenWSWWerkn_28;OverigeOpbrengstenNietEerderGenoemd_29;TotaleBedrijfslasten_30;TotaleInkoopwaardeOmzet_31;InkoopwaardeGrondEnHulpstoffen_32;InkoopwaardeHandelsgoederen_33;TotaleOverigeInkoopwaarde_34;KostenUitbesteedWerk_35;NietEerderGenoemdeInkoopwaarde_36;TotalePersoneleKosten_37;LonenEnSalarissenTotaal_38;LonenEnSalarissenWSWPersoneel_39;LonenEnSalarissenOvPersoneel_40;SocialeLastenTotaal_41;SocialeLastenWSWPersoneel_42;OverigeSocialeLastenOverigPersoneel_43;SocialeVerzekeringspremiesWerkgever_44;PremiesPensioenVUTInkoopsommen_45;OverigeSocialeLasten_46;OverigePersoneleKostenTotaal_47;BetaaldeBedragenAanUitzendbedrijven_48;KostenOverigIngehuurdPersoneel_49;KostenVoorStudieEnOpleiding_50;VervoerskostenWSWWerknemers_51;OverigePersoneelskostenNEG_52;TotaleOverigeBedrijfslasten_53;Energiekosten_54;Huisvestingskosten_55;KostenApparatuurEnInventaris_56;KostenVervoermiddelen_57;Verkoopkosten_58;Communicatiekosten_59;KostenVanDienstverleningDoorDerden_60;NietEerderGenoemdeBedrijfslasten_61;AfschrijvingenOpVasteActiva_62;Bedrijfsresultaat_63;SaldoFinancieleBatenEnLasten_64;SaldoVoorzieningen_65;SaldoBuitengewoneBatenEnLasten_66;ResultaatVoorBelastingen_67
0;2006;94.6;80.9;13.6;84.8;108.5;96.3;12.2;96.8;3714;1286;529;20;270;239;723;339;58;163;11;59;91;35;2428;6;2224;83;49;15;51;3698;348;272;20;55;53;2;2974;2225;1776;449;563;473;90;298;250;16;186;29;26;15;56;60;289;33;53;37;28;12;12;29;86;87;17;-24;5;1;-2
1;2007;96.9;79.7;17.3;84.0;108.7;96.5;12.2;96.1;3813;1337;478;22;268;188;818;359;63;182;12;105;97;41;2476;6;2279;115;15;13;48;3734;341;264;18;59;57;1;3005;2242;1832;410;554;466;88;294;248;11;210;42;28;18;57;65;309;32;62;33;35;12;12;40;83;79;79;-20;-8;-1;50
2;2008;97.6;79.5;18.1;83.7;110.8;97.9;12.9;97.7;3891;1329;422;17;252;153;884;376;66;203;15;111;112;23;2562;4;2368;115;21;14;40;3803;304;231;9;64;63;1;3111;2304;1873;430;565;478;87;310;246;9;242;55;33;22;58;75;308;33;64;34;39;13;13;38;76;79;88;-12;-15;-5;56
