ID;Geslacht;Leeftijd;Perioden;TotaalAantalWIJUitkeringen_1;Alleenstaande_2;AlleenstaandeOuder_3;EchtPaar_4;DuurKorterDanEenJaar_5;DuurVanEenJaarOfLanger_6
0;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2009 oktober;330;270;60;10;330;0
1;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2009 november;1550;1240;250;50;1550;0
2;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2009 december;3650;2930;580;120;3650;0
3;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 januari;6110;4930;930;220;6110;0
4;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 februari;8760;7080;1320;310;8760;0
5;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 maart;11820;9530;1800;410;11820;0
6;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 april;14430;11580;2300;450;14430;0
7;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 mei;16210;12870;2740;490;16210;0
8;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 juni;18590;14380;3510;560;18590;0
9;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 juli;33970;22970;9660;1060;33970;0
10;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 augustus;33970;22850;9740;1080;33970;0
11;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 september;33330;22300;9670;1040;33200;140
12;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 oktober;33340;22280;9680;1030;32360;980
13;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 november;33720;22560;9790;1060;31690;2030
14;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2010 december;34440;23160;9840;1070;31400;3040
15;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 januari;35010;23740;9870;1080;30820;4190
16;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 februari;35800;24410;9930;1110;30490;5310
17;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 maart;36500;25020;9990;1120;30270;6240
18;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 april;37110;25520;10080;1120;30050;7070
19;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 mei;37220;25550;10160;1110;28950;8270
20;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 juni;37130;25430;10220;1110;22460;14670
21;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 juli;36390;24780;10150;1100;21730;14650
22;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 augustus;35290;23890;9980;1050;20450;14850
23;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 september;33660;22770;9410;1000;18980;14680
24;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 oktober;33060;22300;9350;1000;18540;14520
25;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 november;33060;22310;9350;990;18400;14660
26;Totaal mannen en vrouwen;Totaal (jonger dan 27 jaar);2011 december;33370;22660;9340;960;18900;14470
27;Totaal mannen en vrouwen;18 tot 21 jaar;2009 oktober;80;70;10;0;80;0
28;Totaal mannen en vrouwen;18 tot 21 jaar;2009 november;360;320;40;0;360;0
29;Totaal mannen en vrouwen;18 tot 21 jaar;2009 december;830;730;90;0;830;0
30;Totaal mannen en vrouwen;18 tot 21 jaar;2010 januari;1340;1200;140;10;1340;0
31;Totaal mannen en vrouwen;18 tot 21 jaar;2010 februari;1950;1740;190;20;1950;0
32;Totaal mannen en vrouwen;18 tot 21 jaar;2010 maart;2600;2320;260;20;2600;0
33;Totaal mannen en vrouwen;18 tot 21 jaar;2010 april;3110;2760;320;30;3110;0
34;Totaal mannen en vrouwen;18 tot 21 jaar;2010 mei;3280;2890;360;20;3280;0
35;Totaal mannen en vrouwen;18 tot 21 jaar;2010 juni;3600;3090;470;30;3600;0
36;Totaal mannen en vrouwen;18 tot 21 jaar;2010 juli;4920;3930;920;40;4920;0
37;Totaal mannen en vrouwen;18 tot 21 jaar;2010 augustus;4850;3890;900;50;4850;0
38;Totaal mannen en vrouwen;18 tot 21 jaar;2010 september;4650;3690;900;40;4630;10
39;Totaal mannen en vrouwen;18 tot 21 jaar;2010 oktober;4600;3660;880;40;4440;150
40;Totaal mannen en vrouwen;18 tot 21 jaar;2010 november;4740;3790;890;40;4460;280
41;Totaal mannen en vrouwen;18 tot 21 jaar;2010 december;4840;3930;870;40;4480;360
42;Totaal mannen en vrouwen;18 tot 21 jaar;2011 januari;4920;4010;860;40;4410;520
43;Totaal mannen en vrouwen;18 tot 21 jaar;2011 februari;5090;4180;860;30;4490;600
44;Totaal mannen en vrouwen;18 tot 21 jaar;2011 maart;5270;4320;900;30;4590;680
45;Totaal mannen en vrouwen;18 tot 21 jaar;2011 april;5350;4380;920;30;4610;740
46;Totaal mannen en vrouwen;18 tot 21 jaar;2011 mei;5290;4310;930;30;4480;800
47;Totaal mannen en vrouwen;18 tot 21 jaar;2011 juni;5210;4240;920;30;4150;1060
48;Totaal mannen en vrouwen;18 tot 21 jaar;2011 juli;5060;4080;920;40;3990;1080
49;Totaal mannen en vrouwen;18 tot 21 jaar;2011 augustus;4780;3850;870;40;3680;1100
