ID;RegioS;Perioden;TotaalUitgesprokenSchuldsaneringen_1;DirectDefinitief_2;NaVoorafgaandeVoorlopigeToepassing_3;NatuurlijkePersonenTotaal_4;NatuurlijkePersonenMetBedrijf_5;NatuurlijkePersonenZonderBedrijf_6;TotaalUitgesprokenSchuldsaneringen_7;TotaalBeeindigd_8;BeeindigdDoorSchoneLei_9;BeeindigdDoorAkkoord_10;BeeindigdDoorFaillissement_11;OverigeBeeindigingen_12;NogNietBeeindigd_13;TotaalUitgesprokenSchuldsaneringen_14;JongerDan25Jaar_15;k_25Tot35Jaar_16;k_35Tot45Jaar_17;k_45Tot55Jaar_18;k_55Tot65Jaar_19;k_65JaarEnOuder_20;Onbekend_21
0;Nederland;1999 1e kwartaal;949;868;81.0;949;322;627;949;949;640;102;156;51;0;949;42;292;318;224;59;13;1
1;Nederland;1999 2e kwartaal;1479;1425;54.0;1479;354;1125;1479;1479;1049;120;223;87;0;1479;86;457;523;302;94;16;1
2;Nederland;1999 3e kwartaal;1829;1773;56.0;1829;355;1474;1829;1829;1281;114;296;138;0;1829;97;585;610;367;142;27;1
3;Nederland;1999 4e kwartaal;2126;2032;94.0;2126;316;1810;2126;2126;1480;124;350;172;0;2126;129;721;696;414;138;28;0
4;Nederland;1999;6383;6098;285.0;6383;1347;5036;6383;6383;4450;460;1025;448;0;6383;354;2055;2147;1307;433;84;3
5;Nederland;2000 1e kwartaal;2258;2175;83.0;2258;319;1939;2258;2258;1636;106;340;176;0;2258;125;747;760;461;129;36;0
6;Nederland;2000 2e kwartaal;2038;1970;68.0;2038;248;1790;2038;2038;1496;74;285;183;0;2038;131;706;642;398;136;25;0
7;Nederland;2000 3e kwartaal;2146;2046;100.0;2146;252;1894;2146;2146;1599;78;301;168;0;2146;130;680;733;412;159;32;0
8;Nederland;2000 4e kwartaal;2226;2137;89.0;2226;315;1911;2226;2226;1552;89;352;233;0;2226;139;762;737;417;139;32;0
9;Nederland;2000;8668;8328;340.0;8668;1134;7534;8668;8668;6283;347;1278;760;0;8668;525;2895;2872;1688;563;125;0
10;Nederland;2001 1e kwartaal;2155;2059;96.0;2155;450;1705;2155;2155;1471;77;350;257;0;2155;137;723;723;396;142;34;0
11;Nederland;2001 2e kwartaal;2173;2091;82.0;2173;384;1789;2173;2173;1541;57;349;226;0;2173;144;719;725;428;133;24;0
12;Nederland;2001 3e kwartaal;2114;2007;107.0;2114;364;1750;2114;2114;1467;51;319;277;0;2114;147;643;693;446;158;27;0
13;Nederland;2001 4e kwartaal;2228;2103;125.0;2228;366;1862;2228;2228;1566;63;344;255;0;2228;167;763;713;411;143;31;0
14;Nederland;2001;8670;8260;410.0;8670;1564;7106;8670;8670;6045;248;1362;1015;0;8670;595;2848;2854;1681;576;116;0
15;Nederland;2002 1e kwartaal;2185;2056;129.0;2185;340;1845;2185;2185;1514;44;363;264;0;2185;186;744;719;375;126;35;0
16;Nederland;2002 2e kwartaal;2263;2130;133.0;2263;360;1903;2263;2263;1537;40;389;297;0;2263;168;747;756;397;166;29;0
17;Nederland;2002 3e kwartaal;2515;2377;138.0;2515;444;2071;2515;2515;1736;46;421;312;0;2515;168;807;836;479;194;31;0
