ID;Geslacht;Persoonskenmerken;Perioden;Nooit_1;Totaal_2;MinderDan1XPerKwartaal_3;k_1XPerKwartaalOfVaker_4;Nooit_5;Totaal_6;MinderDan1XPerKwartaal_7;k_1XPerKwartaalOfVaker_8;Nooit_9;Totaal_10;MinderDan1XPerKwartaal_11;k_1XPerKwartaalOfVaker_12;Nooit_13;Minstens1XPerJaar_14;Nooit_15;Totaal_16;MinderDan1XPerKwartaal_17;k_1XPerKwartaalOfVaker_18;Nooit_19;Totaal_20;MinderDan1XPerKwartaal_21;k_1XPerKwartaalOfVaker_22;Nooit_23;Totaal_24;MinderDan1XPerKwartaal_25;k_1XPerKwartaalOfVaker_26;Nooit_27;Minstens1XPerJaar_28;Nooit_29;Minstens1XPerJaar_30;Nooit_31;Totaal_32;MinderDan1XPerKwartaal_33;k_1XPerKwartaalOfVaker_34;Nooit_35;Totaal_36;MinderDan1XPerKwartaal_37;k_1XPerKwartaalOfVaker_38;Nooit_39;Minstens1XPerJaar_40;Nooit_41;Totaal_42;MinderDan1XPerKwartaal_43;k_1XPerKwartaalOfVaker_44;Nooit_45;Totaal_46;MinderDan1XPerKwartaal_47;k_1XPerKwartaalOfVaker_48;Nooit_49;Totaal_50;MinderDan1XPerKwartaal_51;k_1XPerKwartaalOfVaker_52;Nooit_53;Totaal_54;MinderDan1XPerKwartaal_55;k_1XPerKwartaalOfVaker_56;Nooit_57;Totaal_58;MinderDan1XPerKwartaal_59;k_1XPerKwartaalOfVaker_60;Nooit_61;Minstens1XPerJaar_62;Nooit_63;Minstens1XPerJaar_64;Nooit_65;Minstens1XPerJaar_66;Nooit_67;Minstens1XPerJaar_68;Nooit_69;Minstens1XPerJaar_70;Nooit_71;Minstens1XPerJaar_72;BezitMuseumJaarKaart_73
0;1100;Totaal personen;1983;77.0;23.0;20.0;4.0;87.0;13.0;10.0;2.0;89.0;11.0;10.0;1.0;;;;;;;;;;;87.0;13.0;10.0;3.0;;;;;82.0;18.0;15.0;3.0;96.0;4.0;4.0;0.0;;;53.0;47.0;31.0;16.0;94.0;6.0;5.0;2.0;52.0;48.0;31.0;17.0;;;;;65.0;35.0;30.0;5.0;;;;;;;;;;;;;3.0
1;1100;Totaal personen;1987;76.0;24.0;20.0;4.0;87.0;13.0;10.0;3.0;89.0;11.0;10.0;1.0;;;87.0;13.0;10.0;3.0;95.0;5.0;5.0;0.0;85.0;15.0;12.0;3.0;;;;;79.0;21.0;17.0;4.0;95.0;5.0;4.0;0.0;;;56.0;44.0;29.0;15.0;94.0;6.0;4.0;2.0;55.0;45.0;30.0;15.0;;;;;61.0;39.0;33.0;7.0;;;;;;;;;;;;;3.0
2;1100;Totaal personen;1991;75.0;25.0;22.0;4.0;87.0;13.0;11.0;3.0;89.0;11.0;10.0;1.0;;;86.0;14.0;11.0;3.0;95.0;5.0;5.0;0.0;84.0;16.0;13.0;3.0;;;;;76.0;24.0;21.0;4.0;96.0;4.0;4.0;1.0;;;55.0;45.0;29.0;16.0;94.0;6.0;4.0;2.0;54.0;46.0;29.0;16.0;79.0;21.0;18.0;3.0;59.0;41.0;35.0;6.0;;;;;;;;;;;;;13.0
3;1100;Totaal personen;1995;74.0;26.0;21.0;4.0;86.0;14.0;11.0;2.0;89.0;11.0;10.0;1.0;;;87.0;13.0;10.0;3.0;92.0;8.0;7.0;0.0;83.0;17.0;14.0;3.0;;;;;75.0;25.0;21.0;4.0;96.0;4.0;4.0;0.0;;;52.0;48.0;31.0;17.0;94.0;6.0;4.0;2.0;51.0;49.0;32.0;17.0;80.0;20.0;16.0;3.0;65.0;35.0;29.0;6.0;80.0;20.0;94.0;6.0;83.0;17.0;92.0;8.0;89.0;11.0;88.0;12.0;10.0
4;1100;Totaal personen;1999;72.0;28.0;23.0;4.0;84.0;16.0;14.0;3.0;86.0;14.0;12.0;2.0;89.0;11.0;87.0;13.0;10.0;3.0;95.0;5.0;5.0;0.0;85.0;15.0;12.0;3.0;81.0;19.0;96.0;4.0;72.0;28.0;24.0;4.0;96.0;4.0;4.0;0.0;92.0;8.0;47.0;53.0;34.0;19.0;94.0;6.0;4.0;2.0;46.0;54.0;35.0;19.0;82.0;18.0;15.0;3.0;63.0;37.0;31.0;6.0;;;;;;;;;;;;;24.0
5;1100;Totaal personen;2003;74.0;26.0;22.0;4.0;86.0;14.0;12.0;2.0;86.0;14.0;12.0;2.0;84.0;16.0;88.0;12.0;9.0;3.0;95.0;5.0;4.0;1.0;86.0;14.0;11.0;3.0;79.0;21.0;96.0;4.0;69.0;31.0;27.0;4.0;95.0;5.0;4.0;1.0;91.0;9.0;44.0;56.0;33.0;22.0;91.0;9.0;6.0;3.0;43.0;57.0;34.0;23.0;81.0;19.0;16.0;3.0;62.0;38.0;32.0;6.0;79.0;21.0;93.0;7.0;80.0;20.0;91.0;9.0;87.0;13.0;86.0;14.0;26.0
6;1100;Totaal personen;2007;72.0;28.0;23.0;4.0;86.0;14.0;12.0;2.0;85.0;15.0;13.0;2.0;85.0;15.0;87.0;13.0;10.0;3.0;96.0;4.0;3.0;0.0;86.0;14.0;11.0;3.0;76.0;24.0;94.0;6.0;66.0;34.0;29.0;6.0;95.0;5.0;4.0;1.0;91.0;9.0;45.0;55.0;35.0;21.0;90.0;10.0;7.0;3.0;44.0;56.0;35.0;21.0;79.0;21.0;17.0;4.0;59.0;41.0;34.0;8.0;77.0;23.0;92.0;8.0;80.0;20.0;91.0;9.0;87.0;13.0;82.0;18.0;7.0
7;1100;13;1983;76.0;24.0;22.0;2.0;92.0;8.0;7.0;1.0;96.0;4.0;4.0;0.0;;;;;;;;;;;94.0;6.0;5.0;1.0;;;;;81.0;19.0;17.0;2.0;94.0;6.0;5.0;0.0;;;35.0;65.0;47.0;17.0;88.0;12.0;10.0;3.0;32.0;68.0;50.0;19.0;;;;;53.0;47.0;42.0;5.0;;;;;;;;;;;;;2.0
8;1100;13;1987;74.0;26.0;24.0;2.0;90.0;10.0;9.0;1.0;96.0;4.0;3.0;0.0;;;94.0;6.0;6.0;1.0;99.0;1.0;1.0;0.0;93.0;7.0;7.0;1.0;;;;;83.0;17.0;16.0;2.0;94.0;6.0;6.0;0.0;;;42.0;58.0;42.0;16.0;91.0;9.0;7.0;2.0;40.0;60.0;43.0;17.0;;;;;49.0;51.0;45.0;6.0;;;;;;;;;;;;;2.0
9;1100;13;1991;69.0;31.0;28.0;3.0;89.0;11.0;10.0;1.0;96.0;4.0;3.0;0.0;;;93.0;7.0;6.0;1.0;98.0;2.0;2.0;0.0;92.0;8.0;7.0;1.0;;;;;82.0;18.0;16.0;2.0;97.0;3.0;3.0;0.0;;;35.0;65.0;46.0;18.0;92.0;8.0;7.0;2.0;34.0;66.0;47.0;19.0;88.0;12.0;11.0;1.0;49.0;51.0;45.0;5.0;;;;;;;;;;;;;2.0
