ID;KenmerkenHuishouden;AantalKinderen;Perioden;Paren_1;BeidePartnersWerkzaam_2;BeidePartnersVoltijd_3;EenPartnerVoltijdEenDeeltijd_4;ManVoltijdPartnerDeeltijd_5;VrouwVoltijdPartnerDeeltijd_6;VoltijdPartner20Tot35Uur_7;ManVoltijdPartner20Tot35Uur_8;VrouwVoltijdPartner20Tot35Uur_9;VoltijdPartner12Tot20Uur_10;ManVoltijdPartner12Tot20Uur_11;VrouwVoltijdPartner12Tot20Uur_12;VoltijdPartner12Uur_13;ManVoltijdPartner12Uur_14;VrouwVoltijdPartner12Uur_15;BeidePartnersDeeltijd_16;BeidePartners20Tot35Uur_17;k_20Tot35UurPartner12Tot20Uur_18;Man20Tot35UurPartner12Tot20_19;Vrouw20Tot35UurPartner12Tot20_20;k_20Tot35UurPartner12Uur_21;Man20Tot35UurPartner12Uur_22;Vrouw20Tot35UurPartner12Uur_23;BeidePartners12Tot20Uur_24;k_12Tot20UurPartner12Uur_25;Man12Tot20UurPartner12Uur_26;Vrouw12Tot20UurPartner12Uur_27;BeidePartners12Uur_28;EenVanDePartnersWerkzaam_29;ManWerkzaamPartnerNiet_30;VrouwWerkzaamPartnerNiet_31;VoltijdWerkzaamPartnerNiet_32;ManVoltijdWerkzaamPartnerNiet_33;VrouwVoltijdWerkzaamPartnerNiet_34;DeeltijdWerkzaamPartnerNiet_35;ManDeeltijdWerkzaamPartnerNiet_36;VrouwDeeltijdWerkzaamPartnerNiet_37;k_20Tot35UurWerkzaamPartnerNiet_38;Man20Tot35UurPartnerNiet_39;Vrouw20Tot35UurPartnerNiet_40;k_12Tot20UurWerkzaamPartnerNiet_41;Man12Tot20UurPartnerNiet_42;Vrouw12Tot20UurPartnerNiet_43;k_12UurWerkzaamPartnerNiet_44;Man12UurWerkzaamPartnerNiet_45;Vrouw12UurWerkzaamPartnerNiet_46;BeidePartnersNietWerkzaam_47
0;Totaal ;Totaal ;2003 1e kwartaal;3978.0;2157.0;431.0;1518.0;1461.0;57.0;885.0;843.0;41.0;387.0;379.0;8.0;246.0;239.0;8.0;208.0;122.0;39.0;31.0;8.0;28.0;19.0;9.0;2.0;8.0;3.0;5.0;9.0;1111.0;906.0;205.0;825.0;776.0;48.0;287.0;130.0;157.0;157.0;73.0;85.0;54.0;19.0;35.0;75.0;38.0;38.0;709.0
1;Totaal ;Totaal ;2003 2e kwartaal;3998.0;2161.0;420.0;1530.0;1473.0;57.0;886.0;841.0;45.0;396.0;392.0;5.0;248.0;240.0;7.0;212.0;123.0;42.0;33.0;9.0;27.0;19.0;8.0;2.0;10.0;3.0;6.0;8.0;1119.0;906.0;213.0;828.0;773.0;55.0;291.0;134.0;158.0;163.0;75.0;88.0;53.0;19.0;34.0;75.0;40.0;35.0;717.0
2;Totaal ;Totaal ;2003 3e kwartaal;3981.0;2149.0;415.0;1519.0;1457.0;62.0;880.0;832.0;48.0;390.0;385.0;6.0;249.0;240.0;9.0;215.0;126.0;42.0;34.0;8.0;29.0;21.0;8.0;2.0;9.0;3.0;6.0;8.0;1124.0;903.0;222.0;829.0;769.0;61.0;295.0;134.0;161.0;170.0;81.0;89.0;53.0;18.0;35.0;71.0;35.0;36.0;708.0
3;Totaal ;Totaal ;2003 4e kwartaal;3977.0;2157.0;414.0;1521.0;1461.0;60.0;880.0;834.0;47.0;393.0;387.0;6.0;247.0;240.0;7.0;222.0;127.0;45.0;34.0;11.0;31.0;19.0;12.0;3.0;10.0;3.0;7.0;6.0;1113.0;884.0;228.0;811.0;754.0;58.0;301.0;131.0;170.0;174.0;78.0;96.0;51.0;17.0;35.0;76.0;36.0;40.0;708.0
4;Totaal ;Totaal ;2003;3983.0;2156.0;420.0;1522.0;1463.0;59.0;883.0;838.0;45.0;392.0;386.0;6.0;248.0;240.0;8.0;214.0;124.0;42.0;33.0;9.0;29.0;19.0;10.0;2.0;9.0;3.0;6.0;8.0;1117.0;900.0;217.0;823.0;768.0;55.0;293.0;132.0;161.0;166.0;77.0;89.0;53.0;18.0;35.0;74.0;37.0;37.0;710.0
5;Totaal ;Totaal ;2004 1e kwartaal;3985.0;2141.0;396.0;1521.0;1466.0;55.0;883.0;841.0;41.0;392.0;387.0;5.0;246.0;237.0;9.0;224.0;126.0;44.0;34.0;9.0;36.0;22.0;14.0;3.0;9.0;4.0;5.0;6.0;1126.0;897.0;230.0;831.0;768.0;63.0;296.0;129.0;167.0;173.0;77.0;96.0;49.0;17.0;31.0;74.0;35.0;39.0;718.0
6;Totaal ;Totaal ;2004 2e kwartaal;3978.0;2155.0;403.0;1527.0;1473.0;54.0;892.0;853.0;39.0;393.0;387.0;6.0;242.0;233.0;9.0;225.0;131.0;43.0;33.0;10.0;35.0;20.0;15.0;3.0;7.0;4.0;4.0;5.0;1111.0;880.0;231.0;809.0;747.0;61.0;303.0;133.0;170.0;172.0;76.0;95.0;58.0;21.0;37.0;74.0;36.0;38.0;712.0
7;Totaal ;Totaal ;2004 3e kwartaal;3967.0;2142.0;405.0;1518.0;1461.0;57.0;876.0;835.0;42.0;403.0;397.0;7.0;239.0;230.0;9.0;218.0;128.0;40.0;30.0;11.0;31.0;18.0;13.0;5.0;7.0;4.0;4.0;7.0;1119.0;884.0;235.0;812.0;752.0;61.0;307.0;133.0;174.0;177.0;78.0;99.0;52.0;19.0;34.0;78.0;36.0;42.0;706.0
8;Totaal ;Totaal ;2004 4e kwartaal;3968.0;2158.0;407.0;1537.0;1477.0;60.0;892.0;848.0;44.0;398.0;391.0;7.0;247.0;238.0;9.0;214.0;116.0;44.0;31.0;13.0;31.0;19.0;12.0;5.0;9.0;5.0;4.0;8.0;1089.0;859.0;230.0;785.0;725.0;60.0;304.0;134.0;170.0;174.0;77.0;97.0;55.0;20.0;35.0;75.0;38.0;37.0;721.0
9;Totaal ;Totaal ;2004;3975.0;2149.0;403.0;1526.0;1469.0;56.0;886.0;844.0;42.0;397.0;391.0;6.0;243.0;235.0;9.0;220.0;125.0;43.0;32.0;11.0;33.0;20.0;14.0;4.0;8.0;4.0;4.0;7.0;1112.0;880.0;231.0;809.0;748.0;61.0;302.0;132.0;170.0;174.0;77.0;97.0;53.0;19.0;34.0;75.0;36.0;39.0;714.0
