ID;CostComponents;Periods;InputPriceIndices_1;ChangesComparedToOneYearEarlier_2
0;Total building costs;2008 January;97.6;
1;Total building costs;2008 February;97.8;
2;Total building costs;2008 March;97.9;
3;Total building costs;2008 April;98.9;
4;Total building costs;2008 May;99.2;
5;Total building costs;2008 June;99.5;
6;Total building costs;2008 July;100.7;
7;Total building costs;2008 August;100.6;
8;Total building costs;2008 September;100.5;
9;Total building costs;2008 October;100.2;
10;Total building costs;2008 November;99.8;
11;Total building costs;2008 December;99.8;
12;Total building costs;2008;99.4;
13;Total building costs;2009 January;100.5;3.0
14;Total building costs;2009 February;100.6;2.9
15;Total building costs;2009 March;100.6;2.7
16;Total building costs;2009 April;99.9;1.0
17;Total building costs;2009 May;99.9;0.7
18;Total building costs;2009 June;99.8;0.3
19;Total building costs;2009 July;99.4;-1.3
20;Total building costs;2009 August;99.5;-1.1
21;Total building costs;2009 September;99.5;-0.9
22;Total building costs;2009 October;98.8;-1.5
23;Total building costs;2009 November;98.7;-1.1
24;Total building costs;2009 December;98.7;-1.1
25;Total building costs;2009;99.7;0.3
26;Total building costs;2010 January;99.2;-1.3
27;Total building costs;2010 February;99.3;-1.3
28;Total building costs;2010 March;99.6;-0.9
29;Total building costs;2010 April;100.0;0.1
30;Total building costs;2010 May;100.1;0.3
31;Total building costs;2010 June;100.0;0.2
32;Total building costs;2010 July;100.1;0.7
33;Total building costs;2010 August;100.2;0.7
34;Total building costs;2010 September;100.3;0.7
35;Total building costs;2010 October;100.3;1.5
36;Total building costs;2010 November;100.3;1.6
37;Total building costs;2010 December;100.6;1.9
38;Total building costs;2010;100.0;0.3
39;Total building costs;2011 January;101.2;2.0
40;Total building costs;2011 February;101.3;2.0
41;Total building costs;2011 March;101.3;1.6
42;Total building costs;2011 April;101.8;1.8
43;Total building costs;2011 May;101.8;1.7
44;Total building costs;2011 June;101.9;1.9
45;Total building costs;2011 July;102.2;2.1
46;Total building costs;2011 August;102.2;2.0
47;Total building costs;2011 September;102.3;2.0
48;Total building costs;2011 October;102.3;2.0
49;Total building costs;2011 November;102.3;1.9
50;Total building costs;2011 December;102.3;1.7
51;Total building costs;2011;101.9;1.9
52;Total building costs;2012 January;103.1;1.9
53;Total building costs;2012 February;103.4;2.0
54;Total building costs;2012 March;103.4;2.1
55;Total building costs;2012 April;103.7;1.9
56;Total building costs;2012 May;103.7;1.8
57;Total building costs;2012 June;103.7;1.8
58;Total building costs;2012 July;103.8;1.5
59;Total building costs;2012 August;104.1;1.8
60;Total building costs;2012 September;104.1;1.7
61;Total building costs;2012 October;104.0;1.7
62;Total building costs;2012 November;104.0;1.6
63;Total building costs;2012 December;103.9;1.5
64;Total building costs;2012;103.7;1.8
65;Total building costs;2013 January;104.0;0.8
66;Total building costs;2013 February;104.2;0.8
67;Total building costs;2013 March;104.1;0.7
68;Total building costs;2013 April;104.1;0.4
69;Total building costs;2013 May;104.0;0.3
70;Total building costs;2013 June;104.0;0.2
71;Total building costs;2013 July;103.9;0.1
72;Total building costs;2013 August;103.9;-0.2
73;Total building costs;2013 September;103.9;-0.2
74;Total building costs;2013 October;103.7;-0.2
75;Total building costs;2013 November;103.7;-0.2
76;Total building costs;2013 December;103.7;-0.2
77;Total building costs;2013;103.9;0.2
78;Total building costs;2014 January;104.5;0.5
79;Total building costs;2014 February;104.4;0.2
80;Total building costs;2014 March;104.4;0.3
81;Total building costs;2014 April;104.6;0.5
82;Total building costs;2014 May;104.6;0.6
83;Total building costs;2014 June;104.6;0.7
84;Total building costs;2014 July;104.8;0.9
85;Total building costs;2014 August;104.9;1.0
86;Total building costs;2014 September;104.9;1.0
87;Total building costs;2014 October;105.5;1.7
88;Total building costs;2014 November;105.5;1.7
89;Total building costs;2014 December;105.5;1.7
90;Total building costs;2014;104.9;0.9
91;Total building costs;2015 January;105.7;1.1
92;Total building costs;2015 February;105.7;1.3
93;Total building costs;2015 March;105.9;1.5
94;Total building costs;2015 April;106.4;1.7
95;Total building costs;2015 May;106.4;1.7
96;Total building costs;2015 June;106.4;1.6
97;Total building costs;2015 July;107.0;2.1
98;Total building costs;2015 August;106.9;2.0
99;Total building costs;2015 September;106.9;1.9
100;Total building costs;2015 October;108.1;2.5
101;Total building costs;2015 November;108.2;2.6
102;Total building costs;2015 December;108.4;2.7
103;Total building costs;2015;106.8;1.9
104;Total building costs;2016 January;108.6;2.8
105;Total building costs;2016 February;108.6;2.7
106;Total building costs;2016 March;108.7;2.7
107;Total building costs;2016 April;108.2;1.7
108;Total building costs;2016 May;108.3;1.9
109;Total building costs;2016 June;108.5;2.0
