ID;Herkomstgroeperingen;Opleidingsniveau;Beroepsniveau;Perioden;OrganisatiegraadVanWerknemers_1;Mannen15Tot65Jaar_2;Vrouwen15Tot65Jaar_3;k_15Tot25Jaar_4;k_25Tot45Jaar_5;k_45Tot65Jaar_6;LedenVakverenigingTotaal_7;Mannen15Tot65Jaar_8;Vrouwen15Tot65Jaar_9;k_15Tot25Jaar_10;k_25Tot45Jaar_11;k_45Tot65Jaar_12
0;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2000;25.0;30.0;19.0;11.0;23.0;37.0;1553.2;1069.7;483.5;86.8;816.4;650.0
1;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2001;25.0;29.0;19.0;11.0;22.0;36.0;1537.6;1053.7;483.9;87.3;777.5;672.7
2;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2002;25.0;29.0;19.0;10.0;21.0;37.0;1543.6;1049.4;494.2;85.1;742.5;716.0
3;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2003;24.0;29.0;18.0;11.0;21.0;35.0;1503.1;1018.8;484.3;89.7;721.5;691.9
4;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2004;24.0;29.0;19.0;10.0;21.0;35.0;1492.1;989.2;502.9;77.0;704.8;710.3
5;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau, totaal;2006;23.0;27.0;19.0;10.0;20.0;34.0;1446.0;933.3;512.8;73.4;644.3;728.3
6;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2000;26.0;34.0;13.0;12.0;26.0;35.0;397.0;314.0;82.9;39.6;207.0;150.4
7;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2001;24.0;32.0;12.0;11.0;24.0;33.0;377.6;297.6;79.9;36.8;186.1;154.7
8;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2002;24.0;32.0;13.0;11.0;24.0;34.0;365.8;286.2;79.6;35.1;170.6;160.0
9;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2003;23.0;31.0;12.0;11.0;24.0;32.0;346.1;270.3;75.8;35.0;163.5;147.7
10;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2004;23.0;31.0;12.0;10.0;23.0;31.0;350.5;276.1;74.4;29.4;164.5;156.5
11;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Lager beroepsniveau;2006;23.0;31.0;12.0;10.0;21.0;32.0;339.9;264.1;75.8;30.8;147.5;161.6
12;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2000;18.0;24.0;11.0;;19.0;28.0;83.7;60.5;23.2;;43.3;35.3
13;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2001;18.0;22.0;13.0;;18.0;27.0;82.5;56.0;26.5;;41.4;36.9
14;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2002;17.0;22.0;12.0;;18.0;27.0;84.3;59.7;24.5;;42.1;36.5
15;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2003;18.0;22.0;13.0;;20.0;23.0;84.8;58.6;26.2;;46.6;32.5
16;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2004;18.0;21.0;14.0;;18.0;29.0;85.1;56.0;29.0;;38.8;41.0
17;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Elementair beroepsniveau;2006;18.0;22.0;13.0;;18.0;27.0;90.1;62.7;27.5;;39.7;45.3
18;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2000;26.0;30.0;19.0;11.0;24.0;37.0;596.0;411.4;184.6;30.9;335.8;229.4
19;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2001;26.0;31.0;19.0;12.0;24.0;37.0;615.3;422.6;192.7;36.3;336.5;242.5
20;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2002;25.0;31.0;18.0;13.0;22.0;37.0;592.8;409.0;183.8;36.9;307.3;248.5
21;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2003;25.0;31.0;18.0;15.0;22.0;35.0;581.3;399.2;182.1;39.0;296.1;246.2
22;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2004;26.0;32.0;19.0;14.0;23.0;36.0;581.7;389.0;192.7;34.8;296.9;250.0
23;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Middelbaar beroepsniveau;2006;24.0;29.0;18.0;12.0;21.0;33.0;556.6;361.0;195.6;28.7;274.5;253.4
24;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2000;27.0;26.0;29.0;;22.0;40.0;325.9;180.2;145.8;;162.8;153.7
25;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2001;26.0;25.0;27.0;;20.0;39.0;318.5;179.8;138.7;;150.7;158.4
26;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2002;27.0;27.0;28.0;;21.0;41.0;345.8;193.5;152.3;;159.0;180.5
27;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2003;27.0;26.0;27.0;;20.0;40.0;351.2;195.6;155.6;;157.1;186.2
28;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2004;26.0;26.0;27.0;;20.0;39.0;369.8;202.0;167.8;;166.2;196.6
29;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Hoger beroepsniveau;2006;25.0;24.0;26.0;;18.0;38.0;320.7;163.5;157.3;;129.0;183.6
30;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2000;25.0;25.0;26.0;;17.0;41.0;128.7;86.0;42.7;;55.1;72.8
31;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2001;23.0;24.0;23.0;;16.0;38.0;121.6;80.0;41.6;;50.9;70.6
32;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2002;25.0;24.0;26.0;;16.0;40.0;133.3;84.8;48.5;;51.6;81.5
33;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2003;22.0;23.0;21.0;;15.0;35.0;115.9;76.6;39.2;;47.7;67.0
34;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2004;22.0;22.0;23.0;;13.0;36.0;101.4;62.8;38.6;;36.4;64.8
35;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Wetenschappelijke beroepsniveau;2006;24.0;23.0;25.0;;16.0;36.0;123.6;71.7;52.0;;47.2;76.0
36;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2000;23.0;25.0;;;21.0;;21.8;17.6;;;12.4;
37;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2001;24.0;26.0;;;22.0;;22.2;17.6;;;11.9;
38;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2002;25.0;27.0;;;23.0;;21.6;16.2;;;11.8;
39;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2003;24.0;28.0;;;18.0;36.0;23.8;18.4;;;10.5;12.3
40;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2004;;;;;;;;;;;;
41;Herkomstgroeperingen, totaal;Opleidingsniveau, totaal;Beroepsniveau onbekend;2006;18.0;19.0;;;;;15.1;10.4;;;;
42;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2000;26.0;33.0;13.0;10.0;25.0;35.0;444.7;360.9;83.8;32.9;213.5;198.3
43;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2001;25.0;31.0;15.0;10.0;24.0;34.0;442.1;344.1;98.0;33.3;199.1;209.7
44;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2002;24.0;31.0;13.0;10.0;23.0;33.0;412.6;327.3;85.3;33.0;179.7;199.9
45;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2003;24.0;30.0;13.0;10.0;23.0;31.0;381.6;298.0;83.7;31.0;165.3;185.4
46;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2004;24.0;31.0;13.0;10.0;23.0;32.0;365.0;285.7;79.3;27.8;150.4;186.7
47;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Beroepsniveau, totaal;2006;23.0;29.0;13.0;9.0;22.0;30.0;335.3;260.7;74.6;25.2;133.7;176.4
48;Herkomstgroeperingen, totaal;Lager onderwijsniveau;Lager beroepsniveau;2000;27.0;35.0;13.0;11.0;27.0;36.0;244.3;199.6;44.7;21.5;118.8;104.1
