ID;MinderjarigeKinderen;Perioden;EchtscheidingsproceduresMetKinderen_1;TotaalMetKinderalimentatie_2;MaandelijkseBijdrage250Euro_3;MaandelijkseBijdrage250Tot500Euro_4;MaandelijkseBijdrage500EuroOfMeer_5;KinderalimentatieMediaan_6;KinderalimentatieGemiddelde_7;ProceduresZonderKinderalimentatie_8
0;Totaal;2001;21430;12740;50;39;11;245;295;8690
1;Totaal;2003;19550;11540;38;43;18;270;340;8010
2;Totaal;2005;20025;11190;28;48;24;300;375;8835
3;Totaal;2007;19625;11550;35;42;23;300;360;8080
4;Totaal;2009;18495;10560;32;42;26;305;395;7935
5;Totaal;2011;18425;10135;34;42;24;300;380;8290
6;Totaal;2013;19955;11995;36;40;24;300;385;7955
7;1 kind;2001;7460;4460;78;19;2;180;205;3000
8;1 kind;2003;7140;4270;56;38;7;215;245;2870
9;1 kind;2005;6710;3805;45;46;9;250;275;2910
10;1 kind;2007;7225;4275;49;40;11;250;280;2955
11;1 kind;2009;6810;3905;43;44;13;250;300;2900
12;1 kind;2011;7290;3950;42;47;12;260;295;3335
13;1 kind;2013;7680;4620;49;40;11;250;285;3065
14;2 kinderen;2001;10845;6370;38;49;13;275;325;4475
15;2 kinderen;2003;9620;5655;29;47;24;300;370;3960
16;2 kinderen;2005;10295;5705;19;53;28;340;395;4590
17;2 kinderen;2007;9825;5775;27;44;29;300;385;4050
18;2 kinderen;2009;8765;4965;26;44;30;350;395;3800
19;2 kinderen;2011;8745;4865;28;40;32;350;420;3880
20;2 kinderen;2013;8880;5340;30;42;28;410;335;3540
21;3 kinderen of meer;2001;3130;1910;23;54;23;375;425;1220
22;3 kinderen of meer;2003;2795;1615;25;46;28;390;455;1180
23;3 kinderen of meer;2005;3015;1680;20;35;45;450;520;1335
24;3 kinderen of meer;2007;2575;1500;27;36;37;405;480;1075
25;3 kinderen of meer;2009;2920;1690;23;29;48;460;615;1230
26;3 kinderen of meer;2011;2390;1315;32;35;33;385;495;1075
27;3 kinderen of meer;2013;3390;2040;24;31;45;450;560;1355
