ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2010100_16;MutatieTOVVoorafgaandJaar_17
0;Europese Unie: 15 landen (EU-15);1995;270468.0;141329.0;114041.0;70585.0;43456.0;9516.0;5582.0;133317.0;137151.0;137151.0;33512.0;3467.0;11244.0;111416.0;7112.0;97.0;
1;Europese Unie: 15 landen (EU-15);1996;283733.0;149418.0;118376.0;73880.0;44496.0;10055.0;5885.0;139549.0;144183.0;144183.0;34749.0;3572.0;11518.0;117380.0;6985.0;99.5;2.5
2;Europese Unie: 15 landen (EU-15);1997;285701.0;149977.0;119240.0;75395.0;43845.0;10493.0;5991.0;140646.0;145055.0;145055.0;35441.0;3611.0;10781.0;116784.0;6877.0;98.6;-0.9
3;Europese Unie: 15 landen (EU-15);1998;279472.0;151418.0;111265.0;68057.0;43208.0;10737.0;6052.0;137354.0;142118.0;142118.0;35923.0;3906.0;9959.0;112248.0;6775.0;94.9;-3.7
4;Europese Unie: 15 landen (EU-15);1999;278237.0;151859.0;108584.0;65817.0;42767.0;11105.0;6688.0;138637.0;139601.0;139601.0;36779.0;4255.0;11151.0;109718.0;6560.0;93.6;-1.4
5;Europese Unie: 15 landen (EU-15);2000;287707.0;152212.0;116800.0;71978.0;44821.0;11645.0;7051.0;143267.0;144440.0;144440.0;38162.0;4234.0;11276.0;113319.0;6437.0;96.1;2.7
6;Europese Unie: 15 landen (EU-15);2001;297126.0;154109.0;123440.0;75919.0;47522.0;12007.0;7571.0;146849.0;150278.0;150278.0;39421.0;4332.0;14035.0;120559.0;6343.0;101.2;5.3
7;Europese Unie: 15 landen (EU-15);2002;291951.0;155009.0;116601.0;71503.0;45098.0;12664.0;7677.0;147582.0;144369.0;144369.0;40508.0;4589.0;14603.0;113874.0;6169.0;95.6;-5.6
8;Europese Unie: 15 landen (EU-15);2003;292382.0;156912.0;115329.0;70484.0;44844.0;12559.0;7583.0;146805.0;145577.0;145577.0;40966.0;4231.0;15454.0;115834.0;6057.0;97.1;1.6
9;Europese Unie: 15 landen (EU-15);2004;303077.0;163543.0;118372.0;73632.0;44740.0;13243.0;7919.0;151107.0;151970.0;151970.0;42273.0;4381.0;14295.0;119611.0;5957.0;99.3;2.5
10;Europese Unie: 15 landen (EU-15);2005;284259.0;146293.0;116349.0;71748.0;44602.0;13359.0;8258.0;151701.0;132558.0;132558.0;43707.0;4735.0;26330.0;110445.0;5802.0;91.8;-7.3
