ID;Geslacht;LeeftijdOp31December;Perioden;VanEchtScheidendePersonen_1;VanEchtScheidendenPer1000Gehuwden_2;VanEchtScheidendenPer1000Inwoners_3;VerweduwendePersonen_4;VerweduwendePersonenPer1000Gehuwden_5;VerweduwendePersonenPer1000Inwoners_6
0;Totaal mannen en vrouwen;Totaal;1950;12302;2.9;1.7;33284;7.8;4.5
1;Totaal mannen en vrouwen;Totaal;1951;11514;2.6;1.5;34243;7.8;4.6
2;Totaal mannen en vrouwen;Totaal;1952;11108;2.5;1.5;34471;7.7;4.6
3;Totaal mannen en vrouwen;Totaal;1953;10401;2.3;1.4;36524;8.1;4.8
4;Totaal mannen en vrouwen;Totaal;1954;10600;2.3;1.4;36323;7.9;4.7
5;Totaal mannen en vrouwen;Totaal;1955;10496;2.2;1.3;37479;8.0;4.8
6;Totaal mannen en vrouwen;Totaal;1956;10646;2.2;1.4;39298;8.2;5.0
7;Totaal mannen en vrouwen;Totaal;1957;10219;2.1;1.3;38673;7.9;4.8
8;Totaal mannen en vrouwen;Totaal;1958;10177;2.0;1.3;39506;7.9;4.9
9;Totaal mannen en vrouwen;Totaal;1959;10671;2.1;1.3;40472;8.0;4.9
10;Totaal mannen en vrouwen;Totaal;1960;10893;2.1;1.3;41600;8.1;5.0
11;Totaal mannen en vrouwen;Totaal;1961;10965;2.1;1.3;42692;8.2;5.0
12;Totaal mannen en vrouwen;Totaal;1962;10984;2.1;1.3;45100;8.5;5.2
13;Totaal mannen en vrouwen;Totaal;1963;11277;2.1;1.3;46422;8.6;5.2
14;Totaal mannen en vrouwen;Totaal;1964;11848;2.2;1.3;46291;8.4;5.1
15;Totaal mannen en vrouwen;Totaal;1965;11910;2.1;1.3;48775;8.7;5.3
16;Totaal mannen en vrouwen;Totaal;1966;13062;2.3;1.4;49538;8.7;5.3
17;Totaal mannen en vrouwen;Totaal;1967;14398;2.5;1.5;50252;8.6;5.3
18;Totaal mannen en vrouwen;Totaal;1968;15721;2.6;1.6;52222;8.8;5.5
19;Totaal mannen en vrouwen;Totaal;1969;17674;2.9;1.8;53932;8.9;5.6
20;Totaal mannen en vrouwen;Totaal;1970;19888;3.2;2.0;54968;8.9;5.6
21;Totaal mannen en vrouwen;Totaal;1971;22158;3.5;2.2;54832;8.7;5.5
22;Totaal mannen en vrouwen;Totaal;1972;29003;4.5;2.9;56800;8.8;5.6
23;Totaal mannen en vrouwen;Totaal;1973;34818;5.3;3.4;54985;8.4;5.4
24;Totaal mannen en vrouwen;Totaal;1974;37152;5.6;3.6;54372;8.3;5.2
25;Totaal mannen en vrouwen;Totaal;1975;39103;5.9;3.7;56792;8.5;5.4
26;Totaal mannen en vrouwen;Totaal;1976;40731;6.1;3.8;56401;8.4;5.3
27;Totaal mannen en vrouwen;Totaal;1977;41961;6.2;3.9;54989;8.1;5.1
28;Totaal mannen en vrouwen;Totaal;1978;43359;6.4;3.9;56341;8.3;5.1
29;Totaal mannen en vrouwen;Totaal;1979;46272;6.8;4.1;55373;8.1;4.9
30;Totaal mannen en vrouwen;Totaal;1980;50285;7.3;4.4;55769;8.1;4.9
31;Totaal mannen en vrouwen;Totaal;1981;55599;8.1;4.8;56007;8.2;4.9
32;Totaal mannen en vrouwen;Totaal;1982;60401;8.8;5.2;56274;8.2;4.8
33;Totaal mannen en vrouwen;Totaal;1983;63675;9.2;5.4;56393;8.2;4.8
34;Totaal mannen en vrouwen;Totaal;1984;66440;9.7;5.6;56338;8.2;4.7
35;Totaal mannen en vrouwen;Totaal;1985;66624;9.7;5.5;57435;8.4;4.8
36;Totaal mannen en vrouwen;Totaal;1986;58258;8.5;4.8;58044;8.5;4.8
37;Totaal mannen en vrouwen;Totaal;1987;54194;7.9;4.4;56463;8.2;4.6
38;Totaal mannen en vrouwen;Totaal;1988;54179;7.8;4.4;56856;8.2;4.6
39;Totaal mannen en vrouwen;Totaal;1989;54838;7.9;4.4;57856;8.4;4.7
40;Totaal mannen en vrouwen;Totaal;1990;55314;7.9;4.4;57397;8.2;4.6
