ID;EnergiedragerTechniek;Perioden;OnttrekkingWarmteUitBodem_1;OnttrekkingKoudeUitBodem_2
0;Totaal aardwarmte en bodemenergie;1990;;8.0
1;Totaal aardwarmte en bodemenergie;1991;;8.0
2;Totaal aardwarmte en bodemenergie;1992;;13.0
3;Totaal aardwarmte en bodemenergie;1993;;19.0
4;Totaal aardwarmte en bodemenergie;1994;33.0;23.0
5;Totaal aardwarmte en bodemenergie;1995;38.0;47.0
6;Totaal aardwarmte en bodemenergie;1996;47.0;81.0
7;Totaal aardwarmte en bodemenergie;1997;73.0;123.0
8;Totaal aardwarmte en bodemenergie;1998;115.0;179.0
9;Totaal aardwarmte en bodemenergie;1999;151.0;238.0
10;Totaal aardwarmte en bodemenergie;2000;200.0;292.0
11;Totaal aardwarmte en bodemenergie;2001;244.0;371.0
12;Totaal aardwarmte en bodemenergie;2002;310.0;485.0
13;Totaal aardwarmte en bodemenergie;2003;389.0;579.0
14;Totaal aardwarmte en bodemenergie;2004;539.0;645.0
15;Totaal aardwarmte en bodemenergie;2005;736.0;780.0
16;Totaal aardwarmte en bodemenergie;2006;973.0;944.0
17;Totaal aardwarmte en bodemenergie;2007;1280.0;1011.0
18;Totaal aardwarmte en bodemenergie;2008;1748.0;1200.0
19;Totaal aardwarmte en bodemenergie;2009;2162.0;1389.0
20;Totaal aardwarmte en bodemenergie;2010;2703.0;1660.0
21;Totaal aardwarmte en bodemenergie;2011;3026.0;1646.0
22;Totaal aardwarmte en bodemenergie;2012;3527.0;1830.0
23;Totaal aardwarmte en bodemenergie;2013;4325.0;1909.0
24;Totaal aardwarmte en bodemenergie;2014;5075.0;1850.0
25;Totaal aardwarmte en bodemenergie;2015;6244.0;1793.0
26;Totaal aardwarmte en bodemenergie;2016;6879.0;1998.0
27;Totaal aardwarmte en bodemenergie;2017;7303.0;2163.0
28;Totaal aardwarmte en bodemenergie;2018;8299.0;2275.0
29;Totaal aardwarmte en bodemenergie;2019;10450.0;2026.0
30;Totaal aardwarmte en bodemenergie;2020;11477.0;2374.0
31;Totaal aardwarmte en bodemenergie;2021;12041.0;2403.0
32;Totaal aardwarmte en bodemenergie;2022;12980.0;2491.0
33;Totaal aardwarmte en bodemenergie;2023;13653.0;2507.0
34;Aardwarmte;1990;;
35;Aardwarmte;1991;;
36;Aardwarmte;1992;;
37;Aardwarmte;1993;;
38;Aardwarmte;1994;;
39;Aardwarmte;1995;;
40;Aardwarmte;1996;;
41;Aardwarmte;1997;;
42;Aardwarmte;1998;;
43;Aardwarmte;1999;;
44;Aardwarmte;2000;;
45;Aardwarmte;2001;;
46;Aardwarmte;2002;;
47;Aardwarmte;2003;;
48;Aardwarmte;2004;;
49;Aardwarmte;2005;;
50;Aardwarmte;2006;;
51;Aardwarmte;2007;;
52;Aardwarmte;2008;96.0;
53;Aardwarmte;2009;142.0;
54;Aardwarmte;2010;318.0;
55;Aardwarmte;2011;316.0;
56;Aardwarmte;2012;495.0;
57;Aardwarmte;2013;993.0;
58;Aardwarmte;2014;1502.0;
59;Aardwarmte;2015;2448.0;
60;Aardwarmte;2016;2844.0;
61;Aardwarmte;2017;3047.0;
62;Aardwarmte;2018;3731.0;
63;Aardwarmte;2019;5564.0;
64;Aardwarmte;2020;6185.0;
65;Aardwarmte;2021;6327.0;
66;Aardwarmte;2022;6798.0;
67;Aardwarmte;2023;6798.0;
68;Totaal bodemenergie;1990;;8.0
69;Totaal bodemenergie;1991;;8.0
70;Totaal bodemenergie;1992;;13.0
71;Totaal bodemenergie;1993;;19.0
72;Totaal bodemenergie;1994;33.0;23.0
73;Totaal bodemenergie;1995;38.0;47.0
74;Totaal bodemenergie;1996;47.0;81.0
75;Totaal bodemenergie;1997;73.0;123.0
76;Totaal bodemenergie;1998;115.0;179.0
77;Totaal bodemenergie;1999;151.0;238.0
78;Totaal bodemenergie;2000;200.0;292.0
79;Totaal bodemenergie;2001;244.0;371.0
80;Totaal bodemenergie;2002;310.0;485.0
81;Totaal bodemenergie;2003;389.0;579.0
82;Totaal bodemenergie;2004;539.0;645.0
83;Totaal bodemenergie;2005;736.0;780.0
84;Totaal bodemenergie;2006;973.0;944.0
85;Totaal bodemenergie;2007;1280.0;1011.0
86;Totaal bodemenergie;2008;1652.0;1200.0
87;Totaal bodemenergie;2009;2020.0;1389.0
88;Totaal bodemenergie;2010;2385.0;1660.0
89;Totaal bodemenergie;2011;2710.0;1646.0
90;Totaal bodemenergie;2012;3032.0;1830.0
91;Totaal bodemenergie;2013;3332.0;1909.0
92;Totaal bodemenergie;2014;3573.0;1850.0
93;Totaal bodemenergie;2015;3796.0;1793.0
94;Totaal bodemenergie;2016;4036.0;1998.0
95;Totaal bodemenergie;2017;4257.0;2163.0
96;Totaal bodemenergie;2018;4568.0;2275.0
97;Totaal bodemenergie;2019;4886.0;2026.0
98;Totaal bodemenergie;2020;5292.0;2374.0
99;Totaal bodemenergie;2021;5714.0;2403.0
100;Totaal bodemenergie;2022;6182.0;2491.0
101;Totaal bodemenergie;2023;6855.0;2507.0
102;Bodemwarmte, totaal;1990;;
103;Bodemwarmte, totaal;1991;;
104;Bodemwarmte, totaal;1992;;
105;Bodemwarmte, totaal;1993;;
106;Bodemwarmte, totaal;1994;33.0;
107;Bodemwarmte, totaal;1995;38.0;
108;Bodemwarmte, totaal;1996;47.0;
109;Bodemwarmte, totaal;1997;73.0;
110;Bodemwarmte, totaal;1998;115.0;
111;Bodemwarmte, totaal;1999;151.0;
112;Bodemwarmte, totaal;2000;200.0;
113;Bodemwarmte, totaal;2001;244.0;
114;Bodemwarmte, totaal;2002;310.0;
115;Bodemwarmte, totaal;2003;389.0;
116;Bodemwarmte, totaal;2004;539.0;
117;Bodemwarmte, totaal;2005;736.0;
118;Bodemwarmte, totaal;2006;973.0;
119;Bodemwarmte, totaal;2007;1280.0;
120;Bodemwarmte, totaal;2008;1652.0;
121;Bodemwarmte, totaal;2009;2020.0;
122;Bodemwarmte, totaal;2010;2385.0;
123;Bodemwarmte, totaal;2011;2710.0;
124;Bodemwarmte, totaal;2012;3032.0;
125;Bodemwarmte, totaal;2013;3332.0;
126;Bodemwarmte, totaal;2014;3573.0;
127;Bodemwarmte, totaal;2015;3796.0;
128;Bodemwarmte, totaal;2016;4036.0;
129;Bodemwarmte, totaal;2017;4257.0;
130;Bodemwarmte, totaal;2018;4568.0;
131;Bodemwarmte, totaal;2019;4886.0;
132;Bodemwarmte, totaal;2020;5292.0;
133;Bodemwarmte, totaal;2021;5714.0;
134;Bodemwarmte, totaal;2022;6182.0;
135;Bodemwarmte, totaal;2023;6855.0;
136;Bodemwarmte, warmtepompen;1990;;
137;Bodemwarmte, warmtepompen;1991;;
138;Bodemwarmte, warmtepompen;1992;;
139;Bodemwarmte, warmtepompen;1993;;
140;Bodemwarmte, warmtepompen;1994;28.0;
141;Bodemwarmte, warmtepompen;1995;31.0;
142;Bodemwarmte, warmtepompen;1996;36.0;
143;Bodemwarmte, warmtepompen;1997;56.0;
144;Bodemwarmte, warmtepompen;1998;90.0;
145;Bodemwarmte, warmtepompen;1999;117.0;
146;Bodemwarmte, warmtepompen;2000;156.0;
147;Bodemwarmte, warmtepompen;2001;187.0;
148;Bodemwarmte, warmtepompen;2002;244.0;
149;Bodemwarmte, warmtepompen;2003;311.0;
150;Bodemwarmte, warmtepompen;2004;452.0;
151;Bodemwarmte, warmtepompen;2005;628.0;
152;Bodemwarmte, warmtepompen;2006;840.0;
153;Bodemwarmte, warmtepompen;2007;1141.0;
154;Bodemwarmte, warmtepompen;2008;1488.0;
155;Bodemwarmte, warmtepompen;2009;1841.0;
156;Bodemwarmte, warmtepompen;2010;2183.0;
157;Bodemwarmte, warmtepompen;2011;2538.0;
158;Bodemwarmte, warmtepompen;2012;2852.0;
159;Bodemwarmte, warmtepompen;2013;3147.0;
160;Bodemwarmte, warmtepompen;2014;3404.0;
161;Bodemwarmte, warmtepompen;2015;3634.0;
162;Bodemwarmte, warmtepompen;2016;3855.0;
163;Bodemwarmte, warmtepompen;2017;4081.0;
164;Bodemwarmte, warmtepompen;2018;4383.0;
165;Bodemwarmte, warmtepompen;2019;4715.0;
166;Bodemwarmte, warmtepompen;2020;5098.0;
167;Bodemwarmte, warmtepompen;2021;5520.0;
168;Bodemwarmte, warmtepompen;2022;5984.0;
169;Bodemwarmte, warmtepompen;2023;6657.0;
170;Bodemwarmte, zonder warmtepompen;1990;1.0;
171;Bodemwarmte, zonder warmtepompen;1991;1.0;
172;Bodemwarmte, zonder warmtepompen;1992;2.0;
173;Bodemwarmte, zonder warmtepompen;1993;4.0;
174;Bodemwarmte, zonder warmtepompen;1994;5.0;
175;Bodemwarmte, zonder warmtepompen;1995;7.0;
