ID;PlaatsEnGemeentenamen;Gemeentecode_1;Gemeentenaam_2;Provinciecode_3;Provincienaam_4;PlaatsnaamPTTWoonplaatsnaam_5;PlaatsnaamGemeentenaam_6;Plaatsnaam_7
0;1;1680;Aa en Hunze                                     ;22;Drenthe      ;nee;ja ;Aa en Hunze                                      
1;2;1724;Bergeijk                                        ;30;Noord-Brabant;nee;nee;Aa, De                                           
2;3;141;Almelo                                          ;23;Overijssel   ;ja ;nee;Aadorp                                           
3;4;373;Bergen (NH.)                                    ;27;Noord-Holland;nee;nee;Aagtdorp                                         
4;5;717;Veere                                           ;29;Zeeland      ;ja ;nee;Aagtekerke                                       
5;6;951;Nuth                                            ;31;Limburg      ;nee;nee;Aalbeek                                          
6;7;738;Aalburg                                         ;30;Noord-Brabant;nee;ja ;Aalburg                                          
7;8;109;Coevorden                                       ;22;Drenthe      ;ja ;nee;Aalden                                           
8;9;141;Almelo                                          ;23;Overijssel   ;nee;nee;Aalderinkshoek                                   
9;10;907;Gennep                                          ;31;Limburg      ;nee;nee;Aaldonk                                          
10;11;358;Aalsmeer                                        ;27;Noord-Holland;ja ;ja ;Aalsmeer                                         
11;12;394;Haarlemmermeer                                  ;27;Noord-Holland;ja ;nee;Aalsmeerderbrug                                  
12;13;214;Buren                                           ;25;Gelderland   ;nee;nee;Aalst                                            
13;14;297;Zaltbommel                                      ;25;Gelderland   ;ja ;nee;Aalst                                            
14;15;866;Waalre                                          ;30;Noord-Brabant;nee;nee;Aalst                                            
15;16;826;Oosterhout                                      ;30;Noord-Brabant;nee;nee;Aalst, Ter                                       
16;17;56;Zuidhorn                                        ;20;Groningen    ;nee;nee;Aalsum                                           
17;18;58;Dongeradeel                                     ;21;Friesland    ;ja ;nee;Aalsum                                           
18;19;197;Aalten                                          ;25;Gelderland   ;ja ;ja ;Aalten                                           
19;20;1734;Overbetuwe                                      ;25;Gelderland   ;nee;nee;Aam                                              
20;21;848;Son en Breugel                                  ;30;Noord-Brabant;nee;nee;Aanschot                                         
21;22;873;Woensdrecht                                     ;30;Noord-Brabant;nee;nee;Aanwas                                           
22;23;569;Nieuwkoop                                       ;28;Zuid-Holland ;ja ;nee;Aar, Ter                                         
23;24;106;Assen                                           ;22;Drenthe      ;ja ;nee;Aard, Ter                                        
24;25;569;Nieuwkoop                                       ;28;Zuid-Holland ;nee;nee;Aardam                                           
25;26;1714;Sluis                                           ;29;Zeeland      ;ja ;nee;Aardenburg                                       
26;27;200;Apeldoorn                                       ;25;Gelderland   ;nee;nee;Aardhuis                                         
27;28;484;Alphen aan den Rijn                             ;28;Zuid-Holland ;ja ;nee;Aarlanderveen                                    
28;29;753;Best                                            ;30;Noord-Brabant;nee;nee;Aarle                                            
29;30;1659;Laarbeek                                        ;30;Noord-Brabant;nee;nee;Aarle                                            
30;31;1659;Laarbeek                                        ;30;Noord-Brabant;ja ;nee;Aarle-Rixtel                                     
31;32;432;Opmeer                                          ;27;Noord-Holland;ja ;nee;Aartswoud                                        
32;33;1507;Horst aan de Maas                               ;31;Limburg      ;nee;nee;Aast                                             
33;34;1711;Echt-Susteren                                   ;31;Limburg      ;nee;nee;Aasterberg                                       
34;35;683;Wymbritseradiel                                 ;21;Friesland    ;ja ;nee;Abbega                                           
35;36;683;Wymbritseradiel                                 ;21;Friesland    ;nee;nee;Abbegaesterketting                               
36;37;420;Medemblik                                       ;27;Noord-Holland;ja ;nee;Abbekerk                                         
37;38;664;Goes                                            ;29;Zeeland      ;nee;nee;Abbekinderen                                     
38;39;568;Bernisse                                        ;28;Zuid-Holland ;ja ;nee;Abbenbroek                                       
39;40;394;Haarlemmermeer                                  ;27;Noord-Holland;ja ;nee;Abbenes                                          
40;41;476;Zijpe                                           ;27;Noord-Holland;nee;nee;Abbestede                                        
41;42;305;Abcoude                                         ;26;Utrecht      ;ja ;ja ;Abcoude                                          
42;43;785;Goirle                                          ;30;Noord-Brabant;nee;nee;Abcoven                                          
