ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;Afschrijvingen_2;ExploitatieoverschotNetto_3;NationaalInkomenNetto_4;BeschikbaarNationaalInkomenNetto_5;NationaleBesparingenNetto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;VeranderingInFinancieelVermogen_9;ArbeidsvolumeWerkzamePersonen_10;Productiewaarde_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotNetto_13;NettowinstVoorBelasting_14;Winstquote_15;InvesteringenBruto_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;NettowinstVoorBelasting_20;FinancieleActiva_21;SaldoKredietenAanPrivateSector_22;KredietAanPrivateSectorUltimoStand_23;ArbeidsvolumeWerknemers_24;TotaalInkomsten_25;BelastingEnPremieontvangsten_26;TotaalUitgaven_27;OverheidsschuldEMU_28;OverheidssaldoEMU_29;ArbeidsvolumeWerknemers_30;GemengdInkomenNetto_31;BeschikbaarInkomenNetto_32;NettoReeelBeschikbaarInkomen_33;ConsumptieveBestedingenBruto_34;VrijeIndividueleBesparingenNetto_35;Spaarquote_36;InvesteringenBruto_37;Investeringsquote_38;TotaalVorderingen_39;SpaartegoedenEnOverigeDepositoS_40;AandelenEnOverigeDeelnemingen_41;VoorzieningenLevensverzekeringen_42;VoorzieningenPensioenverzekeringen_43;TotaalSchulden_44;Woninghypotheken_45;SaldoOpgenomenEnAfgelosteHypotheken_46;ArbeidsvolumeWerknemers_47;ArbeidsvolumeZelfstandigen_48;AandeelUitvoeroverschotInBbp_49;Uitvoeroverschot_50;SaldoPrimaireInkomensBuitenland_51;SaldoInkomensoverdrachtenBuitenland_52;SaldoKapitaaloverdrachtenBuitenland_53
0;1969;51790;5767;13940;47200;47184;9746;;1202;;4879.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718.0;;;;;
1;1970;58073;6656;14660;52553;52502;10436;;245;;4944.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;708.5;;;;;
2;1971;65905;7764;15680;59035;58692;11191;;783;;4980.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;702.5;;;;;
3;1972;73803;8751;17512;66228;65905;12880;;3109;;4946.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;699.7;;;;;
4;1973;84421;9696;20100;76368;75601;14987;;3520;;4963.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;690.9;;;;;
5;1974;98585;11291;24621;88934;88441;19099;;6405;;4981.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;685.6;;;;;
6;1975;106568;13035;22684;93984;93512;14104;;3334;;4960.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;676.9;;;;;
7;1976;121328;14630;27724;107849;107678;16651;;4266;;4977.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665.1;;;;;
8;1977;131034;16035;27619;116081;115374;14855;;311;;5007.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;648.0;;;;;
9;1978;141746;17512;29773;124815;123446;13644;;-1800;;5048.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;638.4;;;;;
10;1979;151500;19283;30866;134162;133417;15433;;1013;;5130.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;638.9;;;;;
11;1980;163091;21361;34469;143101;142154;16132;37260.0;-247;;5176.9;226891.0;91608.0;19496.0;15142.0;33.9;17639.0;18.6;;7418.0;4951.0;;;;;51.2;41.3;55.2;;;;12745.0;86984.0;;86098.0;886.0;15.8;11548.0;11.2;;;;;;;;;;645.0;-0.1;-183.0;1371.0;-947.0;-480.0
12;1981;172153;23460;39061;148790;147676;16743;34475.0;5198;;5118.5;242120.0;97162.0;22661.0;15538.0;36.4;16382.0;17.7;;7653.0;5357.0;;;;;51.6;40.6;56.5;;;;14189.0;91770.0;-0.8;88736.0;3034.0;17.8;9979.0;9.3;;;;;;;;;;645.1;3.9;6750.0;97.0;-1114.0;-530.0
13;1982;177878;24879;40134;153079;151991;15684;33877.0;6024;;4997.8;249437.0;99492.0;22584.0;15091.0;36.3;16547.0;18.1;;8463.0;5948.0;;;;;52.9;41.6;59.1;;;;14868.0;96567.0;0.2;91812.0;4755.0;19.4;9037.0;8.1;;;;;;;;;;641.9;4.3;7704.0;80.0;-1088.0;-662.0
14;1983;184082;25681;43926;159448;158537;17195;36590.0;5838;;4916.8;256635.0;102334.0;24014.0;18191.0;37.2;19041.0;18.6;;9505.0;6923.0;;;;;53.8;42.5;59.3;;;;16293.0;97566.0;-1.8;95533.0;2033.0;17.7;9884.0;8.5;;;;;;;;;;642.6;3.3;6161.0;1047.0;-911.0;-448.0
15;1984;194095;26736;51540;169111;167797;23597;39688.0;10251;;4923.6;276204.0;108836.0;29280.0;23251.0;40.4;21027.0;19.2;;9640.0;7327.0;;;;;52.7;40.8;57.9;;;;18603.0;102208.0;2.6;98738.0;3470.0;18.5;9966.0;8.2;;;;;;;;;;646.4;5.3;10212.0;1752.0;-1314.0;-394.0
16;1985;200827;27874;52741;172139;171182;20585;41713.0;6423;;5014.3;288004.0;112839.0;29241.0;19264.0;39.6;22835.0;20.7;;9819.0;8847.0;;;;;53.7;41.1;57.3;;;;19840.0;107224.0;2.3;102920.0;4304.0;18.4;10389.0;8.3;;;;;;;;;;651.4;4.2;8519.0;-814.0;-957.0;-323.0
17;1986;206861;28923;51997;177334;176059;21948;45466.0;4934;;5117.0;280090.0;116537.0;28573.0;22602.0;38.4;25631.0;21.5;;10177.0;8451.0;;;;;52.4;41.5;57.0;;;;19715.0;110787.0;3.1;105189.0;5598.0;19.0;11662.0;8.9;;;;;;;;;;658.1;3.5;7272.0;-604.0;-1275.0;-471.0
18;1987;208647;30517;48417;179954;178781;20552;45675.0;4797;;5200.5;278735.0;118051.0;26330.0;22779.0;36.9;24729.0;21.1;3029.9;10353.0;8662.0;;;;182.6;53.1;43.5;58.5;;;977.0;18526.0;112384.0;2.0;106878.0;5506.0;18.7;11898.0;9.1;;;;;;;;;348.4;662.6;2.3;4717.0;1824.0;-1173.0;-597.0
19;1988;217596;32355;51383;186300;185388;23738;50520.0;5068;;5279.3;292688.0;123406.0;28070.0;25028.0;37.5;25980.0;21.4;3091.3;11242.0;10119.0;;;;185.8;52.1;43.4;56.4;;;976.1;19368.0;114546.0;1.1;109436.0;5110.0;18.5;13519.0;10.1;;;;;;;;;358.1;668.0;2.5;5402.0;1059.0;-912.0;-505.0
20;1989;230277;34382;57605;197521;196312;28096;55164.0;6670;;5391.7;315648.0;130984.0;31636.0;29111.0;38.9;30978.0;22.2;3180.5;12070.0;12862.0;;;;190.1;49.5;40.6;54.5;;;976.5;21744.0;123568.0;6.1;114809.0;8759.0;20.0;14099.0;9.7;;;;;;;;;370.6;674.0;3.0;6852.0;1626.0;-1209.0;-644.0
21;1990;243652;36596;59360;205249;203885;26729;57149.0;5535;6464.0;5536.3;334167.0;140041.0;33917.0;27339.0;38.9;31177.0;21.1;3295.6;10954.0;12372.0;1207041.0;;;195.3;49.6;40.7;54.9;76.9;-5.3;981.3;23013.0;135225.0;7.9;121102.0;14123.0;22.2;14756.0;9.4;517991.0;98804.0;94620.0;41411.0;210726.0;118217.0;;;384.7;679.4;3.8;9280.0;-1807.0;-1364.0;-641.0
22;1991;257375;38773;61518;217784;215627;27042;58103.0;7098;3085.0;5609.5;352178.0;148041.0;34551.0;26647.0;38.0;32117.0;21.0;3360.4;12201.0;13229.0;1281694.0;;;198.3;52.3;42.8;54.9;76.7;-2.7;969.0;24026.0;136819.0;-2.3;128838.0;7981.0;18.9;14083.0;8.8;557255.0;103896.0;103710.0;47581.0;227978.0;126201.0;;;393.3;688.5;4.1;10614.0;-818.0;-2157.0;-614.0
23;1992;268299;40900;61504;225485;223225;25700;60546.0;5075;4705.0;5682.4;360231.0;152749.0;33060.0;24496.0;36.6;32497.0;20.2;3413.4;12793.0;17219.0;1379282.0;;;197.5;51.5;42.3;55.7;77.4;-4.2;961.0;25569.0;145908.0;3.4;133777.0;12131.0;20.9;15399.0;9.1;594455.0;107150.0;112264.0;53110.0;244539.0;135510.0;;;405.2;705.3;3.8;10160.0;-1914.0;-2260.0;-979.0
24;1993;276013;42437;60767;233585;230658;26514;56798.0;11031;11674.0;5681.9;362537.0;156837.0;33483.0;25050.0;36.4;28669.0;19.2;3387.0;13435.0;21965.0;1550809.0;;;199.1;52.9;43.7;55.7;78.5;-2.8;961.1;24417.0;145539.0;-2.4;137805.0;7734.0;18.7;16010.0;9.5;645258.0;109542.0;119209.0;61127.0;273390.0;146692.0;;;406.4;728.3;5.4;14984.0;9.0;-2927.0;-1122.0
25;1994;290048;43636;69085;248372;245209;31983;60378.0;14192;13696.0;5670.7;379457.0;163635.0;37969.0;32661.0;38.0;30267.0;18.1;3355.8;15182.0;27458.0;1535694.0;;237561.0;194.0;50.0;41.4;53.5;75.3;-3.5;959.1;26670.0;153125.0;2.6;144084.0;9041.0;18.9;18161.0;10.2;676033.0;112657.0;133698.0;63804.0;277060.0;163733.0;127259.0;;408.4;753.4;5.6;16332.0;1960.0;-3163.0;-1049.0
26;1995;305261;45226;73163;264570;261482;37791;64173.0;17742;17415.0;5774.0;400803.0;171001.0;41058.0;38466.0;38.5;32423.0;18.6;3414.6;17030.0;29659.0;1657781.0;22126.0;262332.0;192.1;47.2;39.1;56.4;76.1;-9.2;973.7;26016.0;160335.0;2.5;151058.0;9277.0;18.8;19154.0;10.3;736385.0;117913.0;148004.0;70186.0;303912.0;180537.0;140062.0;12835.0;420.1;773.5;5.7;17343.0;4535.0;-3088.0;-1102.0
27;1996;319755;47150;77403;275460;271543;38140;69382.0;14107;13267.0;5907.5;425976.0;179451.0;43895.0;41804.0;38.8;34656.0;19.1;3510.1;17726.0;30367.0;1833713.0;31702.0;293488.0;196.9;47.5;39.3;49.4;74.1;-1.9;971.2;27329.0;168126.0;2.8;160658.0;7468.0;17.4;20471.0;10.6;830409.0;123971.0;178597.0;77019.0;345627.0;204687.0;160074.0;20268.0;427.6;801.8;5.3;16885.0;2855.0;-3917.0;-1801.0
28;1997;342237;49309;85575;297491;293391;46846;76179.0;18974;18098.0;6089.2;458657.0;192310.0;49439.0;49294.0;39.6;37786.0;19.2;3640.7;18403.0;46695.0;2065034.0;43954.0;336179.0;209.9;46.3;38.7;47.5;68.2;-1.2;976.2;30262.0;178997.0;4.0;170179.0;8818.0;17.9;23835.0;11.4;948153.0;130542.0;224415.0;85347.0;393441.0;237444.0;186469.0;27330.0;442.9;819.5;5.7;19407.0;4563.0;-4100.0;-1002.0
29;1998;362464;52383;87794;306321;301948;39038;82471.0;8270;7807.0;6266.1;483091.0;204671.0;51236.0;48018.0;38.9;40549.0;18.9;3779.7;18858.0;41132.0;2399827.0;46619.0;381356.0;222.1;45.8;38.5;46.7;65.7;-0.9;994.4;31548.0;188927.0;3.5;182540.0;6387.0;16.9;24979.0;11.3;1052747.0;141067.0;248004.0;96896.0;441951.0;275793.0;220805.0;31591.0;461.1;808.8;4.7;16964.0;-3760.0;-4373.0;-680.0
30;1999;386193;56326;90488;334069;329768;48320;88291.0;15819;15062.0;6414.4;513534.0;217558.0;52773.0;55479.0;38.3;42977.0;19.8;3911.1;20681.0;51560.0;2745085.0;57385.0;440888.0;230.6;46.4;39.5;46.0;61.1;0.4;1010.7;32619.0;196547.0;2.1;195774.0;773.0;14.0;27974.0;12.3;1207891.0;148885.0;311654.0;107965.0;509323.0;320774.0;261840.0;40986.0;475.5;786.5;4.2;16261.0;4202.0;-4301.0;-536.0
31;2000;417960;61308;99874;365672;359855;57368;92082.0;25380;22918.0;6533.7;572172.0;237147.0;59899.0;61896.0;39.2;43535.0;18.2;4003.7;22013.0;70513.0;3058447.0;53953.0;498358.0;238.6;46.1;39.1;44.2;53.8;2.0;1019.5;35395.0;208588.0;2.2;210823.0;-2235.0;12.1;29396.0;12.2;1266400.0;155569.0;325200.0;114631.0;527038.0;363522.0;297739.0;40109.0;488.2;783.7;5.5;23184.0;9020.0;-5817.0;-1214.0
32;2001;447731;65865;104331;385245;379034;53671;96191.0;22552;19619.0;6636.4;602521.0;251994.0;62213.0;58091.0;38.8;45549.0;17.4;4069.6;24152.0;84340.0;3350674.0;42213.0;538172.0;239.1;45.1;37.6;45.4;50.7;-0.2;1046.8;36592.0;230060.0;5.6;224244.0;5816.0;14.7;30754.0;11.7;1227420.0;177802.0;270867.0;111239.0;527457.0;406115.0;336138.0;37183.0;502.9;778.0;5.8;25911.0;3379.0;-6211.0;-793.0
