ID;Migratieachtergrond;Generatie;Perioden;BevolkingOp1Januari_1;LevendGeborenKinderen_2;Overledenen_3;Immigratie_4;EmigratieInclusiefCorrecties_5;MigratiesaldoInclusiefCorrecties_6
0;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2020;;44695.0;22476;187726;131643;56083
1;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2021;4298881.0;45676.0;22035;219324;146672;72652
2;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2022;4395175.0;47587.0;22358;255668;153865;101803
3;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2023;4522208.0;50109.0;22858;266423;165880;100542
4;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2024;4650001.0;51920.0;23502;269009;176640;92368
5;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2025;4770788.0;53696.0;24146;273834;185832;88002
6;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2026;4888339.0;54865.0;24786;275649;192518;83131
7;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2027;5001551.0;56170.0;25420;276910;197758;79152
8;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2028;5111453.0;57316.0;26049;278182;201680;76502
9;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2029;5219221.0;58290.0;26674;277346;204669;72677
10;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2030;5323513.0;59085.0;27294;276547;206701;69846
11;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2031;5425150.0;59762.0;27911;276115;208152;67963
12;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2032;5524963.0;60240.0;28526;275458;209275;66183
13;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2033;5622861.0;60679.0;29139;274809;210060;64749
14;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2034;5719147.0;61079.0;29754;274115;210624;63490
15;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2035;5813962.0;61434.0;30374;274163;211218;62945
16;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2036;5907966.0;61745.0;31000;274169;211870;62299
17;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2037;6001009.0;62006.0;31634;274133;212516;61617
18;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2038;6092998.0;62245.0;32279;274091;213085;61006
19;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2039;6183970.0;62461.0;32933;274044;213576;60468
20;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2040;6273964.0;62673.0;33592;273972;214037;59935
21;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2041;6362981.0;62862.0;34259;273883;214448;59435
22;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2042;6451017.0;63048.0;34934;274006;214861;59145
23;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2043;6538275.0;63240.0;35618;274135;215316;58819
24;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2044;6624717.0;63445.0;36308;274260;215763;58497
25;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2045;6710349.0;63650.0;37009;274394;216191;58204
26;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2046;6795195.0;63860.0;37715;274522;216574;57948
27;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2047;6879291.0;64087.0;38429;274625;216906;57719
28;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2048;6962668.0;64326.0;39162;274750;217212;57538
29;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2049;7045372.0;64574.0;39914;274870;217510;57360
30;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2050;7127393.0;64855.0;40681;275022;217760;57262
31;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2051;7208829.0;65187.0;41468;275162;218113;57049
32;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2052;7289597.0;65534.0;42265;275292;218416;56875
33;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2053;7369742.0;65906.0;43069;275404;218640;56764
34;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2054;7449344.0;66301.0;43873;275539;218852;56687
35;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2055;7528458.0;66696.0;44675;275653;219064;56588
36;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2056;7607068.0;67116.0;45468;275758;219261;56497
37;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2057;7685215.0;67542.0;46249;275901;219451;56450
38;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2058;7762959.0;67970.0;47014;276000;219642;56358
39;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2059;7840275.0;68408.0;47766;276105;219827;56278
40;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2060;7917194.0;68826.0;48503;276247;220013;56234
41;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2061;7993752.0;69226.0;49231;276357;220197;56160
42;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2062;8069906.0;69600.0;49951;276495;220380;56115
43;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2063;8145670.0;69949.0;50668;276599;220563;56036
44;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2064;8220986.0;70270.0;51391;276708;220742;55966
45;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2065;8295830.0;70561.0;52129;276822;220918;55904
46;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2066;8370166.0;70830.0;52890;276936;221089;55847
47;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2067;8443953.0;71067.0;53681;277055;221258;55797
48;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2068;8517138.0;71294.0;54504;277144;221420;55724
49;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2069;8589652.0;71484.0;55359;277256;221580;55676
50;Totaal niet-Nederlandse achtergrond;Totaal niet-Nederlandse achtergrond;2070;8661451.0;71665.0;56258;277360;221732;55628
51;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2020;;;13322;178243;120241;58002
52;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2021;2306809.0;;13101;210174;132092;78082
53;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2022;2371790.0;;13335;246983;139348;107635
54;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2023;2466090.0;;13685;258491;150617;107873
55;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2024;2560279.0;;14129;261317;160636;100680
56;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2025;2646831.0;;14582;266300;169070;97230
57;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2026;2729479.0;;15042;268078;175118;92960
58;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2027;2807398.0;;15506;269107;179754;89353
59;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2028;2881245.0;;15973;269763;183099;86664
60;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2029;2951935.0;;16445;268586;185553;83033
61;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2030;3018522.0;;16919;267392;187035;80357
62;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2031;3081960.0;;17395;266591;188138;78453
63;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2032;3143017.0;;17875;265572;188947;76625
64;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2033;3201768.0;;18357;264576;189476;75100
65;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2034;3258508.0;;18844;263565;189795;73769
66;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2035;3313434.0;;19337;263359;190158;73201
67;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2036;3367297.0;;19837;263139;190579;72560
68;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2037;3420019.0;;20345;262937;190996;71941
69;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2038;3471614.0;;20863;262729;191344;71385
70;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2039;3522136.0;;21390;262518;191623;70895
71;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2040;3571639.0;;21922;262301;191877;70424
72;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2041;3620141.0;;22460;262099;192084;70015
73;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2042;3667695.0;;23004;262095;192291;69804
74;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2043;3714494.0;;23554;262092;192534;69558
75;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2044;3760498.0;;24108;262093;192765;69328
76;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2045;3805717.0;;24665;262094;192970;69125
77;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2046;3850178.0;;25224;262095;193126;68969
78;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2047;3893926.0;;25782;262094;193229;68865
79;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2048;3937009.0;;26345;262096;193306;68790
80;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2049;3979456.0;;26913;262096;193371;68725
81;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2050;4021269.0;;27485;262091;193389;68702
82;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2051;4062487.0;;28066;262099;193500;68599
83;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2052;4103021.0;;28649;262094;193562;68531
84;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2053;4142904.0;;29231;262096;193552;68544
85;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2054;4182218.0;;29807;262101;193532;68569
86;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2055;4220980.0;;30377;262093;193513;68579
87;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2056;4259182.0;;30937;262089;193485;68604
88;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2057;4296850.0;;31485;262095;193456;68639
89;Totaal niet-Nederlandse achtergrond;1e generatie migratieachtergrond;2058;4334005.0;;32017;262099;193431;68668
