ID;Afzet;BedrijfstakkenBranchesSBI2008;Perioden;ProducentenprijsindexPPI_1;OntwikkelingTOV1JaarEerder_2;OntwikkelingTOV1MaandEerder_3;Wegingcoefficient_4
0;Totaal;B Delfstoffenwinning;1981 januari;53.8;;;0
1;Totaal;B Delfstoffenwinning;1981 februari;54.1;;0.6;0
2;Totaal;B Delfstoffenwinning;1981 maart;54.3;;0.4;0
3;Totaal;B Delfstoffenwinning;1981 april;54.3;;0.0;0
4;Totaal;B Delfstoffenwinning;1981 mei;54.5;;0.4;0
5;Totaal;B Delfstoffenwinning;1981 juni;55.0;;1.0;0
6;Totaal;B Delfstoffenwinning;1981 juli;55.6;;1.0;0
7;Totaal;B Delfstoffenwinning;1981 augustus;55.5;;-0.1;0
8;Totaal;B Delfstoffenwinning;1981 september;55.4;;-0.2;0
9;Totaal;B Delfstoffenwinning;1981 oktober;55.4;;-0.1;0
10;Totaal;B Delfstoffenwinning;1981 november;55.4;;0.0;0
11;Totaal;B Delfstoffenwinning;1981 december;55.4;;0.0;0
12;Totaal;B Delfstoffenwinning;1981;54.9;;;0
13;Totaal;B Delfstoffenwinning;1982 januari;57.9;7.6;4.5;0
14;Totaal;B Delfstoffenwinning;1982 februari;58.3;7.8;0.8;0
15;Totaal;B Delfstoffenwinning;1982 maart;58.7;8.1;0.7;0
16;Totaal;B Delfstoffenwinning;1982 april;59.4;9.4;1.2;0
17;Totaal;B Delfstoffenwinning;1982 mei;59.6;9.4;0.3;0
18;Totaal;B Delfstoffenwinning;1982 juni;59.4;8.0;-0.3;0
19;Totaal;B Delfstoffenwinning;1982 juli;59.2;6.5;-0.3;0
20;Totaal;B Delfstoffenwinning;1982 augustus;58.9;6.2;-0.4;0
21;Totaal;B Delfstoffenwinning;1982 september;58.6;5.7;-0.6;0
22;Totaal;B Delfstoffenwinning;1982 oktober;58.5;5.7;0.0;0
23;Totaal;B Delfstoffenwinning;1982 november;59.0;6.6;0.8;0
24;Totaal;B Delfstoffenwinning;1982 december;59.1;6.7;0.2;0
25;Totaal;B Delfstoffenwinning;1982;58.9;7.3;;0
26;Totaal;B Delfstoffenwinning;1983 januari;59.3;2.5;0.3;0
27;Totaal;B Delfstoffenwinning;1983 februari;59.3;1.7;-0.1;0
