ID;Geslacht;Leeftijd;Sterftequotient_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;LevensverwachtingInJaren_4
0;Mannen;0;0.00511;100000;511;75.18
1;Mannen;1;0.00087;99489;87;75.07
2;Mannen;2;0.00042;99402;41;74.13
3;Mannen;3;0.00032;99361;32;73.16
4;Mannen;4;0.0002;99329;20;72.19
5;Mannen;5;0.00019;99309;19;71.2
6;Mannen;6;0.00019;99291;19;70.21
7;Mannen;7;0.00015;99272;15;69.23
8;Mannen;8;0.00015;99257;15;68.24
9;Mannen;9;0.00015;99242;15;67.25
10;Mannen;10;0.00013;99227;13;66.26
11;Mannen;11;0.00012;99214;12;65.27
12;Mannen;12;0.00013;99202;13;64.27
13;Mannen;13;0.00019;99189;18;63.28
14;Mannen;14;0.00023;99170;22;62.29
15;Mannen;15;0.00023;99148;22;61.31
16;Mannen;16;0.00038;99125;38;60.32
17;Mannen;17;0.00046;99087;45;59.35
18;Mannen;18;0.00053;99042;53;58.37
19;Mannen;19;0.00064;98990;64;57.4
20;Mannen;20;0.00065;98926;64;56.44
21;Mannen;21;0.00069;98861;68;55.48
22;Mannen;22;0.00066;98794;66;54.51
23;Mannen;23;0.00067;98728;66;53.55
24;Mannen;24;0.00072;98662;71;52.58
25;Mannen;25;0.00068;98591;67;51.62
26;Mannen;26;0.00073;98524;72;50.66
27;Mannen;27;0.00066;98453;65;49.69
28;Mannen;28;0.00073;98387;72;48.73
29;Mannen;29;0.00063;98316;62;47.76
30;Mannen;30;0.00071;98254;69;46.79
31;Mannen;31;0.00075;98185;73;45.82
32;Mannen;32;0.00077;98111;76;44.86
33;Mannen;33;0.00082;98035;81;43.89
34;Mannen;34;0.00081;97955;79;42.93
35;Mannen;35;0.00088;97876;86;41.96
36;Mannen;36;0.00092;97789;90;41.0
37;Mannen;37;0.00105;97699;102;40.04
38;Mannen;38;0.00114;97597;112;39.08
39;Mannen;39;0.00123;97485;120;38.12
40;Mannen;40;0.00134;97365;130;37.17
41;Mannen;41;0.00154;97235;149;36.22
42;Mannen;42;0.00167;97085;162;35.27
43;Mannen;43;0.00198;96923;191;34.33
