ID;Perioden;AantalInstellingen_1;TotaalBedrijfsopbrengsten_2;NettoOmzetBloedProducten_3;VoorraadToenameOfAfname_4;OverigeBedrijfsopbrengsten_5;TotaalBedrijfslasten_6;GrondEnHulpstoffen_7;TotaalPersoneelskosten_8;BrutoSalarissen_9;Pensioenpremies_10;SocialeLasten_11;VoorHetLenenVanArbeidskrachten_12;OverigePersoneelskosten_13;TotaalAndereKosten_14;Afschrijvingen_15;Huisvestingskosten_16;OverigeAndereKosten_17;Bedrijfsresultaat_18;Rentebaten_19;Rentelasten_20;ResultaatDeelnemingen_21;OnttrokkenAanVoorzieningen_22;DotatiesAanVoorzieningen_23;ResultaatVoorBelastingen_24;TotaalWerkzamePersonen_25;Fulltimers_26;Parttimers_27;TotaalMannen_28;Fulltime_29;Parttime_30;TotaalVrouwen_31;Fulltime_32;Parttime_33;TotaalBezetteArbeidsplaatsen_34;TotaalMannen_35;Fulltime_36;Parttime_37;TotaalVrouwen_38;Fulltime_39;Parttime_40;TotaalKeuringsartsen_41;Mannen_42;Vrouwen_43;TotaalAfnKeuringsEnBewPersoneel_44;Mannen_45;Vrouwen_46;TotaalDirectie_47;Mannen_48;Vrouwen_49;TotaalAdmEnOverigPersoneel_50;Mannen_51;Vrouwen_52;Keuringsartsen_53;Uitzendkrachten_54;Vrijwilligers_55;Overigen_56;Oproepkrachten_57;DonorsPerUltimo_58;Keuringen_59;NieuweDonors_60;DonorsPer1000Inwoners_61;Bloeddonaties_62;BepalingenTotaal_63;Syfilis_64;AuAntigeen_65;Bloedgroep_66;HIV_67;HCV_68;AndereBepalingen_69
0;1985;22;41.2;;;;41.6;13.0;17.2;12.5;1.1;2.8;0.4;0.5;11.4;1.6;2.6;7.1;0.3;;0.6;;;;-0.4;1219;455.0;764.0;235.0;155.0;80.0;984.0;300.0;684.0;727.0;191.0;;;536.0;;;24.0;13.0;11.0;494.0;91.0;403.0;23.0;20.0;3.0;186.0;67.0;119.0;12.0;7.0;;18.0;;449.0;684.0;59.0;;637.0;1791.0;676.0;686.0;429.0;;;
1;1986;22;47.9;;;;46.6;16.0;18.7;13.6;1.2;3.1;0.2;0.6;11.9;1.9;2.8;7.2;2.0;;0.8;;;;1.3;1251;483.0;768.0;237.0;150.0;87.0;1014.0;333.0;681.0;758.0;184.0;;;574.0;;;25.0;12.0;13.0;529.0;86.0;443.0;26.0;22.0;4.0;178.0;64.0;114.0;13.0;13.0;;16.0;;451.0;712.0;42.0;;664.0;1964.0;707.0;715.0;542.0;;;
2;1987;22;48.3;;;;47.3;16.4;19.2;14.0;1.2;3.2;0.2;0.6;11.7;2.0;2.6;7.0;1.8;;0.8;;;;1.0;1313;496.0;817.0;249.0;174.0;75.0;1064.0;322.0;742.0;790.0;203.0;;;587.0;;;29.0;13.0;16.0;556.0;97.0;459.0;26.0;23.0;3.0;179.0;70.0;109.0;10.0;18.0;;11.0;;459.0;723.0;47.0;;664.0;1965.0;715.0;722.0;528.0;;;
3;1988;22;49.9;;;;49.4;16.8;19.7;14.8;1.1;3.2;0.2;0.4;12.8;2.2;2.6;8.0;1.3;;0.8;;;;0.5;1346;499.0;847.0;257.0;171.0;86.0;1089.0;328.0;761.0;804.0;203.0;;;601.0;;;29.0;13.0;16.0;555.0;98.0;457.0;27.0;22.0;5.0;193.0;70.0;123.0;8.0;20.0;;14.0;;455.0;740.0;40.0;;685.0;2746.0;733.0;737.0;533.0;743.0;;
4;1989;22;50.6;;;;51.4;17.3;21.0;16.0;1.0;3.2;0.3;0.5;13.1;2.5;2.7;7.9;0.1;;0.9;;;;-0.8;1380;506.0;874.0;271.0;180.0;91.0;1109.0;326.0;783.0;827.0;214.0;;;613.0;;;34.0;13.0;21.0;567.0;107.0;460.0;26.0;22.0;4.0;200.0;72.0;128.0;8.0;24.0;;16.0;;464.0;755.0;47.0;;695.0;2823.0;753.0;745.0;572.0;753.0;;
5;1990;22;53.7;;;;55.3;19.2;22.1;18.4;0.8;2.3;0.3;0.5;14.0;2.7;2.8;8.5;-0.3;;1.3;;;;-1.6;1423;511.0;912.0;294.0;197.0;97.0;1129.0;314.0;815.0;860.0;230.0;;;630.0;;;36.0;19.0;17.0;600.0;117.0;483.0;29.0;24.0;5.0;195.0;70.0;125.0;8.0;23.0;;18.0;;474.0;783.0;48.0;;713.0;2972.0;765.0;771.0;663.0;773.0;;
6;1991;22;62.0;;;;65.0;23.7;24.9;20.7;0.8;2.4;0.6;0.4;16.4;2.8;3.0;10.6;-1.2;;1.8;;;;-3.0;1528;545.0;983.0;312.0;206.0;106.0;1216.0;339.0;877.0;935.0;245.0;;;690.0;;;42.0;22.0;20.0;655.0;123.0;532.0;29.0;24.0;5.0;209.0;76.0;133.0;7.0;28.0;;10.0;;504.0;837.0;67.0;;755.0;3885.0;798.0;795.0;715.0;799.0;778.0;
7;1992;22;70.9;69.9;;1.0;73.5;26.2;28.0;22.7;0.8;2.4;0.8;1.3;19.3;2.9;3.5;12.8;-0.4;;2.2;;;;-2.5;1626;544.0;1082.0;341.0;208.0;133.0;1285.0;336.0;949.0;979.0;261.0;;;718.0;;;45.0;22.0;23.0;689.0;140.0;549.0;27.0;23.0;4.0;218.0;76.0;142.0;8.0;25.0;;18.0;;518.0;927.0;58.0;;829.0;4349.0;887.0;891.0;781.0;894.0;896.0;
8;1993;23;83.3;82.0;;1.2;83.4;26.9;32.3;26.0;0.7;2.6;1.6;1.4;24.2;3.6;3.8;16.8;2.3;0.1;2.5;;;;-0.1;1681;585.0;1096.0;362.0;241.0;121.0;1319.0;344.0;975.0;1023.0;287.0;;;736.0;;;50.0;25.0;25.0;715.0;157.0;558.0;26.0;22.0;4.0;232.0;83.0;149.0;12.0;29.0;;23.0;;708.0;989.0;72.0;;973.0;5797.0;1022.0;1039.0;942.0;1041.0;1040.0;713.0
9;1994;23;86.9;86.1;;0.8;85.6;27.9;33.4;27.9;0.7;2.2;1.1;1.5;24.4;3.9;4.1;16.4;3.7;0.0;2.5;;;;1.3;1775;575.0;1200.0;380.0;238.0;142.0;1395.0;337.0;1058.0;1049.0;297.0;;;752.0;;;55.0;27.0;28.0;716.0;156.0;560.0;29.0;23.0;6.0;249.0;91.0;158.0;13.0;22.0;;20.0;;659.0;1113.0;69.0;;1001.0;6035.0;1046.0;1057.0;955.0;1067.0;1088.0;822.0
