ID;Geslacht;Leeftijd;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonendePersonen_5;PartnerInNietGehuwdPaarZonderKi_6;PartnerInGehuwdPaarZonderKinderen_7;PartnerInNietGehuwdPaarMetKinderen_8;PartnerInGehuwdPaarMetKinderen_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersonenInInstitutioneleHuishoudens_12
0;Totaal mannen en vrouwen;Totaal;1995;15424122;15176387;4546361;2109149.0;7910309.0;837115.0;2849232.0;199212.0;4024750.0;360754.0;249814;247735
1;Totaal mannen en vrouwen;Totaal;1996;15493889;15246412;4557089;2123782.0;7964162.0;881994.0;2870894.0;223668.0;3987606.0;368776.0;232603;247477
2;Totaal mannen en vrouwen;Totaal;1997;15567107;15325570;4545206;2157561.0;8017092.0;919742.0;2911174.0;246574.0;3939602.0;371642.0;234069;241537
3;Totaal mannen en vrouwen;Totaal;1998;15654192;15417450;4535995;2201318.0;8073969.0;951495.0;2954076.0;268096.0;3900302.0;375104.0;231064;236742
4;Totaal mannen en vrouwen;Totaal;1999;15760225;15529690;4525716;2254631.0;8135415.0;972064.0;3008044.0;295079.0;3860228.0;379627.0;234301;230535
5;Totaal mannen en vrouwen;Totaal;2000;15863943;15639815;4541102;2272219.0;8196032.0;989259.0;3042126.0;325531.0;3839116.0;384318.0;246144;224128
6;Totaal mannen en vrouwen;Totaal;2001;15987074;15768027;4577995;2307075.0;8231824.0;991072.0;3061444.0;356776.0;3822532.0;396353.0;254780;219047
7;Totaal mannen en vrouwen;Totaal;2002;16105283;15888494;4615571;2344903.0;8257686.0;998178.0;3069784.0;394190.0;3795534.0;411691.0;258643;216789
8;Totaal mannen en vrouwen;Totaal;2003;16192572;15977797;4628992;2383580.0;8278756.0;999883.0;3093312.0;428267.0;3757294.0;424124.0;262345;214775
9;Totaal mannen en vrouwen;Totaal;2004;16258032;16043120;4635325;2423950.0;8286332.0;990083.0;3112686.0;463013.0;3720550.0;433972.0;263541;214912
10;Totaal mannen en vrouwen;Totaal;2005;16305526;16092324;4634684;2449378.0;8298507.0;996744.0;3127616.0;497083.0;3677064.0;444124.0;265631;213202
11;Totaal mannen en vrouwen;Totaal;2006;16334210;16125557;4620345;2502084.0;8287373.0;989696.0;3144304.0;528319.0;3625054.0;452370.0;263385;208653
12;Totaal mannen en vrouwen;Totaal;2007;16357992;16151260;4601146;2536891.0;8291831.0;992062.0;3167912.0;561743.0;3570114.0;458881.0;262511;206732
13;Totaal mannen en vrouwen;Totaal;2008;16405399;16198535;4585036;2571014.0;8309482.0;1002666.0;3192638.0;597154.0;3517024.0;465704.0;267299;206864
14;Totaal mannen en vrouwen;Totaal;2009;16485787;16278784;4579646;2619394.0;8331248.0;1010074.0;3218836.0;629132.0;3473206.0;474909.0;273587;207003
15;Totaal mannen en vrouwen;Totaal;2010;16574989;16366302;4582223;2669516.0;8351932.0;1011414.0;3243236.0;661046.0;3436236.0;486250.0;276381;208687
16;Totaal mannen en vrouwen;Totaal;2011;16655799;16436484;4584272;2708251.0;8390655.0;1028748.0;3259025.0;699207.0;3403675.0;496272.0;257034;219315
17;Totaal mannen en vrouwen;Totaal;2012;16730348;16511124;4590769;2761764.0;8392958.0;1023588.0;3273354.0;722336.0;3373680.0;510894.0;254739;219224
18;Totaal mannen en vrouwen;Totaal;2013;16779575;16564791;4584600;2802182.0;8405274.0;1035156.0;3284622.0;750330.0;3335166.0;521578.0;251157;214784
19;Totaal mannen en vrouwen;Totaal;2014;16829289;16579347;4575606;2803852.0;8416336.0;1057062.0;3291278.0;776920.0;3291076.0;535870.0;247683;249942
20;Totaal mannen en vrouwen;Totaal;2015;16900726;16655932;4569209;2867797.0;8420057.0;1062311.0;3302758.0;807030.0;3247958.0;545289.0;253580;244794
21;Totaal mannen en vrouwen;Totaal;2016;16979120;16724232;4575382;2906334.0;8430396.0;1081262.0;3306646.0;826886.0;3215602.0;557426.0;254694;254888
22;Totaal mannen en vrouwen;Totaal;2017;17081507;16836205;4590985;2961228.0;8458470.0;1096652.0;3314754.0;854552.0;3192512.0;562124.0;263398;245302
23;Totaal mannen en vrouwen;Totaal;2018;17181084;16932312;4607972;2997617.0;8494992.0;1124866.0;3325188.0;870430.0;3174508.0;572419.0;259312;248772
24;Totaal mannen en vrouwen;Totaal;2019;17282163;17035502;4626741;3037622.0;8528704.0;1150080.0;3333292.0;881918.0;3163414.0;582106.0;260329;246661
25;Totaal mannen en vrouwen;Totaal;2020;17407585;17148722;4643605;3079778.0;8574862.0;1179832.0;3344778.0;894568.0;3155684.0;589975.0;260502;258863
26;Totaal mannen en vrouwen;Totaal;2021;17475415;17216655;4637308;3097117.0;8622770.0;1240158.0;3340610.0;915288.0;3126714.0;593871.0;265589;258760
27;Totaal mannen en vrouwen;Totaal;2022;17590672;17328133;4638955;3172564.0;8655582.0;1266754.0;3349236.0;932163.0;3107429.0;596408.0;264624;262539
28;Totaal mannen en vrouwen;Totaal;2023;17811291;17535267;4683450;3266042.0;8702082.0;1277524.0;3355286.0;940378.0;3128894.0;610633.0;273060;276024
29;Totaal mannen en vrouwen;Totaal;2024;17942942;17653766;4670903;3340560.0;8737472.0;1302376.0;3375340.0;939236.0;3120520.0;618056.0;286775;289176
30;Totaal mannen en vrouwen;0 jaar;1995;195920;195751;194092;;;;;;;;1659;169
31;Totaal mannen en vrouwen;0 jaar;1996;190736;190523;189394;;;;;;;;1129;213
32;Totaal mannen en vrouwen;0 jaar;1997;190218;190002;188884;;;;;;;;1118;216
33;Totaal mannen en vrouwen;0 jaar;1998;192308;192138;190968;;;;;;;;1170;170
34;Totaal mannen en vrouwen;0 jaar;1999;199728;199506;198335;;;;;;;;1171;222
35;Totaal mannen en vrouwen;0 jaar;2000;201748;201540;200095;;;;;;;;1445;208
36;Totaal mannen en vrouwen;0 jaar;2001;207097;206880;205294;;;;;;;;1586;217
37;Totaal mannen en vrouwen;0 jaar;2002;204039;203836;202215;;;;;;;;1621;203
38;Totaal mannen en vrouwen;0 jaar;2003;202386;202109;200299;;;;;;;;1810;277
39;Totaal mannen en vrouwen;0 jaar;2004;200781;200521;198673;;;;;;;;1848;260
40;Totaal mannen en vrouwen;0 jaar;2005;193763;193516;191620;;;;;;;;1896;247
41;Totaal mannen en vrouwen;0 jaar;2006;187172;186945;185025;;;;;;;;1920;227
42;Totaal mannen en vrouwen;0 jaar;2007;184425;184213;182207;;;;;;;;2006;212
43;Totaal mannen en vrouwen;0 jaar;2008;180762;180519;178529;;;;;;;;1990;243
44;Totaal mannen en vrouwen;0 jaar;2009;184408;184167;181902;;;;;;;;2265;241
45;Totaal mannen en vrouwen;0 jaar;2010;184586;184283;182120;;;;;;;;2163;303
46;Totaal mannen en vrouwen;0 jaar;2011;184007;183641;180648;;;;;;;;2993;366
47;Totaal mannen en vrouwen;0 jaar;2012;179653;179234;176222;;;;;;;;3012;419
48;Totaal mannen en vrouwen;0 jaar;2013;175587;175147;172191;;;;;;;;2956;440
49;Totaal mannen en vrouwen;0 jaar;2014;170953;170522;167645;;;;;;;;2877;431
50;Totaal mannen en vrouwen;0 jaar;2015;174681;174250;171257;;;;;;;;2993;431
51;Totaal mannen en vrouwen;0 jaar;2016;170341;169815;167097;;;;;;;;2718;526
52;Totaal mannen en vrouwen;0 jaar;2017;172288;171591;168687;;;;;;;;2904;697
53;Totaal mannen en vrouwen;0 jaar;2018;169566;168996;166357;;;;;;;;2639;570
54;Totaal mannen en vrouwen;0 jaar;2019;168443;167875;165156;;;;;;;;2719;568
55;Totaal mannen en vrouwen;0 jaar;2020;169497;168803;165949;;;;;;;;2854;694
56;Totaal mannen en vrouwen;0 jaar;2021;168270;167606;164808;;;;;;;;2798;664
57;Totaal mannen en vrouwen;0 jaar;2022;179133;178552;175951;;;;;;;;2601;581
58;Totaal mannen en vrouwen;0 jaar;2023;167629;167020;164182;;;;;;;;2838;609
59;Totaal mannen en vrouwen;0 jaar;2024;164473;163794;160895;;;;;;;;2899;679
60;Totaal mannen en vrouwen;1 jaar;1995;195419;195287;192858;;;;;;;;2429;132
61;Totaal mannen en vrouwen;1 jaar;1996;196319;196155;194833;;;;;;;;1322;164
62;Totaal mannen en vrouwen;1 jaar;1997;191467;191295;190037;;;;;;;;1258;172
63;Totaal mannen en vrouwen;1 jaar;1998;191191;191035;189708;;;;;;;;1327;156
64;Totaal mannen en vrouwen;1 jaar;1999;193777;193631;192170;;;;;;;;1461;146
65;Totaal mannen en vrouwen;1 jaar;2000;201017;200860;199275;;;;;;;;1585;157
66;Totaal mannen en vrouwen;1 jaar;2001;203155;202966;201219;;;;;;;;1747;189
67;Totaal mannen en vrouwen;1 jaar;2002;208553;208348;206438;;;;;;;;1910;205
68;Totaal mannen en vrouwen;1 jaar;2003;205151;204940;203044;;;;;;;;1896;211
69;Totaal mannen en vrouwen;1 jaar;2004;203063;202825;200797;;;;;;;;2028;238
70;Totaal mannen en vrouwen;1 jaar;2005;201322;201089;199012;;;;;;;;2077;233
71;Totaal mannen en vrouwen;1 jaar;2006;193959;193783;191721;;;;;;;;2062;176
