ID;Milieudomein;BedrijfstakkenBranchesSBI2008;Perioden;ArbeidsvolumeWerkzamePersonen_1;ProductieBasisprijzen_2;BrutoToegevoegdeWaardeBasisprijzen_3;UitvoerBasisprijzen_4
0;Totaal milieudomeinen;A-U Alle economische activiteiten;2001;117.1;18261.0;7906.0;
1;Totaal milieudomeinen;A-U Alle economische activiteiten;2002;119.2;19295.0;8333.0;
2;Totaal milieudomeinen;A-U Alle economische activiteiten;2003;118.1;19798.0;8655.0;
3;Totaal milieudomeinen;A-U Alle economische activiteiten;2004;114.1;20140.0;8820.0;
4;Totaal milieudomeinen;A-U Alle economische activiteiten;2005;110.5;20553.0;9071.0;
5;Totaal milieudomeinen;A-U Alle economische activiteiten;2006;117.1;22066.0;10016.0;
6;Totaal milieudomeinen;A-U Alle economische activiteiten;2007;119.0;23533.0;10652.0;
7;Totaal milieudomeinen;A-U Alle economische activiteiten;2008;119.7;25952.0;11712.0;
8;Totaal milieudomeinen;A-U Alle economische activiteiten;2009;123.8;25534.0;11471.0;
9;Totaal milieudomeinen;A-U Alle economische activiteiten;2010;129.4;27957.0;12416.0;
10;Totaal milieudomeinen;A-U Alle economische activiteiten;2011;135.2;31805.0;13220.0;
11;Totaal milieudomeinen;A-U Alle economische activiteiten;2012;130.5;32961.0;13028.0;
12;Totaal milieudomeinen;A-U Alle economische activiteiten;2013;133.5;34214.0;13570.0;
13;Totaal milieudomeinen;A-U Alle economische activiteiten;2014;134.0;35311.0;14647.0;8114.0
14;Totaal milieudomeinen;A-U Alle economische activiteiten;2015;135.1;35719.0;15287.0;8379.0
15;Totaal milieudomeinen;A-U Alle economische activiteiten;2016;143.1;37332.0;16108.0;8467.0
16;Totaal milieudomeinen;A-U Alle economische activiteiten;2017;151.6;40499.0;17439.0;7842.0
17;Totaal milieudomeinen;A-U Alle economische activiteiten;2018;160.2;42499.0;18145.0;8096.0
18;Totaal milieudomeinen;A-U Alle economische activiteiten;2019;172.0;45620.0;19881.0;8723.0
19;Totaal milieudomeinen;A-U Alle economische activiteiten;2020;184.5;47292.0;20829.0;8314.0
20;Totaal milieudomeinen;A-U Alle economische activiteiten;2021;188.3;52109.0;22062.0;10371.0
21;Totaal milieudomeinen;A Landbouw, bosbouw en visserij;2001;1.8;367.0;157.0;
22;Totaal milieudomeinen;A Landbouw, bosbouw en visserij;2002;1.9;395.0;164.0;
23;Totaal milieudomeinen;A Landbouw, bosbouw en visserij;2003;2.1;403.0;172.0;
24;Totaal milieudomeinen;A Landbouw, bosbouw en visserij;2004;2.1;417.0;179.0;
25;Totaal milieudomeinen;A Landbouw, bosbouw en visserij;2005;2.2;448.0;206.0;
