ID;Countries;Periods;GDPPerCapita_1;GDPVolumeChange_2;GDPPerHourWorked_3;GDPPerPersonEmployed_4;EmploymentRate_5;Men_6;Women_7;k_15To25Years_8;k_25To55Years_9;k_55To65Years_10;AnnualHoursWorkedPerPersonEmployed_11;TotalMenAndWomen_12;Men_13;Women_14;IncomeQuintileShareRatio_15;EnergyConsumptionPerUnitOfGDP_16;EmissionCarbonDioxideCO2PerCapita_17;ElectricityRenewableEnergySources_18
0;Australia;1960;1.4;;;;;;;;;;;70.9;67.9;73.9;;;;
1;Australia;1970;3.0;;;;66.7;89.0;44.0;66.6;69.9;53.5;;70.8;67.4;74.2;;;;
2;Australia;1980;8.3;;;;65.2;82.3;47.9;63.1;71.2;43.6;1830.0;74.5;71.0;78.1;;;;
3;Australia;1990;16.0;1.5;29.8;53.2;68.4;79.2;57.4;62.7;76.0;41.5;1785.0;77.0;73.9;80.1;;;15.1;
4;Australia;1991;16.6;-1.2;30.3;53.9;66.0;75.8;56.0;57.6;74.3;40.2;1779.0;77.4;74.4;80.4;;;15.0;
5;Australia;1992;17.6;2.9;31.3;55.7;64.9;74.2;55.6;56.1;73.3;39.3;1778.0;77.5;74.5;80.4;;;15.1;
6;Australia;1993;18.2;4.1;32.2;57.7;64.7;73.8;55.5;56.0;72.9;38.9;1792.0;78.0;75.0;80.9;;;15.2;
7;Australia;1994;19.1;4.8;32.5;58.6;66.0;75.0;56.9;58.6;73.6;40.5;1801.0;78.0;75.0;80.9;;;15.3;
8;Australia;1995;18.7;3.6;32.4;58.3;67.7;76.4;59.0;60.8;75.2;41.7;1798.0;77.9;75.0;80.8;;;15.7;
9;Australia;1996;19.6;3.9;33.4;59.9;67.6;76.3;58.9;60.5;74.9;42.4;1791.0;78.2;75.2;81.1;;;16.1;
10;Australia;1997;20.7;3.9;34.4;61.6;67.4;75.8;58.9;58.9;74.9;42.7;1791.0;78.5;75.6;81.3;;;16.3;
11;Australia;1998;21.9;5.1;35.6;63.3;67.9;76.2;59.6;59.9;75.3;43.9;1778.0;78.7;75.9;81.5;;;17.2;
12;Australia;1999;23.3;4.1;36.3;64.8;68.4;76.6;60.0;61.0;75.5;44.3;1786.0;79.0;76.2;81.8;;;17.5;
13;Australia;2000;24.4;3.2;36.6;65.2;69.3;77.1;61.4;62.1;76.3;46.2;1780.0;79.3;76.6;82.0;;;17.6;
14;Australia;2001;25.1;2.7;38.0;66.2;69.0;76.4;61.7;61.2;76.3;46.8;1741.0;79.7;77.0;82.4;;;18.0;
15;Australia;2002;26.0;3.9;38.9;67.4;69.4;76.7;62.0;61.0;76.7;48.6;1734.0;80.0;77.4;82.6;;;18.1;
16;Australia;2003;27.0;3.3;39.1;68.1;70.0;77.0;63.0;61.8;77.2;50.3;1740.0;80.3;77.8;82.8;;;18.1;
