ID;DeelgebiedenGWW;Perioden;Inputprijsindex_1;MutatieTenOpzichteVan1JaarEerder_2
0;42/43: Grond-, weg- en waterbouw;2005 januari;98;
1;42/43: Grond-, weg- en waterbouw;2005 april;99;
2;42/43: Grond-, weg- en waterbouw;2005 juli;100;
3;42/43: Grond-, weg- en waterbouw;2005 oktober;102;
4;42/43: Grond-, weg- en waterbouw;2006 januari;102;4.5
5;42/43: Grond-, weg- en waterbouw;2006 april;104;4.3
6;42/43: Grond-, weg- en waterbouw;2006 juli;105;4.4
7;42/43: Grond-, weg- en waterbouw;2006 oktober;104;2.7
8;42/43: Grond-, weg- en waterbouw;2007 januari;105;2.4
9;42/43: Grond-, weg- en waterbouw;2007 april;106;2.2
10;42/43: Grond-, weg- en waterbouw;2007 juli;108;2.8
11;42/43: Grond-, weg- en waterbouw;2007 oktober;108;3.8
12;42/43: Grond-, weg- en waterbouw;2008 januari;111;5.7
13;42/43: Grond-, weg- en waterbouw;2008 april;113;6.3
14;42/43: Grond-, weg- en waterbouw;2008 juli;118;9.3
15;42/43: Grond-, weg- en waterbouw;2008 oktober;116;6.9
16;42/43: Grond-, weg- en waterbouw;2009 januari;112;0.9
17;42/43: Grond-, weg- en waterbouw;2009 april;111;-1.4
18;42/43: Grond-, weg- en waterbouw;2009 juli;112;-5.0
19;42/43: Grond-, weg- en waterbouw;2009 oktober;112;-3.1
20;42/43: Grond-, weg- en waterbouw;2010 januari;113;1.6
21;42/43: Grond-, weg- en waterbouw;2010 april;116;4.1
22;42/43: Grond-, weg- en waterbouw;2010 juli;116;3.5
23;42/43: Grond-, weg- en waterbouw;2010 oktober;116;3.3
24;42/43: Grond-, weg- en waterbouw;2011 januari;118;4.3
25;42/43: Grond-, weg- en waterbouw;2011 april;120;3.9
26;42/43: Grond-, weg- en waterbouw;2011 juli;120;3.9
27;42/43: Grond-, weg- en waterbouw;2011 oktober;120;3.8
28;42/43: Grond-, weg- en waterbouw;2012 januari;122;3.1
29;42/43: Grond-, weg- en waterbouw;2012 april;123;2.5
30;42/43: Grond-, weg- en waterbouw;2012 juli;123;2.5
31;42/43: Grond-, weg- en waterbouw;2012 oktober;124;3.0
32;42/43: Grond-, weg- en waterbouw;2013 januari;124;1.7
33;42/43: Grond-, weg- en waterbouw;2013 april;123;0.2
34;42/43: Grond-, weg- en waterbouw;2013 juli;123;0.0
35;42/43: Grond-, weg- en waterbouw;2013 oktober;123;-0.7
36;42111: Wegen met open verharding;2005 januari;99;
37;42111: Wegen met open verharding;2005 april;100;
38;42111: Wegen met open verharding;2005 juli;100;
39;42111: Wegen met open verharding;2005 oktober;101;
40;42111: Wegen met open verharding;2006 januari;102;3.5
41;42111: Wegen met open verharding;2006 april;102;2.7
42;42111: Wegen met open verharding;2006 juli;103;2.5
43;42111: Wegen met open verharding;2006 oktober;102;1.3
44;42111: Wegen met open verharding;2007 januari;103;1.0
45;42111: Wegen met open verharding;2007 april;104;1.5
46;42111: Wegen met open verharding;2007 juli;105;2.2
47;42111: Wegen met open verharding;2007 oktober;105;2.8
48;42111: Wegen met open verharding;2008 januari;107;3.8
49;42111: Wegen met open verharding;2008 april;109;4.4
50;42111: Wegen met open verharding;2008 juli;111;5.8
51;42111: Wegen met open verharding;2008 oktober;110;5.0
52;42111: Wegen met open verharding;2009 januari;111;3.6
53;42111: Wegen met open verharding;2009 april;111;2.4
54;42111: Wegen met open verharding;2009 juli;112;0.6
55;42111: Wegen met open verharding;2009 oktober;112;1.3
56;42111: Wegen met open verharding;2010 januari;113;1.7
57;42111: Wegen met open verharding;2010 april;114;2.1
58;42111: Wegen met open verharding;2010 juli;114;1.8
59;42111: Wegen met open verharding;2010 oktober;114;1.8
60;42111: Wegen met open verharding;2011 januari;115;1.9
61;42111: Wegen met open verharding;2011 april;116;2.1
62;42111: Wegen met open verharding;2011 juli;116;2.1
63;42111: Wegen met open verharding;2011 oktober;116;2.2
64;42111: Wegen met open verharding;2012 januari;117;2.1
65;42111: Wegen met open verharding;2012 april;118;2.1
66;42111: Wegen met open verharding;2012 juli;118;1.9
67;42111: Wegen met open verharding;2012 oktober;119;2.6
68;42111: Wegen met open verharding;2013 januari;119;1.1
69;42111: Wegen met open verharding;2013 april;119;0.4
70;42111: Wegen met open verharding;2013 juli;119;0.3
71;42111: Wegen met open verharding;2013 oktober;118;-0.7
72;42112: Wegen met gesloten verharding;2005 januari;96;
73;42112: Wegen met gesloten verharding;2005 april;98;
74;42112: Wegen met gesloten verharding;2005 juli;101;
75;42112: Wegen met gesloten verharding;2005 oktober;104;
76;42112: Wegen met gesloten verharding;2006 januari;104;9.1
77;42112: Wegen met gesloten verharding;2006 april;107;9.0
78;42112: Wegen met gesloten verharding;2006 juli;108;7.4
79;42112: Wegen met gesloten verharding;2006 oktober;106;2.9
80;42112: Wegen met gesloten verharding;2007 januari;106;1.6
81;42112: Wegen met gesloten verharding;2007 april;108;0.8
82;42112: Wegen met gesloten verharding;2007 juli;111;3.2
83;42112: Wegen met gesloten verharding;2007 oktober;114;6.9
84;42112: Wegen met gesloten verharding;2008 januari;118;11.2
85;42112: Wegen met gesloten verharding;2008 april;119;10.1
86;42112: Wegen met gesloten verharding;2008 juli;128;14.8
87;42112: Wegen met gesloten verharding;2008 oktober;125;9.5
88;42112: Wegen met gesloten verharding;2009 januari;114;-3.2
89;42112: Wegen met gesloten verharding;2009 april;113;-4.9
90;42112: Wegen met gesloten verharding;2009 juli;116;-9.4
91;42112: Wegen met gesloten verharding;2009 oktober;117;-6.0
92;42112: Wegen met gesloten verharding;2010 januari;118;3.6
93;42112: Wegen met gesloten verharding;2010 april;122;7.3
94;42112: Wegen met gesloten verharding;2010 juli;122;5.3
