ID;LandVanHerkomst;Geslacht;Perioden;TotaalAdopties_1;TotaalGewoneAdopties_2;GewoneAdoptiesViaDeRechtbank_3;GewoneAdoptiesViaHaagsAdoptieverdrag_4;Stiefouderadopties_5
0;0;Totaal kinderen;1995;1055;708;708;0;347
1;0;Totaal kinderen;1996;1027;682;682;0;345
2;0;Totaal kinderen;1997;1048;745;745;0;303
3;0;Totaal kinderen;1998;937;665;665;0;272
4;0;Totaal kinderen;1999;1246;1041;769;272;205
5;0;Totaal kinderen;2000;1299;1170;860;310;129
6;0;Totaal kinderen;2001;1390;1195;924;271;195
7;0;Totaal kinderen;2002;1498;1134;869;265;364
8;0;Totaal kinderen;2003;1398;1099;862;237;299
9;0;Totaal kinderen;2004;1633;1381;1116;265;252
10;0;Totaal kinderen;2005;1720;1474;1205;269;246
11;0;Totaal kinderen;2006;1216;994;763;231;222
12;0;Meisjes;1995;529;359;359;0;170
13;0;Meisjes;1996;542;375;375;0;167
14;0;Meisjes;1997;526;387;387;0;139
15;0;Meisjes;1998;481;354;354;0;127
16;0;Meisjes;1999;679;572;453;119;107
17;0;Meisjes;2000;725;662;516;146;63
18;0;Meisjes;2001;812;714;612;102;98
19;0;Meisjes;2002;899;708;588;120;191
20;0;Meisjes;2003;850;710;607;103;140
21;0;Meisjes;2004;1019;894;773;121;125
22;0;Meisjes;2005;1154;1026;918;108;128
23;0;Meisjes;2006;699;585;496;89;114
24;0;Jongens;1995;526;349;349;0;177
25;0;Jongens;1996;485;307;307;0;178
26;0;Jongens;1997;522;358;358;0;164
27;0;Jongens;1998;456;311;311;0;145
28;0;Jongens;1999;567;469;316;153;98
29;0;Jongens;2000;574;508;344;164;66
30;0;Jongens;2001;578;481;312;169;97
31;0;Jongens;2002;599;426;281;145;173
32;0;Jongens;2003;548;389;255;134;159
33;0;Jongens;2004;614;487;343;144;127
34;0;Jongens;2005;566;448;287;161;118
35;0;Jongens;2006;517;409;267;142;108
36;1;Totaal kinderen;1995;332;54;54;0;278
37;1;Totaal kinderen;1996;319;44;44;0;275
38;1;Totaal kinderen;1997;285;48;48;0;237
39;1;Totaal kinderen;1998;236;37;37;0;199
40;1;Totaal kinderen;1999;194;39;39;0;155
41;1;Totaal kinderen;2000;114;23;23;0;91
42;1;Totaal kinderen;2001;236;68;68;0;168
43;1;Totaal kinderen;2002;360;34;34;0;326
44;1;Totaal kinderen;2003;306;29;29;0;277
45;1;Totaal kinderen;2004;296;76;76;0;220
46;1;Totaal kinderen;2005;277;54;54;0;223
47;1;Totaal kinderen;2006;239;42;42;0;197
48;1;Meisjes;1995;152;17;17;0;135
49;1;Meisjes;1996;155;20;20;0;135
50;1;Meisjes;1997;135;24;24;0;111
51;1;Meisjes;1998;114;19;19;0;95
52;1;Meisjes;1999;106;23;23;0;83
53;1;Meisjes;2000;54;7;7;0;47
54;1;Meisjes;2001;115;32;32;0;83
55;1;Meisjes;2002;189;18;18;0;171
56;1;Meisjes;2003;142;12;12;0;130
57;1;Meisjes;2004;140;33;33;0;107
58;1;Meisjes;2005;145;30;30;0;115
59;1;Meisjes;2006;117;17;17;0;100
60;1;Jongens;1995;180;37;37;0;143
61;1;Jongens;1996;164;24;24;0;140
62;1;Jongens;1997;150;24;24;0;126
63;1;Jongens;1998;122;18;18;0;104
64;1;Jongens;1999;88;16;16;0;72
65;1;Jongens;2000;60;16;16;0;44
66;1;Jongens;2001;121;36;36;0;85
67;1;Jongens;2002;171;16;16;0;155
68;1;Jongens;2003;164;17;17;0;147
69;1;Jongens;2004;156;43;43;0;113
70;1;Jongens;2005;132;24;24;0;108
71;1;Jongens;2006;122;25;25;0;97
72;2;Totaal kinderen;1995;41;33;33;0;8
73;2;Totaal kinderen;1996;28;13;13;0;15
74;2;Totaal kinderen;1997;35;27;27;0;8
75;2;Totaal kinderen;1998;34;26;26;0;8
76;2;Totaal kinderen;1999;33;29;11;18;4
77;2;Totaal kinderen;2000;52;49;19;30;3
78;2;Totaal kinderen;2001;19;19;4;15;0
79;2;Totaal kinderen;2002;30;26;4;22;4
80;2;Totaal kinderen;2003;21;21;1;20;0
81;2;Totaal kinderen;2004;25;23;1;22;2
82;2;Totaal kinderen;2005;32;31;1;30;1
83;2;Totaal kinderen;2006;27;25;0;25;2
84;2;Meisjes;1995;19;14;14;0;5
85;2;Meisjes;1996;13;5;5;0;8
86;2;Meisjes;1997;18;13;13;0;5
87;2;Meisjes;1998;13;11;11;0;2
88;2;Meisjes;1999;18;16;5;11;2
89;2;Meisjes;2000;26;24;7;17;2
90;2;Meisjes;2001;5;5;1;4;0
