ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;GeenNiveauverandering_2;TotaalNiveauverandering_3;NaarLagerNiveau_4;NaarHogerNiveau_5;NaarLagerEnHogerNiveau_6;NiveauveranderingOnbekend_7;GeenNiveauverandering_8;TotaalNiveauverandering_9;NaarLagerNiveau_10;NaarHogerNiveau_11;NaarLagerEnHogerNiveau_12;NiveauveranderingOnbekend_13
0;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Totaal;183571.0;170602.0;11406.0;5397.0;6009.0;;1563.0;93.0;6.0;3.0;3.0;;1.0
1;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Leerlingen in vo op peilmoment;182008.0;170602.0;11406.0;5397.0;6009.0;;0.0;94.0;6.0;3.0;3.0;;0.0
2;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Leerlingen uit vo op peilmoment;1563.0;0.0;0.0;0.0;0.0;;1563.0;0.0;0.0;0.0;0.0;;100.0
3;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Totaal;183571.0;156036.0;25972.0;14751.0;10152.0;1069.0;1563.0;85.0;14.0;8.0;6.0;1.0;1.0
4;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Leerlingen in vo op peilmoment;180132.0;154194.0;25793.0;14625.0;10099.0;1069.0;145.0;86.0;14.0;8.0;6.0;1.0;0.0
5;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Leerlingen uit vo op peilmoment;3439.0;1842.0;179.0;126.0;53.0;0.0;1418.0;54.0;5.0;4.0;2.0;0.0;41.0
6;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Totaal;183571.0;144678.0;37442.0;24194.0;10812.0;2436.0;1451.0;79.0;20.0;13.0;6.0;1.0;1.0
7;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Leerlingen in vo op peilmoment;177048.0;140345.0;36631.0;23597.0;10629.0;2405.0;72.0;79.0;21.0;13.0;6.0;1.0;0.0
8;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Leerlingen uit vo op peilmoment;6523.0;4333.0;811.0;597.0;183.0;31.0;1379.0;66.0;12.0;9.0;3.0;0.0;21.0
9;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Totaal;183571.0;135641.0;46523.0;26878.0;15126.0;4519.0;1407.0;74.0;25.0;15.0;8.0;2.0;1.0
10;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen in vo op peilmoment;99917.0;73710.0;26178.0;13501.0;9730.0;2947.0;29.0;74.0;26.0;14.0;10.0;3.0;0.0
11;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen uit vo op peilmoment;83654.0;61931.0;20345.0;13377.0;5396.0;1572.0;1378.0;74.0;24.0;16.0;6.0;2.0;2.0
12;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Totaal;183571.0;132796.0;49383.0;28054.0;16212.0;5117.0;1392.0;72.0;27.0;15.0;9.0;3.0;1.0
13;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen in vo op peilmoment;58218.0;42929.0;15279.0;5753.0;7253.0;2273.0;10.0;74.0;26.0;10.0;12.0;4.0;0.0
14;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen uit vo op peilmoment;125353.0;89867.0;34104.0;22301.0;8959.0;2844.0;1382.0;72.0;27.0;18.0;7.0;2.0;1.0
15;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Totaal;183571.0;132221.0;49962.0;28483.0;16258.0;5221.0;1388.0;72.0;27.0;16.0;9.0;3.0;1.0
16;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen in vo op peilmoment;10175.0;6504.0;3671.0;918.0;2056.0;697.0;0.0;64.0;36.0;9.0;20.0;7.0;0.0
17;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen uit vo op peilmoment;173396.0;125717.0;46291.0;27565.0;14202.0;4524.0;1388.0;73.0;27.0;16.0;8.0;3.0;1.0
18;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Totaal;183571.0;132202.0;49981.0;28496.0;16259.0;5226.0;1388.0;72.0;27.0;16.0;9.0;3.0;1.0
19;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen in vo op peilmoment;628.0;282.0;346.0;42.0;206.0;98.0;0.0;45.0;55.0;7.0;33.0;16.0;0.0
20;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen uit vo op peilmoment;182943.0;131920.0;49635.0;28454.0;16053.0;5128.0;1388.0;72.0;27.0;16.0;9.0;3.0;1.0
21;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal brugklas vmbo;1 jaar na startjaar;Totaal;70904.0;64377.0;5574.0;1622.0;3952.0;;953.0;91.0;8.0;2.0;6.0;;1.0
22;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal brugklas vmbo;1 jaar na startjaar;Leerlingen in vo op peilmoment;69951.0;64377.0;5574.0;1622.0;3952.0;;0.0;92.0;8.0;2.0;6.0;;0.0
23;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal brugklas vmbo;1 jaar na startjaar;Leerlingen uit vo op peilmoment;953.0;0.0;0.0;0.0;0.0;;953.0;0.0;0.0;0.0;0.0;;100.0
