ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;Traditionele Horeca;2005 januari;81.5;86.8;93.9;;;
1;Traditionele Horeca;2005 februari;80.0;87.0;92.0;;;
2;Traditionele Horeca;2005 maart;89.0;87.3;101.9;;;
3;Traditionele Horeca;2005 1e kwartaal;83.5;87.1;95.9;;;
4;Traditionele Horeca;2005 april;98.9;87.6;112.9;;;
5;Traditionele Horeca;2005 mei;104.4;87.4;119.4;;;
6;Traditionele Horeca;2005 juni;105.7;88.1;120.0;;;
7;Traditionele Horeca;2005 2e kwartaal;103.0;87.7;117.4;;;
8;Traditionele Horeca;2005 juli;103.3;87.7;117.8;;;
9;Traditionele Horeca;2005 augustus;102.1;87.3;117.0;;;
10;Traditionele Horeca;2005 september;104.9;88.1;119.0;;;
11;Traditionele Horeca;2005 3e kwartaal;103.4;87.7;117.9;;;
12;Traditionele Horeca;2005 oktober;102.4;88.1;116.2;;;
13;Traditionele Horeca;2005 november;95.3;88.2;108.0;;;
14;Traditionele Horeca;2005 december;97.5;88.0;110.8;;;
15;Traditionele Horeca;2005 4e kwartaal;98.4;88.1;111.7;;;
16;Traditionele Horeca;2005;97.1;87.7;110.7;;;
17;Traditionele Horeca;2006 januari;84.5;88.2;95.8;3.6;1.5;2.0
18;Traditionele Horeca;2006 februari;82.9;88.5;93.7;3.5;1.7;1.8
19;Traditionele Horeca;2006 maart;93.3;89.1;104.7;4.8;2.0;2.7
20;Traditionele Horeca;2006 1e kwartaal;86.9;88.6;98.0;4.0;1.8;2.2
21;Traditionele Horeca;2006 april;105.0;89.3;117.6;6.1;1.9;4.1
22;Traditionele Horeca;2006 mei;109.8;89.4;122.9;5.2;2.2;3.0
23;Traditionele Horeca;2006 juni;110.7;89.9;123.2;4.7;2.0;2.7
24;Traditionele Horeca;2006 2e kwartaal;108.5;89.5;121.2;5.3;2.0;3.2
25;Traditionele Horeca;2006 juli;107.4;89.3;120.2;4.0;1.8;2.1
26;Traditionele Horeca;2006 augustus;107.0;89.1;120.0;4.8;2.1;2.6
27;Traditionele Horeca;2006 september;111.8;90.3;123.8;6.5;2.5;4.0
28;Traditionele Horeca;2006 3e kwartaal;108.7;89.6;121.3;5.1;2.1;2.9
29;Traditionele Horeca;2006 oktober;105.7;90.3;117.0;3.2;2.5;0.7
30;Traditionele Horeca;2006 november;100.9;90.6;111.4;6.0;2.8;3.1
31;Traditionele Horeca;2006 december;103.9;90.5;114.8;6.6;2.9;3.6
32;Traditionele Horeca;2006 4e kwartaal;103.5;90.5;114.4;5.2;2.7;2.4
33;Traditionele Horeca;2006;101.9;89.5;113.8;5.0;2.2;2.7
34;Traditionele Horeca;2007 januari;90.3;90.8;99.5;6.9;3.0;3.9
35;Traditionele Horeca;2007 februari;90.5;91.9;98.5;9.2;3.8;5.2
36;Traditionele Horeca;2007 maart;102.3;92.1;111.1;9.7;3.4;6.1
37;Traditionele Horeca;2007 1e kwartaal;94.4;91.6;103.0;8.7;3.4;5.1
38;Traditionele Horeca;2007 april;113.0;92.2;122.6;7.6;3.2;4.3
39;Traditionele Horeca;2007 mei;115.3;92.1;125.2;5.0;3.0;1.9
40;Traditionele Horeca;2007 juni;119.2;92.6;128.6;7.6;3.1;4.4
41;Traditionele Horeca;2007 2e kwartaal;115.8;92.3;125.5;6.7;3.1;3.5
42;Traditionele Horeca;2007 juli;111.0;91.7;121.0;3.4;2.7;0.7
43;Traditionele Horeca;2007 augustus;109.9;91.8;119.7;2.8;3.0;-0.3
44;Traditionele Horeca;2007 september;113.5;93.8;121.1;1.6;3.9;-2.2
45;Traditionele Horeca;2007 3e kwartaal;111.5;92.4;120.6;2.6;3.2;-0.6
46;Traditionele Horeca;2007 oktober;109.4;93.6;116.8;3.5;3.6;-0.2
47;Traditionele Horeca;2007 november;104.1;93.5;111.4;3.1;3.1;0.0
48;Traditionele Horeca;2007 december;106.6;93.3;114.2;2.6;3.1;-0.5
49;Traditionele Horeca;2007 4e kwartaal;106.7;93.5;114.1;3.1;3.3;-0.2
50;Traditionele Horeca;2007;107.1;92.4;115.8;5.1;3.2;1.8
51;Traditionele Horeca;2008 januari;92.0;94.0;97.9;1.9;3.5;-1.6
52;Traditionele Horeca;2008 februari;95.3;94.4;101.0;5.3;2.7;2.5
53;Traditionele Horeca;2008 maart;103.4;95.0;108.8;1.0;3.2;-2.1
