ID;Geslacht;Leeftijd;IndicatieZZVEnOfZMV;GebruikZZVEnOfZMV;RegioS;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2009;1100955.0;6.54;900545.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2010;1170770.0;6.92;949115.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2011;1201150.0;7.06;985270.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2012;1215155.0;7.12;1005500.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2013;1191600.0;6.96;979620.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Nederland;2014;1179970.0;6.86;978175.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2009;131440.0;7.56;108110.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2010;141040.0;8.09;114620.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2011;145065.0;8.3;119800.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2012;147370.0;8.43;122700.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2013;142455.0;8.16;118190.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Nederland (LD);2014;144350.0;8.25;120465.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2009;241555.0;6.77;199100.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2010;255835.0;7.14;208945.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2011;264715.0;7.36;218910.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2012;269405.0;7.47;224630.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2013;267870.0;7.41;223625.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Oost-Nederland (LD);2014;268145.0;7.4;224400.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2009;479470.0;6.06;389825.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2010;510835.0;6.41;411750.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2011;520990.0;6.49;423965.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2012;525305.0;6.51;430860.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2013;512080.0;6.32;413485.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;West-Nederland (LD);2014;500145.0;6.13;410650.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2009;248490.0;6.86;203510.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2010;263060.0;7.24;213805.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2011;270385.0;7.42;222590.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2012;273075.0;7.48;227310.0
