ID;Marges;Geslacht;Leeftijd;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;EmotioneelMoeilijkeWerksituatie_9;EmotioneelVeeleisendWerk_10;EmotioneelBetrokkenBijWerk_11;OngewensteSeksueleAandacht_12;Intimidatie_13;LichamelijkGeweld_14;Pesten_15;PsychischeVermoeidheidDoorHetWerk_16;EmotioneelUitgeput_17;LeegVoelen_18;SOchtendsMoeVoelen_19;VergtVeelOmMetMensenTeWerken_20;UitgeputDoorWerk_21
0;Waarde;Totaal mannen en vrouwen;10000;2015;26.5;37.9;27.4;90.3;88.7;84.0;88.8;59.2;4.3;9.3;16.1;4.1;11.4;2.3;4.4;7.5;6.9;17.6;10.0;7.5;6.2
1;Waarde;Totaal mannen en vrouwen;10000;2017;25.9;38.6;27.1;91.0;89.1;84.2;88.7;60.5;;;;4.1;11.2;2.5;4.9;8.8;8.1;19.7;11.7;9.1;7.4
2;Waarde;Totaal mannen en vrouwen;10000;2019;25.1;37.3;25.9;90.6;88.4;84.4;89.1;63.5;;;;4.5;10.8;2.5;4.8;9.2;8.8;19.1;11.6;9.3;7.1
3;Waarde;Totaal mannen en vrouwen;10000;2021;25.7;38.8;27.4;89.7;87.9;85.0;87.7;63.5;;;;4.3;10.1;2.1;4.3;9.5;9.6;19.4;11.5;10.3;7.1
4;Waarde;Totaal mannen en vrouwen;10000;2023;24.2;36.7;26.3;86.6;85.0;83.0;86.1;63.5;;;;5.3;12.8;2.6;5.1;11.7;12.4;22.0;13.6;11.9;9.1
5;Waarde;Totaal mannen en vrouwen;53050;2015;;;;;;;;;;;;;;;;;;;;;
6;Waarde;Totaal mannen en vrouwen;53050;2017;;;;;;;;;;;;;;;;;;;;;
7;Waarde;Totaal mannen en vrouwen;53050;2019;;;;;;;;;;;;;;;;;;;;;
8;Waarde;Totaal mannen en vrouwen;53050;2021;26.1;37.9;32.7;80.0;74.4;72.9;74.6;53.7;;;;6.1;14.3;3.4;8.0;9.7;10.3;21.5;12.2;9.1;7.6
9;Waarde;Totaal mannen en vrouwen;53050;2023;22.1;33.0;26.0;71.0;72.3;73.4;75.6;62.6;;;;5.4;10.9;6.9;7.3;13.6;13.9;24.8;13.2;10.2;11.3
10;Waarde;Totaal mannen en vrouwen;53500;2015;30.4;38.8;31.5;85.1;83.4;78.9;88.9;54.6;3.1;8.3;18.0;5.9;10.8;1.2;4.5;6.2;5.8;15.8;10.2;6.5;6.0
11;Waarde;Totaal mannen en vrouwen;53500;2017;28.3;43.9;33.7;87.7;84.1;75.8;86.8;56.6;;;;6.1;10.2;2.5;7.0;9.6;7.5;18.7;14.4;10.5;7.3
12;Waarde;Totaal mannen en vrouwen;53500;2019;33.0;46.0;32.5;86.0;83.2;76.8;87.8;59.7;;;;7.6;11.7;2.9;6.9;14.1;12.7;22.0;15.9;14.4;8.4
13;Waarde;Totaal mannen en vrouwen;53500;2021;30.3;46.4;34.7;83.5;79.1;75.3;84.4;57.1;;;;8.4;12.5;3.4;5.7;14.3;14.7;23.8;16.6;13.5;10.2
