ID;ApparatenVervoerMaterieelEnOverig;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Invoerhoeveelheid_2;Uitvoerwaarde_3;Uitvoerhoeveelheid_4;EenheidVanGoederensoort_5
0;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 januari;5.0;13.0;;;kg                       
1;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 februari;12.0;1361.0;;;kg                       
2;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 maart;0.0;2.0;;;kg                       
3;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 april;;;;;                         
4;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 mei;;;;;                         
5;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 juni;15.0;3752.0;270.0;10260.0;kg                       
6;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 juli;0.0;2.0;;;kg                       
7;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 augustus;1.0;8.0;;;kg                       
8;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 september;14.0;1002.0;;;kg                       
9;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 oktober;1.0;6.0;;;kg                       
10;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 november;4.0;1000.0;18.0;23.0;kg                       
11;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008 december;4.0;2.0;;;kg                       
12;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2008;57.0;7148.0;288.0;10283.0;kg                       
13;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 januari;1.0;8.0;;;kg                       
14;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 februari;0.0;4.0;9.0;9.0;kg                       
15;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 maart;;;800.0;28400.0;kg                       
16;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 april;;;1896.0;67200.0;kg                       
17;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 mei;;;1341.0;42000.0;kg                       
18;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 juni;;;;;                         
19;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 juli;10.0;2.0;362.0;22314.0;kg                       
20;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 augustus;;;;;                         
21;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 september;;;;;                         
22;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 oktober;2.0;2.0;;;kg                       
23;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 november;;;;;                         
24;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009 december;1.0;1.0;284.0;11600.0;kg                       
25;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2009;14.0;17.0;4692.0;171523.0;kg                       
26;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 januari;;;;;                         
27;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 februari;;;;;                         
28;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 maart;;;;;                         
29;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 april;;;68.0;8000.0;kg                       
30;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 mei;;;62.0;8000.0;kg                       
31;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 juni;;;72.0;8000.0;kg                       
32;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 juli;;;73.0;8000.0;kg                       
33;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 augustus;;;;;                         
34;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 september;;;;;                         
35;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 oktober;3.0;4.0;;;kg                       
36;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 november;6.0;1.0;;;kg                       
37;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010 december;;;;;                         
38;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2010;9.0;5.0;275.0;32000.0;kg                       
39;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 januari;;;2.0;2.0;kg                       
40;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 februari;;;;;                         
41;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 maart;80.0;19.0;;;kg                       
42;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 april;0.0;0.0;;;kg                       
43;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 mei;0.0;0.0;;;kg                       
44;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 juni;;;;;                         
45;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 juli;0.0;2.0;;;kg                       
46;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 augustus;;;;;                         
47;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 september;;;12.0;2304.0;kg                       
48;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 oktober;;;;;                         
49;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 november;;;;;                         
50;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011 december;;;;;                         
51;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2011;81.0;21.0;14.0;2306.0;kg                       
52;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 januari;;;;;                         
53;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 februari;;;;;                         
54;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 maart;;;;;                         
55;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 april;3.0;1690.0;;;kg                       
56;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 mei;;;;;                         
57;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 juni;;;;;                         
58;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 juli;;;;;                         
59;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 augustus;;;;;                         
60;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 september;;;;;                         
61;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 oktober;;;;;                         
62;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 november;;;;;                         
63;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012 december;;;;;                         
64;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2012;3.0;1690.0;;;kg                       
65;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 januari;;;;;                         
66;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 februari;;;;;                         
67;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 maart;;;;;                         
68;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 april;0.0;6.0;1.0;252.0;kg                       
69;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 mei;7.0;4958.0;0.0;1.0;kg                       
70;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 juni;;;0.0;2.0;kg                       
71;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 juli;;;5.0;42.0;kg                       
72;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 augustus;;;;;                         
73;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 september;;;;;                         
74;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 oktober;;;;;                         
75;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 november;;;0.0;0.0;kg                       
76;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 december;;;;;                         
77;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2013 ;8.0;4964.0;6.0;297.0;kg                       
78;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 januari;0.0;2.0;0.0;0.0;kg                       
79;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 februari;;;;;                         
80;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 maart;2.0;1355.0;;;kg                       
81;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 april;2.0;1355.0;;;kg                       
82;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 mei;2.0;1355.0;;;kg                       
