ID;WisselingBeroepsklasse;BeroepsklasseVoorgaandePeriode;Perioden;WerkzameBeroepsbevolking_1
0;Totaal;Totaal;2003 2e kwartaal;7517.0
1;Totaal;Totaal;2003 3e kwartaal;7504.0
2;Totaal;Totaal;2003 4e kwartaal;7491.0
3;Totaal;Totaal;2004 1e kwartaal;7476.0
4;Totaal;Totaal;2004 2e kwartaal;7470.0
5;Totaal;Totaal;2004 3e kwartaal;7493.0
6;Totaal;Totaal;2004 4e kwartaal;7502.0
7;Totaal;Totaal;2004;7240.0
8;Totaal;Totaal;2005 1e kwartaal;7499.0
9;Totaal;Totaal;2005 2e kwartaal;7515.0
10;Totaal;Totaal;2005 3e kwartaal;7548.0
11;Totaal;Totaal;2005 4e kwartaal;7576.0
12;Totaal;Totaal;2005;7250.0
13;Totaal;Totaal;2006 1e kwartaal;7591.0
14;Totaal;Totaal;2006 2e kwartaal;7614.0
15;Totaal;Totaal;2006 3e kwartaal;7653.0
16;Totaal;Totaal;2006 4e kwartaal;7708.0
17;Totaal;Totaal;2006;7333.0
18;Totaal;Totaal;2007 1e kwartaal;7777.0
19;Totaal;Totaal;2007 2e kwartaal;7839.0
20;Totaal;Totaal;2007 3e kwartaal;7896.0
21;Totaal;Totaal;2007 4e kwartaal;7943.0
22;Totaal;Totaal;2007;7546.0
23;Totaal;Totaal;2008 1e kwartaal;7989.0
24;Totaal;Totaal;2008 2e kwartaal;8043.0
25;Totaal;Totaal;2008 3e kwartaal;8089.0
26;Totaal;Totaal;2008 4e kwartaal;8102.0
27;Totaal;Totaal;2008;7752.0
28;Totaal;Totaal;2009 1e kwartaal;8121.0
29;Totaal;Totaal;2009 2e kwartaal;8110.0
30;Totaal;Totaal;2009 3e kwartaal;8064.0
31;Totaal;Totaal;2009 4e kwartaal;8019.0
32;Totaal;Totaal;2009;7827.0
33;Totaal;Totaal;2010 1e kwartaal;7969.0
34;Totaal;Totaal;2010 2e kwartaal;7967.0
35;Totaal;Totaal;2010 3e kwartaal;7983.0
36;Totaal;Totaal;2010 4e kwartaal;7995.0
37;Totaal;Totaal;2010;7766.0
38;Totaal;Totaal;2011 1e kwartaal;7983.0
39;Totaal;Totaal;2011 2e kwartaal;7963.0
40;Totaal;Totaal;2011 3e kwartaal;7970.0
41;Totaal;Totaal;2011 4e kwartaal;8002.0
42;Totaal;Totaal;2011;7702.0
43;Totaal;Totaal;2012 1e kwartaal;8012.0
44;Totaal;Totaal;2012 2e kwartaal;8023.0
45;Totaal;Totaal;2012 3e kwartaal;8040.0
46;Totaal;Totaal;2012 4e kwartaal;8046.0
47;Totaal;Totaal;2012;7716.0
48;Totaal;Totaal;2013 1e kwartaal;8013.0
49;Totaal;Totaal;2013 2e kwartaal;7986.0
50;Totaal;Totaal;2013 3e kwartaal;7976.0
51;Totaal;Totaal;2013 4e kwartaal;7957.0
52;Totaal;Totaal;2013;7716.0
53;Totaal;Totaal;2014 1e kwartaal;7902.0
54;Totaal;Totaal;2014 2e kwartaal;7881.0
55;Totaal;Totaal;2014 3e kwartaal;7910.0
56;Totaal;Totaal;2014 4e kwartaal;7950.0
57;Totaal;Totaal;2014;7609.0
58;Totaal;Totaal;2015 1e kwartaal;7963.0
59;Totaal;Totaal;2015 2e kwartaal;7988.0
60;Totaal;Totaal;2015 3e kwartaal;7999.0
61;Totaal;Totaal;2015 4e kwartaal;8018.0
62;Totaal;Totaal;2015;7642.0
63;Totaal;Totaal;2016 1e kwartaal;8022.0
64;Totaal;Totaal;2016 2e kwartaal;8057.0
65;Totaal;Totaal;2016 3e kwartaal;8115.0
66;Totaal;Totaal;2016 4e kwartaal;8167.0
67;Totaal;Totaal;2016;7746.0
68;Totaal;Totaal;2017 1e kwartaal;8198.0
69;Totaal;Totaal;2017 2e kwartaal;8242.0
70;Totaal;Totaal;2017 3e kwartaal;8292.0
71;Totaal;Totaal;2017 4e kwartaal;8349.0
72;Totaal;Totaal;2017;7864.0
73;Totaal;Totaal;2018 1e kwartaal;8386.0
74;Totaal;Totaal;2018 2e kwartaal;8433.0
75;Totaal;Totaal;2018 3e kwartaal;8497.0
76;Totaal;Totaal;2018 4e kwartaal;8552.0
77;Totaal;Totaal;2018;8059.0
78;Totaal;Totaal;2019 1e kwartaal;8595.0
79;Totaal;Totaal;2019 2e kwartaal;8629.0
80;Totaal;Totaal;2019 3e kwartaal;8674.0
81;Totaal;Totaal;2019 4e kwartaal;8702.0
82;Totaal;Totaal;2019;8249.0
83;Totaal;Totaal;2020 1e kwartaal;8735.0
84;Totaal;Totaal;2020 2e kwartaal;8675.0
85;Totaal;Totaal;2020 3e kwartaal;8604.0
86;Totaal;Totaal;2020 4e kwartaal;8638.0
87;Totaal;Totaal;2020;8320.0
88;Totaal;Totaal;2021 1e kwartaal;
89;Totaal;Totaal;2021 2e kwartaal;8857.0
90;Totaal;Totaal;2021 3e kwartaal;8910.0
91;Totaal;Totaal;2021 4e kwartaal;8977.0
92;Totaal;Totaal;2022 1e kwartaal;9073.0
93;Totaal;Totaal;2022 2e kwartaal;9156.0
94;Totaal;01 Pedagogische beroepen;2003 2e kwartaal;498.0
95;Totaal;01 Pedagogische beroepen;2003 3e kwartaal;468.0
96;Totaal;01 Pedagogische beroepen;2003 4e kwartaal;466.0
97;Totaal;01 Pedagogische beroepen;2004 1e kwartaal;483.0
98;Totaal;01 Pedagogische beroepen;2004 2e kwartaal;500.0
99;Totaal;01 Pedagogische beroepen;2004 3e kwartaal;471.0
100;Totaal;01 Pedagogische beroepen;2004 4e kwartaal;477.0
101;Totaal;01 Pedagogische beroepen;2004;482.0
102;Totaal;01 Pedagogische beroepen;2005 1e kwartaal;467.0
103;Totaal;01 Pedagogische beroepen;2005 2e kwartaal;483.0
104;Totaal;01 Pedagogische beroepen;2005 3e kwartaal;467.0
105;Totaal;01 Pedagogische beroepen;2005 4e kwartaal;469.0
106;Totaal;01 Pedagogische beroepen;2005;447.0
107;Totaal;01 Pedagogische beroepen;2006 1e kwartaal;476.0
108;Totaal;01 Pedagogische beroepen;2006 2e kwartaal;492.0
109;Totaal;01 Pedagogische beroepen;2006 3e kwartaal;494.0
110;Totaal;01 Pedagogische beroepen;2006 4e kwartaal;483.0
111;Totaal;01 Pedagogische beroepen;2006;451.0
112;Totaal;01 Pedagogische beroepen;2007 1e kwartaal;505.0
113;Totaal;01 Pedagogische beroepen;2007 2e kwartaal;521.0
114;Totaal;01 Pedagogische beroepen;2007 3e kwartaal;507.0
115;Totaal;01 Pedagogische beroepen;2007 4e kwartaal;509.0
116;Totaal;01 Pedagogische beroepen;2007;484.0
117;Totaal;01 Pedagogische beroepen;2008 1e kwartaal;541.0
118;Totaal;01 Pedagogische beroepen;2008 2e kwartaal;561.0
119;Totaal;01 Pedagogische beroepen;2008 3e kwartaal;555.0
120;Totaal;01 Pedagogische beroepen;2008 4e kwartaal;540.0
121;Totaal;01 Pedagogische beroepen;2008;513.0
122;Totaal;01 Pedagogische beroepen;2009 1e kwartaal;545.0
123;Totaal;01 Pedagogische beroepen;2009 2e kwartaal;561.0
124;Totaal;01 Pedagogische beroepen;2009 3e kwartaal;558.0
125;Totaal;01 Pedagogische beroepen;2009 4e kwartaal;548.0
126;Totaal;01 Pedagogische beroepen;2009;521.0
127;Totaal;01 Pedagogische beroepen;2010 1e kwartaal;578.0
128;Totaal;01 Pedagogische beroepen;2010 2e kwartaal;586.0
129;Totaal;01 Pedagogische beroepen;2010 3e kwartaal;578.0
130;Totaal;01 Pedagogische beroepen;2010 4e kwartaal;576.0
131;Totaal;01 Pedagogische beroepen;2010;547.0
132;Totaal;01 Pedagogische beroepen;2011 1e kwartaal;574.0
133;Totaal;01 Pedagogische beroepen;2011 2e kwartaal;565.0
134;Totaal;01 Pedagogische beroepen;2011 3e kwartaal;566.0
135;Totaal;01 Pedagogische beroepen;2011 4e kwartaal;559.0
136;Totaal;01 Pedagogische beroepen;2011;538.0
137;Totaal;01 Pedagogische beroepen;2012 1e kwartaal;587.0
138;Totaal;01 Pedagogische beroepen;2012 2e kwartaal;590.0
139;Totaal;01 Pedagogische beroepen;2012 3e kwartaal;567.0
140;Totaal;01 Pedagogische beroepen;2012 4e kwartaal;552.0
141;Totaal;01 Pedagogische beroepen;2012;563.0
142;Totaal;01 Pedagogische beroepen;2013 1e kwartaal;569.0
143;Totaal;01 Pedagogische beroepen;2013 2e kwartaal;580.0
144;Totaal;01 Pedagogische beroepen;2013 3e kwartaal;540.0
145;Totaal;01 Pedagogische beroepen;2013 4e kwartaal;526.0
146;Totaal;01 Pedagogische beroepen;2013;548.0
147;Totaal;01 Pedagogische beroepen;2014 1e kwartaal;536.0
148;Totaal;01 Pedagogische beroepen;2014 2e kwartaal;568.0
149;Totaal;01 Pedagogische beroepen;2014 3e kwartaal;546.0
150;Totaal;01 Pedagogische beroepen;2014 4e kwartaal;547.0
151;Totaal;01 Pedagogische beroepen;2014;515.0
152;Totaal;01 Pedagogische beroepen;2015 1e kwartaal;578.0
153;Totaal;01 Pedagogische beroepen;2015 2e kwartaal;584.0
154;Totaal;01 Pedagogische beroepen;2015 3e kwartaal;581.0
155;Totaal;01 Pedagogische beroepen;2015 4e kwartaal;551.0
156;Totaal;01 Pedagogische beroepen;2015;554.0
157;Totaal;01 Pedagogische beroepen;2016 1e kwartaal;562.0
158;Totaal;01 Pedagogische beroepen;2016 2e kwartaal;592.0
159;Totaal;01 Pedagogische beroepen;2016 3e kwartaal;580.0
160;Totaal;01 Pedagogische beroepen;2016 4e kwartaal;588.0
161;Totaal;01 Pedagogische beroepen;2016;540.0
162;Totaal;01 Pedagogische beroepen;2017 1e kwartaal;571.0
