ID;RegioS;BevolkingUltimo2002_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16192.6;10797.6;66.7;12.9;0;18.6;0
1;Noord-Nederland (LD);1694.0;1123.3;66.3;11.8;4;17.2;4
2;Oost-Nederland (LD);3412.8;2236.0;65.6;12.2;3;17.9;3
3;West-Nederland (LD);7543.7;5048.1;67.0;13.5;1;19.4;1
4;Zuid-Nederland (LD);3542.1;2390.2;67.5;12.7;2;18.0;2
5;Groningen (PV);573.0;381.8;66.7;11.9;10;17.0;12
6;Friesland (PV);639.8;419.0;65.5;11.7;12;17.2;11
7;Drenthe (PV);481.3;322.5;67.0;12.0;8;17.4;9
8;Overijssel (PV);1100.7;722.5;65.7;11.8;11;17.4;10
9;Flevoland (PV);351.7;219.3;62.3;11.9;9;18.4;4
10;Gelderland (PV);1960.4;1294.2;66.1;12.5;7;18.2;6
11;Utrecht (PV);1152.2;773.4;67.2;13.8;1;19.9;1
12;Noord-Holland (PV);2573.1;1744.2;67.9;13.8;2;19.6;2
13;Zuid-Holland (PV);3440.0;2280.1;66.3;13.2;3;19.2;3
14;Zeeland (PV);378.3;250.4;66.3;12.6;5;18.1;7
15;Noord-Brabant (PV);2400.2;1619.3;67.5;12.8;4;18.3;5
16;Limburg (PV);1141.9;770.9;67.6;12.5;6;17.5;8
17;Oost-Groningen (CR);154.6;103.5;67.0;11.3;40;16.3;40
18;Delfzijl en omgeving (CR);52.6;34.6;65.9;11.7;36;17.2;37
19;Overig Groningen (CR);365.8;243.6;66.6;12.1;29;17.3;32
20;Noord-Friesland (CR);330.2;215.5;65.3;11.6;38;17.1;38
21;Zuidwest-Friesland (CR);104.9;67.9;64.8;11.6;37;17.3;33
22;Zuidoost-Friesland (CR);204.8;135.6;66.2;11.8;34;17.3;36
23;Noord-Drenthe (CR);183.6;123.3;67.1;12.6;20;18.2;20
24;Zuidoost-Drenthe (CR);170.6;114.7;67.3;11.5;39;16.4;39
25;Zuidwest-Drenthe (CR);127.0;84.5;66.6;12.0;31;17.4;31
26;Noord-Overijssel (CR);340.0;221.4;65.2;11.8;33;17.5;27
27;Zuidwest-Overijssel (CR);146.8;98.1;66.8;12.1;30;17.5;28
28;Twente (CR);613.9;403.0;65.7;11.8;35;17.3;35
29;Veluwe (CR);639.8;417.5;65.3;12.4;25;18.5;14
30;Achterhoek (CR);385.1;257.9;67.0;12.2;28;17.4;30
31;Arnhem/Nijmegen (CR);705.3;470.6;66.8;12.7;17;18.1;24
32;Zuidwest-Gelderland (CR);230.2;148.2;64.4;12.5;24;18.8;12
33;Utrecht (CR);1152.2;773.4;67.2;13.8;5;19.9;4
34;Kop van Noord-Holland (CR);361.8;241.2;66.7;12.5;23;18.2;21
35;Alkmaar en omgeving (CR);223.9;151.5;67.7;13.2;9;18.9;9
36;IJmond (CR);187.5;128.6;68.8;13.5;7;19.2;8
37;Agglomeratie Haarlem (CR);217.6;151.7;69.9;14.8;2;20.6;2
38;Zaanstreek (CR);155.0;106.9;69.1;13.1;10;18.4;18
39;Groot-Amsterdam (CR);1185.0;798.9;67.5;13.9;3;19.8;6
40;Het Gooi en Vechtstreek (CR);242.4;165.4;68.2;15.2;1;21.8;1
41;Agglomeratie Leiden en Bollenstreek (CR);387.8;259.1;66.9;13.7;6;19.9;5
42;Agglomeratie 's-Gravenhage (CR);759.8;508.3;66.9;13.9;4;20.0;3
43;Delft en Westland (CR);211.0;141.5;67.0;13.1;11;18.8;11
44;Oost-Zuid-Holland (CR);322.9;212.6;65.9;13.3;8;19.5;7
45;Groot-Rijnmond (CR);1359.6;898.8;66.1;12.8;14;18.7;13
46;Zuidoost-Zuid-Holland (CR);399.0;259.7;65.2;12.6;18;18.8;10
47;Zeeuwsch-Vlaanderen (CR);108.2;72.0;66.6;12.9;12;18.2;22
48;Overig Zeeland (CR);270.1;178.5;66.1;12.4;26;18.1;23
49;West-Noord-Brabant (CR);602.9;407.0;67.5;12.9;13;18.4;17
50;Midden-Noord-Brabant (CR);448.2;304.0;67.8;12.6;21;17.9;25
51;Noordoost-Noord-Brabant (CR);626.0;421.4;67.3;12.7;16;18.3;19
52;Zuidoost-Noord-Brabant (CR);723.0;487.0;67.4;12.8;15;18.4;16
53;Noord-Limburg (CR);277.7;187.3;67.4;12.3;27;17.3;34
54;Midden-Limburg (CR);234.1;158.1;67.7;12.6;19;17.8;26
55;Zuid-Limburg (CR);630.1;425.5;67.6;12.5;22;17.5;29
