ID;SIC2008;Periods;InvestmentsExpectedGrowth_1;InvestmentsRealizedGrowth_2
0;B Mining and quarrying;2013;;
1;B Mining and quarrying;2014;;
2;B Mining and quarrying;2015;;
3;B Mining and quarrying;2016;;
4;B Mining and quarrying;2017;;
5;B Mining and quarrying;2018;;
6;B Mining and quarrying;2019;;
7;B Mining and quarrying;2020;;
8;B Mining and quarrying;2021;;
9;B Mining and quarrying;2022;;
10;B Mining and quarrying;2023;;
11;B Mining and quarrying;2024;-3.0;
12;B-E Industry (no construction), energy;2013;;
13;B-E Industry (no construction), energy;2014;;
14;B-E Industry (no construction), energy;2015;;
15;B-E Industry (no construction), energy;2016;;
16;B-E Industry (no construction), energy;2017;;
17;B-E Industry (no construction), energy;2018;;
18;B-E Industry (no construction), energy;2019;;
19;B-E Industry (no construction), energy;2020;;
20;B-E Industry (no construction), energy;2021;;
21;B-E Industry (no construction), energy;2022;;
22;B-E Industry (no construction), energy;2023;;
23;B-E Industry (no construction), energy;2024;31.0;
24;B-F Manufacturing and energy;2013;;
25;B-F Manufacturing and energy;2014;;
26;B-F Manufacturing and energy;2015;;
27;B-F Manufacturing and energy;2016;;
28;B-F Manufacturing and energy;2017;;
29;B-F Manufacturing and energy;2018;;
30;B-F Manufacturing and energy;2019;;
31;B-F Manufacturing and energy;2020;;
32;B-F Manufacturing and energy;2021;;
33;B-F Manufacturing and energy;2022;;
34;B-F Manufacturing and energy;2023;;
35;B-F Manufacturing and energy;2024;23.0;
36;06+09 Extraction of oil and gas;2013;;
37;06+09 Extraction of oil and gas;2014;;
38;06+09 Extraction of oil and gas;2015;;
39;06+09 Extraction of oil and gas;2016;;
40;06+09 Extraction of oil and gas;2017;;
41;06+09 Extraction of oil and gas;2018;;
42;06+09 Extraction of oil and gas;2019;;
43;06+09 Extraction of oil and gas;2020;;
44;06+09 Extraction of oil and gas;2021;;
45;06+09 Extraction of oil and gas;2022;;
46;06+09 Extraction of oil and gas;2023;;
47;06+09 Extraction of oil and gas;2024;;
48;06 Extraction of crude petroleum and gas;2013;;
49;06 Extraction of crude petroleum and gas;2014;;
50;06 Extraction of crude petroleum and gas;2015;;
51;06 Extraction of crude petroleum and gas;2016;;
52;06 Extraction of crude petroleum and gas;2017;;
53;06 Extraction of crude petroleum and gas;2018;;
54;06 Extraction of crude petroleum and gas;2019;;
55;06 Extraction of crude petroleum and gas;2020;;
56;06 Extraction of crude petroleum and gas;2021;;
57;06 Extraction of crude petroleum and gas;2022;;
58;06 Extraction of crude petroleum and gas;2023;;
59;06 Extraction of crude petroleum and gas;2024;-39.0;
60;08 Mining and quarrying (no oil and gas);2013;;
61;08 Mining and quarrying (no oil and gas);2014;;
62;08 Mining and quarrying (no oil and gas);2015;;
63;08 Mining and quarrying (no oil and gas);2016;;
64;08 Mining and quarrying (no oil and gas);2017;;
65;08 Mining and quarrying (no oil and gas);2018;;
66;08 Mining and quarrying (no oil and gas);2019;;
67;08 Mining and quarrying (no oil and gas);2020;;
68;08 Mining and quarrying (no oil and gas);2021;;
69;08 Mining and quarrying (no oil and gas);2022;;
70;08 Mining and quarrying (no oil and gas);2023;;
71;08 Mining and quarrying (no oil and gas);2024;27.0;
72;09 Mining support activities;2013;;
73;09 Mining support activities;2014;;
74;09 Mining support activities;2015;;
75;09 Mining support activities;2016;;
76;09 Mining support activities;2017;;
77;09 Mining support activities;2018;;
78;09 Mining support activities;2019;;
79;09 Mining support activities;2020;;
80;09 Mining support activities;2021;;
81;09 Mining support activities;2022;;
82;09 Mining support activities;2023;;
83;09 Mining support activities;2024;86.0;
84;C Manufacturing;2013;7.0;-7.0
85;C Manufacturing;2014;9.0;5.0
86;C Manufacturing;2015;16.0;12.0
87;C Manufacturing;2016;-3.0;-1.0
88;C Manufacturing;2017;15.0;9.0
89;C Manufacturing;2018;25.0;21.0
90;C Manufacturing;2019;8.0;9.0
91;C Manufacturing;2020;-11.0;-17.0
92;C Manufacturing;2021;6.0;0.0
93;C Manufacturing;2022;19.0;13.0
94;C Manufacturing;2023;15.0;7.0
95;C Manufacturing;2024;30.0;
96;10 Manufacture of food products;2013;18.0;7.0
