ID;RegioS;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13;TotaalPersonenInHuishoudens_14;TotaalPersonenInParticuliereHuish_15;ThuiswonendKind_16;Alleenstaand_17;TotaalSamenwonend_18;PartnerInNietGehuwdPaarZonderKi_19;PartnerInGehuwdPaarZonderKinderen_20;PartnerInNietGehuwdPaarMetKinderen_21;PartnerInGehuwdPaarMetKinderen_22;OuderInEenouderhuishouden_23;OverigLidHuishouden_24;PersoonInInstitutioneelHuishouden_25
0;Nederland;1971;4002;685;3318;991;2327;62;47;15;2995;883;2113;200;61;13119;12814;5363;685;6116;93;1767;29;4227;200;450;306
1;Nederland;1972;4105;726;3379;1020;2359;70;51;18;3047;909;2138;202;59;13270;12963;5364;726;6226;97;1816;35;4278;202;445;306
2;Nederland;1973;4201;767;3434;1047;2387;78;56;22;3095;934;2161;205;57;13388;13081;5350;767;6319;101;1862;40;4316;205;440;307
3;Nederland;1974;4295;807;3488;1074;2414;86;60;25;3139;958;2181;207;56;13491;13183;5324;807;6411;107;1907;45;4351;207;433;308
4;Nederland;1975;4392;850;3542;1101;2441;94;66;28;3183;981;2202;211;54;13599;13291;5295;850;6508;118;1952;48;4389;211;428;308
5;Nederland;1976;4497;895;3602;1132;2470;104;74;30;3229;1005;2224;217;53;13734;13425;5268;895;6622;133;2001;50;4438;217;423;309
6;Nederland;1977;4590;941;3650;1159;2490;115;83;31;3260;1024;2236;223;51;13814;13505;5215;941;6711;150;2041;51;4469;223;415;309
7;Nederland;1978;4689;993;3696;1187;2510;127;94;33;3289;1043;2246;230;50;13898;13588;5166;993;6792;169;2081;53;4489;230;407;310
8;Nederland;1979;4792;1050;3742;1214;2529;140;105;35;3314;1060;2255;239;49;13986;13675;5126;1050;6863;191;2117;57;4498;239;397;311
9;Nederland;1980;4904;1114;3791;1242;2549;154;117;37;3338;1076;2262;250;49;14091;13780;5097;1114;6934;217;2151;61;4505;250;385;311
10;Nederland;1981;5023;1184;3839;1271;2568;170;132;38;3357;1090;2267;263;49;14209;13897;5079;1184;6999;247;2182;64;4505;263;372;312
11;Nederland;1982;5132;1256;3876;1295;2580;187;148;39;3361;1098;2263;278;49;14286;13976;5033;1256;7053;281;2202;67;4502;278;356;310
12;Nederland;1983;5232;1329;3903;1319;2584;204;165;39;3354;1104;2251;294;50;14340;14032;4975;1329;7092;318;2215;70;4488;294;342;307
13;Nederland;1984;5330;1403;3927;1345;2582;223;183;40;3344;1110;2234;309;52;14395;14089;4918;1403;7124;356;2227;74;4466;309;335;305
14;Nederland;1985;5430;1477;3953;1375;2578;244;202;42;3335;1121;2215;321;53;14454;14151;4861;1477;7159;397;2246;80;4437;321;332;303
15;Nederland;1986;5539;1551;3988;1414;2574;267;222;45;3337;1139;2198;331;53;14529;14231;4816;1551;7207;438;2282;88;4398;331;326;299
16;Nederland;1987;5649;1620;4029;1459;2570;292;243;50;3345;1163;2182;338;53;14615;14321;4776;1620;7268;482;2330;98;4358;338;319;294
17;Nederland;1988;5763;1689;4074;1511;2563;320;265;55;3359;1193;2166;343;53;14715;14426;4738;1689;7345;527;2390;109;4319;343;311;289
18;Nederland;1989;5872;1752;4120;1568;2552;350;289;61;3373;1227;2146;346;52;14805;14522;4693;1752;7430;574;2457;121;4277;346;300;284
19;Nederland;1990;5978;1813;4165;1628;2538;378;312;66;3390;1266;2125;347;50;14893;14615;4646;1813;7521;620;2534;131;4235;347;288;278
20;Nederland;1991;6091;1872;4219;1692;2527;409;338;71;3413;1306;2108;348;48;15010;14746;4619;1872;7630;673;2612;142;4202;348;276;264
21;Nederland;1992;6198;1930;4268;1750;2517;440;361;79;3433;1343;2090;348;46;15129;14879;4602;1930;7734;718;2687;157;4172;348;264;250
22;Nederland;1993;6291;1982;4309;1803;2506;471;383;88;3445;1375;2069;349;44;15239;14989;4584;1982;7819;763;2748;176;4133;349;254;250
23;Nederland;1994;6378;2032;4346;1849;2496;505;407;98;3447;1401;2046;352;42;15342;15091;4573;2032;7887;810;2796;196;4085;352;246;250
24;Groningen (PV);1971;173;35;138;46;92;2;2;1;126;41;84;7;3;522;513;200;35;256;3;83;1;169;7;15;9
25;Groningen (PV);1972;176;36;140;47;93;3;2;1;127;42;85;7;3;527;517;201;36;258;4;84;1;169;7;15;10
26;Groningen (PV);1973;179;38;142;48;93;4;3;1;128;43;85;8;2;530;521;201;38;260;5;85;2;169;8;14;9
27;Groningen (PV);1974;182;39;143;49;94;5;4;1;128;43;85;8;2;533;523;200;39;261;6;86;2;168;8;14;10
28;Groningen (PV);1975;186;41;145;50;94;5;4;1;129;44;85;8;2;536;526;199;41;264;7;87;2;169;8;14;10
29;Groningen (PV);1976;190;44;147;52;95;6;5;1;130;45;86;8;2;540;530;196;44;268;8;88;2;170;8;14;10
30;Groningen (PV);1977;195;46;148;53;95;7;5;1;131;45;85;9;2;544;534;193;46;272;9;90;2;171;9;14;10
31;Groningen (PV);1978;198;49;149;54;95;7;6;1;131;45;85;9;2;548;538;191;49;275;11;91;2;171;9;14;10
32;Groningen (PV);1979;202;51;150;55;95;8;7;1;130;46;85;9;2;551;541;190;51;277;12;92;2;170;9;13;10
33;Groningen (PV);1980;205;54;151;56;95;9;7;2;130;46;84;10;2;554;543;189;54;278;13;93;3;169;10;13;11
34;Groningen (PV);1981;209;57;152;57;95;10;8;2;130;46;83;10;2;557;547;188;57;279;15;94;3;167;10;13;10
35;Groningen (PV);1982;212;60;152;58;95;10;9;2;129;46;82;11;2;559;549;186;60;280;17;94;3;166;11;13;10
36;Groningen (PV);1983;215;63;152;58;94;11;10;2;128;46;81;11;2;561;550;184;63;280;18;95;3;164;11;12;11
37;Groningen (PV);1984;219;67;152;59;93;12;10;2;126;47;80;12;3;562;551;181;67;281;20;95;3;163;12;12;11
38;Groningen (PV);1985;222;70;152;60;92;13;11;2;125;47;79;12;3;561;551;177;70;280;22;95;3;160;12;12;10
39;Groningen (PV);1986;226;73;153;61;91;14;12;2;124;47;77;12;3;560;550;173;73;280;23;95;4;157;12;12;10
40;Groningen (PV);1987;229;76;153;63;90;14;12;2;123;47;76;12;3;558;548;170;76;278;25;96;4;154;12;11;10
41;Groningen (PV);1988;232;79;153;64;89;15;13;2;123;48;75;12;3;557;547;167;79;277;26;96;5;150;12;11;10
42;Groningen (PV);1989;235;82;153;65;88;17;14;3;122;49;73;12;3;555;546;164;82;277;28;97;5;147;12;11;9
43;Groningen (PV);1990;238;85;154;67;87;18;15;3;121;49;72;12;3;554;544;160;85;277;29;98;6;144;12;10;10
44;Groningen (PV);1991;242;88;154;68;86;19;16;3;121;50;71;12;3;555;546;157;88;279;31;100;6;142;12;10;9
45;Groningen (PV);1992;245;90;155;70;85;20;16;3;120;51;70;12;2;555;547;155;90;280;33;102;7;139;12;10;8
46;Groningen (PV);1993;247;92;155;71;84;21;17;4;120;52;68;12;2;555;547;153;92;281;34;103;7;137;12;9;8
47;Groningen (PV);1994;249;94;155;72;83;21;18;4;119;52;67;12;2;557;548;151;94;281;35;104;8;134;12;9;9
48;Friesland (PV);1971;156;22;134;40;93;2;2;0;122;36;86;7;3;527;515;224;22;248;4;72;1;171;7;15;12
49;Friesland (PV);1972;160;24;136;41;95;2;2;1;124;37;87;7;3;533;521;225;24;251;4;73;1;173;7;14;12
50;Friesland (PV);1973;164;26;138;42;96;2;2;1;126;38;88;8;3;539;528;226;26;255;4;75;1;175;8;14;11
51;Friesland (PV);1974;169;28;140;43;98;2;2;1;128;39;89;8;2;547;536;227;28;259;4;77;1;178;8;13;11
52;Friesland (PV);1975;173;30;143;44;99;2;2;1;130;40;90;8;2;554;542;227;30;264;5;78;1;180;8;13;12
53;Friesland (PV);1976;178;33;145;44;101;3;2;1;132;40;92;8;2;561;549;227;33;268;5;80;1;182;8;13;12
54;Friesland (PV);1977;182;35;147;45;102;3;2;1;134;41;93;9;2;566;554;226;35;272;6;81;1;184;9;12;12
55;Friesland (PV);1978;187;37;149;46;103;3;2;1;135;42;93;9;2;573;561;226;37;277;6;83;1;186;9;12;12
56;Friesland (PV);1979;191;40;151;47;104;3;3;1;136;42;94;9;2;578;566;226;40;280;7;85;1;187;9;11;12
57;Friesland (PV);1980;195;42;153;48;105;4;3;1;137;43;94;10;2;584;572;226;42;284;8;86;1;188;10;11;12
58;Friesland (PV);1981;199;44;154;49;106;4;3;1;138;43;94;10;2;589;577;226;44;287;9;88;2;189;10;11;12
59;Friesland (PV);1982;202;47;155;50;106;5;4;1;138;44;94;10;2;592;581;224;47;289;10;89;2;189;10;10;11
60;Friesland (PV);1983;205;49;156;51;106;6;5;1;138;44;94;11;2;595;584;222;49;291;11;90;2;189;11;10;11
61;Friesland (PV);1984;209;52;157;52;105;7;5;1;138;45;93;11;2;597;586;220;52;293;12;91;2;189;11;10;11
62;Friesland (PV);1985;213;54;158;53;105;7;6;1;138;45;93;11;2;598;586;217;54;294;13;91;2;188;11;9;12
63;Friesland (PV);1986;216;56;160;55;105;8;7;1;138;46;92;12;2;598;587;214;56;295;14;93;3;186;12;9;11
64;Friesland (PV);1987;220;59;161;57;104;10;8;1;138;47;91;12;2;599;588;212;59;297;16;95;3;184;12;9;11
65;Friesland (PV);1988;223;61;162;59;103;11;9;2;138;48;90;12;2;599;588;208;61;299;18;97;3;181;12;8;11
66;Friesland (PV);1989;226;63;163;61;102;12;10;2;138;49;89;12;2;599;588;205;63;301;20;99;4;179;12;8;11
67;Friesland (PV);1990;229;65;165;63;101;13;11;2;138;51;88;12;2;599;589;201;65;304;22;102;4;176;12;8;10
68;Friesland (PV);1991;233;67;166;66;101;14;12;2;139;52;87;12;2;600;590;198;67;306;24;104;4;173;12;8;10
69;Friesland (PV);1992;236;69;168;68;99;16;13;2;139;53;85;12;2;602;592;195;69;310;26;107;5;171;12;7;10
70;Friesland (PV);1993;240;70;169;71;99;17;14;3;139;55;84;12;2;604;595;193;70;313;28;110;6;169;12;7;9
71;Friesland (PV);1994;243;72;171;73;98;19;15;3;139;56;83;12;1;607;597;191;72;316;31;112;7;166;12;7;10
72;Drenthe (PV);1971;106;11;95;27;69;1;1;0;88;24;64;5;2;373;365;158;11;177;2;48;1;127;5;14;8
73;Drenthe (PV);1972;110;12;98;27;71;1;1;0;90;25;66;5;2;380;372;159;12;182;2;49;1;130;5;14;8
74;Drenthe (PV);1973;114;13;101;28;72;1;1;1;93;26;67;5;2;386;378;161;13;186;2;51;1;133;5;14;8
75;Drenthe (PV);1974;117;14;103;29;74;1;1;1;95;27;68;5;2;394;386;162;14;191;2;53;1;135;5;13;8
76;Drenthe (PV);1975;121;16;105;30;75;1;1;1;97;28;69;5;1;401;393;163;16;196;2;55;1;138;5;13;8
77;Drenthe (PV);1976;124;17;106;32;75;1;1;1;99;29;69;5;1;406;398;163;17;200;2;58;1;139;5;13;8
78;Drenthe (PV);1977;126;19;108;33;75;2;1;1;100;31;69;5;1;410;401;162;19;204;2;61;1;140;5;12;9
79;Drenthe (PV);1978;130;20;109;34;75;2;1;1;101;32;70;5;1;413;404;160;20;207;2;63;1;141;5;12;9
80;Drenthe (PV);1979;133;21;111;35;76;2;1;1;103;33;70;5;1;416;407;159;21;210;3;65;1;141;5;12;9
81;Drenthe (PV);1980;136;23;113;36;77;2;1;1;105;34;71;5;1;418;410;158;23;213;3;67;1;142;5;11;8
82;Drenthe (PV);1981;139;24;115;37;78;3;2;1;106;34;72;5;1;422;413;157;24;215;4;68;1;142;5;11;9
83;Drenthe (PV);1982;141;26;116;38;78;3;2;1;106;35;71;6;1;424;415;156;26;218;5;69;1;142;6;10;9
84;Drenthe (PV);1983;143;27;116;39;77;3;3;1;106;35;71;6;1;425;416;154;27;219;5;70;1;142;6;10;9
85;Drenthe (PV);1984;145;29;117;39;77;4;3;1;106;35;71;6;1;427;418;153;29;221;6;71;1;143;6;9;9
86;Drenthe (PV);1985;148;30;118;40;77;4;4;1;106;35;70;6;1;429;420;152;30;223;7;71;2;143;6;9;9
87;Drenthe (PV);1986;151;32;119;41;78;5;4;1;107;36;71;6;1;432;423;151;32;225;8;72;2;143;6;9;9
88;Drenthe (PV);1987;154;33;121;43;78;6;5;1;107;37;71;6;1;434;425;149;33;227;10;74;2;142;6;9;9
89;Drenthe (PV);1988;157;34;123;45;78;7;5;1;108;38;70;7;1;437;427;148;34;230;11;76;3;140;7;8;10
90;Drenthe (PV);1989;161;36;125;47;78;8;6;2;109;40;69;7;1;439;430;146;36;234;13;79;3;139;7;8;9
91;Drenthe (PV);1990;163;37;126;50;76;9;7;2;109;42;67;7;1;441;432;144;37;237;14;84;4;135;7;8;9
92;Drenthe (PV);1991;167;39;128;53;75;10;8;2;110;43;66;7;1;444;435;142;39;240;16;87;4;133;7;7;9
93;Drenthe (PV);1992;170;40;130;55;76;11;9;2;111;45;66;7;1;446;437;140;40;244;18;90;4;132;7;7;9
94;Drenthe (PV);1993;174;41;133;57;76;12;10;2;112;46;66;7;1;448;440;138;41;246;19;92;5;131;7;7;8
95;Drenthe (PV);1994;177;43;134;59;75;13;10;3;112;47;65;8;1;451;443;137;43;249;21;94;5;129;8;6;8
