ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
0;All ended debt restructuring plans;Natural persons total;Total Netherlands;1999 1st quarter;28.0;0.0
1;All ended debt restructuring plans;Natural persons total;Total Netherlands;1999 2nd quarter;76.0;1.0
2;All ended debt restructuring plans;Natural persons total;Total Netherlands;1999 3rd quarter;111.0;2.0
3;All ended debt restructuring plans;Natural persons total;Total Netherlands;1999 4th quarter;138.0;3.0
4;All ended debt restructuring plans;Natural persons total;Total Netherlands;1999;353.0;2.0
5;All ended debt restructuring plans;Natural persons total;Total Netherlands;2000 1st quarter;176.0;6.0
6;All ended debt restructuring plans;Natural persons total;Total Netherlands;2000 2nd quarter;227.0;8.0
7;All ended debt restructuring plans;Natural persons total;Total Netherlands;2000 3rd quarter;347.0;10.0
8;All ended debt restructuring plans;Natural persons total;Total Netherlands;2000 4th quarter;368.0;11.0
9;All ended debt restructuring plans;Natural persons total;Total Netherlands;2000;1118.0;9.0
10;All ended debt restructuring plans;Natural persons total;Total Netherlands;2001 1st quarter;500.0;12.0
11;All ended debt restructuring plans;Natural persons total;Total Netherlands;2001 2nd quarter;556.0;14.0
12;All ended debt restructuring plans;Natural persons total;Total Netherlands;2001 3rd quarter;587.0;16.0
13;All ended debt restructuring plans;Natural persons total;Total Netherlands;2001 4th quarter;635.0;18.0
14;All ended debt restructuring plans;Natural persons total;Total Netherlands;2001;2278.0;15.0
15;All ended debt restructuring plans;Natural persons total;Total Netherlands;2002 1st quarter;937.0;23.0
16;All ended debt restructuring plans;Natural persons total;Total Netherlands;2002 2nd quarter;1206.0;28.0
17;All ended debt restructuring plans;Natural persons total;Total Netherlands;2002 3rd quarter;1451.0;30.0
18;All ended debt restructuring plans;Natural persons total;Total Netherlands;2002 4th quarter;1780.0;31.0
19;All ended debt restructuring plans;Natural persons total;Total Netherlands;2002;5374.0;28.0
20;All ended debt restructuring plans;Natural persons total;Total Netherlands;2003 1st quarter;1967.0;31.0
21;All ended debt restructuring plans;Natural persons total;Total Netherlands;2003 2nd quarter;2075.0;31.0
22;All ended debt restructuring plans;Natural persons total;Total Netherlands;2003 3rd quarter;2210.0;31.0
