ID;Sectoren;Perioden;InvesteringenUitProductieEnInvoer_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;TotaalVervoermiddelen_5;PersonenautoS_6;OverigeWegvervoermiddelen_7;TreinenEnTrams_8;Schepen_9;Vliegtuigen_10;MachinesEnInstallaties_11;Computers_12;OverigeMaterieleVasteActiva_13;Software_14;OverigeImmaterieleVasteActiva_15;InCultuurGebrachteActiva_16;OverdrachtskostenOpGrond_17;TotaalVerkoopGebruikteVasteActiva_18;UitvoerVanGebruikteVasteActiva_19;VerkoopAanConsumenten_20;InvesteringenInVasteActiva_21;InvesteringenUitProductieEnInvoer_22;Woningen_23;Bedrijfsgebouwen_24;GrondWegEnWaterbouwkundigeWerken_25;TotaalVervoermiddelen_26;PersonenautoS_27;OverigeWegvervoermiddelen_28;TreinenEnTrams_29;Schepen_30;Vliegtuigen_31;MachinesEnInstallaties_32;Computers_33;OverigeMaterieleVasteActiva_34;Software_35;OverigeImmaterieleVasteActiva_36;InCultuurGebrachteActiva_37;OverdrachtskostenOpGrond_38;TotaalVerkoopGebruikteVasteActiva_39;UitvoerVanGebruikteVasteActiva_40;VerkoopAanConsumenten_41;InvesteringenInVasteActiva_42;InvesteringenUitProductieEnInvoer_43;Woningen_44;Bedrijfsgebouwen_45;GrondWegEnWaterbouwkundigeWerken_46;TotaalVervoermiddelen_47;PersonenautoS_48;OverigeWegvervoermiddelen_49;TreinenEnTrams_50;Schepen_51;Vliegtuigen_52;MachinesEnInstallaties_53;Computers_54;OverigeMaterieleVasteActiva_55;Software_56;OverigeImmaterieleVasteActiva_57;InCultuurGebrachteActiva_58;OverdrachtskostenOpGrond_59;TotaalVerkoopGebruikteVasteActiva_60;UitvoerVanGebruikteVasteActiva_61;VerkoopAanConsumenten_62;InvesteringenInVasteActiva_63;InvesteringenUitProductieEnInvoer_64;Woningen_65;Bedrijfsgebouwen_66;GrondWegEnWaterbouwkundigeWerken_67;TotaalVervoermiddelen_68;PersonenautoS_69;OverigeWegvervoermiddelen_70;TreinenEnTrams_71;Schepen_72;Vliegtuigen_73;MachinesEnInstallaties_74;Computers_75;OverigeMaterieleVasteActiva_76;Software_77;OverigeImmaterieleVasteActiva_78;InCultuurGebrachteActiva_79;OverdrachtskostenOpGrond_80;TotaalVerkoopGebruikteVasteActiva_81;UitvoerVanGebruikteVasteActiva_82;VerkoopAanConsumenten_83;InvesteringenInVasteActiva_84
0;Totaal alle sectoren;1969;13519;3366;2838;2389;913;375.0;259.0;20.0;118.0;141.0;2747;124;587;31;106;288.0;130;83;83.0;;13436;44815.0;19605.0;14659.0;11682.0;2755.0;1185.0;750.0;69.0;380.0;365.0;6104.0;6.0;1659.0;86.0;341.0;532.0;332.0;232.0;259.0;;44643;;;;;;;;;;;;;;;;;;;;;;30.2;17.2;19.4;20.5;33.1;31.6;34.5;28.9;31.0;38.6;45.0;2201.6;35.4;36.2;31.1;54.1;39.2;35.8;32.1;;30.1
1;Totaal alle sectoren;1970;16358;3871;3635;2756;1207;480.0;372.0;27.0;166.0;162.0;3453;160;736;42;113;244.0;141;143;143.0;;16215;49996.0;20624.0;17169.0;12322.0;3440.0;1422.0;1020.0;87.0;512.0;399.0;7113.0;7.0;1936.0;102.0;335.0;445.0;345.0;385.0;430.0;;49653;11.6;5.2;17.1;5.5;24.9;20.0;35.9;25.0;34.7;9.2;16.5;24.2;16.7;19.4;-1.9;-16.3;3.8;66.3;66.3;;11.2;32.7;18.8;21.2;22.4;35.1;33.8;36.5;31.2;32.4;40.6;48.5;2287.3;38.0;41.1;33.7;54.8;40.9;37.1;33.2;;32.7
2;Totaal alle sectoren;1971;18643;4598;3802;3353;1588;497.0;387.0;45.0;248.0;411.0;3754;185;775;56;134;232.0;166;140;140.0;;18503;51393.0;21674.0;15937.0;13458.0;4189.0;1372.0;976.0;135.0;707.0;935.0;7210.0;8.0;1868.0;124.0;364.0;305.0;393.0;350.0;391.0;;51092;2.8;5.1;-7.2;9.2;21.8;-3.5;-4.3;55.6;38.0;134.6;1.4;13.1;-3.5;21.4;8.8;-31.6;14.2;-9.1;-9.1;;2.9;36.3;21.2;23.9;24.9;37.9;36.2;39.7;33.4;35.1;43.9;52.1;2337.9;41.5;45.1;36.8;76.1;42.2;40.0;35.8;;36.2
3;Totaal alle sectoren;1972;19316;5568;3589;3399;1410;552.0;409.0;42.0;165.0;242.0;3655;224;785;70;135;275.0;206;134;134.0;;19182;49444.0;23621.0;13585.0;12414.0;3596.0;1479.0;991.0;120.0;456.0;532.0;6883.0;10.0;1841.0;140.0;348.0;347.0;467.0;310.0;346.0;;49184;-3.8;9.0;-14.8;-7.8;-14.2;7.8;1.6;-11.1;-35.5;-43.1;-4.5;23.2;-1.4;12.5;-4.5;13.8;18.7;-11.4;-11.4;;-3.7;39.1;23.6;26.4;27.4;39.2;37.3;41.3;35.1;36.2;45.4;53.1;2296.9;42.6;50.1;38.8;79.3;44.1;43.2;38.7;;39.0
4;Totaal alle sectoren;1973;21072;6305;4037;3435;1516;616.0;476.0;46.0;249.0;129.0;3725;271;930;99;125;411.0;218;166;166.0;;20906;50302.0;24126.0;13816.0;11468.0;3807.0;1624.0;1136.0;128.0;677.0;282.0;6925.0;12.0;2127.0;182.0;312.0;513.0;476.0;354.0;396.0;;49995;1.7;2.1;1.7;-7.6;5.9;9.8;14.7;7.1;48.5;-47.1;0.6;19.6;15.5;30.0;-10.4;48.0;1.9;14.2;14.2;;1.6;41.9;26.1;29.2;30.0;39.8;37.9;41.9;35.9;36.8;45.8;53.8;2322.6;43.7;54.5;40.1;80.1;45.8;46.9;42.0;;41.8
5;Totaal alle sectoren;1974;22106;6261;4362;3694;1455;629.0;502.0;45.0;220.0;59.0;4126;300;1101;141;132;325.0;209;117;117.0;;21989;47542.0;21397.0;13327.0;10991.0;3330.0;1516.0;1086.0;114.0;547.0;118.0;6999.0;13.0;2265.0;231.0;295.0;401.0;432.0;228.0;255.0;;47371;-5.5;-11.3;-3.5;-4.2;-12.5;-6.7;-4.4;-10.9;-19.3;-58.1;1.1;8.5;6.5;27.3;-5.6;-21.9;-9.2;-35.5;-35.5;;-5.2;46.5;29.3;32.7;33.6;43.7;41.5;46.2;39.4;40.3;50.0;59.0;2370.0;48.6;61.0;44.8;81.1;48.3;51.3;45.9;;46.4
6;Totaal alle sectoren;1975;23909;6412;4805;4116;1763;682.0;484.0;46.0;327.0;224.0;4434;339;1200;180;179;241.0;240;147;147.0;;23762;46508.0;19825.0;13305.0;11104.0;3623.0;1482.0;935.0;104.0;728.0;404.0;6755.0;13.0;2223.0;265.0;364.0;271.0;474.0;261.0;292.0;;46298;-2.2;-7.3;-0.2;1.0;8.8;-2.2;-13.9;-8.9;33.2;242.4;-3.5;5.7;-1.8;14.9;23.5;-32.3;9.6;14.5;14.5;;-2.3;51.4;32.3;36.1;37.1;48.7;46.0;51.8;44.2;44.9;55.5;65.6;2534.5;54.0;67.8;49.2;88.8;50.7;56.3;50.3;;51.3
7;Totaal alle sectoren;1976;25969;7019;5588;4387;1776;794.0;597.0;33.0;242.0;110.0;4606;393;1233;232;219;237.0;279;102;102.0;;25867;46407.0;19658.0;14031.0;10802.0;3327.0;1576.0;1049.0;68.0;492.0;180.0;6622.0;16.0;2120.0;320.0;413.0;262.0;535.0;167.0;187.0;;46300;-0.2;-0.8;5.5;-2.7;-8.2;6.3;12.2;-34.8;-32.4;-55.4;-2.0;16.2;-4.7;20.6;13.4;-3.3;12.9;-36.1;-36.1;;0.0;56.0;35.7;39.8;40.6;53.4;50.4;56.9;48.6;49.2;61.0;69.6;2528.0;58.2;72.5;53.1;90.3;52.2;61.1;54.6;;55.9
8;Totaal alle sectoren;1977;29624;9056;5680;4177;2297;942.0;723.0;83.0;445.0;104.0;5336;480;1385;277;276;353.0;307;111;111.0;;29513;49939.0;23389.0;13205.0;9553.0;4114.0;1788.0;1212.0;163.0;866.0;164.0;7600.0;19.0;2326.0;354.0;488.0;356.0;558.0;172.0;192.0;;49834;7.6;19.0;-5.9;-11.6;23.6;13.5;15.6;139.4;76.0;-9.1;14.8;25.2;9.7;10.8;18.3;35.9;4.3;2.9;2.9;;7.6;59.3;38.7;43.0;43.7;55.8;52.7;59.6;51.1;51.4;63.5;70.2;2466.4;59.5;78.2;56.6;99.0;55.0;64.5;57.7;;59.2
9;Totaal alle sectoren;1978;32100;9983;6245;4455;2635;1019.0;734.0;44.0;529.0;309.0;5419;549;1467;314;302;402.0;329;94;94.0;;32006;50988.0;23851.0;13425.0;9444.0;4587.0;1883.0;1194.0;86.0;1000.0;471.0;7527.0;22.0;2407.0;374.0;502.0;391.0;581.0;139.0;156.0;;50919;2.1;2.0;1.7;-1.1;11.5;5.3;-1.5;-47.0;15.5;187.5;-1.0;13.5;3.5;5.4;2.9;9.6;4.2;-18.9;-18.9;;2.2;63.0;41.9;46.5;47.2;57.4;54.1;61.5;51.1;52.9;65.6;72.0;2484.5;61.0;84.0;60.2;102.9;56.6;67.4;60.3;;62.9
