ID;RegioS;Perioden;TotaalGemeentelijkAfval_1;TotaalAfvalVanHuishoudens_2;HuishoudelijkRestafval_3;GrofHuishoudelijkRestafval_4;Verbouwingsrestafval_5;GFTAfval_6;OudPapierEnKarton_7;Verpakkingsglas_8;Textiel_9;KleinChemischAfvalKCA_10;MetalenVerpakkingenBlik_11;Drankenkartons_12;KunststofVerpakkingen_13;OverigeKunststoffen_14;Vloerbedekking_15;WitEnBruingoed_16;GrofTuinafval_17;BruikbaarHuisraad_18;Vlakglas_19;Metalen_20;Houtafval_21;SchoonPuin_22;AsbesthoudendAfval_23;Autobanden_24;SchoneGrond_25;BitumenhoudendeDakbedekking_26;OverigeAfvalcomponenten_27;TotaalAfvalVanHuishoudens_28;HuishoudelijkRestafval_29;GrofHuishoudelijkRestafval_30;Verbouwingsrestafval_31;GFTAfval_32;OudPapierEnKarton_33;Verpakkingsglas_34;Textiel_35;KleinChemischAfvalKCA_36;MetalenVerpakkingenBlik_37;Drankenkartons_38;KunststofVerpakkingen_39;OverigeKunststoffen_40;Vloerbedekking_41;WitEnBruingoed_42;GrofTuinafval_43;BruikbaarHuisraad_44;Vlakglas_45;Metalen_46;Houtafval_47;SchoonPuin_48;AsbesthoudendAfval_49;Autobanden_50;SchoneGrond_51;BitumenhoudendeDakbedekking_52;OverigeAfvalcomponenten_53;TotaalAfvalVanHuishoudens_54;HuishoudelijkRestafval_55;GrofHuishoudelijkRestafval_56;Verbouwingsrestafval_57;GFTAfval_58;OudPapierEnKarton_59;Verpakkingsglas_60;Textiel_61;KleinChemischAfvalKCA_62;MetalenVerpakkingenBlik_63;Drankenkartons_64;KunststofVerpakkingen_65;OverigeKunststoffen_66;Vloerbedekking_67;WitEnBruingoed_68;GrofTuinafval_69;BruikbaarHuisraad_70;Vlakglas_71;Metalen_72;Houtafval_73;SchoonPuin_74;AsbesthoudendAfval_75;Autobanden_76;SchoneGrond_77;BitumenhoudendeDakbedekking_78;OverigeAfvalcomponenten_79;TotaalReinigingsdienstenEnOverigAfv_80;Veegafval_81;RioolKolkenEnGemalenafval_82;Drijfafval_83;Groenafval_84;GemengdEvenementenafval_85;GemengdMarktafval_86;OverigReinigingsdienstenafval_87;KantoorWinkelEnDienstenafval_88;BouwEnSloopafval_89;KleinGevaarlijkAfval_90;TotaalGemeentelijkAfval_91;TotaalAfvalVanHuishoudens_92;HuishoudelijkRestafval_93;GrofHuishoudelijkRestafval_94;Verbouwingsrestafval_95;GFTAfval_96;OudPapierEnKarton_97;Verpakkingsglas_98;Textiel_99;KleinChemischAfvalKCA_100;MetalenVerpakkingenBlik_101;Drankenkartons_102;KunststofVerpakkingen_103;OverigeKunststoffen_104;Vloerbedekking_105;WitEnBruingoed_106;GrofTuinafval_107;BruikbaarHuisraad_108;Vlakglas_109;Metalen_110;Houtafval_111;SchoonPuin_112;AsbesthoudendAfval_113;Autobanden_114;SchoneGrond_115;BitumenhoudendeDakbedekking_116;OverigeAfvalcomponenten_117;TotaalReinigingsdienstenEnOverigAfv_118;Veegafval_119;RioolKolkenEnGemalenafval_120;Drijfafval_121;Groenafval_122;GemengdEvenementenafval_123;GemengdMarktafval_124;OverigReinigingsdienstenafval_125;KantoorWinkelEnDienstenafval_126;BouwEnSloopafval_127;KleinGevaarlijkAfval_128;FijnHuishoudelijkAfval_129;GrofHuishoudelijkAfval_130;DienstEigenGemeente_131;GemeenschappelijkeRegeling_132;Kringloopbedrijf_133;ParticuliereInzamelaar_134;OverigeInzamelaars_135;DienstEigenGemeente_136;GemeenschappelijkeRegeling_137;Kringloopbedrijf_138;ParticuliereInzamelaar_139;OverigeInzamelaars_140;TotaalHuishoudelijkAfval_141;FijnHuishoudelijkAfval_142;GrofHuishoudelijkAfval_143;Hergebruik_144;Composteren_145;ScheidenAchteraf_146;Verbranden_147;Storten_148;Hergebruik_149;Composteren_150;ScheidenAchteraf_151;Verbranden_152;Storten_153;Hergebruik_154;Composteren_155;ScheidenAchteraf_156;Verbranden_157;Storten_158;Hergebruik_159;Composteren_160;ScheidenAchteraf_161;Verbranden_162;Storten_163;Hergebruik_164;Composteren_165;ScheidenAchteraf_166;Verbranden_167;Storten_168;GemeentenInPopulatie_169;GemeentenInTelling_170;InwonersInPopulatie_171;InwonersInTelling_172
0;Totaal Nederland;1993;8907;7274;4006;717;246;874;724;286;24;21;6;;5;;;9;124;;;34;6.0;182;;;;;8;6081;4006;698;;874;439;17;9;8;2;;2;;;7;;;;11;;;;;;;8;1193;;20;246;;285;270;14;13;4;;3;;;3;124;;;23;6.0;182;;;;;0;1634;327;106;60;596;;53;;425;62;3;585;478;263;47;16;57;48;19;1.6;1.4;0.4;;0.4;;;0.6;8;;;2;0.0;12;;;;;1;107;22;7;4;39;;4;;28;4;0.2;82;18;;;;;;;;;;;32;33;27;;;;;;;;;;;;;;;;;;;;;;;;;;646;90;15220;94
1;Totaal Nederland;1994;8983;7331;3648;756;171;1231;716;298;29;21;2;;5;;;16;153;;;43;;229;;;;;12;6162;3648;749;0.0;1230;463;13;13;8;0;;1;;;10;0.0;;;15;;0.0;;;;;12;1169;0.0;7;171;1.0;253;285;16;13;2;;4;;;6;153;;;28;;229;;;;;0;1652;353;109;31;658;;48;;406;43;3;586;478;238;49;11;80;47;19;1.9;1.4;0.2;;0.3;;;1.0;10;;;3;;15;;;;;1;108;23;7;2;43;;3;;26;3;0.2;81;19;;;;;;;;;;;38;39;33;;;;;;;;;;;;;;;;;;;;;;;;;;636;93;15340;96
2;Totaal Nederland;1995;8811;7443;3432;742;126;1427;727;302;35;22;3;1.0;5;;;12;244;5.0;3.0;49;37.0;252;11.0;;;;10;6209;3432;734;0.0;1427;496;16;16;8;1;0.0;1;;;8;42.0;4.0;0.0;15;2.0;0.0;0.0;;;;8;1233;0.0;8;126;0.0;231;286;19;14;2;0.0;4;;;4;202;1.0;3.0;34;35.0;252;11.0;;;;2;1368;331;105;17;483;;31;;371;29;2;571;482;222;48;8;92;47;20;2.3;1.4;0.2;0.0;0.3;;;0.8;16;0.3;0.2;3;2.0;16;0.7;;;;1;89;21;7;1;31;;2;;24;2;0.1;80;20;;;;;;;;;;;42;42;42;;;;;;;;;;;0.0;0.0;9.0;47.0;45.0;0.0;0.0;14.0;29.0;57.0;;;;;;633;93;15432;95
3;Totaal Nederland;1996;9082;7710;3478;675;116;1459;840;306;41;21;3;0.0;2;;;12;288;5.0;3.0;56;60.0;310;11.0;;;;20;6303;3478;657;0.0;1459;572;18;19;7;1;0.0;0;;;8;51.0;4.0;0.0;16;2.0;0.0;0.0;;;;11;1406;0.0;18;116;0.0;267;288;22;14;3;0.0;2;;;4;237;2.0;3.0;40;58.0;310;11.0;;;;9;1373;337;100;17;475;;26;;391;24;3;586;498;224;44;7;94;54;20;2.6;1.4;0.2;0.0;0.2;;;0.8;19;0.3;0.2;4;4.0;20;0.7;;;;1;89;22;6;1;31;;2;;25;2;0.2;80;20;65.0;11.0;;24.0;;64.0;12.0;;23.0;;45;43;49;;;;;;;;;;;0.0;0.0;10.0;57.0;33.0;0.0;0.0;22.0;43.0;35.0;;;;;;625;89;15494;91
4;Totaal Nederland;1997;9542;8139;3557;724;82;1531;922;316;41;22;6;2.0;4;;;16;304;11.0;5.0;60;107.0;370;15.0;;;;45;6597;3557;724;0.0;1531;631;19;17;8;1;0.0;0;;;10;65.0;8.0;0.0;15;4.0;0.0;0.0;;;;8;1542;0.0;0;82;0.0;291;296;24;15;5;2.0;3;;;6;239;3.0;5.0;46;104.0;370;15.0;;;;37;1403;325;93;22;535;;27;;378;21;2;613;523;228;46;5;98;59;20;2.6;1.4;0.4;0.1;0.2;;;1.0;20;0.7;0.3;4;7.0;24;0.9;;;;3;90;21;6;1;34;;2;;24;1;0.1;79;21;65.0;10.0;;25.0;;67.0;12.0;;20.0;;46;44;54;;;;;;;;;;;0.0;0.0;8.0;74.0;18.0;0.0;0.0;24.0;52.0;24.0;;;;;;572;93;15567;94
5;Totaal Nederland;1998;9692;8346;3650;728;74;1488;1012;317;43;21;3;0.0;2;;;25;292;9.0;5.0;74;142.0;400;17.0;4.0;;;40;6625;3650;670;0.0;1488;675;18;17;7;1;0.0;0;;;15;54.0;6.0;0.0;16;6.0;0.0;0.0;1.0;;;3;1721;0.0;58;74;0.0;337;299;26;15;2;0.0;2;;;10;239;3.0;5.0;58;137.0;400;17.0;3.0;;;37;1346;334;98;20;539;;21;;313;18;2;619;533;233;47;5;95;65;20;2.8;1.4;0.2;0.0;0.1;;;1.6;19;0.6;0.3;5;9.0;26;1.1;0.2;;;3;86;21;6;1;34;;1;;20;1;0.1;78;22;62.0;12.0;;25.0;;62.0;13.0;;25.0;;47;44;56;;;;;;;;;;;0.0;0.0;18.0;68.0;14.0;0.0;0.0;39.0;43.0;18.0;;;;;;548;91;15654;95
6;Totaal Nederland;1999;9913;8697;3810;741;99;1443;1035;318;46;22;2;1.0;2;;2.0;33;325;8.0;6.0;72;195.0;433;19.0;2.0;71.0;4.0;7;6435;3785;354;10.0;1433;718;13;17;6;0;0.0;0;;0.0;15;58.0;5.0;0.0;14;3.0;3.0;0.0;0.0;0.0;0.0;1;2263;25.0;388;90;11.0;318;305;29;16;2;1.0;2;;1.0;18;267;3.0;5.0;58;192.0;431;19.0;2.0;71.0;4.0;6;1216;331;94;16;520;4.0;14;;214;22;2;629;552;242;47;6;92;66;20;2.9;1.4;0.1;0.1;0.2;;0.1;2.1;21;0.5;0.3;5;12.0;28;1.2;0.1;4.0;0.3;0;77;21;6;1;33;0.0;1;;14;1;0.1;77;23;55.0;14.0;0.0;31.0;0.0;60.0;12.0;4.0;23.0;0.0;47;43;58;23.0;22.0;16.0;32.0;7.0;26.0;20.0;14.0;34.0;6.0;0.0;0.0;20.0;69.0;11.0;1.0;0.0;47.0;42.0;11.0;4.0;39.0;25.0;20.0;12.0;538;92;15760;95
7;Totaal Nederland;2000;10262;8986;3935;794;98;1457;1022;326;50;21;3;1.0;2;;2.0;43;359;10.0;7.0;73;225.0;451;18.0;2.0;76.0;4.0;7;6560;3912;327;7.0;1449;724;15;17;4;1;0.0;0;;0.0;15;61.0;7.0;0.0;13;3.0;5.0;0.0;0.0;0.0;0.0;1;2426;23.0;467;92;8.0;298;311;33;17;2;1.0;2;;2.0;28;298;3.0;7.0;60;222.0;446;18.0;2.0;76.0;4.0;5;1276;339;98;8;578;3.0;11;30.0;197;9;2;647;566;248;50;6;92;64;21;3.1;1.3;0.2;0.1;0.1;;0.1;2.7;23;0.6;0.4;5;14.0;28;1.1;0.1;5.0;0.3;0;80;21;6;0;36;0.0;1;2.0;12;1;0.2;76;24;50.0;16.0;0.0;35.0;0.0;56.0;13.0;5.0;27.0;0.0;46;42;59;23.0;22.0;15.0;29.0;9.0;26.0;20.0;13.0;31.0;9.0;0.0;0.0;19.0;64.0;17.0;0.0;0.0;46.0;36.0;18.0;5.0;42.0;29.0;16.0;8.0;537;91;15864;96
8;Totaal Nederland;2001;10286;8990;3958;793;98;1404;1013;335;50;21;2;1.0;2;;4.0;53;353;14.0;7.0;75;246.0;437;17.0;2.0;90.0;5.0;8;6496;3930;326;6.0;1394;710;15;15;4;1;0.0;0;;0.0;17;47.0;11.0;0.0;11;3.0;3.0;0.0;0.0;0.0;0.0;1;2494;28.0;467;91;10.0;303;320;34;17;2;1.0;2;;3.0;36;307;3.0;7.0;64;243.0;435;17.0;2.0;90.0;5.0;8;1296;337;106;12;575;4.0;9;37.0;201;13;2;643;562;248;50;6;88;63;21;3.1;1.3;0.2;0.1;0.2;;0.2;3.3;22;0.9;0.4;5;15.0;27;1.1;0.2;6.0;0.3;1;81;21;7;1;36;0.0;1;2.0;13;1;0.1;75;25;46.0;17.0;0.0;37.0;0.0;55.0;13.0;5.0;27.0;0.0;46;42;60;23.0;22.0;16.0;31.0;8.0;26.0;19.0;14.0;33.0;8.0;0.0;0.0;18.0;67.0;15.0;0.0;0.0;49.0;37.0;14.0;5.0;42.0;29.0;17.0;7.0;504;95;15987;96
9;Totaal Nederland;2002;10372;9043;3938;754;95;1406;1006;342;49;21;2;1.0;3;;7.0;57;396;24.0;8.0;76;273.0;448;17.0;2.0;103.0;4.0;8;6461;3910;295;5.0;1400;710;14;15;3;1;0.0;0;;0.0;17;55.0;18.0;0.0;11;4.0;3.0;0.0;0.0;0.0;0.0;0;2582;28.0;459;90;6.0;296;329;34;17;2;1.0;3;;6.0;40;342;6.0;8.0;66;269.0;445;17.0;2.0;103.0;4.0;8;1329;338;98;16;649;3.0;8;45.0;163;7;2;644;562;245;47;6;87;62;21;3.1;1.3;0.1;0.1;0.2;;0.4;3.6;25;1.5;0.5;5;17.0;28;1.1;0.2;6.0;0.3;1;83;21;6;1;40;0.0;0;3.0;10;0;0.1;75;25;50.0;19.0;0.0;31.0;0.0;59.0;13.0;7.0;21.0;0.0;47;42;63;24.0;23.0;15.0;30.0;8.0;27.0;20.0;13.0;33.0;8.0;0.0;0.0;17.0;68.0;15.0;0.0;0.0;50.0;36.0;14.0;5.0;44.0;29.0;13.0;9.0;496;94;16100;95
