ID;BalanceSheetItemsMunicipalities;Regions;Periods;BalanceSheetItemsYearEndInMlnEuro_1;BalanceSheetYearEndInEuroInhabit_2
0;A - Assets;The Netherlands;2004;75251.0;4629.0
1;A - Assets;The Netherlands;2005;75810.0;4649.0
2;A - Assets;The Netherlands;2006;77751.0;4760.0
3;A - Assets;The Netherlands;2007;78998.0;4829.0
4;A - Assets;The Netherlands;2008;80931.0;4933.0
5;A - Assets;The Netherlands;2009;86441.0;5243.0
6;A - Assets;The Netherlands;2010;87745.0;5294.0
7;A - Assets;The Netherlands;2011;88514.0;5314.0
8;A - Assets;The Netherlands;2012;89440.0;5346.0
9;A - Assets;The Netherlands;2013;88744.0;5289.0
10;A - Assets;The Netherlands;2014;87690.0;5211.0
11;A - Assets;The Netherlands;2015;87466.0;5175.0
12;A - Assets;The Netherlands;2016;87513.0;5154.0
13;A - Assets;The Netherlands;2017;87434.0;5119.0
14;A - Assets;The Netherlands;2018;88141.0;5130.0
15;A - Assets;The Netherlands;2019;88467.0;5119.0
16;A - Assets;The Netherlands;2020;92935.0;5339.0
17;A - Assets;The Netherlands;2021;95518.0;5466.0
18;A - Assets;The Netherlands;2022;99677.0;5666.0
19;A - Assets;The Netherlands;2023;104340.0;5857.0
20;A - Assets;Noord-Nederland (LD);2004;;
21;A - Assets;Noord-Nederland (LD);2005;;
22;A - Assets;Noord-Nederland (LD);2006;;
23;A - Assets;Noord-Nederland (LD);2007;6927.0;4070.0
24;A - Assets;Noord-Nederland (LD);2008;6952.0;4078.0
25;A - Assets;Noord-Nederland (LD);2009;7541.0;4413.0
26;A - Assets;Noord-Nederland (LD);2010;7386.0;4309.0
27;A - Assets;Noord-Nederland (LD);2011;7371.0;4291.0
28;A - Assets;Noord-Nederland (LD);2012;7614.0;4430.0
29;A - Assets;Noord-Nederland (LD);2013;7552.0;4394.0
30;A - Assets;Noord-Nederland (LD);2014;7692.0;4477.0
31;A - Assets;Noord-Nederland (LD);2015;7973.0;4639.0
32;A - Assets;Noord-Nederland (LD);2016;7920.0;4609.0
33;A - Assets;Noord-Nederland (LD);2017;8032.0;4664.0
34;A - Assets;Noord-Nederland (LD);2018;8054.0;4676.0
35;A - Assets;Noord-Nederland (LD);2019;8223.0;4770.0
36;A - Assets;Noord-Nederland (LD);2020;8499.0;4914.0
37;A - Assets;Noord-Nederland (LD);2021;8832.0;5096.0
38;A - Assets;Noord-Nederland (LD);2022;9213.0;5289.0
39;A - Assets;Noord-Nederland (LD);2023;9736.0;5539.0
40;A - Assets;Oost-Nederland (LD);2004;;
41;A - Assets;Oost-Nederland (LD);2005;;
42;A - Assets;Oost-Nederland (LD);2006;;
43;A - Assets;Oost-Nederland (LD);2007;14748.0;4250.0
44;A - Assets;Oost-Nederland (LD);2008;15257.0;4381.0
45;A - Assets;Oost-Nederland (LD);2009;16435.0;4696.0
46;A - Assets;Oost-Nederland (LD);2010;16603.0;4721.0
47;A - Assets;Oost-Nederland (LD);2011;16466.0;4663.0
48;A - Assets;Oost-Nederland (LD);2012;16561.0;4673.0
49;A - Assets;Oost-Nederland (LD);2013;16352.0;4601.0
50;A - Assets;Oost-Nederland (LD);2014;16214.0;4555.0
51;A - Assets;Oost-Nederland (LD);2015;16172.0;4531.0
52;A - Assets;Oost-Nederland (LD);2016;16184.0;4516.0
53;A - Assets;Oost-Nederland (LD);2017;16020.0;4446.0
54;A - Assets;Oost-Nederland (LD);2018;15957.0;4404.0
55;A - Assets;Oost-Nederland (LD);2019;15804.0;4336.0
56;A - Assets;Oost-Nederland (LD);2020;16195.0;4411.0
57;A - Assets;Oost-Nederland (LD);2021;16465.0;4460.0
58;A - Assets;Oost-Nederland (LD);2022;17085.0;4596.0
59;A - Assets;Oost-Nederland (LD);2023;18043.0;4795.0
60;A - Assets;West-Nederland (LD);2004;;
61;A - Assets;West-Nederland (LD);2005;;
62;A - Assets;West-Nederland (LD);2006;;
63;A - Assets;West-Nederland (LD);2007;43639.0;5712.0
64;A - Assets;West-Nederland (LD);2008;44962.0;5862.0
65;A - Assets;West-Nederland (LD);2009;46961.0;6083.0
66;A - Assets;West-Nederland (LD);2010;48334.0;6215.0
67;A - Assets;West-Nederland (LD);2011;48937.0;6250.0
68;A - Assets;West-Nederland (LD);2012;49497.0;6281.0
69;A - Assets;West-Nederland (LD);2013;49104.0;6204.0
70;A - Assets;West-Nederland (LD);2014;47993.0;6035.0
71;A - Assets;West-Nederland (LD);2015;47609.0;5946.0
72;A - Assets;West-Nederland (LD);2016;47792.0;5928.0
73;A - Assets;West-Nederland (LD);2017;47588.0;5856.0
