ID;Countries;Periods;TertiaryEducationAttainment_1;GraduatesInScienceAndEngineering_2;LifeLongLearning_3;PrimaryEducation_4;SecondaryEducation_5;TertiaryEducation_6;PrimaryEducation_7;SecondaryEducation_8;TertiaryEducation_9;TotalMenAndWomen_10;Men_11;Women_12;TotalMenAndWomen_13;Men_14;Women_15;TotalMenAndWomen_16;Men_17;Women_18;UnitLabourCosts_19;Total_20;Manufacturing_21;ServicesSector_22;RecentImmigrants_23;NativeBorn2534Years_24;NativeBorn2565Years_25;PrimaryEducation_26;SecondaryEducation_27;TertiaryEducation_28;PrimaryEducation_29;SecondaryEducation_30;TertiaryEducation_31
0;Australia;1990;;;;;;;;;;;;;;;;;;;73.2;;;;;;;;;;;;
1;Australia;1991;21.8;;;54.5;71.1;80.9;9.2;6.8;3.9;;;;;;;;;;74.4;;;;;;;;;;;;
2;Australia;1992;;;;;;;;;;;;;;;;;;;74.7;;;;;;;;;;;;
3;Australia;1993;22.5;;;;;;;;;;;;;;;;;;74.1;;;;;;;;;;;;
4;Australia;1994;23.1;;;;;;;;;;;;;;;;;;75.2;;;;;;;;;;;;
5;Australia;1995;24.3;;;60.2;75.5;83.3;8.7;6.2;4.0;;;;;;;;;;77.7;;;;;;;;;;;;
6;Australia;1996;24.8;;;;;;;;;;;;;;;;;;80.0;;;;;;;;;;;;
7;Australia;1997;24.3;;;59.5;76.1;83.4;9.6;6.1;3.5;;;;;;;;;;81.3;;;;;;;;;;;;
8;Australia;1998;25.4;15.9;;59.5;75.9;83.8;9.0;5.8;3.3;;;;;;;;;;81.6;;;;;;;;;;;;
9;Australia;1999;26.7;15.6;;59.1;76.2;82.0;8.4;5.1;3.4;;;;;;;;;;82.7;;;;;;;;;;;;
10;Australia;2000;27.5;16.2;;60.8;76.7;82.9;7.5;4.5;3.6;533.0;539.0;527.0;528.0;526.0;529.0;528.0;513.0;546.0;85.6;;;;;;;;;;;;
11;Australia;2001;29.0;16.0;;59.9;78.0;83.1;7.6;4.7;3.1;;;;;;;;;;88.5;;;;;;;;;;;;
12;Australia;2002;30.8;17.9;;60.0;77.8;83.5;7.5;4.3;3.3;;;;;;;;;;89.8;;;;;;;;;;;;
13;Australia;2003;31.3;18.4;;61.0;78.7;83.2;7.0;4.3;3.0;524.0;527.0;522.0;525.0;525.0;525.0;525.0;506.0;545.0;92.1;;;;;;;;;;;;
14;Australia;2004;30.8;18.2;;60.6;78.8;83.3;6.2;3.9;2.8;;;;;;;;;;95.6;;;;;;;;;;;;
15;Australia;2005;31.7;17.6;;62.9;79.8;84.4;6.3;3.4;2.5;;;;;;;;;;100.0;;;;;;;;;;;;
16;Australia;2006;33.0;18.0;;63.5;80.4;84.4;5.6;3.8;2.3;520.0;527.0;513.0;527.0;527.0;527.0;513.0;495.0;532.0;105.3;;;;;;;;;;;;
17;Australia;2007;33.7;17.2;;63.9;80.5;84.8;5.1;3.0;2.2;;;;;;;;;;110.6;;;;;;;;;;;;
18;Australia;2008;36.1;15.8;;61.5;80.9;83.1;5.2;2.6;2.1;;;;;;;;;;115.5;;;;;;;;;;;;
19;Australia;2009;36.9;;;66.1;80.2;84.3;6.6;4.1;3.3;514.0;519.0;509.0;527.0;527.0;528.0;515.0;496.0;533.0;115.6;;;;;;;;;;;;
20;Australia;2010;37.6;13.9;;65.1;80.5;84.0;6.2;3.6;2.8;;;;;;;;;;120.7;;;;;;;;;;;;
21;Australia;2011;;;;;;;;;;;;;;;;;;;127.1;;;;;;;;;;;;
22;Austria;1990;;;;;;;;;;;;;;;;;;;83.7;;;;;;;;;;;;
23;Austria;1991;6.7;;;51.7;73.3;88.3;4.8;3.1;1.5;;;;;;;;;;88.1;;;;;;;;;;;;
24;Austria;1992;6.9;;;;;;;;;;;;;;;;;;92.5;;;;;;;;;;;;
25;Austria;1993;;;;;;;;;;;;;;;;;;;96.2;;;;;;;;;;;;
26;Austria;1994;7.7;;;;;;;;;;;;;;;;;;98.2;;;;;;;;;;;;
27;Austria;1995;7.9;;7.7;55.8;76.7;88.3;5.7;2.9;2.0;;;;;;;;;;99.1;;;;;;;;;;;;
28;Austria;1996;8.1;;7.9;;;;;;;;;;;;;;;;98.1;;22.4;21.2;;;;;;;;;
29;Austria;1997;10.6;;7.8;52.8;75.6;86.0;6.6;3.3;2.5;;;;;;;;;;97.3;22.0;22.6;21.4;;;;;;;;;
30;Austria;1998;13.7;13.7;;52.6;75.0;85.8;6.8;3.7;1.9;;;;;;;;;;97.2;22.2;22.9;21.4;;;;;;;;;
31;Austria;1999;13.7;19.6;9.1;53.3;75.6;86.2;5.9;3.2;1.8;;;;;;;;;;97.3;22.7;23.5;22.0;;;;;;;;;
32;Austria;2000;13.9;19.7;8.3;53.7;74.8;87.5;6.2;2.9;1.5;515.0;530.0;503.0;519.0;526.0;514.0;492.0;476.0;509.0;96.9;23.1;23.8;22.4;;;;;;;;;
33;Austria;2001;14.1;19.7;8.2;53.5;74.8;86.6;6.2;3.0;1.5;;;;;;;;;;97.8;23.7;24.7;22.7;;;;;;;;;
34;Austria;2002;14.6;20.3;7.5;54.4;75.3;86.0;6.7;3.4;1.8;;;;;;;;;;98.1;24.1;25.7;22.9;;;;;;;;;
35;Austria;2003;14.7;19.9;8.6;55.0;75.6;85.0;7.8;3.4;2.0;506.0;509.0;502.0;491.0;490.0;492.0;491.0;467.0;514.0;99.4;25.0;26.3;23.9;;;;;;;;;
36;Austria;2004;18.3;20.3;11.6;52.2;73.9;82.5;7.8;3.8;2.9;;;;;;;;;;99.1;25.3;26.8;24.1;;;;;;;;;
37;Austria;2005;17.8;22.5;12.9;53.3;74.3;84.5;8.6;3.9;2.6;;;;;;;;;;100.0;26.2;27.8;25.0;23.1;21.5;20.8;;;;;;
38;Austria;2006;17.6;25.7;13.1;55.7;75.8;85.9;7.9;3.7;2.5;505.0;517.0;494.0;511.0;515.0;507.0;490.0;468.0;513.0;101.0;27.0;28.4;26.0;;;;47.7;75.6;88.0;51.4;68.2;74.8
39;Austria;2007;17.6;26.5;12.8;57.9;76.9;86.8;7.4;3.3;2.4;;;;;;;;;;102.4;27.6;29.4;26.4;;;;49.8;76.6;89.2;54.6;69.7;75.1
40;Austria;2008;18.1;22.5;13.2;57.0;78.1;86.4;6.3;2.9;1.7;;;;;;;;;;106.7;;;;;;;;;;;;
41;Austria;2009;19.0;;13.8;55.6;77.6;86.7;8.4;3.6;2.2;496.0;506.0;486.0;494.0;498.0;490.0;470.0;449.0;490.0;111.6;;;;;;;48.9;77.5;88.3;50.0;70.8;76.4
42;Austria;2010;19.3;22.0;13.7;56.1;77.9;85.7;7.3;3.5;2.3;;;;;;;;;;111.5;;;;;;;;;;;;
43;Austria;2011;;;13.4;;;;;;;;;;;;;;;;113.2;;;;;;;;;;;;
44;Belgium;1990;;;;;;;;;;;;;;;;;;;75.4;;;;;;;;;;;;
45;Belgium;1991;19.6;;;48.6;75.2;85.1;11.8;4.2;2.0;;;;;;;;;;79.7;;;;;;;;;;;;
46;Belgium;1992;20.2;;2.3;;;;;;;;;;;;;;;;82.3;;;;;;;;;;;;
47;Belgium;1993;;;2.7;;;;;;;;;;;;;;;;86.1;;;;;;;;;;;;
48;Belgium;1994;22.3;;2.7;;;;;;;;;;;;;;;;86.8;;;;;;;;;;;;
49;Belgium;1995;24.6;;2.8;47.3;72.1;83.7;13.4;7.5;3.6;;;;;;;;;;87.0;;;;;;;;;;;;
50;Belgium;1996;23.9;;2.9;;;;;;;;;;;;;;;;87.4;;26.0;;;;;;;;;;
51;Belgium;1997;25.1;;3.0;47.5;73.4;83.9;12.5;6.7;3.3;;;;;;;;;;87.6;;25.9;;;;;;;;;;
52;Belgium;1998;25.3;;4.4;47.5;72.0;84.3;13.1;7.4;3.2;;;;;;;;;;88.8;;26.5;;;;;;;;;;
53;Belgium;1999;26.7;;6.9;49.1;74.5;85.4;12.0;6.6;3.1;;;;;;;;;;90.3;;27.4;;;;;;;;;;
54;Belgium;2000;27.1;18.0;6.2;50.5;75.1;85.3;9.8;5.3;2.7;520.0;524.0;518.0;496.0;496.0;498.0;507.0;492.0;525.0;91.2;26.6;28.4;25.5;;;;;;;;;
55;Belgium;2001;27.6;18.4;6.4;49.0;73.9;84.5;8.5;5.5;2.7;;;;;;;;;;95.6;27.9;29.9;26.7;;;;;;;;;
56;Belgium;2002;28.1;18.5;6.0;48.8;73.8;83.7;10.3;6.0;3.5;;;;;;;;;;97.9;29.2;31.3;27.9;;;;;;;;;
