ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;Totaal 1 of meer werkzame personen;900063;2005 1e kwartaal;69.0;-2.3
1;Totaal 1 of meer werkzame personen;900063;2005 2e kwartaal;93.2;9.0
2;Totaal 1 of meer werkzame personen;900063;2005 3e kwartaal;82.9;8.6
3;Totaal 1 of meer werkzame personen;900063;2005 4e kwartaal;108.3;5.9
4;Totaal 1 of meer werkzame personen;900063;2005;88.4;5.6
5;Totaal 1 of meer werkzame personen;900063;2006 1e kwartaal;76.6;10.9
6;Totaal 1 of meer werkzame personen;900063;2006 2e kwartaal;99.3;6.6
7;Totaal 1 of meer werkzame personen;900063;2006 3e kwartaal;88.5;6.7
8;Totaal 1 of meer werkzame personen;900063;2006 4e kwartaal;118.7;9.6
9;Totaal 1 of meer werkzame personen;900063;2006;95.8;8.4
10;Totaal 1 of meer werkzame personen;900063;2007 1e kwartaal;87.3;14.0
11;Totaal 1 of meer werkzame personen;900063;2007 2e kwartaal;108.7;9.5
12;Totaal 1 of meer werkzame personen;900063;2007 3e kwartaal;96.4;8.9
13;Totaal 1 of meer werkzame personen;900063;2007 4e kwartaal;127.6;7.5
14;Totaal 1 of meer werkzame personen;900063;2007;105.0;9.6
15;Totaal 1 of meer werkzame personen;900063;2008 1e kwartaal;97.7;11.9
16;Totaal 1 of meer werkzame personen;900063;2008 2e kwartaal;121.5;11.7
17;Totaal 1 of meer werkzame personen;900063;2008 3e kwartaal;106.8;10.9
18;Totaal 1 of meer werkzame personen;900063;2008 4e kwartaal;134.3;5.2
19;Totaal 1 of meer werkzame personen;900063;2008;115.1;9.6
20;Totaal 1 of meer werkzame personen;900063;2009 1e kwartaal;99.0;1.3
21;Totaal 1 of meer werkzame personen;900063;2009 2e kwartaal;116.6;-4.0
22;Totaal 1 of meer werkzame personen;900063;2009 3e kwartaal;101.9;-4.6
23;Totaal 1 of meer werkzame personen;900063;2009 4e kwartaal;121.5;-9.5
24;Totaal 1 of meer werkzame personen;900063;2009;109.7;-4.6
25;Totaal 1 of meer werkzame personen;900063;2010 1e kwartaal;82.0;-17.1
26;Totaal 1 of meer werkzame personen;900063;2010 2e kwartaal;107.2;-8.1
27;Totaal 1 of meer werkzame personen;900063;2010 3e kwartaal;94.9;-6.9
28;Totaal 1 of meer werkzame personen;900063;2010 4e kwartaal;116.3;-4.3
29;Totaal 1 of meer werkzame personen;900063;2010;100.1;-8.8
30;Totaal 1 of meer werkzame personen;900063;2011 1e kwartaal;89.5;9.2
31;Totaal 1 of meer werkzame personen;900063;2011 2e kwartaal;110.3;2.9
32;Totaal 1 of meer werkzame personen;900063;2011 3e kwartaal;98.3;3.6
33;Totaal 1 of meer werkzame personen;900063;2011 4e kwartaal;119.3;2.6
34;Totaal 1 of meer werkzame personen;900063;2011;104.3;4.3
35;Totaal 1 of meer werkzame personen;900063;2012 1e kwartaal;82.2;-8.2
36;Totaal 1 of meer werkzame personen;900063;2012 2e kwartaal;102.8;-6.8
37;Totaal 1 of meer werkzame personen;900063;2012 3e kwartaal;94.1;-4.3
38;Totaal 1 of meer werkzame personen;900063;2012 4e kwartaal;109.3;-8.4
39;Totaal 1 of meer werkzame personen;900063;2012;97.1;-6.9
40;Totaal 1 of meer werkzame personen;900063;2013 1e kwartaal;74.9;-8.8
41;Totaal 1 of meer werkzame personen;900063;2013 2e kwartaal;96.4;-6.2
42;Totaal 1 of meer werkzame personen;900063;2013 3e kwartaal;89.7;-4.6
43;Totaal 1 of meer werkzame personen;900063;2013 4e kwartaal;110.3;0.9
44;Totaal 1 of meer werkzame personen;900063;2013;92.9;-4.4
45;Totaal 1 of meer werkzame personen;900063;2014 1e kwartaal;78.5;4.8
46;Totaal 1 of meer werkzame personen;900063;2014 2e kwartaal;94.9;-1.5
47;Totaal 1 of meer werkzame personen;900063;2014 3e kwartaal;88.4;-1.5
48;Totaal 1 of meer werkzame personen;900063;2014 4e kwartaal;116.7;5.8
49;Totaal 1 of meer werkzame personen;900063;2014;94.6;1.9
50;Totaal 1 of meer werkzame personen;900063;2015 1e kwartaal;83.1;5.7
51;Totaal 1 of meer werkzame personen;900063;2015 2e kwartaal;104.5;10.0
52;Totaal 1 of meer werkzame personen;900063;2015 3e kwartaal;94.6;7.0
53;Totaal 1 of meer werkzame personen;900063;2015 4e kwartaal;117.9;1.0
54;Totaal 1 of meer werkzame personen;900063;2015;100.0;5.7
55;Totaal 1 of meer werkzame personen;900063;2016 1e kwartaal;87.8;5.7
56;Totaal 1 of meer werkzame personen;900063;2016 2e kwartaal;107.7;3.1
57;Totaal 1 of meer werkzame personen;900063;2016 3e kwartaal;102.6;8.5
58;Totaal 1 of meer werkzame personen;900063;2016 4e kwartaal;127.2;7.8
59;Totaal 1 of meer werkzame personen;900063;2016;106.3;6.3
60;Totaal 1 of meer werkzame personen;900063;2017 1e kwartaal;93.4;6.4
61;Totaal 1 of meer werkzame personen;900063;2017 2e kwartaal;114.5;6.3
