ID;Perioden;UitkeringsontvangersTotaal_1;TotDeAOWLeeftijd_2;VanafDeAOWLeeftijd_3;Werkloosheid_4;BijstandEnBijstandsgerelateerdTotaal_5;BijstandsuitkeringTotDeAOWLeeftijd_6;BijstandsuitkeringVanafDeAOWLeeftijd_7;IOAWUitkering_8;IOAZUitkering_9;ArbeidsongeschiktheidTotaal_10;WAOUitkering_11;WIAUitkeringWGARegeling_12;WIAUitkeringIVARegeling_13;WAZUitkering_14;WajongUitkering_15;AOW_16
32;2009 september;1403480;1347600;45040;234980;398030;322350;41710;11420;2290;795350;517660;55740;18680;32340;178710;
33;2009 oktober;1414480;1358410;45140;242520;401700;325300;41890;11610;2280;795140;514890;57280;19280;32010;179360;
34;2009 november;1433590;1377280;45170;254330;403060;326110;42080;11800;2270;801710;516090;58820;19940;32620;182340;
35;2009 december;1456400;1399750;45330;272140;408150;330390;42250;12150;2290;801980;513570;60150;20490;32370;183580;
36;2010 januari;1467280;1413120;42920;279340;414830;336140;42500;12340;2300;798630;507950;61740;21130;31590;184220;
37;2010 februari;1470890;1416430;43240;277790;420790;340950;42860;12530;2310;797640;504830;63000;21730;31240;184860;
38;2010 maart;1466390;1411630;43450;267250;425070;344370;43140;12760;2270;798930;502300;64970;22330;30980;186450;
39;2010 april;1461670;1406790;43780;259760;428370;347010;43460;12910;2270;797960;499120;66240;22950;30650;187050;
40;2010 mei;1460650;1406680;44060;257870;429100;348440;43750;13040;2280;798040;496100;67820;23630;30360;188270;
41;2010 juni;1458960;1404960;44140;255020;429820;348950;43800;13200;2270;798400;493510;69230;24190;30060;189530;
42;2010 juli;1458280;1403980;44790;253910;430520;349130;44500;13280;2270;797580;490200;70360;24660;29760;190590;
43;2010 augustus;1451070;1396680;44890;248100;431770;350090;44610;13420;2240;794610;486050;71370;25400;29350;190290;
44;2010 september;1448200;1393610;44960;243560;432240;350130;44690;13590;2230;795630;483710;73190;26140;29100;191390;
45;2010 oktober;1451370;1396460;45160;243480;434440;351880;44890;13650;2250;796580;481430;74740;26810;28880;192550;
46;2010 november;1461100;1405850;45330;250560;435610;352760;45060;13670;2210;798260;479470;76590;27620;28710;193780;
47;2010 december;1482350;1426730;45580;268520;440070;356680;45310;13790;2220;797020;476760;77420;27890;28400;194190;
48;2011 januari;1490580;1435010;45930;271010;444120;360610;45630;13850;2270;798960;474320;79740;29010;28180;195540;
49;2011 februari;1488160;1432420;46200;265550;447480;363410;45910;13880;2270;798390;471240;81290;29710;27810;196180;
50;2011 maart;1480280;1424530;46430;253710;449810;365390;46160;13880;2250;799980;468030;83650;30450;27550;198380;
51;2011 april;1473760;1403850;46610;246990;450710;366100;46320;13830;2210;799010;464380;85120;31070;27170;199270;
52;2011 mei;1468450;1398400;46840;242580;450620;365920;46550;13720;2190;798110;460530;86720;31650;26810;200330;
53;2011 juni;1469450;1399190;47030;244590;450160;365320;46730;13640;2170;797400;456900;88410;32250;26410;201340;
54;2011 juli;1470310;1413210;47750;246810;449950;364600;47450;13550;2150;795880;452940;89680;32690;26030;202400;
55;2011 augustus;1461530;1404590;47880;242930;448980;363880;47570;13490;2140;791780;448260;90740;33300;25500;201560;
56;2011 september;1459380;1402220;47980;241610;448110;362920;47680;13530;2120;791820;445010;92790;33990;25170;202450;
57;2011 oktober;1466440;1408920;48110;247610;449810;364300;47810;13490;2130;791290;441750;94470;34660;24830;203150;
58;2011 november;1474670;1416820;48160;254340;449840;364400;47880;13510;2100;792810;439570;96900;35470;24650;204010;
59;2011 december;1498070;1439870;48300;275640;453120;367360;48020;13540;2100;792040;436550;98150;36060;24410;204640;
60;2012 januari;1506960;1451040;46940;287240;451580;367180;46700;13540;2140;790840;432430;100060;36840;23900;205340;
61;2012 februari;1507640;1451830;47040;287020;453200;368600;46790;13620;2140;790140;429240;101460;37540;23600;206140;
62;2012 maart;1504560;1448910;47170;281590;453840;368960;46910;13720;2150;791940;426440;103650;38130;23400;208170;
63;2012 april;1502610;1446880;47260;279460;454540;369440;46990;13810;2150;791280;423130;104990;38560;23100;209130;
64;2012 mei;1500540;1444800;47330;276550;455920;370470;47060;14000;2140;790520;419700;106310;39170;22760;210300;
65;2012 juni;1501930;1446140;47270;277990;456470;370890;47000;14010;2130;789810;416500;107610;39760;22400;211360;
66;2012 juli;1510820;1454560;47700;290480;454000;371030;47350;14090;2140;788710;413010;108740;40210;22110;212350;
67;2012 augustus;1507920;1452340;47090;291070;454010;371520;46730;14220;2140;785080;408880;109590;40860;21710;211740;
68;2012 september;1509840;1454210;46930;292490;454650;371880;46550;14440;2130;785150;405980;111420;41570;21440;212570;
69;2012 oktober;1520590;1464380;47220;301060;457200;373720;46880;14640;2120;784990;402930;113110;42050;21170;213450;
70;2012 november;1540070;1483190;47460;315970;461210;377200;47090;14840;2120;786080;400310;114880;42770;20960;215190;
71;2012 december;1577460;1519880;47550;351230;465090;380660;47100;15120;2140;785580;397310;116410;43300;20720;215970;
72;2013 januari;4644520;1521820;3122120;354590;470000;386480;45800;15550;2250;767400;394230;118280;43580;20520;196810;3120720.0
73;2013 februari;4663830;1532440;3130800;358710;475370;391090;46050;15800;2270;769390;391740;120330;44140;20320;198990;3129420.0
74;2013 maart;4675720;1536560;3138590;358260;479930;395350;45790;16190;2270;769420;388930;121690;44780;20070;200130;3137210.0
75;2013 april;4685420;1537970;3146890;356030;483860;399060;45840;16400;2260;769240;385860;123020;45500;19830;201220;3145480.0
76;2013 mei;4693670;1536360;3156760;355410;486550;401430;45970;16600;2280;765760;382190;123370;46170;19480;200640;3155340.0
77;2013 juni;4707200;1539160;3167500;357990;487450;402200;45880;16860;2270;765040;379230;124390;46750;19260;201520;3166060.0
78;2013 juli;4728720;1551640;3176550;369340;488590;403380;45890;17130;2300;764900;376520;125490;47390;19000;202620;3175100.0
79;2013 augustus;4738590;1549600;3188460;368450;488210;402430;46070;17410;2290;764540;373290;126950;48010;18750;203680;3187030.0
80;2013 september;4748650;1550140;3198000;368080;489000;402950;46020;17630;2320;764880;370640;128500;48730;18540;204620;3196560.0
81;2013 oktober;4773730;1564230;3208980;378550;492430;405530;46620;17840;2310;766050;368160;130080;49570;18340;206090;3209380.0
82;2013 november;4797340;1579250;3217600;390150;496570;408920;46900;18090;2290;766140;365640;131060;50560;18150;206930;3217980.0
83;2013 december;4837450;1611620;3225340;418590;501240;413080;47020;18380;2310;766150;363140;132220;51170;17940;207900;3225720.0
84;2014 januari;4844630;1629500;3214650;425350;506530;418190;46880;18840;2430;772410;363420;134380;52480;17990;210500;3215040.0
85;2014 februari;4852610;1630250;3221880;422630;511070;422070;47060;19210;2440;771550;360660;135150;53200;17700;211210;3222330.0
86;2014 maart;4849580;1617560;3231540;405790;515100;425310;47370;19630;2440;771730;357800;136520;53980;17470;212350;3231980.0
87;2014 april;4855380;1615890;3239010;400570;518450;428240;47490;19900;2450;772160;355360;137660;54980;17250;213340;3239430.0
88;2014 mei;4858270;1608850;3248970;395260;520140;429630;47550;20140;2430;768470;351830;137730;55710;16950;212570;3249390.0
89;2014 juni;4867210;1609410;3257370;395620;520500;429820;47580;20450;2430;768400;349210;138770;56520;16750;213470;3257720.0
90;2014 juli;4876640;1609750;3266470;395400;520890;430290;47580;20610;2440;768090;346530;139510;57330;16550;214490;3266810.0
91;2014 augustus;4875010;1598600;3276000;386010;518720;428140;47380;20830;2390;768200;344070;140770;57950;16390;215380;3276330.0
92;2014 september;4872680;1587370;3284910;375880;517110;426770;46810;21090;2380;768080;341160;142190;58710;16190;216210;3285220.0
93;2014 oktober;4887370;1593060;3293900;379120;519190;428290;47100;21350;2400;768950;338570;143540;59590;16060;217610;3294190.0
94;2014 november;4903430;1602060;3300990;385060;522700;431050;47280;21670;2400;769010;336090;144610;60430;15870;218430;3301230.0
95;2014 december;4939430;1631970;3307090;411470;525960;433660;47470;22020;2410;769970;333710;145840;60980;15690;220230;3307290.0
96;2015 januari;4930970;1637840;3292760;412030;528880;436150;47520;22510;2510;771890;333390;146920;62270;15670;220150;3290960.0
97;2015 februari;4933930;1637300;3296250;407110;532430;438930;47630;22900;2520;772940;331530;148010;63200;15540;221240;3294490.0
98;2015 maart;4924930;1622430;3302140;389040;536030;441870;47670;23370;2500;772160;329170;148740;64310;15350;221180;3300310.0
99;2015 april;4924900;1613750;3310820;379300;538110;443460;48010;23570;2500;770970;326590;149480;65190;15150;221180;3308950.0
100;2015 mei;4920140;1602150;3317750;371670;538910;443800;48230;23890;2480;766070;323480;149180;65890;14920;219120;3315870.0
101;2015 juni;4930870;1604810;3325820;376810;537830;442370;48240;24120;2450;764850;320990;149740;66920;14740;219040;3323890.0
102;2015 juli;4938170;1603090;3334830;376520;534650;441490;45790;24360;2440;763420;318700;149860;67910;14570;218990;3332890.0
103;2015 augustus;4934950;1591010;3343700;367080;532730;439370;45660;24630;2430;762320;316240;150730;68630;14420;218960;3341740.0
104;2015 september;4938330;1586830;3351270;362980;533930;439990;45760;24960;2430;761140;313870;151670;69490;14220;218570;3349280.0
105;2015 oktober;4950790;1590590;3359980;366040;536750;441320;46940;25190;2400;760260;311060;152890;70340;14070;218600;3357960.0
106;2015 november;4969240;1601880;3367140;375160;540950;444540;47420;25410;2390;759370;308580;153980;71150;13930;218390;3365110.0
107;2015 december;4996410;1622420;3373790;393020;546090;448660;47850;25800;2390;757890;306070;154850;71620;13750;218280;3371730.0
108;2016 januari;4995190;1632640;3362430;396840;550610;452550;47880;26360;2490;759870;305430;156020;73140;13740;218260;3360350.0
109;2016 februari;4993180;1643430;3349620;397660;554290;455700;47570;26970;2530;766120;306820;158110;74240;13790;220000;3347560.0
110;2016 maart;4980070;1641830;3338130;390040;557840;458460;47490;27680;2550;768470;306560;159490;75530;13730;220040;3336050.0
111;2016 april;4982480;1638110;3344250;385200;559290;459520;47700;27880;2550;768090;304490;160460;76350;13590;220120;3342160.0
112;2016 mei;4962490;1612680;3349690;363540;560720;460430;47850;28000;2560;762140;300000;160360;77090;13300;218130;3347580.0
113;2016 juni;4967120;1610840;3356150;362830;560370;460010;47960;27970;2540;761830;297880;161070;78120;13150;218370;3353970.0
114;2016 juli;4970030;1605870;3364030;358070;560520;460060;48040;28150;2550;760820;295190;161650;78850;13050;218870;3361810.0
115;2016 augustus;4978550;1607730;3370680;360690;559270;458490;48180;28280;2550;761490;293210;162600;79940;12920;219630;3368440.0
116;2016 september;4978890;1599820;3378930;353680;559330;458210;48340;28450;2530;760550;290720;163640;80940;12760;219300;3376680.0
117;2016 oktober;4989500;1602740;3386610;354980;560900;459180;48730;28530;2510;760830;288730;164520;82210;12760;219470;3384320.0
118;2016 november;4999840;1605700;3393990;356470;564100;461510;49160;28710;2510;759720;286430;164900;83700;12570;218980;3391680.0
119;2016 december;5013840;1613240;3400440;362900;567690;464490;49410;28970;2510;757880;284170;165260;84540;12410;218340;3398110.0
120;2017 januari;5003530;1616570;3386810;360560;570590;466800;49370;29340;2620;760010;283770;166080;86600;12380;218040;3384480.0
121;2017 februari;4995850;1623170;3372580;358070;573900;469550;49290;29730;2650;765690;284810;167670;88120;12430;219620;3370280.0
122;2017 maart;4977670;1616990;3360590;346550;576360;471560;49200;30010;2670;768190;284570;168660;89850;12410;219710;3358270.0
123;2017 april;4978030;1608310;3369620;339060;575800;470760;49690;29960;2680;767720;282490;169520;90680;12250;219870;3367300.0
124;2017 mei;4962750;1587270;3375390;319370;574150;469110;49910;29920;2680;767550;280440;170270;91710;12090;220130;3373050.0
125;2017 juni;4959850;1577080;3382670;317660;573090;467880;50160;29900;2680;760630;276280;169960;92530;11820;216910;3380270.0
126;2017 juli;4960280;1570140;3390030;312150;571290;466080;50300;29920;2650;760480;274490;170360;93320;11690;217460;3387610.0
127;2017 augustus;4961930;1566680;3395130;311740;567380;462440;50290;29870;2660;761090;272710;171520;94270;11560;217840;3392690.0
128;2017 september;4955050;1553290;3401650;302640;564330;459290;50400;29640;2630;759470;270380;172470;95120;11380;216940;3399190.0
129;2017 oktober;4960360;1551430;3407940;302960;562730;457090;50980;29520;2620;760180;267990;174020;96650;11250;217160;3405460.0
130;2017 november;4964980;1547730;3415670;300830;562890;456830;51320;29520;2620;759370;265910;174780;97710;11090;216760;3413160.0
131;2017 december;4977430;1551360;3423990;307430;563020;456820;51590;29440;2590;757410;263830;175280;97970;10940;216270;3421470.0
132;2018 januari;4949770;1539200;3410440;301090;563000;456750;51530;29490;2650;748890;263850;164390;99850;10940;216740;3407850.0
133;2018 februari;4939590;1541500;3398030;297190;562620;456190;51510;29640;2660;755460;264630;166850;101210;10990;218840;3395470.0
134;2018 maart;4914310;1531700;3382550;285370;561790;455390;51370;29780;2690;757750;264360;168050;102600;10980;218870;3379990.0
135;2018 april;4910090;1521210;3388810;277650;558970;452800;51520;29530;2680;757850;262440;169040;103510;10860;219100;3386260.0
136;2018 mei;4896370;1499910;3396390;258590;556730;450520;51750;29420;2630;757560;260410;169780;104570;10730;219210;3393840.0
137;2018 juni;4891290;1488180;3403050;258030;553670;447620;51960;29090;2630;749860;256810;168480;105630;10490;215350;3400420.0
138;2018 juli;4889700;1478380;3411260;250970;551030;444850;52630;28750;2630;749670;254740;169020;106700;10380;215750;3408590.0
139;2018 augustus;4892370;1471380;3420910;249480;545960;439930;52740;28560;2600;749360;252650;169680;107760;10230;215980;3418250.0
140;2018 september;4887290;1459520;3427670;242630;541640;435800;52830;28330;2580;748540;250540;170130;108970;10080;215740;3425000.0
141;2018 oktober;4892160;1458200;3433850;243970;539190;433320;53150;28070;2540;749280;248700;171360;110330;9970;215860;3431170.0
142;2018 november;4896640;1457110;3439300;244330;538670;432460;53360;28020;2530;748590;246910;172080;111520;9870;215180;3436730.0
143;2018 december;4912660;1465390;3446960;254480;538880;432460;53610;27870;2520;747230;244950;172710;112270;9770;214520;3444450.0
144;2019 januari;4898900;1463030;3435570;248410;538910;432550;53460;27950;2620;749840;244730;172840;115260;9770;214250;3433060.0
145;2019 februari;4886080;1464390;3421360;242790;538630;432090;53340;28130;2640;757200;245520;174750;117480;9790;216810;3418880.0
146;2019 maart;4869320;1458310;3410670;234000;538130;431560;53220;28230;2650;760000;245340;175980;119030;9770;217050;3408200.0
147;2019 april;4856110;1456450;3399550;230200;536530;430030;53090;28270;2650;763400;245270;177380;120750;9770;217450;3396870.0
148;2019 mei ;4847220;1440530;3406540;216720;534130;427650;53400;27950;2630;763380;243190;178230;121830;9650;217730;3403870.0
149;2019 juni;4841680;1430500;3411000;217930;531870;425470;53530;27760;2610;754800;239660;176790;122610;9440;213340;3408310.0
150;2019 juli;4844130;1423800;3420130;212990;529360;423440;53450;27430;2590;754760;237760;177570;123460;9330;213720;3417430.0
151;2019 augustus;4845130;1417380;3427540;210790;525270;419510;53550;27180;2560;754560;235780;178380;124230;9190;214060;3424850.0
152;2019 september;4845030;1409580;3435190;207380;521860;416340;53670;26910;2540;753710;233660;179560;124880;9070;213610;3432550.0
153;2019 oktober;4850880;1407950;3442650;207080;520450;414850;53920;26680;2510;754110;231890;181160;125630;8990;213550;3439980.0
154;2019 november;4860560;1409580;3450660;210510;520330;414130;54730;26420;2490;753540;229940;182130;126460;8870;213270;3448000.0
155;2019 december;4875300;1419360;3455600;221610;521080;414620;55000;26310;2460;752440;228020;183070;126930;8760;212810;3452950.0
156;2020 januari;4878520;1416490;3461750;217750;521180;414670;55140;26120;2520;752840;226280;184250;128050;8640;212760;3459050.0
157;2020 februari;4888250;1421850;3466170;218250;521800;415080;55280;25990;2530;757340;225430;186580;128940;8570;215060;3463490.0
158;2020 maart;5315110;1845830;3469010;241980;941350;421300;55400;25880;2500;757680;223910;187550;129820;8470;215200;3466300.0
159;2020 april;5388760;1919530;3468970;263580;996430;427220;55560;25790;2470;758130;222320;188550;130780;8370;215400;3466240.0
160;2020 mei;5378850;1904240;3474360;261930;982160;429500;55870;25640;2460;758120;220550;189490;131420;8290;215670;3471640.0
161;2020 juni ;5117910;1638230;3479380;263630;708800;429860;56050;25520;2440;750880;217420;188490;132030;8140;211970;3476650.0
162;2020 juli;5086010;1597200;3488490;256840;672590;429880;56150;25290;2410;750820;215740;189100;132850;8020;212290;3485780.0
163;2020 augustus;5087040;1590510;3496250;261030;661460;426570;56380;25050;2400;750940;213970;190110;133620;7910;212520;3493470.0
164;2020 september;5069710;1565850;3503520;250850;646720;424400;56520;24750;2360;750450;211710;191250;134350;7790;212570;3500800.0
165;2020 oktober;5062080;1552280;3509460;244840;630540;424890;56610;24530;2350;758440;209920;192460;135370;7700;223740;3506730.0
166;2020 november;5067840;1553060;3514420;240990;636260;425540;57270;24260;2320;758360;208130;193540;136200;7600;223710;3511660.0
167;2020 december;5102030;1582730;3518860;249770;658380;428030;57330;24040;2280;758440;206620;194550;136530;7500;224100;3516180.0
168;2021 januari;5133860;1612100;3521520;254730;683490;429200;57380;23850;2270;758500;205010;195480;137540;7400;223920;3518770.0
169;2021 februari;5134640;1611830;3522580;250980;683910;430290;57460;23730;2260;761820;204230;198180;138370;7340;224590;3519880.0
170;2021 maart ;5110750;1584120;3526410;237510;667390;430210;57570;23440;2230;763050;202890;199620;139350;7260;224850;3523690.0
171;2021 april;5066700;1535830;3530600;230060;623390;428940;57650;23130;2240;764480;201440;200970;140240;7190;225620;3527910.0
172;2021 mei;5042460;1502440;3539770;198500;620400;426210;57850;22710;2210;764930;199820;202430;140690;7120;225870;3537090.0
173;2021 juni;5024660;1480260;3544150;190400;611850;423150;57970;22340;2170;758920;197080;200990;141470;6990;223340;3541390.0
174;2021 juli;5005190;1451600;3553320;194880;577980;420080;57950;21960;2150;758590;195460;201570;142170;6920;223420;3550590.0
175;2021 augustus;5004520;1444750;3559540;189960;575320;415610;58050;21600;2120;759300;193930;203010;142880;6860;223560;3556750.0
176;2021 september;4994630;1426420;3567910;178990;567650;411790;58070;21230;2090;759450;192210;204380;143770;6760;223300;3565180.0
177;2021 oktober;4965910;1390690;3574880;175850;520450;409860;58120;20840;2080;773260;190730;218560;144470;6660;223840;3572210.0
178;2021 november;4968910;1389660;3578920;170680;525380;408180;58790;20430;2060;773040;188910;219970;145220;6580;223380;3576230.0
179;2021 december;4975200;1393370;3581310;169230;531660;408140;58870;20090;2020;772120;187330;220800;145740;6460;222830;3578800.0
180;2022 januari;4965770;1399140;3566200;172980;530000;407440;58630;20010;2110;775750;187080;223370;147450;6440;222480;3563600.0
181;2022 februari;4951890;1398220;3553110;165200;527330;406560;58420;19970;2120;785040;187760;227060;149040;6470;225910;3550650.0
182;2022 maart;4933760;1392350;3540770;157410;524360;405860;58260;19910;2120;789600;187610;229630;150790;6460;226370;3538410.0
183;2022 april;4916040;1370100;3545460;151150;507060;404680;58340;19560;2140;790190;186230;230260;151390;6380;227220;3542930.0
184;2022 mei;4902510;1352260;3549610;133890;505540;403050;58470;19270;2120;790540;184840;231020;151940;6310;227740;3547230.0
185;2022 juni;4897670;1342650;3554310;133490;503920;401710;58460;18970;2080;782660;182160;228900;152530;6220;224010;3551930.0
186;2022 juli;4905060;1345060;3559640;137580;501870;400350;58210;18680;2060;782430;180770;229040;153170;6150;224460;3556910.0
187;2022 augustus;4910120;1343690;3565970;137820;499630;398270;58440;18350;2050;782700;179200;229910;153700;6090;224960;3563360.0
188;2022 september;4910090;1337850;3571980;132440;497920;396680;58570;18070;2040;782860;177630;230970;154380;5990;225070;3569220.0
189;2022 oktober;4919780;1339940;3579590;133040;496710;395830;58870;17740;2040;785420;176070;233220;155190;5930;226240;3576860.0
190;2022 november;4924110;1338590;3585270;131980;496920;396170;59030;17440;2010;784850;174540;233720;156150;5860;225800;3582660.0
191;2022 december;4930080;1338510;3591260;132720;497370;396720;59150;17170;2000;783380;172980;234100;156570;5790;225170;3588840.0
192;2023 januari;4926220;1351150;3574670;141500;498130;397720;59010;17140;2070;786010;172760;235860;158450;5770;224460;3572350.0
193;2023 februari;4921280;1360240;3560550;140490;499030;398660;58840;17150;2090;794890;173400;239360;160210;5770;227610;3558350.0
194;2023 maart;4912140;1363830;3547780;138530;500300;399990;58680;17150;2100;798790;173280;241180;162030;5750;228050;3545620.0
195;2023 april;4914070;1362670;3550980;137110;499910;399930;58820;16890;2100;799610;171730;242310;162780;5670;228660;3548700.0
196;2023 mei;4913390;1352790;3560220;126650;499610;399290;59400;16600;2090;800720;170450;243360;163700;5610;229180;3557870.0
197;2023 juni;4912400;1346320;3565750;128420;499460;399270;59500;16310;2070;792630;167680;241310;164350;5490;225200;3563240.0
198;2023 juli;4926380;1353590;3572530;135800;499320;399400;59590;16080;2050;792870;166420;241630;165150;5430;225640;3569930.0
199;2023 augustus;4936010;1356490;3579290;139160;498250;398490;59640;15820;2030;793800;165200;242330;165990;5380;226330;3576660.0
200;2023 september;4941180;1355470;3585510;137850;497500;397870;59700;15540;2000;794200;163880;243450;166690;5310;226300;3582820.0
201;2023 oktober;4951290;1360680;3590360;140760;497880;398410;59870;15250;2000;796060;162650;245260;167690;5240;226720;3587720.0
202;2023 november;4960180;1363270;3596650;142150;498830;399290;60080;14920;1990;796130;161310;246490;168590;5190;226080;3594000.0
203;2023 december;4967810;1366330;3601270;144860;499940;400460;60120;14680;1960;795190;160010;247370;169080;5120;225150;3598550.0
204;2024 januari;4960580;1380960;3579390;154080;500830;401720;59580;14650;2010;799290;159800;250060;171050;5110;224890;3576650.0
205;2024 februari;4957910;1392590;3565070;153810;502560;403430;59410;14640;2020;809380;160370;254370;173050;5120;228280;3562320.0
206;2024 maart;4965110;1393490;3571370;153060;503050;403830;59570;14410;1990;810510;158880;256220;173760;5040;228410;3568590.0
207;2024 april;4971470;1394110;3577100;151850;503120;404110;59700;14170;1980;812170;157450;257610;174840;4970;229140;3574290.0
208;2024 mei;4967900;1383990;3583630;139910;503470;404460;59830;13910;1970;813460;156100;259000;175640;4910;229670;3580800.0
209;2024 juni;4969670;1377920;3591460;141330;503530;404730;59880;13650;1930;805830;153700;257410;176030;4810;225560;3588650.0
