ID;Goods;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3
0;Capital goods;2004;;;
1;Capital goods;2005;;;
2;Capital goods;2006;19.0;3.0;-16.0
3;Capital goods;2007;30.0;1.0;-29.0
4;Capital goods;2008;34.0;2.0;-32.0
5;Capital goods;2009;32.0;2.0;-31.0
6;Consumer goods;2004;;;
7;Consumer goods;2005;;;
8;Consumer goods;2006;15.0;0.0;-15.0
9;Consumer goods;2007;24.0;0.0;-24.0
10;Consumer goods;2008;25.0;1.0;-24.0
11;Consumer goods;2009;27.0;0.0;-26.0
12;Total SITC-goods;2004;78.0;28.0;-50.0
13;Total SITC-goods;2005;126.0;23.0;-103.0
14;Total SITC-goods;2006;107.0;19.0;-88.0
15;Total SITC-goods;2007;153.0;19.0;-134.0
16;Total SITC-goods;2008;174.0;17.0;-157.0
17;Total SITC-goods;2009;209.0;16.0;-193.0
18;0  Food and live animals;2004;14.0;3.0;-11.0
19;0  Food and live animals;2005;13.0;0.0;-13.0
20;0  Food and live animals;2006;13.0;1.0;-12.0
21;0  Food and live animals;2007;17.0;0.0;-17.0
22;0  Food and live animals;2008;19.0;0.0;-19.0
23;0  Food and live animals;2009;19.0;0.0;-19.0
24;1  Beverages and tobacco;2004;3.0;0.0;-3.0
25;1  Beverages and tobacco;2005;4.0;0.0;-4.0
26;1  Beverages and tobacco;2006;5.0;0.0;-5.0
27;1  Beverages and tobacco;2007;5.0;0.0;-5.0
28;1  Beverages and tobacco;2008;6.0;0.0;-6.0
29;1  Beverages and tobacco;2009;5.0;0.0;-5.0
30;2  Crude materials, inedible, exc. fuels;2004;2.0;22.0;20.0
31;2  Crude materials, inedible, exc. fuels;2005;1.0;18.0;17.0
32;2  Crude materials, inedible, exc. fuels;2006;2.0;9.0;7.0
33;2  Crude materials, inedible, exc. fuels;2007;4.0;13.0;9.0
34;2  Crude materials, inedible, exc. fuels;2008;4.0;11.0;7.0
35;2  Crude materials, inedible, exc. fuels;2009;5.0;11.0;6.0
36;3 Mineral fuels, lubricants relat. mat.;2004;0.0;0.0;0.0
37;3 Mineral fuels, lubricants relat. mat.;2005;0.0;0.0;0.0
38;3 Mineral fuels, lubricants relat. mat.;2006;0.0;0.0;0.0
39;3 Mineral fuels, lubricants relat. mat.;2007;0.0;0.0;0.0
40;3 Mineral fuels, lubricants relat. mat.;2008;0.0;0.0;0.0
41;3 Mineral fuels, lubricants relat. mat.;2009;0.0;0.0;0.0
42;4  Animal and vegetable oils, fats, wax;2004;0.0;0.0;0.0
43;4  Animal and vegetable oils, fats, wax;2005;0.0;0.0;0.0
44;4  Animal and vegetable oils, fats, wax;2006;0.0;0.0;0.0
45;4  Animal and vegetable oils, fats, wax;2007;0.0;0.0;0.0
46;4  Animal and vegetable oils, fats, wax;2008;0.0;0.0;0.0
47;4  Animal and vegetable oils, fats, wax;2009;0.0;0.0;0.0
48;5  Chemicals and related product, n.e.s.;2004;4.0;0.0;-4.0
49;5  Chemicals and related product, n.e.s.;2005;5.0;0.0;-5.0
50;5  Chemicals and related product, n.e.s.;2006;6.0;0.0;-6.0
51;5  Chemicals and related product, n.e.s.;2007;7.0;0.0;-7.0
52;5  Chemicals and related product, n.e.s.;2008;8.0;0.0;-8.0
53;5  Chemicals and related product, n.e.s.;2009;10.0;0.0;-10.0
54;6 Manufactured goods classified chiefly;2004;12.0;0.0;-12.0
55;6 Manufactured goods classified chiefly;2005;15.0;0.0;-15.0
56;6 Manufactured goods classified chiefly;2006;17.0;0.0;-17.0
57;6 Manufactured goods classified chiefly;2007;25.0;1.0;-24.0
58;6 Manufactured goods classified chiefly;2008;32.0;0.0;-32.0
59;6 Manufactured goods classified chiefly;2009;60.0;0.0;-60.0
60;7  Machinery and transport equipment;2004;27.0;2.0;-25.0
61;7  Machinery and transport equipment;2005;72.0;3.0;-69.0
62;7  Machinery and transport equipment;2006;46.0;8.0;-38.0
63;7  Machinery and transport equipment;2007;69.0;4.0;-65.0
64;7  Machinery and transport equipment;2008;75.0;4.0;-71.0
65;7  Machinery and transport equipment;2009;78.0;4.0;-74.0
66;8  Miscellaneous manufactured articles;2004;;;
67;8  Miscellaneous manufactured articles;2005;16.0;0.0;-16.0
68;8  Miscellaneous manufactured articles;2006;15.0;0.0;-15.0
69;8  Miscellaneous manufactured articles;2007;22.0;0.0;-22.0
70;8  Miscellaneous manufactured articles;2008;24.0;1.0;-23.0
71;8  Miscellaneous manufactured articles;2009;28.0;0.0;-28.0
72;9  Commodities not classified elsewhere;2004;;;
73;9  Commodities not classified elsewhere;2005;1.0;1.0;0.0
74;9  Commodities not classified elsewhere;2006;3.0;1.0;-2.0
75;9  Commodities not classified elsewhere;2007;3.0;1.0;-2.0
76;9  Commodities not classified elsewhere;2008;5.0;1.0;-4.0
77;9  Commodities not classified elsewhere;2009;3.0;1.0;-3.0
