ID;Periods;TotalBuildingCosts_1;Wages_2;BuildingMaterials_3
0;1995 January;99.2;98.4;99.9
1;1995 February;99.4;98.4;100.1
2;1995 March;99.4;98.4;100.2
3;1995 April;99.9;99.7;100.1
4;1995 May;99.9;99.7;100.1
5;1995 June;100.0;99.8;100.0
6;1995 July;100.5;100.9;100.2
7;1995 August;100.4;100.9;100.1
8;1995 September;100.5;100.9;100.1
9;1995 October;100.2;100.9;99.7
10;1995 November;100.4;100.7;99.8
11;1995 December;100.4;100.7;99.7
12;1995;100.0;100.0;100.0
13;1996 January;100.6;102.1;99.3
14;1996 February;100.5;102.1;99.2
15;1996 March;100.6;102.1;99.3
16;1996 April;100.7;102.3;99.5
17;1996 May;100.8;102.3;99.6
18;1996 June;100.6;102.3;99.3
19;1996 July;100.8;102.7;99.3
20;1996 August;100.8;102.7;99.3
21;1996 September;100.8;102.7;99.3
22;1996 October;101.0;102.7;99.6
23;1996 November;100.9;102.9;99.4
24;1996 December;101.0;102.9;99.5
25;1996;100.7;102.5;99.4
26;1997 January;101.7;103.8;100.1
27;1997 February;101.8;103.8;100.3
28;1997 March;101.8;103.8;100.3
29;1997 April;102.2;104.2;100.6
30;1997 May;102.2;104.2;100.6
31;1997 June;102.6;104.9;100.7
32;1997 July;102.9;105.5;100.9
33;1997 August;103.0;105.5;101.0
34;1997 September;103.0;105.5;101.0
35;1997 October;103.0;105.5;101.1
36;1997 November;103.2;105.5;101.4
37;1997 December;103.1;105.5;101.3
38;1997;102.6;104.8;100.8
39;1998 January;104.9;108.2;102.3
40;1998 February;104.9;108.2;102.4
41;1998 March;104.9;108.2;102.4
42;1998 April;105.2;108.6;102.6
43;1998 May;105.3;108.6;102.7
44;1998 June;105.4;108.6;102.8
45;1998 July;105.3;108.8;102.5
46;1998 August;105.3;108.8;102.5
47;1998 September;105.2;108.8;102.4
48;1998 October;105.7;110.1;102.2
49;1998 November;105.7;109.9;102.3
50;1998 December;105.6;109.9;102.2
51;1998;105.3;108.9;102.4
52;1999 January;106.0;110.4;102.5
53;1999 February;106.0;110.4;102.5
54;1999 March;106.1;110.5;102.6
55;1999 April;106.7;111.6;102.9
56;1999 May;106.7;111.6;102.9
57;1999 June;106.8;111.6;103.0
58;1999 July;107.7;113.4;103.2
59;1999 August;107.7;113.4;103.2
60;1999 September;107.8;113.4;103.3
61;1999 October;107.9;113.6;103.5
62;1999 November;108.0;113.6;103.6
63;1999 December;108.4;113.6;104.4
64;1999;107.1;112.3;103.2
65;2000 January;109.6;113.9;106.1
66;2000 February;109.6;113.9;106.2
67;2000 March;109.7;113.9;106.3
68;2000 April;110.2;114.0;107.1
69;2000 May;110.2;114.0;107.1
70;2000 June;110.3;114.3;107.2
71;2000 July;111.9;116.0;108.6
72;2000 August;111.9;116.0;108.6
73;2000 September;112.0;116.0;108.9
74;2000 October;112.3;116.0;109.3
75;2000 November;112.3;116.0;109.3
76;2000 December;112.3;116.0;109.3
77;2000;111.0;115.0;107.8
78;2001 January;114.5;117.1;112.4
79;2001 February;114.7;117.1;112.8
80;2001 March;114.6;117.1;112.7
81;2001 April;116.3;120.7;112.9
82;2001 May;116.8;121.7;112.9
83;2001 June;117.4;123.0;113.0
84;2001 July;117.8;123.8;113.1
85;2001 August;117.9;123.8;113.2
86;2001 September;117.9;123.8;113.3
87;2001 October;118.0;123.9;113.3
88;2001 November;118.0;123.9;113.3
89;2001 December;118.1;123.9;113.6
90;2001;116.8;121.6;113.0
91;2002 January;119.9;126.0;115.2
92;2002 February;120.0;126.0;115.3
93;2002 March;120.6;127.0;115.5
94;2002 April;120.7;127.0;115.7
95;2002 May;120.7;127.0;115.8
96;2002 June;120.8;127.3;115.7
97;2002 July;122.1;130.0;115.9
98;2002 August;122.1;130.0;115.8
99;2002 September;122.1;130.0;115.9
100;2002 October;122.1;130.0;115.9
101;2002 November;122.0;129.6;116.1
102;2002 December;121.9;129.6;115.9
103;2002;121.3;128.3;115.7
104;2003 January;123.3;131.8;116.7
105;2003 February;123.3;131.8;116.7
106;2003 March;123.4;131.8;116.8
107;2003 April;123.5;132.1;116.8
108;2003 May;123.6;132.1;116.9
109;2003 June;123.7;132.2;117.0
110;2003 July;124.4;134.0;116.9
111;2003 August;124.5;134.0;117.1
112;2003 September;124.5;134.0;117.0
113;2003 October;123.8;132.8;116.8
114;2003 November;123.8;132.8;116.8
115;2003 December;123.8;132.8;116.7
116;2003;123.8;132.7;116.9
117;2004 January;124.4;133.8;116.9
118;2004 February;125.2;134.8;117.6
119;2004 March;125.6;134.8;118.4
120;2004 April;125.4;133.6;118.9
121;2004 May;125.3;133.6;118.8
122;2004 June;125.7;133.8;119.3
123;2004 July;127.0;135.9;119.9
124;2004 August;127.1;135.9;120.1
125;2004 September;127.0;136.1;119.8
126;2004 October;127.3;136.1;120.4
127;2004 November;127.1;136.1;120.1
128;2004 December;127.0;136.1;119.9
129;2004;126.2;135.0;119.2
