ID;RegioS;LadenLossen;BinnenlandseInternationaleVaart;Perioden;TotaalGewicht_1;LandbouwProductenDieren_2;VoedingsProductenVeevoeder_3;VasteBrandstoffen_4;AardolienAardolieproducten_5;ErtsenEnMetaalresiduen_6;MetalenMetalenHalffabrikaten_7;RuweMineralenEnBouwmaterialen_8;Meststoffen_9;ChemischeProducten_10;OverigeGoederenEnFabrikaten_11
0;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;1996;346917;9933;29313;22767;63374;37337;4931;132049;7257;16407;23550
1;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;1997;381386;7948;25839;27159;68133;39084;5626;150874;7587;19503;29636
2;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;1998;379576;7757;33179;28239;59144;38459;7495;149000;7875;18182;30247
3;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;1999;374447;10338;26404;24318;56822;36718;5191;151837;7882;18954;35983
4;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2000;377208;10674;25752;22489;53537;36375;5296;155208;8039;20910;38928
5;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2001;403966;11781;28123;27302;68860;35802;7716;157057;6454;24226;36645
6;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2002;380379;11356;27526;27716;63006;35894;6483;139572;7188;25417;36220
7;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2003;357284;10145;22652;26523;60071;36597;6500;127918;5779;23761;37338
8;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2004;383926;10876;24760;29349;67548;39486;8124;126009;5990;26246;45538
9;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2005;374194;7830;24380;26655;70794;36896;7971;116078;5445;27378;50766
10;0;Totaal geladen en gelost;Totaal binnenlandse/internationale vaart;2006*;384911;8485;24027;28306;72891;35893;8539;112427;4930;27135;62278
11;0;Totaal geladen en gelost;Binnenlandse vaart;1996;176832;4390;19505;8925;28956;2524;1301;93751;3310;5068;9102
12;0;Totaal geladen en gelost;Binnenlandse vaart;1997;191184;2515;15078;9695;32600;1185;1387;109684;2860;7281;8898
13;0;Totaal geladen en gelost;Binnenlandse vaart;1998;195448;2543;22798;9901;27146;1135;1418;109074;3781;6704;10947
14;0;Totaal geladen en gelost;Binnenlandse vaart;1999;198140;5123;16514;7959;25410;2235;1129;113145;3595;6959;16072
15;0;Totaal geladen en gelost;Binnenlandse vaart;2000;204057;5136;16551;4267;24739;3035;1045;119212;3818;8255;17999
16;0;Totaal geladen en gelost;Binnenlandse vaart;2001;217827;5158;17033;4725;36989;2468;1397;119749;2845;11713;15750
