ID;ManureAndNutrients;Periods;TotalExcretion_1;ExcretionDuringHousing_2;ExcretionDuringGrazing_3;TotalNitrogenLossesN_4;AmmoniaEmissionsN_5;OtherGaseousNitrogenLossesN_6;EffluentAirScrubbersN_7;StoredManureAndManureDuringGrazing_8;ManureRemovalFromFarms_9;ManureSupplyToFarms_10;ProcessedManureExcludingExports_11;NetManureExports_12;SpreadingAreaForManure_13;UseOfLivestockManureInAgriculture_14
0;Total manure types;1950;49019.0;;;;;;;49019.0;;;;;;
1;Total manure types;1960;60696.0;;;;;;;60696.0;;;;;;
2;Total manure types;1965;64115.0;;;;;;;64115.0;;;;;;
3;Total manure types;1970;68192.0;;;;;;;68192.0;;;;;;
4;Total manure types;1974;85688.0;;;;;;;85688.0;;;;;;
5;Total manure types;1976;79477.0;;;;;;;79477.0;;;;;;
6;Total manure types;1978;82123.0;;;;;;;82123.0;;;;;;
7;Total manure types;1980;85634.0;;;;;;;85634.0;;;;;;
8;Total manure types;1982;87393.0;;;;;;;87393.0;;;;;;
9;Total manure types;1984;99739.0;;;;;;;99739.0;;;;;;
10;Total manure types;1986;94648.0;;;;;;;94648.0;8738.0;8501.0;;;;94411.0
11;Total manure types;1988;87511.0;;;;;;;87511.0;;;;;;
12;Total manure types;1990;87445.0;64965.0;22480.0;;;;;87445.0;;;;;;
13;Total manure types;1991;88700.0;;;;;;;88700.0;;;;;;
14;Total manure types;1992;86700.0;;;;;;;86700.0;;;;;;
15;Total manure types;1993;85700.0;;;;;;;85700.0;;;;;;
16;Total manure types;1994;83003.0;61863.0;21140.0;;;;;83003.0;16991.0;15534.0;;;;81545.0
17;Total manure types;1995;82554.0;61388.0;21166.0;;;;;82554.0;16983.0;15418.0;;;;80989.0
18;Total manure types;1996;81192.0;60386.0;20805.0;;;;;81192.0;16310.0;14822.0;;;;79703.0
19;Total manure types;1997;77872.0;57829.0;20044.0;;;;;77872.0;15801.0;14818.0;;;;76889.0
20;Total manure types;1998;76931.0;57238.0;19693.0;;;;;76931.0;13289.0;11510.0;;;;75152.0
21;Total manure types;1999;75445.0;56096.0;19348.0;;;;;75445.0;15269.0;13923.0;;;;74099.0
22;Total manure types;2000;75558.0;56940.0;18618.0;;;;;75558.0;13209.0;11484.0;;;;73833.0
23;Total manure types;2001;74987.0;56406.0;18582.0;;;;;74987.0;13941.0;12192.0;;;;73238.0
24;Total manure types;2002;71527.0;55892.0;15635.0;;;;;71527.0;12816.0;11371.0;;;;70082.0
25;Total manure types;2003;69246.0;53888.0;15358.0;;;;;69246.0;11899.0;10006.0;;;;67353.0
26;Total manure types;2004;70389.0;55128.0;15260.0;;;;;70389.0;11554.0;9618.0;;;;68453.0
27;Total manure types;2005;70117.0;54970.0;15147.0;;;;;70117.0;11926.0;10171.0;;;;68362.0
28;Total manure types;2006;69284.0;55078.0;14206.0;;;;;69284.0;15184.0;12813.0;;;;66914.0
29;Total manure types;2007;69236.0;55804.0;13432.0;;;;;69236.0;17276.0;14062.0;;;;66022.0
30;Total manure types;2008;71277.0;56781.0;14496.0;;;;;71277.0;18383.0;15002.0;;;;67895.0
31;Total manure types;2009;72703.0;62679.0;10023.0;;;;;72703.0;19014.0;14583.0;;;;68272.0
32;Total manure types;2010;72172.0;62708.0;9464.0;;;;;72172.0;18909.0;14489.0;;;;67752.0
33;Total manure types;2011;71434.0;62577.0;8857.0;;;;;71434.0;19702.0;15434.0;;;;67166.0
34;Total manure types;2012;71207.0;62444.0;8763.0;;;;;71207.0;20392.0;15924.0;;;;66739.0
35;Total manure types;2013;73155.0;64571.0;8584.0;;;;;73155.0;20521.0;15764.0;;;;68399.0
36;Total manure types;2014;74089.0;65111.0;8978.0;;;;;74089.0;21891.0;17188.0;;;;69387.0
37;Total manure types;2015;76326.0;67640.0;8686.0;;;;;76326.0;24530.0;18785.0;;;;70580.0
38;Total manure types;2016;78211.0;70136.0;8075.0;;;;;78211.0;25624.0;19251.0;;;;71837.0
39;Total manure types;2017;77878.0;69620.0;8258.0;;;;;77878.0;25922.0;19724.0;;;;71680.0
40;Total manure types;2018;75163.0;67130.0;8033.0;;;;;75163.0;25259.0;19813.0;;;;69718.0
41;Total manure types;2019;74602.0;66190.0;8412.0;;;;;74602.0;25519.0;20054.0;;;;69137.0
42;Total manure types;2020;74328.0;65983.0;8346.0;;;;;74328.0;25816.0;20524.0;;;;69037.0
43;Total manure types;2021;73462.0;65774.0;7688.0;;;;;73462.0;25490.0;20728.0;;;;68701.0
44;Total manure types;2022;73538.0;65706.0;7832.0;;;;;73538.0;26191.0;21568.0;;;;68916.0
45;Total manure types;2023;74651.0;66506.0;8146.0;;;;;74651.0;25453.0;20924.0;;;;70123.0
46;Total manure types;2024;73329.0;65522.0;7807.0;;;;;;;;;;;
47;Nitrogen (N);1950;;;;;;;;;;;;;;
48;Nitrogen (N);1960;;;;;;;;;;;;;;
49;Nitrogen (N);1965;;;;;;;;;;;;;;
50;Nitrogen (N);1970;;;;;;;;;;;;;;
51;Nitrogen (N);1974;;;;;;;;;;;;;;
52;Nitrogen (N);1976;;;;;;;;;;;;;;
53;Nitrogen (N);1978;;;;;;;;;;;;;;
54;Nitrogen (N);1980;565.0;;;;67.0;;0.0;;;;;;;
55;Nitrogen (N);1982;612.0;;;;73.0;;0.0;;;;;;;
56;Nitrogen (N);1984;659.0;;;;79.0;;0.0;;;;;;;
57;Nitrogen (N);1986;696.0;;;;83.0;;0.0;;;;;3.0;;
58;Nitrogen (N);1988;656.0;;;;80.0;;0.0;;;;;3.0;;
59;Nitrogen (N);1990;691.0;503.0;188.0;92.0;81.0;12.0;0.0;599.0;;;6.0;7.0;;
60;Nitrogen (N);1991;719.0;;;90.0;74.0;17.0;0.0;628.0;;;1.0;8.0;;
61;Nitrogen (N);1992;717.0;;;91.0;74.0;16.0;0.0;626.0;;;1.0;13.0;;
62;Nitrogen (N);1993;709.0;;;91.0;74.0;16.0;0.0;619.0;;;1.0;17.0;;
63;Nitrogen (N);1994;681.0;511.0;169.0;93.0;81.0;12.0;0.0;588.0;155.0;129.0;3.0;23.0;;562.0
64;Nitrogen (N);1995;680.0;508.0;172.0;91.0;79.0;12.0;0.0;589.0;154.0;127.0;3.0;26.0;;563.0
65;Nitrogen (N);1996;669.0;489.0;180.0;89.0;78.0;11.0;0.0;580.0;148.0;127.0;2.0;15.0;;559.0
66;Nitrogen (N);1997;645.0;477.0;168.0;85.0;74.0;11.0;0.0;560.0;138.0;124.0;2.0;11.0;;546.0
67;Nitrogen (N);1998;602.0;460.0;142.0;81.0;70.0;10.0;0.0;522.0;98.0;81.0;5.0;12.0;934.0;504.0
68;Nitrogen (N);1999;585.0;450.0;135.0;80.0;70.0;10.0;0.0;505.0;117.0;98.0;5.0;18.0;924.0;487.0
69;Nitrogen (N);2000;549.0;424.0;125.0;73.0;63.0;9.0;0.0;476.0;102.0;78.0;4.0;21.0;871.0;452.0
70;Nitrogen (N);2001;542.0;414.0;127.0;69.0;60.0;9.0;0.0;472.0;104.0;77.0;4.0;28.0;801.0;446.0
71;Nitrogen (N);2002;504.0;399.0;105.0;67.0;58.0;9.0;0.0;438.0;97.0;70.0;5.0;30.0;774.0;410.0
