ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
0;Total origin;1995;;;59702.0;776.0;119089.0;247114.0;43.1;765.5;67.1;;;;;;;;;
1;Total origin;1996;;;61231.0;542.0;85431.0;255848.0;40.1;520.6;61.8;;;;;;;;;
2;Total origin;1997;;;64471.0;580.0;88057.0;251436.0;39.5;397.1;59.6;;;;;;;;;
3;Total origin;1998;;;66732.0;749.0;118729.0;253301.0;38.6;274.5;58.9;;;;;;;;;
4;Total origin;1999;;;70365.0;777.0;110558.0;243621.0;39.9;276.3;59.5;;;;;;;;;
5;Total origin;2000;;;70590.0;548.0;98890.0;243218.0;40.1;260.1;59.6;;;;;;;;;
6;Total origin;2001;;;71938.0;690.0;96148.0;244760.0;39.3;246.3;57.0;;;;;;;;;
7;Total origin;2002;;;73845.0;674.0;108586.0;243258.0;37.9;219.4;56.0;;;;;;;;;
8;Total origin;2003;;;74092.0;640.0;80127.0;243802.0;37.6;184.4;53.2;;;;;;;;;
9;Total origin;2004;;;73125.0;522.0;84171.0;246128.0;37.5;178.2;51.9;;;;;;;;;
10;Total origin;2005;;;72354.0;453.0;74409.0;242036.0;37.4;172.9;51.6;;;;;;;;;
11;Total origin;2006;;;73602.0;470.0;75577.0;236610.0;35.9;169.2;49.5;;;;;;;;;
12;Total origin;2007;;;75127.0;482.0;85900.0;237311.0;35.1;160.5;48.5;;;;;;;;;
13;Total origin;2008;;;77552.0;377.0;78003.0;238236.0;33.1;153.8;46.5;;;;;;;;;
14;Total origin;2009;;;73539.0;393.0;67643.0;233290.0;31.4;143.8;44.3;;;;;;;;;
15;Total origin;2010;;;72808.0;417.0;74097.0;244144.0;29.8;136.6;42.5;;;;;;;;;
16;Total origin;2011;;;;;;230614.0;28.7;131.3;40.2;;;;;;;;;
17;Total origin;2012;;;;;;230302.0;28.4;124.5;38.6;;;;;;;;;
18;Total Dutch economy;1995;3216.0;;53983.0;238.0;48327.0;247114.0;34.6;765.5;62.6;11329.0;6601.0;2300.0;;;5774.0;732536.0;351455.0;63500.0
19;Total Dutch economy;1996;3345.0;;55095.0;217.0;40858.0;255848.0;31.8;520.6;57.3;12555.0;6916.0;2151.0;;;5908.0;762986.0;362089.0;69149.0
20;Total Dutch economy;1997;3275.0;;58383.0;211.0;41877.0;251436.0;30.9;397.1;54.7;12985.0;7361.0;2765.0;;;6089.0;800566.0;377338.0;75118.0
21;Total Dutch economy;1998;3316.0;;60539.0;207.0;54933.0;253301.0;30.0;274.5;53.9;13907.0;7771.0;1891.0;;;6266.0;838539.0;391624.0;80461.0
22;Total Dutch economy;1999;3321.0;;62311.0;206.0;46820.0;243621.0;30.6;276.3;54.5;15368.0;8580.0;1966.0;;;6414.0;878815.0;409455.0;88383.0
23;Total Dutch economy;2000;3388.0;;64013.0;192.0;45457.0;243218.0;30.7;260.1;54.2;16489.0;9116.0;2037.0;;;6534.0;920052.0;425829.0;91652.0
24;Total Dutch economy;2001;3468.0;;63753.0;192.0;44261.0;244760.0;29.9;246.3;51.8;17116.0;9650.0;2206.0;;;6636.0;937566.0;433798.0;94673.0
25;Total Dutch economy;2002;3464.0;;63848.0;190.0;43030.0;243258.0;28.4;219.4;51.0;17186.0;;;;;6620.0;930469.0;434620.0;92862.0
26;Total Dutch economy;2003;3545.0;1132.1;63106.0;168.0;36600.0;243802.0;28.1;184.4;48.4;17938.0;10440.0;2299.0;;;6547.0;924808.0;436743.0;92848.0
27;Total Dutch economy;2004;3621.0;1099.0;63111.0;169.0;40217.0;246128.0;28.0;178.2;47.4;19240.0;;;;;6480.0;942523.0;446904.0;92426.0
28;Total Dutch economy;2005;3656.0;1086.0;61610.0;155.0;38573.0;242036.0;27.8;172.9;46.8;20577.0;10105.0;2649.0;;;6478.0;962007.0;456182.0;97016.0
29;Total Dutch economy;2006;3533.0;1098.0;62359.0;141.0;38042.0;236610.0;26.0;169.2;44.4;22195.0;;;;;6583.0;996752.0;471376.0;106373.0
30;Total Dutch economy;2007;3665.0;1088.1;63561.0;158.0;45192.0;237311.0;25.5;160.5;43.2;22165.0;11337.0;3989.0;;;6728.0;1037354.0;490102.0;114340.0
31;Total Dutch economy;2008;3635.0;1093.1;64803.0;142.0;38595.0;238236.0;24.1;153.8;41.6;23415.0;;;;;6832.0;1057786.0;500273.0;121849.0
32;Total Dutch economy;2009;3570.0;1092.8;59924.0;137.0;35509.0;233290.0;22.6;143.8;39.8;22900.0;10572.0;3310.0;;;6759.0;1018240.0;483757.0;108774.0
33;Total Dutch economy;2010;3782.0;1089.6;59024.0;137.0;37463.0;244144.0;21.3;136.6;38.3;23629.0;;;;;6719.0;1026640.0;491985.0;101885.0
34;Total Dutch economy;2011;3543.0;1080.3;;;;230614.0;20.2;131.3;36.5;23465.0;;;;;6753.0;1034735.0;497884.0;106866.0
35;Total Dutch economy;2012;3602.0;;;;;230302.0;20.0;124.5;34.9;22645.0;;;;;6735.0;1021785.0;492196.0;102007.0
36;A-U All economic activities;1995;2506.0;;;111.0;26811.0;193672.0;30.8;582.4;49.2;4461.0;;;72.0;5519.0;5774.0;731241.0;351455.0;64210.0
37;A-U All economic activities;1996;2570.0;;;87.0;19666.0;199462.0;28.1;424.5;44.2;4927.0;;;75.0;5832.0;5908.0;761658.0;362089.0;69948.0
38;A-U All economic activities;1997;2566.0;;;85.0;20850.0;199165.0;27.5;312.0;42.0;5216.0;;;78.0;6010.0;6089.0;799237.0;377338.0;75888.0
39;A-U All economic activities;1998;2620.0;;;82.0;33945.0;202429.0;26.8;197.6;41.4;5604.0;;;82.0;6405.0;6266.0;837230.0;391624.0;81292.0
40;A-U All economic activities;1999;2620.0;;;80.0;25744.0;193276.0;27.4;199.4;42.0;6317.0;;;84.0;6942.0;6414.0;877521.0;409455.0;89418.0
41;A-U All economic activities;2000;2686.0;;;72.0;24293.0;193373.0;27.9;191.0;42.7;6665.0;;;87.0;7570.0;6534.0;918749.0;425829.0;92742.0
42;A-U All economic activities;2001;2753.0;;;72.0;22943.0;194534.0;27.1;183.6;40.0;6623.0;;;93.0;7994.0;6636.0;936278.0;433798.0;96197.0
