ID;Kenmerken;RegioS;Perioden;Geborenen_1;Levendgeborenen_2;Doodgeborenen_3;Overleden1eWeek_4;PerinataleSterfteTMDag7_5;DoodgeborenenPer1000Geborenen_6;Overleden1eWeek1000Levendgeborenen_7;PerinatStTMDag71000Geborenen_8;Geborenen_9;Levendgeborenen_10;Doodgeborenen_11;NeonataleSterfte_12;PerinataleSterfteTMDag28_13;DoodgeborenenPer1000Geborenen_14;NeonataleSterfte1000Levendgeborenen_15;PerinatStTMDag281000Geborenen_16;Levendgeborenen_17;Overleden1eWeek_18;NeonataleSterfte_19;Zuigelingensterfte_20;Overleden1eWeek1000Levendgeborenen_21;NeonataleSterfte1000Levendgeborenen_22;Zuigelingensterfte1000Levendgeborenen_23
0;Totaal migratieachtergrond;Nederland;2004;194892;193633;1259.0;525.0;1784.0;6.5;2.7;9.2;194892;193633;1259.0;676.0;1935.0;6.5;3.5;9.9;193633;525.0;676.0;878.0;2.7;3.5;4.5
1;Totaal migratieachtergrond;Nederland;2005;188281;187031;1250.0;603.0;1853.0;6.6;3.2;9.8;188281;187031;1250.0;744.0;1994.0;6.6;4.0;10.6;187031;603.0;744.0;965.0;3.2;4.0;5.2
2;Totaal migratieachtergrond;Nederland;2006;185568;184396;1172.0;509.0;1681.0;6.3;2.8;9.1;185568;184396;1172.0;665.0;1837.0;6.3;3.6;9.9;184396;509.0;665.0;845.0;2.8;3.6;4.6
3;Totaal migratieachtergrond;Nederland;2007;181700;180578;1122.0;497.0;1619.0;6.2;2.8;8.9;181700;180578;1122.0;635.0;1757.0;6.2;3.5;9.7;180578;497.0;635.0;795.0;2.8;3.5;4.4
4;Totaal migratieachtergrond;Nederland;2008;185017;183870;1147.0;453.0;1600.0;6.2;2.5;8.6;185017;183870;1147.0;582.0;1729.0;6.2;3.2;9.3;183870;453.0;582.0;737.0;2.5;3.2;4.0
5;Totaal migratieachtergrond;Nederland;2009;185013;183967;1046.0;457.0;1503.0;5.7;2.5;8.1;185013;183967;1046.0;576.0;1623.0;5.7;3.1;8.8;183967;457.0;576.0;786.0;2.5;3.1;4.3
6;Totaal migratieachtergrond;Nederland;2010;184357;183360;997.0;456.0;1453.0;5.4;2.5;7.9;184357;183360;997.0;584.0;1581.0;5.4;3.2;8.6;183360;456.0;584.0;756.0;2.5;3.2;4.1
7;Totaal migratieachtergrond;Nederland;2011;180085;179143;942.0;437.0;1379.0;5.2;2.4;7.7;180085;179143;942.0;553.0;1495.0;5.2;3.1;8.3;179143;437.0;553.0;718.0;2.4;3.1;4.0
8;Totaal migratieachtergrond;Nederland;2012;176027;175081;946.0;390.0;1336.0;5.4;2.2;7.6;176027;175081;946.0;511.0;1457.0;5.4;2.9;8.3;175081;390.0;511.0;707.0;2.2;2.9;4.0
9;Totaal migratieachtergrond;Nederland;2013;171305;170502;803.0;405.0;1208.0;4.7;2.4;7.1;171305;170502;803.0;528.0;1331.0;4.7;3.1;7.8;170502;405.0;528.0;667.0;2.4;3.1;3.9
10;Totaal migratieachtergrond;Nederland;2014;175130;174262;868.0;397.0;1265.0;5.0;2.3;7.2;175130;174262;868.0;531.0;1400.0;5.0;3.0;8.0;174262;397.0;531.0;693.0;2.3;3.0;4.0
11;Totaal migratieachtergrond;Nederland;2015;170958;170105;853.0;343.0;1196.0;5.0;2.0;7.0;170958;170105;853.0;469.0;1323.0;5.0;2.8;7.7;170105;343.0;469.0;598.0;2.0;2.8;3.5
12;Totaal migratieachtergrond;Noord-Nederland (LD);2004;19271;19127;144.0;48.0;193.0;7.5;2.5;10.0;19271;19127;144.0;63.0;207.0;7.5;3.3;10.8;19127;48.0;63.0;86.0;2.5;3.3;4.5
13;Totaal migratieachtergrond;Noord-Nederland (LD);2005;18591;18469;122.0;48.0;171.0;6.6;2.6;9.2;18591;18469;122.0;72.0;194.0;6.6;3.9;10.4;18469;48.0;72.0;91.0;2.6;3.9;4.9
14;Totaal migratieachtergrond;Noord-Nederland (LD);2006;18294;18171;123.0;47.0;170.0;6.7;2.6;9.3;18294;18171;123.0;66.0;189.0;6.7;3.6;10.3;18171;47.0;66.0;85.0;2.6;3.6;4.7
15;Totaal migratieachtergrond;Noord-Nederland (LD);2007;17831;17713;118.0;58.0;176.0;6.6;3.3;9.9;17831;17713;118.0;81.0;199.0;6.6;4.6;11.2;17713;58.0;81.0;90.0;3.3;4.6;5.1
16;Totaal migratieachtergrond;Noord-Nederland (LD);2008;18032;17920;112.0;42.0;154.0;6.2;2.4;8.6;18032;17920;112.0;55.0;167.0;6.2;3.1;9.2;17920;42.0;55.0;67.0;2.4;3.1;3.8
17;Totaal migratieachtergrond;Noord-Nederland (LD);2009;18118;17996;122.0;50.0;172.0;6.7;2.8;9.5;18118;17996;122.0;61.0;183.0;6.7;3.4;10.1;17996;50.0;61.0;83.0;2.8;3.4;4.6
18;Totaal migratieachtergrond;Noord-Nederland (LD);2010;17508;17400;108.0;42.0;150.0;6.2;2.4;8.6;17508;17400;108.0;62.0;170.0;6.2;3.6;9.7;17400;42.0;62.0;82.0;2.4;3.6;4.7
19;Totaal migratieachtergrond;Noord-Nederland (LD);2011;17132;17041;91.0;40.0;131.0;5.3;2.3;7.6;17132;17041;91.0;56.0;146.0;5.3;3.3;8.5;17041;40.0;56.0;67.0;2.3;3.3;3.9
20;Totaal migratieachtergrond;Noord-Nederland (LD);2012;16545;16447;98.0;50.0;148.0;5.9;3.0;8.9;16545;16447;98.0;61.0;159.0;5.9;3.7;9.6;16447;50.0;61.0;90.0;3.0;3.7;5.5
21;Totaal migratieachtergrond;Noord-Nederland (LD);2013;15790;15699;91.0;40.0;131.0;5.8;2.5;8.3;15790;15699;91.0;53.0;144.0;5.8;3.4;9.1;15699;40.0;53.0;77.0;2.5;3.4;4.9
22;Totaal migratieachtergrond;Noord-Nederland (LD);2014;16016;15943;74.0;37.0;110.0;4.6;2.3;6.9;16016;15943;74.0;46.0;119.0;4.6;2.9;7.5;15943;37.0;46.0;67.0;2.3;2.9;4.2
23;Totaal migratieachtergrond;Noord-Nederland (LD);2015;15374;15302;71.0;27.0;99.0;4.6;1.8;6.4;15374;15302;71.0;49.0;120.0;4.6;3.2;7.8;15302;27.0;49.0;65.0;1.8;3.2;4.3
24;Totaal migratieachtergrond;Oost-Nederland (LD);2004;43232;42939;293.0;121.0;414.0;6.8;2.8;9.6;43232;42939;293.0;154.0;447.0;6.8;3.6;10.3;42939;121.0;154.0;193.0;2.8;3.6;4.5
25;Totaal migratieachtergrond;Oost-Nederland (LD);2005;41869;41616;253.0;156.0;410.0;6.0;3.8;9.8;41869;41616;253.0;191.0;444.0;6.0;4.6;10.6;41616;156.0;191.0;244.0;3.8;4.6;5.9
26;Totaal migratieachtergrond;Oost-Nederland (LD);2006;41187;40942;245.0;123.0;368.0;6.0;3.0;8.9;41187;40942;245.0;170.0;415.0;6.0;4.2;10.1;40942;123.0;170.0;206.0;3.0;4.2;5.0
27;Totaal migratieachtergrond;Oost-Nederland (LD);2007;40224;39971;253.0;118.0;371.0;6.3;2.9;9.2;40224;39971;253.0;145.0;399.0;6.3;3.6;9.9;39971;118.0;145.0;185.0;2.9;3.6;4.6
28;Totaal migratieachtergrond;Oost-Nederland (LD);2008;40619;40347;272.0;101.0;373.0;6.7;2.5;9.2;40619;40347;272.0;132.0;404.0;6.7;3.3;9.9;40347;101.0;132.0;173.0;2.5;3.3;4.3
29;Totaal migratieachtergrond;Oost-Nederland (LD);2009;39971;39775;196.0;100.0;296.0;4.9;2.5;7.4;39971;39775;196.0;125.0;321.0;4.9;3.1;8.0;39775;100.0;125.0;180.0;2.5;3.1;4.5
30;Totaal migratieachtergrond;Oost-Nederland (LD);2010;39669;39474;195.0;114.0;309.0;4.9;2.9;7.8;39669;39474;195.0;139.0;334.0;4.9;3.5;8.4;39474;114.0;139.0;176.0;2.9;3.5;4.5
