ID;Geslacht;Onderwijssoort;Regiokenmerken;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vmbo;Nederland;2011/'12;96820;89390;92.0
1;Totaal mannen en vrouwen;Vmbo;Nederland;2012/'13;99880;92750;93.0
2;Totaal mannen en vrouwen;Vmbo;Nederland;2013/'14;101980;96330;94.0
3;Totaal mannen en vrouwen;Vmbo;Nederland;2014/'15;105390;100280;95.0
4;Totaal mannen en vrouwen;Vmbo;Nederland;2015/'16;108060;102890;95.0
5;Totaal mannen en vrouwen;Vmbo;Nederland;2016/'17;109060;103200;95.0
6;Totaal mannen en vrouwen;Vmbo;Nederland;2017/'18;106130;99950;94.0
7;Totaal mannen en vrouwen;Vmbo;Nederland;2018/'19;103410;97750;95.0
8;Totaal mannen en vrouwen;Vmbo;Nederland;2019/'20;100090;99430;99.0
9;Totaal mannen en vrouwen;Vmbo;Nederland;2020/'21;94100;91890;98.0
10;Totaal mannen en vrouwen;Vmbo;Nederland;2021/'22;89010;86500;97.0
11;Totaal mannen en vrouwen;Vmbo;Nederland;2022/'23;86850;80660;93.0
12;Totaal mannen en vrouwen;Vmbo;Nederland;2023/'24;91770;85940;94.0
13;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2011/'12;10920;10140;93.0
14;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2012/'13;11220;10490;94.0
15;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2013/'14;11480;10860;95.0
16;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2014/'15;12390;11790;95.0
17;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2015/'16;12720;12110;95.0
18;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2016/'17;12430;11790;95.0
19;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2017/'18;12070;11310;94.0
20;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2018/'19;11750;11060;94.0
21;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2019/'20;11000;10960;100.0
22;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2020/'21;10120;9910;98.0
23;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2021/'22;9350;9080;97.0
24;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2022/'23;9310;8730;94.0
25;Totaal mannen en vrouwen;Vmbo;Noord-Nederland (LD);2023/'24;9960;9390;94.0
26;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2011/'12;22550;20690;92.0
27;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2012/'13;23440;21800;93.0
28;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2013/'14;24040;22760;95.0
29;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2014/'15;24760;23650;96.0
30;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2015/'16;25290;24160;96.0
31;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2016/'17;26270;25030;95.0
32;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2017/'18;25690;24350;95.0
33;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2018/'19;25430;24240;95.0
34;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2019/'20;24540;24380;99.0
35;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2020/'21;23170;22740;98.0
36;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2021/'22;21740;21220;98.0
37;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2022/'23;21400;19950;93.0
38;Totaal mannen en vrouwen;Vmbo;Oost-Nederland (LD);2023/'24;22190;20790;94.0
39;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2011/'12;42500;39030;92.0
40;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2012/'13;44190;40640;92.0
41;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2013/'14;45120;42280;94.0
42;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2014/'15;46240;43650;94.0
43;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2015/'16;47630;45170;95.0
44;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2016/'17;47720;44870;94.0
45;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2017/'18;46640;43700;94.0
46;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2018/'19;45170;42440;94.0
47;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2019/'20;44030;43720;99.0
48;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2020/'21;41630;40470;97.0
49;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2021/'22;39780;38500;97.0
50;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2022/'23;38440;35420;92.0
51;Totaal mannen en vrouwen;Vmbo;West-Nederland (LD);2023/'24;40860;38010;93.0
52;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2011/'12;20650;19350;94.0
53;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2012/'13;20850;19660;94.0
54;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2013/'14;21130;20230;96.0
55;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2014/'15;21800;21000;96.0
56;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2015/'16;22220;21270;96.0
57;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2016/'17;22430;21310;95.0
58;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2017/'18;21530;20400;95.0
59;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2018/'19;20860;19830;95.0
60;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2019/'20;20320;20180;99.0
61;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2020/'21;18970;18560;98.0
62;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2021/'22;17940;17520;98.0
63;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2022/'23;17490;16380;94.0
64;Totaal mannen en vrouwen;Vmbo;Zuid-Nederland (LD);2023/'24;18540;17530;95.0
65;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2011/'12;200;190;94.0
66;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2012/'13;190;170;92.0
67;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2013/'14;220;210;95.0
68;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2014/'15;200;190;
69;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2015/'16;200;190;93.0
70;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2016/'17;210;200;93.0
71;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2017/'18;200;190;
72;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2018/'19;200;190;
73;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2019/'20;200;200;
74;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2020/'21;210;200;98.0
75;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2021/'22;190;180;95.0
76;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2022/'23;210;190;91.0
77;Totaal mannen en vrouwen;Vmbo;Niet in te delen (LD);2023/'24;220;210;93.0
78;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2011/'12;3140;2890;92.0
