ID;Countries;Periods;BusinessOwnershipRate_1;TotalEntrepreneurialActivityIndex_2;BirthsTotal_3;TotalRelative_4;SizeOfEnterpriseAtBirth_5;ExitsTotal_6;TotalRelative_7;Sum_8;SumRelative_9;Balance_10;BalanceRelative_11;BusinessSurvivalRate_12;FastGrowingEnterprises_13;PropensityTowardsEntrepreneurship_14;Men_15;Women_16
0;Australia;1990;16.3;;;;;;;;;;;;;;16.4;11.6
1;Australia;1991;;;;;;;;;;;;;;;17.4;12.3
2;Australia;1992;16.9;;;;;;;;;;;;;;17.7;12.2
3;Australia;1993;;;;;;;;;;;;;;;18.1;12.5
4;Australia;1994;17.1;;;;;;;;;;;;;;17.5;12.1
5;Australia;1995;;;;;;;;;;;;;;;17.2;11.8
6;Australia;1996;15.5;;;;;;;;;;;;;;16.9;11.5
7;Australia;1997;;;;;;;;;;;;;;;16.6;11.8
8;Australia;1998;15.6;;;;;;;;;;;;;;16.2;10.8
9;Australia;1999;;;;;;;;;;;;;;;16.3;10.7
10;Australia;2000;15.8;;;;;;;;;;;;;;16.1;10.4
11;Australia;2001;;15.5;;;;;;;;;;;;;16.2;10.2
12;Australia;2002;15.8;8.7;;;;;;;;;;;;;16.3;10.3
13;Australia;2003;15.9;11.6;;;;;;;;;;;;;16.0;9.8
14;Australia;2004;15.8;13.4;;;;;;;;;;;;;15.5;9.7
15;Australia;2005;15.6;10.9;;;;;;;;;;;;;15.2;9.7
16;Australia;2006;15.0;12.0;;;;;;;;;;;;;14.7;9.2
17;Australia;2007;14.6;;;;;;;;;;;;;;14.2;8.9
18;Australia;2008;14.5;;;;;;;;;;;;;;13.9;8.9
19;Australia;2009;14.4;;;;;;;;;;;;;;14.1;8.8
20;Australia;2010;;7.8;;;;;;;;;;;;;13.9;8.9
21;Australia;2011;;10.5;;;;;;;;;;;;;13.3;8.6
22;Australia;2012;;;;;;;;;;;;;;;;
23;Austria;1990;7.2;;;;;;;;;;;;;;;
24;Austria;1991;;;;;;;;;;;;;;;;
25;Austria;1992;6.9;;;;;;;;;;;;;;;
26;Austria;1993;;;;;;;;;;;;;;;;
27;Austria;1994;7.2;;;;;;;;;;;;;;;
28;Austria;1995;;;;;;;;;;;;;;;;
29;Austria;1996;7.4;;;;;;;;;;;;;;14.1;13.8
30;Austria;1997;;;;;;;;;;;;;;;14.0;13.2
31;Austria;1998;8.0;;;;;;;;;;;;;;14.2;13.1
32;Austria;1999;;;;;;;;;;;;;;;14.0;12.6
33;Austria;2000;8.3;;;;;;;;;;;;;38.0;13.9;12.2
34;Austria;2001;;;23000.0;7.8;;14400.0;4.9;37400.0;12.7;8600.0;2.9;;5.3;33.0;14.1;12.1
35;Austria;2002;8.7;;24700.0;8.1;;16000.0;5.3;40700.0;13.4;8700.0;2.9;;2.7;35.0;14.2;11.8
36;Austria;2003;8.6;;24200.0;7.8;;16400.0;5.3;40600.0;13.0;7800.0;2.5;;4.6;35.0;14.0;11.3
37;Austria;2004;8.9;;24500.0;7.7;2.4;16800.0;5.3;41300.0;12.9;7700.0;2.4;;;37.0;14.8;10.3
38;Austria;2005;8.7;5.3;25600.0;7.8;2.4;21400.0;6.5;47000.0;14.4;4200.0;1.3;;9.4;;15.3;10.9
39;Austria;2006;9.1;;24000.0;7.2;2.3;24000.0;7.2;48000.0;14.5;0.0;0.0;79.1;9.9;;15.4;11.3
40;Austria;2007;9.4;2.4;23200.0;7.0;2.3;22900.0;6.9;46100.0;13.9;300.0;0.1;;8.4;36.0;16.1;12.3
41;Austria;2008;8.9;;22500.0;6.8;2.4;21900.0;6.6;44400.0;13.4;600.0;0.2;77.4;10.9;;15.7;11.5
42;Austria;2009;8.9;;23500.0;7.1;2.4;12200.0;3.7;35700.0;10.8;11300.0;3.4;76.7;7.9;41.0;15.6;11.0
43;Austria;2010;;;26700.0;7.8;;13600.0;4.0;40300.0;11.7;13100.0;3.8;;;;16.0;11.3
44;Austria;2011;;;;;;;;;;;;;;;15.9;11.3
45;Austria;2012;;;;;;;;;;;;;;;;
46;Belgium;1990;11.2;;;;;;;;;;;;;;18.5;17.5
47;Belgium;1991;;;;;;;;;;;;;;;18.8;17.7
48;Belgium;1992;11.4;;;;;;;;;;;;;;18.9;17.7
49;Belgium;1993;;;;;;;;;;;;;;;19.4;18.1
50;Belgium;1994;11.6;;;;;;;;;;;;;;19.6;17.7
51;Belgium;1995;;;47500.0;8.0;;37100.0;6.2;84600.0;14.2;10400.0;1.8;;;;19.7;17.6
52;Belgium;1996;11.9;;44100.0;7.4;;40000.0;6.7;84100.0;14.1;4100.0;0.7;;;;19.9;17.4
53;Belgium;1997;;;42500.0;7.2;;39800.0;6.7;82300.0;13.9;2700.0;0.5;;;;19.9;16.9
