ID;Arbeidsrelatie;ArbeidsduurPerWeek;Werktijden;Perioden;OrganisatiegraadVanWerknemers_1;Mannen15Tot65Jaar_2;Vrouwen15Tot65Jaar_3;k_15Tot25Jaar_4;k_25Tot45Jaar_5;k_45Tot65Jaar_6;LedenVakverenigingTotaal_7;Mannen15Tot65Jaar_8;Vrouwen15Tot65Jaar_9;k_15Tot25Jaar_10;k_25Tot45Jaar_11;k_45Tot65Jaar_12
0;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2000;25.0;30.0;19.0;11.0;23.0;37.0;1553.2;1069.7;483.5;86.8;816.4;650.0
1;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2001;25.0;29.0;19.0;11.0;22.0;36.0;1537.6;1053.7;483.9;87.3;777.5;672.7
2;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2002;25.0;29.0;19.0;10.0;21.0;37.0;1543.6;1049.4;494.2;85.1;742.5;716.0
3;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2003;24.0;29.0;18.0;11.0;21.0;35.0;1503.1;1018.8;484.3;89.7;721.5;691.9
4;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2004;24.0;29.0;19.0;10.0;21.0;35.0;1492.1;989.2;502.9;77.0;704.8;710.3
5;Arbeidsrelatie, totaal;Arbeidsduur, totaal;0;2006;23.0;27.0;19.0;10.0;20.0;34.0;1446.0;933.3;512.8;73.4;644.3;728.3
6;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2000;24.0;28.0;17.0;11.0;20.0;35.0;689.9;474.8;215.0;35.7;337.1;317.0
7;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2001;23.0;28.0;17.0;11.0;19.0;35.0;709.0;487.1;221.9;36.9;330.4;341.7
8;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2002;23.0;28.0;16.0;11.0;19.0;35.0;716.3;498.1;218.2;37.1;325.6;353.5
9;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2003;22.0;27.0;16.0;12.0;18.0;33.0;674.7;457.2;217.5;37.9;303.5;333.4
10;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2004;23.0;28.0;17.0;11.0;18.0;34.0;682.3;461.1;221.3;32.0;299.7;350.6
11;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Regelmatig;2006;21.0;26.0;16.0;11.0;17.0;31.0;661.9;434.0;227.9;28.7;280.0;353.2
12;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2000;27.0;31.0;21.0;11.0;26.0;38.0;862.9;594.5;268.4;50.9;479.0;333.0
13;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2001;26.0;30.0;21.0;10.0;25.0;37.0;828.6;566.5;262.1;50.5;447.1;331.1
14;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2002;26.0;30.0;22.0;10.0;24.0;39.0;827.3;551.3;276.0;48.0;416.8;362.5
15;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2003;26.0;30.0;20.0;11.0;24.0;37.0;828.4;561.6;266.8;51.8;418.0;358.6
16;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2004;26.0;29.0;21.0;10.0;24.0;36.0;809.5;527.9;281.6;45.0;405.0;359.6
17;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onregelmatig;2006;25.0;29.0;21.0;10.0;23.0;36.0;783.6;498.8;284.8;44.6;364.2;374.8
18;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2000;23.0;25.0;20.0;8.0;20.0;37.0;343.3;209.9;133.5;19.5;170.1;153.7
19;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2001;22.0;25.0;19.0;6.0;21.0;34.0;333.3;205.0;128.4;15.5;166.7;151.2
20;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2002;23.0;25.0;20.0;8.0;19.0;37.0;344.2;204.6;139.6;18.5;151.5;174.2
21;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2003;22.0;25.0;20.0;8.0;19.0;35.0;347.0;204.0;143.0;19.0;155.7;172.3
22;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2004;22.0;24.0;19.0;7.0;18.0;34.0;329.1;189.4;139.7;15.2;146.1;167.8
23;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Avond;2006;22.0;23.0;20.0;7.0;18.0;34.0;329.1;174.8;154.3;15.8;139.9;173.5
24;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2000;37.0;41.0;28.0;18.0;36.0;46.0;357.1;269.7;87.4;20.5;218.1;118.5
25;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2001;34.0;38.0;26.0;17.0;33.0;45.0;335.3;250.7;84.6;23.0;200.4;111.9
26;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2002;34.0;38.0;26.0;15.0;32.0;46.0;327.0;242.0;85.1;19.9;187.3;119.9
27;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2003;35.0;39.0;26.0;18.0;33.0;45.0;343.9;260.4;83.5;23.2;193.1;127.6
28;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2004;35.0;38.0;28.0;16.0;34.0;45.0;343.0;247.9;95.2;20.5;191.2;131.3
29;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Nacht en avond;2006;33.0;38.0;24.0;15.0;31.0;43.0;329.2;244.7;84.5;20.9;170.0;138.3
30;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2000;22.0;25.0;17.0;9.0;22.0;31.0;162.5;114.9;47.6;10.9;90.9;60.7
31;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2001;22.0;26.0;17.0;10.0;20.0;33.0;159.9;110.8;49.1;11.9;80.0;67.9
32;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2002;24.0;27.0;19.0;;22.0;35.0;156.0;104.7;51.4;;78.0;68.4
33;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2003;22.0;26.0;15.0;;20.0;29.0;137.5;97.2;40.3;;69.2;58.7
34;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2004;21.0;24.0;17.0;;19.0;29.0;137.5;90.6;46.8;;67.8;60.4
35;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Weekend;2006;21.0;24.0;17.0;;18.0;32.0;125.3;79.3;46.0;;54.3;63.1
36;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2000;;;;;;;;;;;;
37;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2001;;;;;;;;;;;;
38;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2002;;;;;;;;;;;;
39;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2003;;;;;;;;;;;;
40;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2004;;;;;;;;;;;;
41;Arbeidsrelatie, totaal;Arbeidsduur, totaal;Onbekend;2006;;;;;;;;;;;;
42;Arbeidsrelatie, totaal;12 tot 20 uur;0;2000;12.0;;12.0;;12.0;19.0;62.4;;53.0;;31.7;29.0
43;Arbeidsrelatie, totaal;12 tot 20 uur;0;2001;11.0;;12.0;;13.0;17.0;63.5;;55.1;;35.1;26.9
44;Arbeidsrelatie, totaal;12 tot 20 uur;0;2002;11.0;11.0;12.0;;12.0;18.0;68.8;10.7;58.1;;35.3;31.5
45;Arbeidsrelatie, totaal;12 tot 20 uur;0;2003;11.0;;12.0;;12.0;16.0;66.0;;57.7;;35.3;29.7
46;Arbeidsrelatie, totaal;12 tot 20 uur;0;2004;12.0;11.0;12.0;;12.0;18.0;72.3;10.5;61.9;;35.4;34.8
47;Arbeidsrelatie, totaal;12 tot 20 uur;0;2006;12.0;;12.0;;12.0;18.0;72.2;;62.8;;33.6;37.1
48;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2000;13.0;;11.0;;11.0;17.0;28.1;;23.4;;13.7;14.0
49;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2001;12.0;;12.0;;11.0;16.0;29.4;;25.6;;15.2;14.0
50;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2002;12.0;;11.0;;12.0;14.0;30.9;;25.7;;16.7;13.6
51;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2003;12.0;;11.0;;10.0;15.0;29.8;;25.4;;14.6;15.2
52;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2004;13.0;;12.0;;10.0;17.0;31.9;;27.8;;13.9;17.6
53;Arbeidsrelatie, totaal;12 tot 20 uur;Regelmatig;2006;12.0;;12.0;;10.0;16.0;33.6;;28.4;;14.4;19.0
54;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2000;11.0;;13.0;;13.0;22.0;34.3;;29.7;;18.0;14.9
55;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2001;11.0;;12.0;;14.0;17.0;34.2;;29.4;;19.9;12.9
56;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2002;11.0;;12.0;;12.0;23.0;37.8;;32.4;;18.6;17.9
57;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2003;11.0;;12.0;;14.0;17.0;36.2;;32.3;;20.7;14.5
58;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2004;12.0;;12.0;;14.0;19.0;40.4;;34.1;;21.5;17.3
59;Arbeidsrelatie, totaal;12 tot 20 uur;Onregelmatig;2006;11.0;;12.0;;14.0;19.0;38.5;;34.4;;19.2;18.0
60;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2000;11.0;;12.0;;14.0;;18.9;;16.1;;10.1;
61;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2001;9.0;;10.0;;;;16.4;;13.9;;;
62;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2002;9.0;;10.0;;;;18.6;;16.2;;;
63;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2003;11.0;;12.0;;15.0;;20.9;;19.4;;12.0;
64;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2004;11.0;;12.0;;13.0;;21.0;;17.9;;10.4;
65;Arbeidsrelatie, totaal;12 tot 20 uur;Avond;2006;10.0;;12.0;;13.0;;21.0;;19.8;;10.3;
66;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2000;;;;;;;;;;;;
67;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2001;;;;;;;;;;;;
68;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2002;;;;;;;;;;;;
69;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2003;16.0;;;;;;10.7;;;;;
70;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2004;18.0;;19.0;;;;13.4;;11.1;;;
71;Arbeidsrelatie, totaal;12 tot 20 uur;Nacht en avond;2006;14.0;;;;;;11.2;;;;;
72;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2000;;;;;;;;;;;;
73;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2001;;;;;;;;;;;;
74;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2002;;;;;;;;;;;;
75;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2003;;;;;;;;;;;;
76;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2004;;;;;;;;;;;;
77;Arbeidsrelatie, totaal;12 tot 20 uur;Weekend;2006;;;;;;;;;;;;
78;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2000;;;;;;;;;;;;
79;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2001;;;;;;;;;;;;
80;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83;Arbeidsrelatie, totaal;12 tot 20 uur;Onbekend;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Arbeidsrelatie, totaal;20 tot 35 uur;0;2000;24.0;30.0;22.0;9.0;23.0;31.0;356.2;107.7;248.5;16.6;193.0;146.6
85;Arbeidsrelatie, totaal;20 tot 35 uur;0;2001;23.0;31.0;21.0;10.0;22.0;30.0;358.7;114.4;244.3;19.2;187.9;151.7
86;Arbeidsrelatie, totaal;20 tot 35 uur;0;2002;23.0;29.0;21.0;8.0;21.0;32.0;375.1;113.9;261.1;17.1;187.1;170.8
87;Arbeidsrelatie, totaal;20 tot 35 uur;0;2003;22.0;28.0;20.0;8.0;20.0;30.0;373.2;116.3;256.9;18.4;183.5;171.3
88;Arbeidsrelatie, totaal;20 tot 35 uur;0;2004;23.0;29.0;21.0;8.0;21.0;31.0;385.4;114.0;271.3;16.1;180.5;188.9
89;Arbeidsrelatie, totaal;20 tot 35 uur;0;2006;22.0;27.0;20.0;7.0;19.0;30.0;384.8;111.0;273.8;14.1;168.6;202.1
90;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2000;22.0;28.0;20.0;;19.0;28.0;154.7;43.8;110.8;;78.6;67.4
91;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2001;21.0;30.0;18.0;;18.0;28.0;157.7;46.8;110.9;;78.3;73.2
92;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2002;20.0;29.0;18.0;;17.0;27.0;162.6;50.7;111.9;;78.9;76.0
93;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2003;20.0;26.0;18.0;;17.0;27.0;163.4;48.1;115.3;;76.3;80.4
94;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2004;21.0;27.0;19.0;;17.0;29.0;170.0;48.0;121.9;;76.0;89.1
95;Arbeidsrelatie, totaal;20 tot 35 uur;Regelmatig;2006;19.0;25.0;18.0;;15.0;27.0;170.1;46.7;123.4;;70.1;95.0
96;Arbeidsrelatie, totaal;20 tot 35 uur;Onregelmatig;2000;26.0;31.0;24.0;;26.0;35.0;201.5;63.8;137.7;;114.3;79.2
97;Arbeidsrelatie, totaal;20 tot 35 uur;Onregelmatig;2001;25.0;32.0;23.0;10.0;25.0;32.0;201.0;67.6;133.4;13.0;109.6;78.5
