ID;Periods;GrossDomesticProductVolumeGrowth_1;Total_2;Total_3;Households_4;GeneralGovernment_5;GrossCapitalFormation_6;Total_7;ExportsOfGoodsFromDomesticProd_8;ReExports_9;Services_10
0;2016;2.2;2.2;0.4;0.2;0.2;1.8;0.0;0.5;0.2;-0.7
1;2017;2.9;1.2;0.6;0.4;0.2;0.6;1.7;0.6;0.3;0.8
2;2018;2.6;1.4;1.0;0.7;0.3;0.4;1.2;0.4;0.2;0.6
