ID;Regiokenmerken;Perioden;TotaalGemeentelijkeHeffingen_1;TotaalBelastingen_2;OnroerendeZaakbelastingGebruikers_3;OnroerendeZaakbelastingEigenaren_4;Hondenbelasting_5;Toeristenbelasting_6;Reclamebelasting_7;Baatbelasting_8;Forensenbelasting_9;Parkeerbelasting_10;Precariobelasting_11;RoerendeWoonEnBedrijfsrBelastingen_12;TotaalRetributies_13;RioolheffingGecombineerd_14;RioolheffingHuishoudelijkBedrijfafval_15;RioolheffingGrondEnHemelwater_16;ReinigingsrechtenEnAfvalstoffenheffing_17;Begraafplaatsrechten_18;Bouwvergunningen_19;SecretarielegesBurgerzaken_20;Marktgelden_21;TotaalGemeentelijkeHeffingen_22;TotaalBelastingen_23;OnroerendeZaakbelastingGebruikers_24;OnroerendeZaakbelastingEigenaren_25;Hondenbelasting_26;Toeristenbelasting_27;Reclamebelasting_28;Baatbelasting_29;Forensenbelasting_30;Parkeerbelasting_31;Precariobelasting_32;RoerendeWoonEnBedrijfsrBelastingen_33;TotaalRetributies_34;RioolheffingGecombineerd_35;RioolheffingHuishoudelijkBedrijfafval_36;RioolheffingGrondEnHemelwater_37;ReinigingsrechtenEnAfvalstoffenheffing_38;Begraafplaatsrechten_39;Bouwvergunningen_40;SecretarielegesBurgerzaken_41;Marktgelden_42
0;Nederland;2004;6951;3978;1485;1871;48;106;11;3;18;373;63;1;2973;854;;;1592;;342;184;;428;245;91;115;3;6;1;0;1;23;4;0;183;53;;;98;;21;11;
1;Nederland;2005;7295;4162;1540;1949;50;112;9;3;19;403;75;1;3134;923;;;1634;;379;198;;448;255;95;120;3;7;1;0;1;25;5;0;192;57;;;100;;23;12;
2;Nederland;2006;6532;3263;531;2032;53;110;12;3;21;416;83;2;3270;1006;;;1652;;406;206;;400;200;33;124;3;7;1;0;1;25;5;0;200;62;;;101;;25;13;
3;Nederland;2007;6810;3370;524;2111;54;113;12;3;21;446;85;2;3440;1093;;;1685;;438;224;;416;206;32;129;3;7;1;0;1;27;5;0;210;67;;;103;;27;14;
4;Nederland;2008;7299;3536;538;2201;56;119;9;3;22;494;92;2;3763;1168;0.0;0.0;1732;98.0;487;247;31.0;445;216;33;134;3;7;1;0;1;30;6;0;229;71;0.0;0.0;106;6.0;30;15;2.0
5;Nederland;2009;7673;3729;564;2304;57;131;12;3;23;533;100;2;3944;1228;15.0;1.0;1767;103.0;530;268;32.0;465;226;34;140;3;8;1;0;1;32;6;0;239;74;1.0;0.0;107;6.0;32;16;2.0
6;Nederland;2010;7812;3828;575;2386;58;132;17;2;24;566;67;1;3983;1275;25.0;2.0;1771;105.0;493;281;31.0;471;231;35;144;3;8;1;0;1;34;4;0;240;77;2.0;0.0;107;6.0;30;17;2.0
7;Nederland;2011;8021;3987;601;2465;58;138;20;1;25;582;94;2;4033;1333;15.0;4.0;1766;109.0;485;291;32.0;482;239;36;148;3;8;1;0;1;35;6;0;242;80;1.0;0.0;106;7.0;29;17;2.0
8;Nederland;2012;8303;4217;635;2598;61;150;21;1;27;617;105;2;4085;1399;12.0;4.0;1769;112.0;467;291;32.0;496;252;38;155;4;9;1;0;2;37;6;0;244;84;1.0;0.0;106;7.0;28;17;2.0
9;Nederland;2013;8552;4447;670;2737;64;163;22;1;28;645;115;3;4105;1432;27.0;4.0;1766;114.0;437;292;33.0;510;265;40;163;4;10;1;0;2;38;7;0;245;85;2.0;0.0;105;7.0;26;17;2.0
10;Nederland;2014;8679;4614;691;2844;64;170;21;1;29;660;132;2;4065;1478;13.0;4.0;1743;116.0;390;288;32.0;516;274;41;169;4;10;1;0;2;39;8;0;242;88;1.0;0.0;104;7.0;23;17;2.0
11;Nederland;2015;8843;4767;713;2939;65;174;24;1;31;665;154;1;4076;1531;;;1723;118.0;382;290;32.0;523;282;42;174;4;10;1;0;2;39;9;0;241;91;;;102;7.0;23;17;2.0
12;Nederland;2016;9057;4941;721;3037;62;189;21;1;30;675;204;1;4116;1563;;;1714;121.0;383;303;33.0;533;291;42;179;4;11;1;0;2;40;12;0;242;92;;;101;7.0;23;18;2.0
