ID;Sex;Age;Periods;TotalFatalAccidents_1;TotalTransportAccidents_2;Pedestrian_3;Bicycle_4;MopedsAndLightMopeds_5;MotorisedDisabledVehicle_6;Motorcycle_7;PassengerCar_8;DeliveryVanLorry_9;OtherUnknown_10;AccidentalFall_11;AccidentalDrowning_12;TotalAccidentalPoisoningIncIntent_13;Medicine_14;IllegalDrugsNarcotics_15;Alcohol_16;OtherUnknown_17;TotalOtherFatalAccidents_18;MechanicalEffect_19;SmokeFireAndFlames_20;Suffocation_21;OtherIncludingSequelae_22;TotalFatalAccidents_23;TransportAccidents_24;AccidentalFall_25;AccidentalDrowning_26;AccidentalPoisoningIncIntentUnknown_27;OtherFatalAccidents_28
0;Total men and women;Total all ages;1996;3367;1314;127;230;98;2;93;588;26;150;1605;71;117;21;60;8;28;260;69;80;38;73;21.7;8.5;10.3;0.5;0.8;1.7
1;Total men and women;Total all ages;1997;3216;1196;123;252;80;12;93;548;30;58;1542;94;116;20;72;5;19;268;77;62;42;87;20.6;7.7;9.9;0.6;0.7;1.7
2;Total men and women;Total all ages;1998;3063;1090;121;195;81;2;78;539;17;57;1540;83;107;28;66;6;7;243;53;71;41;78;19.5;6.9;9.8;0.5;0.7;1.5
3;Total men and women;Total all ages;1999;3338;1154;113;217;96;10;80;542;37;59;1736;91;110;14;75;7;14;247;59;66;46;76;21.1;7.3;11.0;0.6;0.7;1.6
4;Total men and women;Total all ages;2000;3315;1123;101;222;102;6;89;500;53;50;1675;107;138;24;84;10;20;272;84;66;47;75;20.8;7.1;10.5;0.7;0.9;1.7
5;Total men and women;Total all ages;2001;3641;1030;109;212;73;7;79;455;51;44;2084;85;143;21;99;6;17;299;67;68;51;113;22.7;6.4;13.0;0.5;0.9;1.9
6;Total men and women;Total all ages;2002;3403;1055;99;182;87;12;98;474;43;60;1830;115;142;37;62;19;24;261;47;58;44;112;21.1;6.5;11.3;0.7;0.9;1.6
7;Total men and women;Total all ages;2003;3606;1087;95;211;87;11;92;468;58;65;1957;87;156;45;75;21;15;319;60;53;67;139;22.2;6.7;12.1;0.5;1.0;2.0
8;Total men and women;Total all ages;2004;3397;878;73;175;56;28;88;392;20;46;1839;96;182;45;95;19;23;402;50;42;80;230;20.9;5.4;11.3;0.6;1.1;2.5
9;Total men and women;Total all ages;2005;3486;802;80;177;59;16;74;325;22;49;1961;93;150;37;80;15;18;480;59;67;79;275;21.4;4.9;12.0;0.6;0.9;2.9
10;Total men and women;Total all ages;2006;3596;789;67;209;64;21;56;305;26;41;2018;88;131;35;75;13;8;570;52;62;88;368;22.0;4.8;12.3;0.5;0.8;3.5
11;Total men and women;Total all ages;2007;3606;799;88;189;68;13;66;297;42;36;2019;76;124;28;74;15;7;588;47;31;91;419;22.0;4.9;12.3;0.5;0.8;3.6
12;Total men and women;Total all ages;2008;3723;726;55;174;52;22;63;291;35;34;2093;77;161;41;88;19;13;666;41;57;98;470;22.6;4.4;12.7;0.5;1.0;4.0
13;Total men and women;Total all ages;2009;3831;715;64;181;55;13;64;277;23;38;2217;81;177;41;103;14;19;641;51;37;97;456;23.2;4.3;13.4;0.5;1.1;3.9
14;Total men and women;Total all ages;2010;3877;710;67;155;43;18;58;225;21;123;2303;80;121;25;69;13;14;663;41;39;103;480;23.3;4.3;13.9;0.5;0.7;4.0
15;Total men and women;Total all ages;2011;3941;696;68;197;45;29;52;229;21;55;2420;74;139;32;78;11;18;612;52;25;65;470;23.6;4.2;14.5;0.4;0.8;3.7
16;Total men and women;Total all ages;2012;4332;684;64;204;48;23;53;232;17;43;2795;81;147;32;87;7;21;625;45;28;47;505;25.9;4.1;16.7;0.5;0.9;3.7
17;Total men and women;Total all ages;2013;4343;589;52;186;51;35;29;177;21;38;2884;84;149;36;90;13;10;637;53;39;42;503;25.8;3.5;17.2;0.5;0.9;3.8
18;Total men and women;Total all ages;2014;4550;584;44;180;45;28;50;179;14;44;3030;77;152;67;54;18;13;707;50;37;59;561;27.0;3.5;18.0;0.5;0.9;4.2
19;Total men and women;Total all ages;2015;5131;631;49;177;43;42;46;205;15;54;3486;83;178;53;95;10;20;753;57;39;40;617;30.3;3.7;20.6;0.5;1.1;4.4
20;Total men and women;Total all ages;2016;5597;656;45;191;44;37;41;221;23;54;3883;86;199;61;112;14;12;773;47;42;51;633;32.9;3.9;22.8;0.5;1.2;4.5
21;Total men and women;Total all ages;2017;5825;624;49;197;46;26;49;183;22;52;4032;85;231;38;158;15;20;853;45;40;43;725;34.0;3.6;23.5;0.5;1.3;5.0
22;Total men and women;younger than 15 years;1996;138;80;12;30;4;0;0;16;0;18;5;32;1;1;0;0;0;20;3;7;6;4;4.8;2.8;0.2;1.1;0.0;0.7
23;Total men and women;younger than 15 years;1997;142;63;17;32;1;0;0;12;0;1;11;39;1;1;0;0;0;28;9;7;6;6;4.9;2.2;0.4;1.4;0.0;1.0
24;Total men and women;younger than 15 years;1998;98;45;9;21;0;0;0;13;0;2;7;25;0;0;0;0;0;21;3;4;10;4;3.4;1.6;0.2;0.9;0.0;0.7
25;Total men and women;younger than 15 years;1999;141;79;15;35;1;0;2;20;1;5;10;30;2;2;0;0;0;20;4;3;11;2;4.8;2.7;0.3;1.0;0.1;0.7
26;Total men and women;younger than 15 years;2000;123;60;11;30;2;0;0;9;4;4;8;27;0;0;0;0;0;28;9;10;9;0;4.1;2.0;0.3;0.9;0.0;0.9
27;Total men and women;younger than 15 years;2001;114;53;14;18;1;0;1;14;0;5;5;22;2;0;0;0;2;32;7;3;15;7;3.8;1.8;0.2;0.7;0.1;1.1
28;Total men and women;younger than 15 years;2002;93;40;14;20;0;0;1;4;0;1;5;29;2;1;1;0;0;17;1;5;6;5;3.1;1.3;0.2;1.0;0.1;0.6
29;Total men and women;younger than 15 years;2003;130;69;16;21;2;0;0;15;3;12;7;16;4;2;0;0;2;34;7;6;14;7;4.3;2.3;0.2;0.5;0.1;1.1
30;Total men and women;younger than 15 years;2004;105;41;6;21;0;1;1;5;0;7;9;22;2;0;0;0;2;31;7;3;12;9;3.5;1.4;0.3;0.7;0.1;1.0
31;Total men and women;younger than 15 years;2005;87;33;8;14;0;0;0;6;0;5;11;21;1;0;0;0;1;21;5;6;8;2;2.9;1.1;0.4;0.7;0.0;0.7
