ID;Bestedingscategorieen;Perioden;JaarmutatieCPI_1;Wegingscoefficient_2;BijdrageAanDeJaarmutatieCPI_3;ImpactOpDeJaarmutatieCPI_4
0;000000 Alle bestedingen;2016 januari;0.6;100000;;
1;000000 Alle bestedingen;2016 februari;0.6;100000;;
2;000000 Alle bestedingen;2016 maart;0.6;100000;;
3;000000 Alle bestedingen;2016 april;0.0;100000;;
4;000000 Alle bestedingen;2016 mei;0.0;100000;;
5;000000 Alle bestedingen;2016 juni;0.0;100000;;
6;000000 Alle bestedingen;2016 juli;-0.2;100000;;
7;000000 Alle bestedingen;2016 augustus;0.2;100000;;
8;000000 Alle bestedingen;2016 september;0.1;100000;;
9;000000 Alle bestedingen;2016 oktober;0.4;100000;;
10;000000 Alle bestedingen;2016 november;0.6;100000;;
11;000000 Alle bestedingen;2016 december;1.0;100000;;
12;000000 Alle bestedingen;2016;0.3;100000;;
13;000000 Alle bestedingen;2017 januari;1.7;100000;;
14;000000 Alle bestedingen;2017 februari;1.8;100000;;
15;000000 Alle bestedingen;2017 maart;1.1;100000;;
16;000000 Alle bestedingen;2017 april;1.6;100000;;
17;000000 Alle bestedingen;2017 mei;1.1;100000;;
18;000000 Alle bestedingen;2017 juni;1.1;100000;;
19;000000 Alle bestedingen;2017 juli;1.3;100000;;
20;000000 Alle bestedingen;2017 augustus;1.4;100000;;
21;000000 Alle bestedingen;2017 september;1.5;100000;;
22;000000 Alle bestedingen;2017 oktober;1.3;100000;;
23;000000 Alle bestedingen;2017 november;1.5;100000;;
24;000000 Alle bestedingen;2017 december;1.3;100000;;
25;000000 Alle bestedingen;2017;1.4;100000;;
26;000000 Alle bestedingen;2018 januari;1.5;100000;;
27;000000 Alle bestedingen;2018 februari;1.2;100000;;
28;000000 Alle bestedingen;2018 maart;1.0;100000;;
29;000000 Alle bestedingen;2018 april;1.1;100000;;
30;000000 Alle bestedingen;2018 mei;1.7;100000;;
31;000000 Alle bestedingen;2018 juni;1.7;100000;;
32;000000 Alle bestedingen;2018 juli;2.1;100000;;
33;000000 Alle bestedingen;2018 augustus;2.1;100000;;
34;000000 Alle bestedingen;2018 september;1.9;100000;;
35;000000 Alle bestedingen;2018 oktober;2.1;100000;;
36;000000 Alle bestedingen;2018 november;2.0;100000;;
37;000000 Alle bestedingen;2018 december;2.0;100000;;
38;000000 Alle bestedingen;2018;1.7;100000;;
39;000000 Alle bestedingen;2019 januari;2.2;100000;;
40;000000 Alle bestedingen;2019 februari;2.6;100000;;
41;000000 Alle bestedingen;2019 maart;2.8;100000;;
42;000000 Alle bestedingen;2019 april;2.9;100000;;
43;000000 Alle bestedingen;2019 mei;2.4;100000;;
44;000000 Alle bestedingen;2019 juni;2.7;100000;;
45;000000 Alle bestedingen;2019 juli;2.5;100000;;
46;000000 Alle bestedingen;2019 augustus;2.8;100000;;
47;000000 Alle bestedingen;2019 september;2.6;100000;;
48;000000 Alle bestedingen;2019 oktober;2.7;100000;;
49;000000 Alle bestedingen;2019 november;2.6;100000;;
50;000000 Alle bestedingen;2019 december;2.7;100000;;
51;000000 Alle bestedingen;2019;2.6;100000;;
52;000000 Alle bestedingen;2020 januari;1.8;100000;;
53;000000 Alle bestedingen;2020 februari;1.6;100000;;
54;000000 Alle bestedingen;2020 maart;1.4;100000;;
55;000000 Alle bestedingen;2020 april;1.2;100000;;
56;000000 Alle bestedingen;2020 mei;1.2;100000;;
57;000000 Alle bestedingen;2020 juni;1.6;100000;;
58;000000 Alle bestedingen;2020 juli;1.7;100000;;
59;000000 Alle bestedingen;2020 augustus;0.7;100000;;
60;000000 Alle bestedingen;2020 september;1.1;100000;;
