ID;VoornaamsteInkomensbronHuishoudens;Perioden;BeloningVanWerknemers_1;PrimairInkomen_2;BeschikbaarInkomenNetto_3;TotaalConsumptieveBestedingen_4;Voedingsmiddelen_5;Genotmiddelen_6;DuurzameConsumptiegoederen_7;OverigeGoederen_8;Diensten_9;TotaleBesparingenNetto_10;VrijeIndividueleBesparingen_11;GemiddeldAantalHuishoudens_12
0;Huishoudens, totaal;1995/1997;163008;220138;167212;158638.0;15692.0;9070.0;31964.0;21476.0;72979.0;24914.0;8573.0;6798
1;Huishoudens, totaal;1996/1998;172364;232644;176600;168920.0;16274.0;9394.0;34390.0;22776.0;78123.0;25096.0;7680.0;6862
2;Huishoudens, totaal;1997/1999;184134;247030;185931;180423.0;16871.0;9765.0;37494.0;23841.0;83904.0;23823.0;5508.0;6938
3;Huishoudens, totaal;1998/2000;197576;262231;195352;193545.0;17425.0;10068.0;40806.0;25442.0;90528.0;20338.0;1807.0;7002
4;Huishoudens, totaal;1999/2001;212017;278628;208593;206986.0;18178.0;10599.0;43429.0;26950.0;97925.0;19871.0;1607.0;7064
5;Huishoudens, totaal;2000/2002;225779;293433;221048;218900.0;19024.0;11074.0;45244.0;28264.0;104744.0;20747.0;2148.0;7116
6;Huishoudens, totaal;2001/2003;236938;303889;229619;227767.0;19803.0;11530.0;45835.0;28965.0;110774.0;22097.0;1851.0;7178
7;Huishoudens, totaal;2002/2004;244531;309845;232338;233786.0;20253.0;11707.0;45597.0;29779.0;115655.0;20503.0;-1447.0;7233
8;Huishoudens, totaal;2005/2007;264512;337498;246745;251833.0;21347.0;12235.0;47309.0;33449.0;126943.0;17900.0;-5088.0;7377
9;Huishoudens, totaal;2006/2008;276594;351510;253268;258282.0;22368.0;12808.0;49099.0;34694.0;128292.0;17962.0;-5014.0;7428
10;Huishoudens, totaal;2007/2009;286603;357605;256431;261016.0;23090.0;13362.0;48790.0;35107.0;129298.0;17974.0;-4585.0;7488
11;Huishoudens, totaal;2012;303479;365268;264151;267940.0;24985.0;14293.0;43283.0;36266.0;136879.0;13713.0;-3789.0;7762
12;Totaal particuliere huishoudens;1995/1997;162793;219303;164866;;;;;;;;;6554
13;Totaal particuliere huishoudens;1996/1998;172156;231858;174340;;;;;;;;;6623
14;Totaal particuliere huishoudens;1997/1999;183946;246264;183691;;;;;;;;;6698
15;Totaal particuliere huishoudens;1998/2000;197404;261476;193146;;;;;;;;;6769
16;Totaal particuliere huishoudens;1999/2001;211858;277899;206358;;;;;;;;;6836
17;Totaal particuliere huishoudens;2000/2002;225600;292692;218730;;;;;;;;;6900
18;Totaal particuliere huishoudens;2001/2003;236725;303145;227216;;;;;;;;;6963
19;Totaal particuliere huishoudens;2002/2004;244290;309076;229843;;;;;;;;;7019
20;Totaal particuliere huishoudens;2005/2007;264294;336771;244347;;;;;;;;;7168
21;Totaal particuliere huishoudens;2006/2008;276376;350687;250873;;;;;;;;;7221
22;Totaal particuliere huishoudens;2007/2009;286378;356790;254039;;;;;;;;;7281
23;Totaal particuliere huishoudens;2012;303239;364583;261747;;;;;;;;;7543
24;Inkomen uit loon;1995/1997;152097;174992;106848;100441.0;9572.0;5498.0;21608.0;13562.0;45521.0;26536.0;6406.0;3638
