ID;Perioden;OutputBasisprijzen_1;Totaal_2;Totaal_3;ZaaiEnPantgoedGeleverdDoorAnder_4;ZaaiEnPlantgoedGekochtBuitenDe_5;Totaal_6;Elektriciteit_7;Gas_8;AndereBrandstoffen_9;Andere_10;Totaal_11;MeststoffenGeleverdDoorAndereLand_12;MeststoffenGekochtBuitenDeBedrijf_13;FytosanitaireProductenEnPesticiden_14;UitgavenVoorVeeartsen_15;Totaal_16;VeevoederGeleverdDoorAndereLandbo_17;VeevoederGekochtBuitenDeBedrijfst_18;VeevoederGeproduceerdEnVerbruiktO_19;OnderhoudVanMateriaal_20;OnderhoudVanGebouwen_21;Landbouwdiensten_22;IndirectGemetenDienstenVanFinanci_23;AndereGoederenEnDiensten_24;BrutoToegevoegdeWaardeBasisprijzen_25;Totaal_26;Werktuigen_27;Bouwwerken_28;Aanplantingen_29;Andere_30;NettoToegevoegdeWaardeBasisprijzen_31;OutputBasisprijzen_32;Totaal_33;Totaal_34;ZaaiEnPantgoedGeleverdDoorAnder_35;ZaaiEnPlantgoedGekochtBuitenDe_36;Totaal_37;Elektriciteit_38;Gas_39;AndereBrandstoffen_40;Andere_41;Totaal_42;MeststoffenGeleverdDoorAndereLand_43;MeststoffenGekochtBuitenDeBedrijf_44;FytosanitaireProductenEnPesticiden_45;UitgavenVoorVeeartsen_46;Totaal_47;VeevoederGeleverdDoorAndereLandbo_48;VeevoederGekochtBuitenDeBedrijfst_49;VeevoederGeproduceerdEnVerbruiktO_50;OnderhoudVanMateriaal_51;OnderhoudVanGebouwen_52;Landbouwdiensten_53;IndirectGemetenDienstenVanFinanci_54;AndereGoederenEnDiensten_55;BrutoToegevoegdeWaardeBasisprijzen_56;Totaal_57;Werktuigen_58;Bouwwerken_59;Aanplantingen_60;Andere_61;NettoToegevoegdeWaardeBasisprijzen_62;OutputBasisprijzen_63;Totaal_64;Totaal_65;ZaaiEnPantgoedGeleverdDoorAnder_66;ZaaiEnPlantgoedGekochtBuitenDe_67;Totaal_68;Elektriciteit_69;Gas_70;AndereBrandstoffen_71;Andere_72;MeststoffenEnGrondverbeterendeMidd_73;MeststoffenGeleverdDoorAndereLand_74;MeststoffenGekochtBuitenDeBedrijf_75;FytosanitaireProductenEnPesticiden_76;UitgavenVoorVeeartsen_77;Totaal_78;VeevoederGeleverdDoorAndereLandbo_79;VeevoederGekochtBuitenDeBedrijfst_80;VeevoederGeproduceerdEnVerbruiktO_81;OnderhoudVanMateriaal_82;OnderhoudVanGebouwen_83;Landbouwdiensten_84;IndirectGemetenDienstenVanFinanci_85;AndereGoederenEnDiensten_86;BrutoToegevoegdeWaardeBasisprijzen_87;Totaal_88;Werktuigen_89;Bouwwerken_90;Aanplantingen_91;Andere_92;NettoToegevoegdeWaardeBasisprijzen_93;OutputBasisprijzen_94;Totaal_95;Totaal_96;ZaaiEnPantgoedGeleverdDoorAnder_97;ZaaiEnPlantgoedGekochtBuitenDe_98;Totaal_99;Elektriciteit_100;Gas_101;AndereBrandstoffen_102;Andere_103;Totaal_104;MeststoffenGeleverdDoorAndereLand_105;MeststoffenGekochtBuitenDeBedrijf_106;FytosanitaireProductenEnPesticiden_107;UitgavenVoorVeeartsen_108;Totaal_109;VeevoederGeleverdDoorAndereLandbo_110;VeevoederGekochtBuitenDeBedrijfst_111;VeevoederGeproduceerdEnVerbruiktO_112;OnderhoudVanMateriaal_113;OnderhoudVanGebouwen_114;Landbouwdiensten_115;IndirectGemetenDienstenVanFinanci_116;AndereGoederenEnDiensten_117;BrutoToegevoegdeWaardeBasisprijzen_118;Totaal_119;Werktuigen_120;Bouwwerken_121;Aanplantingen_122;Andere_123;NettoToegevoegdeWaardeBasisprijzen_124;NettoToegevoegdeWaardeBasisprijzen_125;NietProductgebondenBelastingen_126;NietProductgebondenSubsidies_127;Landbouwinkomen_128;BeloningVanWerknemers_129;ExploitatieoverschotGemengdInkomen_130;NettoToegevoegdeWaardeBasisprijzen_131;NietProductgebondenBelastingen_132;NietProductgebondenSubsidies_133;Landbouwinkomen_134;BeloningVanWerknemers_135;ExploitatieoverschotGemengdInkomen_136;NettoToegevoegdeWaardeBasisprijzen_137;NietProductgebondenBelastingen_138;NietProductgebondenSubsidies_139;Landbouwinkomen_140;BeloningVanWerknemers_141;ExploitatieoverschotGemengdInkomen_142;NettoToegevoegdeWaardeBasisprijzen_143;NietProductgebondenBelastingen_144;NietProductgebondenSubsidies_145;Landbouwinkomen_146;BeloningVanWerknemers_147;ExploitatieoverschotGemengdInkomen_148;ExploitatieoverschotGemengdInkomen_149;BetaaldePachtED_150;BetaaldeRente_151;OntvangenRente_152;InkomenUitBedrijfsuitoefening_153;Totaal_154;Werknemers_155;Zelfstandigen_156;Inkomensindex2010100_157;MutatieTOVVoorafgaandJaar_158
0;1995;18831;9819;848;556.0;292.0;854;192.0;601.0;36.0;24.0;303;;303;261;185;3904;80.0;3342.0;481.0;604;157;1060;71;1572;9012;1978;946.0;777.0;34.0;221.0;7034;21138;13088;1171;906.0;313.0;1759;319.0;1400.0;53.0;35.0;454;;454;334;256;4643;52.0;4092.0;534.0;814;192;1429;61;2050;8026;2679;1027.0;1261.0;48.0;360.0;5315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.1;75.0;72.5;61.4;93.6;48.5;60.2;42.9;68.6;69.0;66.7;;66.7;78.1;72.4;84.1;153.3;81.7;90.2;74.2;81.9;74.2;115.5;76.7;112.3;73.8;92.1;61.6;69.2;61.4;132.4;7034;289;211;6956;1319;5637;5315;364.0;848.0;5755.0;;;;;;;;;132.4;79.5;24.9;120.9;;;5637;326;1084;41;4268;186;60;126;112.5;
1;1996;19107;10408;861;559.0;301.0;1019;244.0;701.0;43.0;31.0;297;;297;265;194;4216;98.0;3627.0;491.0;613;165;1074;71;1634;8699;2016;943.0;804.0;38.0;233.0;6682;21008;13516;1146;868.0;318.0;2008;390.0;1550.0;62.0;46.0;430;;430;339;261;4840;62.0;4304.0;509.0;817;201;1429;65;2111;7638;2694;1038.0;1253.0;53.0;364.0;4977;-0.6;3.3;-2.1;-4.2;1.8;14.1;22.1;10.7;16.8;31.2;-5.4;;-5.4;1.6;2.2;4.2;19.1;5.2;-4.7;0.4;4.5;0.0;5.7;3.0;-4.8;0.6;1.1;-0.6;9.7;1.0;-6.4;91.0;77.0;75.1;64.4;94.7;50.8;62.5;45.2;69.7;67.4;69.1;;69.1;78.1;74.3;87.1;157.9;84.3;96.5;75.0;82.4;75.1;109.3;77.4;113.9;74.9;90.8;64.1;70.6;63.9;134.3;6682;265;350;6768;1377;5391;4977;341.0;1401.0;5514.0;;;-6.4;-6.4;65.1;-4.2;;;134.3;77.7;25.0;122.7;;;5391;336;1021;36;4070;189;60;130;106.0;-5.8
2;1997;20247;10552;871;565.0;306.0;1020;261.0;681.0;46.0;33.0;290;;290;307;208;4044;98.0;3468.0;478.0;658;177;1167;68;1742;9695;2060;957.0;816.0;42.0;244.0;7635;21870;13604;1160;881.0;320.0;1862;414.0;1354.0;59.0;48.0;435;;435;382;271;4699;67.0;4056.0;590.0;866;211;1544;67;2209;8266;2718;1057.0;1243.0;59.0;370.0;5496;4.1;0.7;1.2;1.5;0.6;-7.3;6.2;-12.6;-4.3;4.9;1.4;;1.4;12.7;3.6;-2.9;7.8;-5.7;15.9;6.0;5.2;8.0;3.7;4.7;8.2;0.9;1.8;-0.8;10.5;1.6;10.4;92.6;77.6;75.1;64.2;95.6;54.8;63.0;50.3;76.9;69.0;66.7;;66.7;80.2;76.9;86.1;147.0;85.5;81.0;76.0;83.8;75.6;101.6;78.8;117.3;75.8;90.5;65.6;72.1;66.0;138.9;7635;273;264;7626;1430;6196;5496;341.0;1022.0;6004.0;;;10.4;0.2;-27.0;8.9;;;138.9;79.9;25.8;127.0;;;6196;347;987;36;4897;190;61;129;115.8;9.3
3;1998;19372;10594;963;610.0;352.0;1019;284.0;664.0;39.0;33.0;275;;275;322;220;3784;79.0;3279.0;426.0;724;180;1213;70;1824;8778;2118;978.0;832.0;47.0;261.0;6660;21477;13803;1146;803.0;361.0;1925;467.0;1356.0;59.0;48.0;432;;432;385;280;4676;49.0;4057.0;598.0;943;213;1588;78;2258;7824;2762;1084.0;1241.0;64.0;380.0;5099;-1.8;1.5;-1.2;-8.8;12.9;3.4;12.8;0.1;0.2;0.1;-0.9;;-0.9;0.7;3.4;-0.5;-27.4;0.0;1.4;8.9;0.7;2.8;16.5;2.2;-5.3;1.6;2.5;-0.2;9.4;2.6;-7.2;90.2;76.8;84.0;76.0;97.6;53.0;60.7;49.0;65.8;68.0;63.6;;63.6;83.7;78.6;80.9;161.8;80.8;71.2;76.8;84.6;76.4;89.8;80.8;112.2;76.7;90.2;67.1;73.7;68.7;130.6;6660;265;263;6658;1500;5158;5099;333.0;1043.0;5580.0;;;-7.2;-2.3;2.1;-7.1;;;130.6;79.4;25.2;119.3;;;5158;366;989;34;3836;187;63;124;100.7;-13.1
4;1999;19029;10662;1017;615.0;402.0;1018;300.0;644.0;44.0;30.0;222;;222;340;223;3529;93.0;3006.0;431.0;790;194;1285;83;1961;8366;2188;1000.0;850.0;53.0;285.0;6179;22357;14059;1246;804.0;448.0;1912;474.0;1329.0;64.0;46.0;364;;364;402;281;4601;54.0;3976.0;592.0;1000;229;1635;89;2388;8357;2806;1113.0;1231.0;70.0;395.0;5531;4.1;1.9;8.8;0.0;23.9;-0.7;1.5;-1.9;8.0;-4.0;-15.8;;-15.8;4.4;0.5;-1.6;10.4;-2.0;-0.9;6.0;7.5;3.0;13.7;5.7;6.8;1.6;2.7;-0.8;8.5;4.0;8.5;85.1;75.8;81.6;76.5;89.9;53.3;63.3;48.4;69.1;64.5;60.9;;60.9;84.6;79.4;76.7;172.6;75.6;72.8;79.0;85.0;78.6;92.8;82.1;100.1;78.0;89.8;69.1;75.5;72.2;111.7;6179;264;436;6351;1596;4755;5531;341.0;922.0;6022.0;;;8.5;2.1;-11.6;7.9;;;111.7;77.5;47.3;105.5;;;4755;370;975;40;3450;190;66;124;93.3;-7.3
5;2000;20109;11138;1031;608.0;423.0;1151;294.0;768.0;55.0;34.0;252;;252;345;223;3488;72.0;3005.0;411.0;839;203;1359;97;2151;8970;2338;1050.0;907.0;60.0;321.0;6632;22624;14154;1303;841.0;467.0;1873;454.0;1306.0;69.0;47.0;360;;360;407;276;4415;61.0;3793.0;569.0;1048;231;1668;94;2536;8511;2900;1156.0;1251.0;77.0;417.0;5603;1.2;0.7;4.5;4.7;4.3;-2.0;-4.3;-1.8;6.9;2.6;-0.9;;-0.9;1.2;-1.8;-4.0;13.4;-4.6;-4.0;4.9;0.9;2.0;5.1;6.2;1.8;3.4;3.8;1.6;10.1;5.7;1.3;88.9;78.7;79.1;72.3;90.6;61.4;64.8;58.8;79.8;72.6;69.8;;69.8;84.9;80.8;79.0;117.7;79.2;72.3;80.0;88.1;81.5;103.6;84.8;105.4;80.6;90.8;72.5;78.6;77.0;118.4;6632;277;267;6623;1687;4936;5603;345.0;999.0;6130.0;;;1.3;1.4;8.4;1.8;;;118.4;80.2;26.7;108.0;;;4936;401;992;60;3603;185;67;118;96.4;3.3
6;2001;20869;11657;1060;654.0;406.0;1205;292.0;824.0;48.0;40.0;263;;263;320;242;3619;88.0;3052.0;478.0;884;209;1520;80;2256;9212;2485;1095.0;969.0;68.0;353.0;6728;21948;14101;1244;827.0;427.0;1859;446.0;1302.0;65.0;49.0;327;;327;365;288;4240;60.0;3624.0;565.0;1087;234;1807;102;2589;7982;2990;1204.0;1266.0;83.0;432.0;5071;-3.0;-0.4;-4.5;-1.7;-8.6;-0.8;-1.7;-0.2;-5.1;2.9;-9.2;;-9.2;-10.3;4.5;-4.0;-1.8;-4.5;-0.6;3.6;1.4;8.3;8.4;2.1;-6.2;3.1;4.2;1.2;8.4;3.7;-9.5;95.1;82.7;85.2;79.1;95.0;64.8;65.6;63.3;74.5;81.7;80.5;;80.5;87.7;83.9;85.4;148.0;84.2;84.5;81.3;89.3;84.1;78.6;87.1;115.4;83.1;90.9;76.5;81.8;81.6;132.7;6728;324;347;6751;1763;4988;5071;381.0;1254.0;5584.0;;;-9.5;10.3;25.5;-8.9;;;132.7;85.2;27.7;120.9;;;4988;433;1046;75;3584;178;68;110;98.4;2.1
7;2002;20642;11808;1100;688.0;412.0;1126;300.0;735.0;49.0;41.0;243;;243;350;234;3434;70.0;2856.0;508.0;881;212;1741;97;2389;8834;2587;1131.0;1009.0;74.0;373.0;6247;22031;14113;1258;803.0;459.0;1791;451.0;1227.0;66.0;48.0;317;;317;393;270;4040;64.0;3412.0;567.0;1067;233;1986;103;2678;8041;3014;1224.0;1260.0;87.0;437.0;5108;0.4;0.1;1.1;-2.9;7.5;-3.7;1.1;-5.8;1.1;-0.4;-3.0;;-3.0;7.6;-6.2;-4.7;7.0;-5.9;0.4;-1.8;-0.4;9.9;1.4;3.4;0.7;0.8;1.6;-0.5;4.5;1.2;0.7;93.7;83.7;87.4;85.6;89.9;62.8;66.6;59.9;74.6;83.8;76.5;;76.5;89.2;86.5;85.0;108.8;83.7;89.5;82.6;91.1;87.7;94.6;89.2;109.9;85.8;92.4;80.1;84.7;85.2;122.3;6247;326;221;6142;1892;4250;5108;381.0;798.0;5519.0;;;0.7;0.0;-36.4;-1.2;;;122.3;85.7;27.7;111.3;;;4250;465;1062;93;2817;176;68;108;87.3;-11.2
8;2003;20679;11639;1062;653.0;409.0;1182;309.0;783.0;49.0;42.0;258;;258;350;239;3239;74.0;2716.0;449.0;875;215;1723;115;2381;9040;2650;1126.0;1058.0;78.0;388.0;6391;22049;13749;1213;776.0;440.0;1786;444.0;1227.0;66.0;50.0;329;;329;390;272;3898;64.0;3310.0;528.0;1050;235;1916;100;2595;8334;3058;1232.0;1289.0;90.0;442.0;5340;0.1;-2.6;-3.6;-3.4;-4.0;-0.3;-1.5;0.0;-0.3;2.9;3.8;;3.8;-0.6;0.4;-3.5;0.4;-3.0;-6.9;-1.6;0.9;-3.5;-2.7;-3.1;3.6;1.5;0.7;2.4;4.0;0.9;4.5;93.8;84.7;87.6;84.1;92.9;66.2;69.5;63.8;74.8;83.8;78.2;;78.2;89.7;88.0;83.1;114.6;82.1;85.1;83.3;91.5;89.9;115.1;91.7;108.5;86.6;91.4;82.1;86.6;87.9;119.7;6391;297;368;6462;1934;4528;5340;342.0;1329.0;5936.0;;;4.5;-10.2;66.6;7.6;;;119.7;86.9;27.7;108.9;;;4528;497;1077;112;3066;171;66;105;92.4;5.8
9;2004;20561;12150;1000;580.0;420.0;1187;305.0;791.0;51.0;40.0;266;;266;378;255;3582;84.0;2932.0;566.0;922;226;1770;114;2449;8412;2731;1141.0;1114.0;82.0;394.0;5681;22980;14076;1196;741.0;457.0;1813;443.0;1253.0;68.0;51.0;329;;329;406;285;4112;82.0;3413.0;613.0;1083;244;1900;104;2644;8883;3105;1237.0;1335.0;94.0;438.0;5803;4.2;2.4;-1.4;-4.5;3.6;1.5;-0.3;2.1;3.8;1.6;0.0;;0.0;4.1;5.0;5.5;28.2;3.1;16.1;3.2;3.7;-0.9;3.6;1.9;6.6;1.5;0.4;3.5;3.4;-0.9;8.7;89.5;86.3;83.6;78.2;92.0;65.5;68.9;63.1;74.9;79.9;80.6;;80.6;93.1;89.4;87.1;102.7;85.9;92.3;85.1;92.7;93.1;110.2;92.6;94.7;87.9;92.3;83.5;87.3;89.9;97.9;5681;296;395;5780;1909;3871;5803;336.0;1122.0;6397.0;;;8.7;-1.6;-15.6;7.8;;;97.9;88.1;35.3;90.4;;;3871;517;1011;103;2447;164;64;100;84.8;-8.2
