ID;Klimaatsector;Emissies;Perioden;EmissieBroeikasgassen_1
0;Totaal klimaatsectoren;Totaal broeikasgassen;2019 1e kwartaal;54.1
1;Totaal klimaatsectoren;Totaal broeikasgassen;2019 2e kwartaal;41.7
2;Totaal klimaatsectoren;Totaal broeikasgassen;2019 3e kwartaal;38.8
3;Totaal klimaatsectoren;Totaal broeikasgassen;2019 4e kwartaal;50.6
4;Totaal klimaatsectoren;Totaal broeikasgassen;2019;185.3
5;Totaal klimaatsectoren;Totaal broeikasgassen;2020 1e kwartaal;48.5
6;Totaal klimaatsectoren;Totaal broeikasgassen;2020 2e kwartaal;35.9
7;Totaal klimaatsectoren;Totaal broeikasgassen;2020 3e kwartaal;37.9
8;Totaal klimaatsectoren;Totaal broeikasgassen;2020 4e kwartaal;46.0
9;Totaal klimaatsectoren;Totaal broeikasgassen;2020;168.3
10;Totaal klimaatsectoren;Totaal broeikasgassen;2021 1e kwartaal;49.2
11;Totaal klimaatsectoren;Totaal broeikasgassen;2021 2e kwartaal;39.4
12;Totaal klimaatsectoren;Totaal broeikasgassen;2021 3e kwartaal;36.2
13;Totaal klimaatsectoren;Totaal broeikasgassen;2021 4e kwartaal;45.7
14;Totaal klimaatsectoren;Totaal broeikasgassen;2021;170.6
15;Totaal klimaatsectoren;Totaal broeikasgassen;2022 1e kwartaal;44.4
16;Totaal klimaatsectoren;Totaal broeikasgassen;2022 2e kwartaal;36.5
17;Totaal klimaatsectoren;Totaal broeikasgassen;2022 3e kwartaal;35.2
18;Totaal klimaatsectoren;Totaal broeikasgassen;2022 4e kwartaal;40.9
19;Totaal klimaatsectoren;Totaal broeikasgassen;2022;157.0
20;Totaal klimaatsectoren;Totaal broeikasgassen;2023 1e kwartaal;42.2
21;Totaal klimaatsectoren;Totaal broeikasgassen;2023 2e kwartaal;34.1
22;Totaal klimaatsectoren;Totaal broeikasgassen;2023 3e kwartaal;31.5
23;Totaal klimaatsectoren;Totaal broeikasgassen;2023 4e kwartaal;38.6
24;Totaal klimaatsectoren;Totaal broeikasgassen;2023;146.4
25;Totaal klimaatsectoren;Totaal broeikasgassen;2024 1e kwartaal;40.5
26;Totaal klimaatsectoren;Totaal broeikasgassen;2024 2e kwartaal;32.4
27;Totaal klimaatsectoren;Totaal broeikasgassen;2024 3e kwartaal;31.2
28;Totaal klimaatsectoren;Totaal broeikasgassen;2024 4e kwartaal;40.0
29;Totaal klimaatsectoren;Totaal broeikasgassen;2024;144.2
30;Totaal klimaatsectoren;Koolstofdioxide (CO2);2019 1e kwartaal;46.6
