ID;Geslacht;Leeftijd;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2025;18048111
1;Totaal mannen en vrouwen;Totaal leeftijd;2026;18144004
2;Totaal mannen en vrouwen;Totaal leeftijd;2027;18229130
3;Totaal mannen en vrouwen;Totaal leeftijd;2028;18309087
4;Totaal mannen en vrouwen;Totaal leeftijd;2029;18383091
5;Totaal mannen en vrouwen;Totaal leeftijd;2030;18457834
6;Totaal mannen en vrouwen;Totaal leeftijd;2031;18533307
7;Totaal mannen en vrouwen;Totaal leeftijd;2032;18609617
8;Totaal mannen en vrouwen;Totaal leeftijd;2033;18686208
9;Totaal mannen en vrouwen;Totaal leeftijd;2034;18762258
10;Totaal mannen en vrouwen;Totaal leeftijd;2035;18836640
11;Totaal mannen en vrouwen;Totaal leeftijd;2036;18909828
12;Totaal mannen en vrouwen;Totaal leeftijd;2037;18981159
13;Totaal mannen en vrouwen;Totaal leeftijd;2038;19050165
14;Totaal mannen en vrouwen;Totaal leeftijd;2039;19116525
15;Totaal mannen en vrouwen;Totaal leeftijd;2040;19180111
16;Totaal mannen en vrouwen;Totaal leeftijd;2041;19240990
17;Totaal mannen en vrouwen;Totaal leeftijd;2042;19299277
18;Totaal mannen en vrouwen;Totaal leeftijd;2043;19355130
19;Totaal mannen en vrouwen;Totaal leeftijd;2044;19408620
20;Totaal mannen en vrouwen;Totaal leeftijd;2045;19459928
21;Totaal mannen en vrouwen;Totaal leeftijd;2046;19509021
22;Totaal mannen en vrouwen;Totaal leeftijd;2047;19556128
23;Totaal mannen en vrouwen;Totaal leeftijd;2048;19601390
24;Totaal mannen en vrouwen;Totaal leeftijd;2049;19644892
25;Totaal mannen en vrouwen;Totaal leeftijd;2050;19686707
26;Totaal mannen en vrouwen;Totaal leeftijd;2051;19726988
27;Totaal mannen en vrouwen;Totaal leeftijd;2052;19765810
28;Totaal mannen en vrouwen;Totaal leeftijd;2053;19803456
29;Totaal mannen en vrouwen;Totaal leeftijd;2054;19840224
30;Totaal mannen en vrouwen;Totaal leeftijd;2055;19876481
31;Totaal mannen en vrouwen;Totaal leeftijd;2056;19912570
32;Totaal mannen en vrouwen;Totaal leeftijd;2057;19948913
33;Totaal mannen en vrouwen;Totaal leeftijd;2058;19985987
34;Totaal mannen en vrouwen;Totaal leeftijd;2059;20024306
35;Totaal mannen en vrouwen;Totaal leeftijd;2060;20064425
36;Totaal mannen en vrouwen;Totaal leeftijd;2061;20106802
37;Totaal mannen en vrouwen;Totaal leeftijd;2062;20151941
38;Totaal mannen en vrouwen;Totaal leeftijd;2063;20200182
39;Totaal mannen en vrouwen;Totaal leeftijd;2064;20251798
40;Totaal mannen en vrouwen;Totaal leeftijd;2065;20306939
41;Totaal mannen en vrouwen;Totaal leeftijd;2066;20365507
42;Totaal mannen en vrouwen;Totaal leeftijd;2067;20427381
43;Totaal mannen en vrouwen;Totaal leeftijd;2068;20492261
44;Totaal mannen en vrouwen;Totaal leeftijd;2069;20559743
45;Totaal mannen en vrouwen;Totaal leeftijd;2070;20629438
46;Totaal mannen en vrouwen;0 jaar;2025;165523
47;Totaal mannen en vrouwen;0 jaar;2026;165829
48;Totaal mannen en vrouwen;0 jaar;2027;167762
49;Totaal mannen en vrouwen;0 jaar;2028;171021
50;Totaal mannen en vrouwen;0 jaar;2029;174809
51;Totaal mannen en vrouwen;0 jaar;2030;179245
52;Totaal mannen en vrouwen;0 jaar;2031;183825
53;Totaal mannen en vrouwen;0 jaar;2032;187642
54;Totaal mannen en vrouwen;0 jaar;2033;190815
55;Totaal mannen en vrouwen;0 jaar;2034;193463
56;Totaal mannen en vrouwen;0 jaar;2035;195654
57;Totaal mannen en vrouwen;0 jaar;2036;197392
58;Totaal mannen en vrouwen;0 jaar;2037;198631
59;Totaal mannen en vrouwen;0 jaar;2038;199324
60;Totaal mannen en vrouwen;0 jaar;2039;199444
61;Totaal mannen en vrouwen;0 jaar;2040;199138
62;Totaal mannen en vrouwen;0 jaar;2041;198645
63;Totaal mannen en vrouwen;0 jaar;2042;198024
64;Totaal mannen en vrouwen;0 jaar;2043;197327
65;Totaal mannen en vrouwen;0 jaar;2044;196576
66;Totaal mannen en vrouwen;0 jaar;2045;195785
67;Totaal mannen en vrouwen;0 jaar;2046;194987
68;Totaal mannen en vrouwen;0 jaar;2047;194221
69;Totaal mannen en vrouwen;0 jaar;2048;193497
70;Totaal mannen en vrouwen;0 jaar;2049;192847
71;Totaal mannen en vrouwen;0 jaar;2050;192289
72;Totaal mannen en vrouwen;0 jaar;2051;191819
73;Totaal mannen en vrouwen;0 jaar;2052;191448
