ID;Perioden;AantalPer1Januari_1;AantalPer31December_2;TegoedPer1Januari_3;TotaleInleg_4;InlegWet94_5;InlegLevensloop_6;TotaalTerugbetaald_7;TerugbetaaldWet94_8;Deblokkering_9;VrijgekomenBedragen_10;TerugbetaaldLevensloop_11;RenteWet94_12;OverigeMutatiesLevensloop_13;TotaleBesparingen_14;BesparingenWet94_15;BesparingenLevensloop_16;TegoedPer31December_17;AantalRekeningen_18;TegoedOpSpaarloon_19;MaximaleBedragenSpaarloonregeling_20;AantalRekeningenVerzekeringen_21;TegoedOpLevensloop_22;AantalRekeningen_23;TegoedOverigBedrijfssparen_24;AantalRekeningen_25;TegoedOpPremiesparen_26;MaximaalBedragPremiespaarregeling_27;AantalWinstdelingAandelenoptie_28;TegoedOpWinstdelingAandelenoptie_29;MaximaalBedragWinstdelingsregeling_30;MaximaalBedragAandelenoptieregeling_31
0;1994;;1944;;;;;;;;;;;;1031.0;1031;;;;;699;;;;;;;466.0;;;699.0;699.0
1;1995;1944.0;2727;1031.0;2051.0;2051.0;;392.0;392.0;392.0;;;69.0;;1728.0;1728;;2759.0;1720.0;1659.0;717;;;1006.0;1101.0;873.0;1010.0;478.0;133.0;91.0;717.0;717.0
2;1996;2727.0;3215;2759.0;1889.0;1889.0;;608.0;608.0;608.0;;;104.0;;1385.0;1385;;4145.0;2230.0;2729.0;733;;;985.0;1416.0;901.0;1322.0;489.0;84.0;94.0;733.0;733.0
3;1997;3215.0;3690;4145.0;2091.0;2091.0;;1046.0;1046.0;1046.0;;;117.0;;1162.0;1162;;5306.0;2641.0;3663.0;743;;;1049.0;1643.0;970.0;1546.0;496.0;79.0;97.0;743.0;743.0
4;1998;3690.0;4066;5336.0;2123.0;2123.0;;1218.0;1218.0;815.0;403.0;;136.0;;1041.0;1041;;6377.0;2887.0;4290.0;758;;;1179.0;2087.0;1111.0;1992.0;506.0;68.0;95.0;758.0;758.0
5;1999;4066.0;4384;6389.0;2224.0;2224.0;;1739.0;1739.0;1263.0;476.0;;119.0;;604.0;604;;6993.0;3114.0;4649.0;774;;;1270.0;2344.0;1210.0;2254.0;516.0;60.0;90.0;774.0;774.0
6;2000;4348.0;4778;6976.0;2169.0;2169.0;;1777.0;1777.0;1187.0;590.0;;130.0;;522.0;522;;7498.0;3451.0;5002.0;788;;;1327.0;2496.0;1270.0;2422.0;525.0;57.0;74.0;788.0;788.0
7;2001;4778.0;5153;7455.0;2793.0;2793.0;;2284.0;2284.0;1607.0;677.0;;140.0;;649.0;649;;8106.0;3727.0;5434.0;788;;;1426.0;2673.0;1373.0;2600.0;525.0;53.0;73.0;788.0;788.0
8;2002;5153.0;5307;8105.0;2834.0;2834.0;;2331.0;2331.0;1416.0;915.0;;172.0;;675.0;675;;8779.0;4080.0;5970.0;788;;;1227.0;2809.0;1184.0;2743.0;525.0;43.0;65.0;788.0;788.0
9;2003;5307.0;4883;8778.0;1474.0;1474.0;;5860.0;5860.0;4514.0;1346.0;;37.0;;-4349.0;-4349;;4429.0;3970.0;3750.0;613;;;913.0;679.0;;;;;;;
10;2004;4883.0;4044;4474.0;1382.0;1382.0;;1336.0;1336.0;1184.0;152.0;;36.0;;82.0;82;;4556.0;3786.0;4488.0;613;;;258.0;68.0;;;;;;;
11;2005;4044.0;3757;4547.0;1415.0;1415.0;;3771.0;3771.0;2747.0;1024.0;;45.0;;-2311.0;-2311;;2236.0;3532.0;2182.0;613;;;225.0;53.0;;;;;;;
12;2006;3757.0;3799;2237.0;2045.0;1133.0;912.0;;691.0;392.0;299.0;;40.0;;;482;;3663.0;3444.0;2673.0;613;220.0;944.0;136.0;46.0;;;;;;;
13;2007;3799.0;3690;3605.0;1934.0;1094.0;840.0;688.0;635.0;335.0;300.0;53.0;30.0;50.0;1327.0;490;837.0;4931.0;3308.0;3115.0;613;269.0;1774.0;114.0;42.0;;;;;;;
14;2008;3690.0;3624;4811.0;1815.0;1032.0;783.0;674.0;561.0;286.0;275.0;113.0;58.0;53.0;1253.0;529;723.0;6064.0;3291.0;3546.0;613;271.0;2490.0;62.0;28.0;;;;;;;
